C:\Users\RogersLab\Desktop\1FB CLEAN\SP_C_135-39-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP_C_135,39,1,,1,100,,1,6672
SP_C_135,39,1,,2,200,,1,2350
SP_C_135,39,1,,3,200,,1,1051
SP_C_135,39,1,,4,200,,1,1110
SP_C_135,39,1,,5,200,,1,1051
SP_C_135,39,1,,6,100,,1,1222
SP_C_135,39,1,,7,100,,1,1585
SP_C_135,39,1,,8,100,,1,1078
SP_C_135,39,1,,9,100,,1,1078
SP_C_135,39,1,,10,100,,1,550
SP_C_135,39,1,,11,200,,1,1115
SP_C_135,39,1,,12,100,,1,1473
SP_C_135,39,1,,13,200,,1,1390
SP_C_135,39,1,,14,100,,1,1868
SP_C_135,39,1,,15,200,,1,745
SP_C_135,39,1,,16,100,,1,566
SP_C_135,39,1,,17,100,,0,702
SP_C_135,39,1,,18,200,,1,1360
SP_C_135,39,1,,19,200,,1,1016
SP_C_135,39,1,,20,200,,1,1020
SP_C_135,39,2,,1,190,,0,1206
SP_C_135,39,2,,2,120,,1,694
SP_C_135,39,2,,3,160,,0,1328
SP_C_135,39,2,,4,240,,0,3000
SP_C_135,39,2,,5,130,,1,1200
SP_C_135,39,2,,6,110,,1,2016
SP_C_135,39,2,,7,110,,1,787
SP_C_135,39,2,,8,70,,1,1184
SP_C_135,39,2,,9,60,,1,843
SP_C_135,39,2,,10,120,,1,1123
SP_C_135,39,2,,11,220,,0,787
SP_C_135,39,2,,12,130,,1,4128
SP_C_135,39,2,,13,90,,1,1208
SP_C_135,39,2,,14,80,,1,808
SP_C_135,39,2,,15,140,,1,680
SP_C_135,39,2,,16,140,,1,1057
SP_C_135,39,2,,17,70,,1,931
SP_C_135,39,2,,18,210,,0,574
SP_C_135,39,2,,19,180,,0,881
SP_C_135,39,2,,20,80,,1,769
SP_C_135,39,2,,21,150,,0,1081
SP_C_135,39,2,,22,160,,0,2497
SP_C_135,39,2,,23,210,,0,982
SP_C_135,39,2,,24,60,,1,838
SP_C_135,39,2,,25,170,,0,702
SP_C_135,39,2,,26,200,,0,825
SP_C_135,39,2,,27,220,,0,731
SP_C_135,39,2,,28,180,,0,523
SP_C_135,39,2,,29,230,,0,531
SP_C_135,39,2,,30,200,,0,414
SP_C_135,39,2,,31,240,,0,481
SP_C_135,39,2,,32,190,,0,897
SP_C_135,39,2,,33,100,,1,851
SP_C_135,39,2,,34,100,,1,590
SP_C_135,39,2,,35,90,,1,627
SP_C_135,39,2,,36,170,,0,1569
SP_C_135,39,2,,37,230,,0,649
SP_C_135,39,2,,38,150,,1,953
SP_C_135,39,3,223.bmp,,,,,
SP_C_135,39,4,,1,181,,0,5323
SP_C_135,39,4,,2,263,,0,1782
SP_C_135,39,4,,3,46,,1,1107
SP_C_135,39,4,,4,184,,0,1945
SP_C_135,39,4,,5,300,,0,1833
SP_C_135,39,4,,6,247,,0,1574
SP_C_135,39,4,,7,230,,0,1238
SP_C_135,39,4,,8,190,,0,1476
SP_C_135,39,4,,9,83,,1,1333
SP_C_135,39,4,,10,126,,1,1365
SP_C_135,39,4,,11,250,,0,832
SP_C_135,39,4,,12,19,,1,1222
SP_C_135,39,4,,13,215,,0,1739
SP_C_135,39,4,,14,30,,1,763
SP_C_135,39,4,,15,244,,0,1067
SP_C_135,39,4,,16,89,,1,742
SP_C_135,39,4,,17,240,,0,1163
SP_C_135,39,4,,18,133,,1,1040
SP_C_135,39,4,,19,150,,1,1360
SP_C_135,39,4,,20,140,,0,1609
SP_C_135,39,4,,21,105,,1,689
SP_C_135,39,4,,22,2,,1,1014
SP_C_135,39,4,,23,7,,1,1483
