Y:\Behavioral Studies\CrazyBeliefs\RawData\1FB\ACB 1FB 2018\SP_C_165-2-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP_C_165,2,1,,1,100,,0,5567
SP_C_165,2,1,,2,100,,1,1135
SP_C_165,2,1,,3,200,,0,1144
SP_C_165,2,1,,4,200,,1,806
SP_C_165,2,1,,5,100,,1,2703
SP_C_165,2,1,,6,100,,1,752
SP_C_165,2,1,,7,200,,1,558
SP_C_165,2,1,,8,200,,1,646
SP_C_165,2,1,,9,200,,0,590
SP_C_165,2,1,,10,200,,1,859
SP_C_165,2,1,,11,200,,1,750
SP_C_165,2,1,,12,100,,1,571
SP_C_165,2,1,,13,200,,1,486
SP_C_165,2,1,,14,100,,1,446
SP_C_165,2,1,,15,100,,1,606
SP_C_165,2,1,,16,200,,1,526
SP_C_165,2,1,,17,200,,1,542
SP_C_165,2,1,,18,100,,1,529
SP_C_165,2,1,,19,100,,1,417
SP_C_165,2,1,,20,100,,1,667
SP_C_165,2,2,,1,80,,1,1209
SP_C_165,2,2,,2,120,,1,649
SP_C_165,2,2,,3,170,,0,5081
SP_C_165,2,2,,4,180,,0,641
SP_C_165,2,2,,5,150,,0,513
SP_C_165,2,2,,6,90,,1,502
SP_C_165,2,2,,7,190,,0,505
SP_C_165,2,2,,8,110,,1,542
SP_C_165,2,2,,9,90,,1,617
SP_C_165,2,2,,10,100,,1,468
SP_C_165,2,2,,11,230,,0,593
SP_C_165,2,2,,12,100,,1,550
SP_C_165,2,2,,13,240,,0,628
SP_C_165,2,2,,14,200,,0,673
SP_C_165,2,2,,15,220,,0,598
SP_C_165,2,2,,16,60,,1,526
SP_C_165,2,2,,17,70,,1,374
SP_C_165,2,2,,18,120,,1,481
SP_C_165,2,2,,19,170,,0,545
SP_C_165,2,2,,20,70,,0,542
SP_C_165,2,2,,21,200,,0,793
SP_C_165,2,2,,22,150,,1,694
SP_C_165,2,2,,23,180,,0,769
SP_C_165,2,2,,24,220,,0,617
SP_C_165,2,2,,25,210,,0,580
