E:\1FB Data\SP-C_1-125-28-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_1-125,28,1,,1,100,,1,6356
SP-C_1-125,28,1,,2,100,,1,1265
SP-C_1-125,28,1,,3,100,,1,1249
SP-C_1-125,28,1,,4,200,,1,2810
SP-C_1-125,28,1,,5,200,,1,829
SP-C_1-125,28,1,,6,100,,1,614
SP-C_1-125,28,1,,7,100,,1,472
SP-C_1-125,28,1,,8,200,,1,607
SP-C_1-125,28,1,,9,200,,1,594
SP-C_1-125,28,1,,10,200,,1,534
SP-C_1-125,28,1,,11,100,,1,563
SP-C_1-125,28,1,,12,200,,1,568
SP-C_1-125,28,1,,13,200,,1,2684
SP-C_1-125,28,1,,14,200,,1,563
SP-C_1-125,28,1,,15,100,,1,496
SP-C_1-125,28,1,,16,100,,1,439
SP-C_1-125,28,1,,17,100,,1,479
SP-C_1-125,28,1,,18,200,,1,512
SP-C_1-125,28,1,,19,100,,1,671
SP-C_1-125,28,1,,20,200,,1,695
SP-C_1-125,28,2,,1,90,,1,1452
SP-C_1-125,28,2,,2,100,,1,1117
SP-C_1-125,28,2,,3,190,,0,1131
SP-C_1-125,28,2,,4,90,,1,1041
SP-C_1-125,28,2,,5,60,,1,1147
SP-C_1-125,28,2,,6,160,,0,952
SP-C_1-125,28,2,,7,110,,1,869
SP-C_1-125,28,2,,8,240,,0,1021
SP-C_1-125,28,2,,9,210,,0,919
SP-C_1-125,28,2,,10,160,,0,1461
SP-C_1-125,28,2,,11,150,,1,1590
SP-C_1-125,28,2,,12,230,,0,841
SP-C_1-125,28,2,,13,60,,1,897
SP-C_1-125,28,2,,14,240,,0,857
SP-C_1-125,28,2,,15,210,,0,706
SP-C_1-125,28,2,,16,100,,1,792
SP-C_1-125,28,2,,17,80,,1,692
SP-C_1-125,28,2,,18,110,,1,787
SP-C_1-125,28,2,,19,180,,0,686
SP-C_1-125,28,2,,20,140,,1,1310
SP-C_1-125,28,2,,21,140,,1,653
SP-C_1-125,28,2,,22,180,,0,805
SP-C_1-125,28,2,,23,230,,0,752
SP-C_1-125,28,2,,24,130,,1,1773
SP-C_1-125,28,2,,25,70,,1,561
SP-C_1-125,28,2,,26,190,,0,653
SP-C_1-125,28,2,,27,120,,1,1661
SP-C_1-125,28,2,,28,120,,1,718
SP-C_1-125,28,2,,29,200,,0,668
SP-C_1-125,28,2,,30,200,,0,644
SP-C_1-125,28,2,,31,170,,0,517
SP-C_1-125,28,2,,32,70,,1,627
SP-C_1-125,28,2,,33,220,,0,1165
SP-C_1-125,28,2,,34,80,,1,970
SP-C_1-125,28,2,,35,170,,0,670
SP-C_1-125,28,2,,36,220,,0,1070
SP-C_1-125,28,2,,37,150,,1,574
SP-C_1-125,28,2,,38,130,,1,722
SP-C_1-125,28,3,154.bmp,,,,,
SP-C_1-125,28,4,,1,158,,0,3480
SP-C_1-125,28,4,,2,232,,0,1619
SP-C_1-125,28,4,,3,193,,0,1663
SP-C_1-125,28,4,,4,50,,1,1435
SP-C_1-125,28,4,,5,230,,0,2305
SP-C_1-125,28,4,,6,49,,1,1473
SP-C_1-125,28,4,,7,297,,0,1844
SP-C_1-125,28,4,,8,45,,1,1076
SP-C_1-125,28,4,,9,274,,0,1315
SP-C_1-125,28,4,,10,62,,1,1053
SP-C_1-125,28,4,,11,67,,1,1096
SP-C_1-125,28,4,,12,216,,0,1139
SP-C_1-125,28,4,,13,294,,1,987
SP-C_1-125,28,4,,14,211,,0,1783
SP-C_1-125,28,4,,15,93,,1,1202
SP-C_1-125,28,4,,16,144,,1,2173
SP-C_1-125,28,4,,17,208,,0,12030
SP-C_1-125,28,4,,18,2,,1,1407
SP-C_1-125,28,4,,19,224,,0,1089
SP-C_1-125,28,4,,20,99,,1,1775
SP-C_1-125,28,4,,21,142,,1,1167
SP-C_1-125,28,4,,22,276,,0,1801
SP-C_1-125,28,4,,23,42,,1,1743
SP-C_1-125,28,4,,24,191,,0,1703
SP-C_1-125,28,4,,25,225,,0,1111
SP-C_1-125,28,4,,26,249,,0,979
SP-C_1-125,28,4,,27,269,,0,832
SP-C_1-125,28,4,,28,170,,0,1141
SP-C_1-125,28,4,,29,235,,0,1970
SP-C_1-125,28,4,,30,23,,1,978
SP-C_1-125,28,4,,31,188,,0,1114
SP-C_1-125,28,4,,32,167,,0,1202
SP-C_1-125,28,4,,33,160,,0,1094
SP-C_1-125,28,4,,34,260,,0,854
SP-C_1-125,28,4,,35,220,,0,812
SP-C_1-125,28,4,,36,262,,0,1103
SP-C_1-125,28,4,,37,166,,0,3027
SP-C_1-125,28,4,,38,61,,1,951
SP-C_1-125,28,4,,39,10,,1,1108
SP-C_1-125,28,4,,40,178,,0,1850
SP-C_1-125,28,4,,41,290,,1,1939
SP-C_1-125,28,4,,42,128,,1,3713
SP-C_1-125,28,4,,43,5,,1,1150
SP-C_1-125,28,4,,44,8,,1,1126
SP-C_1-125,28,4,,45,37,,1,1714
SP-C_1-125,28,4,,46,147,,0,1878
SP-C_1-125,28,4,,47,190,,0,1442
SP-C_1-125,28,4,,48,180,,0,1419
SP-C_1-125,28,4,,49,141,,0,1490
SP-C_1-125,28,4,,50,221,,0,1129
SP-C_1-125,28,4,,51,55,,1,1147
SP-C_1-125,28,4,,52,107,,1,1362
SP-C_1-125,28,4,,53,100,,1,1099
SP-C_1-125,28,4,,54,197,,0,1107
SP-C_1-125,28,4,,55,12,,1,1165
SP-C_1-125,28,4,,56,286,,0,1272
SP-C_1-125,28,4,,57,3,,1,1094
SP-C_1-125,28,4,,58,229,,0,1735
SP-C_1-125,28,4,,59,80,,1,1430
SP-C_1-125,28,4,,60,70,,1,1177
SP-C_1-125,28,4,,61,261,,0,1031
SP-C_1-125,28,4,,62,115,,1,998
SP-C_1-125,28,4,,63,21,,1,844
SP-C_1-125,28,4,,64,17,,1,981
SP-C_1-125,28,4,,65,284,,0,1200
SP-C_1-125,28,4,,66,77,,1,846
SP-C_1-125,28,4,,67,200,,0,965
SP-C_1-125,28,4,,68,169,,0,1166
SP-C_1-125,28,4,,69,156,,0,1021
SP-C_1-125,28,4,,70,258,,0,1513
SP-C_1-125,28,4,,71,233,,0,1388
SP-C_1-125,28,4,,72,6,,1,1430
SP-C_1-125,28,4,,73,145,,0,2747
SP-C_1-125,28,4,,74,214,,0,1577
SP-C_1-125,28,4,,75,280,,0,1290
SP-C_1-125,28,4,,76,237,,0,1537
SP-C_1-125,28,4,,77,256,,0,968
SP-C_1-125,28,4,,78,150,,0,1318
SP-C_1-125,28,4,,79,102,,1,1027
SP-C_1-125,28,4,,80,119,,1,1218
SP-C_1-125,28,4,,81,138,,1,984
SP-C_1-125,28,4,,82,27,,1,897
SP-C_1-125,28,4,,83,64,,1,1015
SP-C_1-125,28,4,,84,26,,1,995
SP-C_1-125,28,4,,85,95,,1,1724
SP-C_1-125,28,4,,86,44,,1,940
SP-C_1-125,28,4,,87,71,,1,1575
SP-C_1-125,28,4,,88,299,,0,1122
SP-C_1-125,28,4,,89,251,,0,2139
SP-C_1-125,28,4,,90,267,,0,1652
SP-C_1-125,28,4,,91,163,,0,1686
SP-C_1-125,28,4,,92,25,,1,2501
SP-C_1-125,28,4,,93,279,,0,1389
SP-C_1-125,28,4,,94,177,,0,1057
SP-C_1-125,28,4,,95,292,,0,959
SP-C_1-125,28,4,,96,7,,1,1282
SP-C_1-125,28,4,,97,183,,0,857
SP-C_1-125,28,4,,98,0,,1,998
SP-C_1-125,28,4,,99,101,,1,4074
SP-C_1-125,28,4,,100,285,,0,1697
SP-C_1-125,28,4,,101,68,,1,1327
SP-C_1-125,28,4,,102,106,,1,1062
SP-C_1-125,28,4,,103,114,,1,6061
SP-C_1-125,28,4,,104,272,,0,1200
SP-C_1-125,28,4,,105,29,,1,1011
SP-C_1-125,28,4,,106,153,,0,1398
SP-C_1-125,28,4,,107,289,,0,1103
SP-C_1-125,28,4,,108,234,,0,12783
SP-C_1-125,28,4,,109,207,,0,2053
SP-C_1-125,28,4,,110,89,,1,2882
SP-C_1-125,28,4,,111,196,,0,1853
SP-C_1-125,28,4,,112,22,,1,1200
SP-C_1-125,28,4,,113,123,,1,1189
SP-C_1-125,28,4,,114,36,,1,1185
SP-C_1-125,28,4,,115,275,,0,1467
SP-C_1-125,28,4,,116,57,,1,1623
SP-C_1-125,28,4,,117,195,,0,9004
SP-C_1-125,28,4,,118,132,,1,1363
SP-C_1-125,28,4,,119,243,,0,1254
SP-C_1-125,28,4,,120,283,,0,1060
SP-C_1-125,28,4,,121,199,,0,1001
SP-C_1-125,28,4,,122,112,,1,1350
SP-C_1-125,28,4,,123,91,,1,856
SP-C_1-125,28,4,,124,83,,1,933
SP-C_1-125,28,4,,125,88,,1,2536
SP-C_1-125,28,4,,126,103,,1,1045
SP-C_1-125,28,4,,127,41,,1,1212
SP-C_1-125,28,4,,128,186,,1,1274
SP-C_1-125,28,4,,129,135,,1,1013
SP-C_1-125,28,4,,130,296,,0,1038
SP-C_1-125,28,4,,131,108,,1,1656
SP-C_1-125,28,4,,132,137,,1,2861
SP-C_1-125,28,4,,133,226,,0,855
SP-C_1-125,28,4,,134,240,,0,1473
SP-C_1-125,28,4,,135,281,,0,1188
SP-C_1-125,28,4,,136,75,,1,701
SP-C_1-125,28,4,,137,175,,0,3040
SP-C_1-125,28,4,,138,238,,0,848
SP-C_1-125,28,4,,139,20,,1,791
SP-C_1-125,28,4,,140,288,,0,699
SP-C_1-125,28,4,,141,154,,0,1148
SP-C_1-125,28,4,,142,74,,1,731
SP-C_1-125,28,4,,143,161,,0,2545
SP-C_1-125,28,4,,144,4,,1,926
SP-C_1-125,28,4,,145,65,,1,887
SP-C_1-125,28,4,,146,268,,0,1441
SP-C_1-125,28,4,,147,118,,1,1244
SP-C_1-125,28,4,,148,96,,1,874
SP-C_1-125,28,4,,149,1,,1,954
SP-C_1-125,28,4,,150,117,,1,2449
SP-C_1-125,28,4,,151,148,,0,2564
SP-C_1-125,28,4,,152,253,,0,6072
SP-C_1-125,28,4,,153,126,,1,1322
SP-C_1-125,28,4,,154,34,,1,767
SP-C_1-125,28,4,,155,52,,1,1812
SP-C_1-125,28,4,,156,277,,0,861
SP-C_1-125,28,4,,157,206,,0,995
SP-C_1-125,28,4,,158,134,,0,1284
SP-C_1-125,28,4,,159,271,,0,856
SP-C_1-125,28,4,,160,263,,0,998
SP-C_1-125,28,4,,161,130,,0,1909
SP-C_1-125,28,4,,162,136,,0,17314
SP-C_1-125,28,4,,163,78,,1,774
SP-C_1-125,28,4,,164,116,,1,1948
SP-C_1-125,28,4,,165,278,,0,1455
SP-C_1-125,28,4,,166,39,,1,1064
SP-C_1-125,28,4,,167,212,,0,1405
SP-C_1-125,28,4,,168,192,,0,5026
SP-C_1-125,28,4,,169,56,,1,1489
SP-C_1-125,28,4,,170,81,,1,848
SP-C_1-125,28,4,,171,255,,0,813
SP-C_1-125,28,4,,172,94,,1,905
SP-C_1-125,28,4,,173,63,,1,1120
SP-C_1-125,28,4,,174,151,,0,1518
SP-C_1-125,28,4,,175,143,,1,863
SP-C_1-125,28,4,,176,133,,0,1849
SP-C_1-125,28,4,,177,217,,0,3757
SP-C_1-125,28,4,,178,86,,1,1506
SP-C_1-125,28,4,,179,85,,1,930
SP-C_1-125,28,4,,180,30,,1,943
SP-C_1-125,28,4,,181,242,,0,1056
SP-C_1-125,28,4,,182,31,,1,899
SP-C_1-125,28,4,,183,179,,0,1012
SP-C_1-125,28,4,,184,32,,1,1466
SP-C_1-125,28,4,,185,152,,0,3073
SP-C_1-125,28,4,,186,98,,1,7563
SP-C_1-125,28,4,,187,120,,1,849
SP-C_1-125,28,4,,188,79,,1,747
SP-C_1-125,28,4,,189,185,,0,1561
SP-C_1-125,28,4,,190,219,,0,915
SP-C_1-125,28,4,,191,228,,0,907
SP-C_1-125,28,4,,192,38,,1,1035
SP-C_1-125,28,4,,193,213,,0,994
SP-C_1-125,28,4,,194,194,,0,884
SP-C_1-125,28,4,,195,209,,0,958
SP-C_1-125,28,4,,196,111,,1,1099
SP-C_1-125,28,4,,197,182,,0,1214
SP-C_1-125,28,4,,198,171,,0,1055
SP-C_1-125,28,4,,199,223,,0,1125
SP-C_1-125,28,4,,200,15,,1,1271
SP-C_1-125,28,4,,201,257,,0,1030
SP-C_1-125,28,4,,202,293,,0,1295
SP-C_1-125,28,4,,203,215,,0,1225
SP-C_1-125,28,4,,204,172,,0,1985
SP-C_1-125,28,4,,205,203,,0,3558
SP-C_1-125,28,4,,206,121,,1,855
SP-C_1-125,28,4,,207,259,,0,928
SP-C_1-125,28,4,,208,231,,0,898
SP-C_1-125,28,4,,209,60,,1,909
SP-C_1-125,28,4,,210,54,,1,883
SP-C_1-125,28,4,,211,129,,1,3668
