C:\Users\RogersLab\Desktop\New folder\SP-C_1-175-11-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_1-175,11,1,,1,100,,1,7335
SP-C_1-175,11,1,,2,100,,1,1772
SP-C_1-175,11,1,,3,200,,0,1970
SP-C_1-175,11,1,,4,200,,1,3045
SP-C_1-175,11,1,,5,200,,1,1359
SP-C_1-175,11,1,,6,100,,1,814
SP-C_1-175,11,1,,7,200,,1,536
SP-C_1-175,11,1,,8,100,,1,853
SP-C_1-175,11,1,,9,100,,1,701
SP-C_1-175,11,1,,10,200,,1,436
SP-C_1-175,11,1,,11,100,,1,686
SP-C_1-175,11,1,,12,200,,1,468
SP-C_1-175,11,1,,13,200,,1,854
SP-C_1-175,11,1,,14,200,,1,479
SP-C_1-175,11,1,,15,100,,1,479
SP-C_1-175,11,1,,16,100,,1,471
SP-C_1-175,11,1,,17,100,,1,415
SP-C_1-175,11,1,,18,200,,1,513
SP-C_1-175,11,1,,19,100,,1,791
SP-C_1-175,11,1,,20,200,,1,443
SP-C_1-175,11,2,,1,90,,1,869
SP-C_1-175,11,2,,2,180,,0,1126
SP-C_1-175,11,2,,3,140,,1,1060
SP-C_1-175,11,2,,4,130,,1,668
SP-C_1-175,11,2,,5,160,,1,1524
SP-C_1-175,11,2,,6,90,,1,1234
SP-C_1-175,11,2,,7,100,,1,1411
SP-C_1-175,11,2,,8,140,,1,1311
SP-C_1-175,11,2,,9,170,,0,685
SP-C_1-175,11,2,,10,230,,0,637
SP-C_1-175,11,2,,11,110,,1,1960
SP-C_1-175,11,2,,12,60,,1,1148
SP-C_1-175,11,2,,13,200,,0,539
SP-C_1-175,11,2,,14,190,,0,472
SP-C_1-175,11,2,,15,70,,1,568
SP-C_1-175,11,2,,16,60,,1,468
SP-C_1-175,11,2,,17,120,,1,1235
SP-C_1-175,11,2,,18,80,,1,501
SP-C_1-175,11,2,,19,70,,1,379
SP-C_1-175,11,2,,20,230,,0,408
SP-C_1-175,11,2,,21,210,,0,402
SP-C_1-175,11,2,,22,130,,1,3556
SP-C_1-175,11,2,,23,240,,0,538
SP-C_1-175,11,2,,24,220,,0,376
SP-C_1-175,11,2,,25,150,,1,764
SP-C_1-175,11,2,,26,210,,0,577
SP-C_1-175,11,2,,27,150,,1,517
SP-C_1-175,11,2,,28,120,,1,635
SP-C_1-175,11,2,,29,80,,1,339
SP-C_1-175,11,2,,30,160,,1,1281
SP-C_1-175,11,2,,31,110,,1,531
SP-C_1-175,11,2,,32,100,,1,657
SP-C_1-175,11,2,,33,220,,0,449
SP-C_1-175,11,2,,34,180,,1,1090
SP-C_1-175,11,2,,35,200,,0,569
SP-C_1-175,11,2,,36,240,,0,453
SP-C_1-175,11,2,,37,190,,0,421
SP-C_1-175,11,2,,38,170,,0,425
SP-C_1-175,11,3,94.bmp,,,,,
SP-C_1-175,11,4,,1,45,,1,3099
SP-C_1-175,11,4,,2,94,,1,1347
