Z:\Behavioral Studies\CrazyBeliefs\RawData\1FB\SP-C_1-175-21-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_1-175,21,1,,1,100,,1,6569
SP-C_1-175,21,1,,2,100,,1,2342
SP-C_1-175,21,1,,3,200,,1,995
SP-C_1-175,21,1,,4,200,,1,1015
SP-C_1-175,21,1,,5,100,,1,777
SP-C_1-175,21,1,,6,100,,1,757
SP-C_1-175,21,1,,7,100,,1,657
SP-C_1-175,21,1,,8,200,,1,921
SP-C_1-175,21,1,,9,100,,1,623
SP-C_1-175,21,1,,10,200,,1,921
SP-C_1-175,21,1,,11,200,,1,935
SP-C_1-175,21,1,,12,200,,1,684
SP-C_1-175,21,1,,13,200,,1,980
SP-C_1-175,21,1,,14,100,,1,544
SP-C_1-175,21,1,,15,200,,1,605
SP-C_1-175,21,1,,16,200,,1,735
SP-C_1-175,21,1,,17,100,,1,564
SP-C_1-175,21,1,,18,100,,1,568
SP-C_1-175,21,1,,19,200,,1,548
SP-C_1-175,21,1,,20,100,,1,560
SP-C_1-175,21,2,,1,190,,0,1478
SP-C_1-175,21,2,,2,240,,0,982
SP-C_1-175,21,2,,3,140,,1,610
SP-C_1-175,21,2,,4,210,,0,869
SP-C_1-175,21,2,,5,130,,1,685
SP-C_1-175,21,2,,6,60,,1,932
SP-C_1-175,21,2,,7,180,,0,1402
SP-C_1-175,21,2,,8,170,,0,685
SP-C_1-175,21,2,,9,230,,0,780
SP-C_1-175,21,2,,10,130,,0,1696
SP-C_1-175,21,2,,11,60,,1,647
SP-C_1-175,21,2,,12,170,,0,594
SP-C_1-175,21,2,,13,110,,1,1461
SP-C_1-175,21,2,,14,80,,1,630
SP-C_1-175,21,2,,15,120,,1,1072
SP-C_1-175,21,2,,16,180,,0,536
SP-C_1-175,21,2,,17,190,,0,540
SP-C_1-175,21,2,,18,90,,1,617
SP-C_1-175,21,2,,19,200,,0,629
SP-C_1-175,21,2,,20,220,,0,679
SP-C_1-175,21,2,,21,70,,1,639
SP-C_1-175,21,2,,22,90,,1,552
SP-C_1-175,21,2,,23,150,,0,565
SP-C_1-175,21,2,,24,230,,0,753
SP-C_1-175,21,2,,25,210,,0,582
SP-C_1-175,21,2,,26,200,,0,554
SP-C_1-175,21,2,,27,150,,0,486
SP-C_1-175,21,2,,28,80,,1,639
SP-C_1-175,21,2,,29,110,,1,488
SP-C_1-175,21,2,,30,160,,0,888
SP-C_1-175,21,2,,31,100,,1,647
SP-C_1-175,21,2,,32,220,,0,576
SP-C_1-175,21,2,,33,160,,0,836
SP-C_1-175,21,2,,34,120,,1,662
SP-C_1-175,21,2,,35,240,,0,598
SP-C_1-175,21,2,,36,70,,1,674
SP-C_1-175,21,2,,37,140,,1,2296
SP-C_1-175,21,2,,38,100,,1,649
SP-C_1-175,21,3,200.bmp,,,,,
SP-C_1-175,21,4,,1,183,,0,2221
SP-C_1-175,21,4,,2,137,,1,2139
SP-C_1-175,21,4,,3,128,,1,2665
SP-C_1-175,21,4,,4,93,,1,820
SP-C_1-175,21,4,,5,90,,1,1480
SP-C_1-175,21,4,,6,16,,1,818
SP-C_1-175,21,4,,7,35,,1,1151
SP-C_1-175,21,4,,8,203,,0,788
SP-C_1-175,21,4,,9,11,,1,711
SP-C_1-175,21,4,,10,242,,0,905
SP-C_1-175,21,4,,11,228,,0,763
SP-C_1-175,21,4,,12,129,,0,1559
SP-C_1-175,21,4,,13,229,,0,1221
SP-C_1-175,21,4,,14,86,,1,833
SP-C_1-175,21,4,,15,257,,0,898
SP-C_1-175,21,4,,16,167,,0,1449
SP-C_1-175,21,4,,17,103,,1,733
SP-C_1-175,21,4,,18,225,,0,703
SP-C_1-175,21,4,,19,15,,1,562
SP-C_1-175,21,4,,20,181,,0,1537
SP-C_1-175,21,4,,21,195,,0,711
SP-C_1-175,21,4,,22,85,,1,761
SP-C_1-175,21,4,,23,10,,1,806
SP-C_1-175,21,4,,24,123,,1,1364
SP-C_1-175,21,4,,25,197,,0,720
SP-C_1-175,21,4,,26,64,,1,796
SP-C_1-175,21,4,,27,135,,0,1111
SP-C_1-175,21,4,,28,87,,1,722
SP-C_1-175,21,4,,29,7,,1,785
SP-C_1-175,21,4,,30,115,,1,1163
SP-C_1-175,21,4,,31,120,,1,1034
SP-C_1-175,21,4,,32,255,,0,714
SP-C_1-175,21,4,,33,61,,1,645
SP-C_1-175,21,4,,34,30,,1,572
SP-C_1-175,21,4,,35,175,,0,1870
SP-C_1-175,21,4,,36,288,,0,1090
SP-C_1-175,21,4,,37,23,,1,617
SP-C_1-175,21,4,,38,284,,0,719
SP-C_1-175,21,4,,39,13,,1,721
SP-C_1-175,21,4,,40,249,,0,641
SP-C_1-175,21,4,,41,236,,0,732
SP-C_1-175,21,4,,42,185,,1,1321
SP-C_1-175,21,4,,43,171,,0,1322
SP-C_1-175,21,4,,44,192,,0,1231
SP-C_1-175,21,4,,45,84,,1,1329
SP-C_1-175,21,4,,46,164,,1,947
SP-C_1-175,21,4,,47,289,,0,536
SP-C_1-175,21,4,,48,271,,0,727
SP-C_1-175,21,4,,49,182,,1,1183
SP-C_1-175,21,4,,50,208,,0,699
SP-C_1-175,21,4,,51,5,,1,578
SP-C_1-175,21,4,,52,179,,1,1439
SP-C_1-175,21,4,,53,20,,1,1248
SP-C_1-175,21,4,,54,261,,0,712
SP-C_1-175,21,4,,55,272,,0,650
SP-C_1-175,21,4,,56,55,,1,614
SP-C_1-175,21,4,,57,134,,1,845
SP-C_1-175,21,4,,58,216,,0,590
SP-C_1-175,21,4,,59,220,,0,581
SP-C_1-175,21,4,,60,295,,0,705
SP-C_1-175,21,4,,61,102,,1,617
SP-C_1-175,21,4,,62,169,,1,1907
SP-C_1-175,21,4,,63,165,,1,928
SP-C_1-175,21,4,,64,114,,0,794
SP-C_1-175,21,4,,65,156,,0,952
SP-C_1-175,21,4,,66,81,,1,917
SP-C_1-175,21,4,,67,98,,1,766
SP-C_1-175,21,4,,68,252,,0,504
SP-C_1-175,21,4,,69,253,,0,457
SP-C_1-175,21,4,,70,66,,1,695
SP-C_1-175,21,4,,71,145,,1,1045
SP-C_1-175,21,4,,72,94,,1,536
SP-C_1-175,21,4,,73,286,,0,960
SP-C_1-175,21,4,,74,237,,0,725
SP-C_1-175,21,4,,75,222,,0,629
SP-C_1-175,21,4,,76,157,,1,918
SP-C_1-175,21,4,,77,49,,1,681
SP-C_1-175,21,4,,78,91,,1,1378
SP-C_1-175,21,4,,79,188,,0,583
SP-C_1-175,21,4,,80,73,,1,672
SP-C_1-175,21,4,,81,194,,0,1267
SP-C_1-175,21,4,,82,21,,1,579
SP-C_1-175,21,4,,83,26,,1,539
SP-C_1-175,21,4,,84,240,,0,648
SP-C_1-175,21,4,,85,34,,1,582
SP-C_1-175,21,4,,86,60,,1,548
SP-C_1-175,21,4,,87,268,,0,650
SP-C_1-175,21,4,,88,95,,1,1170
SP-C_1-175,21,4,,89,154,,0,1716
SP-C_1-175,21,4,,90,71,,1,938
SP-C_1-175,21,4,,91,72,,1,467
SP-C_1-175,21,4,,92,290,,0,542
SP-C_1-175,21,4,,93,251,,0,522
