C:\Users\RogersLab\Desktop\New folder\SP-R_1-125-13-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_1-125,13,1,,1,100,,1,9179
SP-R_1-125,13,1,,2,100,,1,3494
SP-R_1-125,13,1,,3,200,,0,7374
SP-R_1-125,13,1,,4,100,,1,15960
SP-R_1-125,13,1,,5,200,,1,2935
SP-R_1-125,13,1,,6,200,,1,1469
SP-R_1-125,13,1,,7,200,,1,884
SP-R_1-125,13,1,,8,200,,1,691
SP-R_1-125,13,1,,9,100,,1,4971
SP-R_1-125,13,1,,10,200,,1,702
SP-R_1-125,13,1,,11,200,,1,702
SP-R_1-125,13,1,,12,100,,1,916
SP-R_1-125,13,1,,13,200,,1,716
SP-R_1-125,13,1,,14,200,,1,656
SP-R_1-125,13,1,,15,100,,1,898
SP-R_1-125,13,1,,16,200,,1,585
SP-R_1-125,13,1,,17,100,,1,580
SP-R_1-125,13,1,,18,100,,1,2665
SP-R_1-125,13,1,,19,100,,1,921
SP-R_1-125,13,1,,20,100,,1,671
SP-R_1-125,13,2,,1,120,,0,2116
SP-R_1-125,13,2,,2,140,,0,4987
SP-R_1-125,13,2,,3,70,,0,1126
SP-R_1-125,13,2,,4,160,,0,12622
SP-R_1-125,13,2,,5,80,,0,1472
SP-R_1-125,13,2,,6,190,,1,736
SP-R_1-125,13,2,,7,110,,0,734
SP-R_1-125,13,2,,8,210,,1,571
SP-R_1-125,13,2,,9,150,,0,631
SP-R_1-125,13,2,,10,100,,0,1888
SP-R_1-125,13,2,,11,60,,1,5296
SP-R_1-125,13,2,,12,230,,1,1383
SP-R_1-125,13,2,,13,150,,0,1475
SP-R_1-125,13,2,,14,140,,0,595
SP-R_1-125,13,2,,15,80,,0,1069
SP-R_1-125,13,2,,16,120,,0,1079
SP-R_1-125,13,2,,17,210,,1,590
SP-R_1-125,13,2,,18,230,,1,634
SP-R_1-125,13,2,,19,220,,1,556
SP-R_1-125,13,2,,20,130,,0,602
SP-R_1-125,13,2,,21,70,,0,835
SP-R_1-125,13,2,,22,200,,1,501
SP-R_1-125,13,2,,23,160,,1,645
SP-R_1-125,13,2,,24,190,,1,703
SP-R_1-125,13,2,,25,240,,1,910
SP-R_1-125,13,2,,26,90,,0,612
SP-R_1-125,13,2,,27,100,,0,558
SP-R_1-125,13,2,,28,200,,1,628
SP-R_1-125,13,2,,29,170,,0,2750
SP-R_1-125,13,2,,30,110,,0,754
SP-R_1-125,13,2,,31,60,,0,1121
SP-R_1-125,13,2,,32,180,,1,671
SP-R_1-125,13,2,,33,180,,1,871
SP-R_1-125,13,2,,34,240,,1,687
SP-R_1-125,13,2,,35,220,,1,493
SP-R_1-125,13,2,,36,130,,0,1157
SP-R_1-125,13,2,,37,90,,0,602
SP-R_1-125,13,2,,38,170,,1,1181
SP-R_1-125,13,3,150.bmp,,,,,
SP-R_1-125,13,4,,1,92,,0,3849
SP-R_1-125,13,4,,2,254,,1,1019
SP-R_1-125,13,4,,3,263,,1,1002
SP-R_1-125,13,4,,4,182,,1,2549
SP-R_1-125,13,4,,5,193,,1,919
SP-R_1-125,13,4,,6,183,,1,754
SP-R_1-125,13,4,,7,171,,0,7614
SP-R_1-125,13,4,,8,274,,1,839
SP-R_1-125,13,4,,9,125,,0,671
SP-R_1-125,13,4,,10,203,,1,667
SP-R_1-125,13,4,,11,105,,0,797
SP-R_1-125,13,4,,12,8,,0,2611
SP-R_1-125,13,4,,13,151,,1,3860
SP-R_1-125,13,4,,14,248,,1,872
SP-R_1-125,13,4,,15,22,,0,885
SP-R_1-125,13,4,,16,224,,1,634
SP-R_1-125,13,4,,17,300,,1,678
SP-R_1-125,13,4,,18,51,,0,631
SP-R_1-125,13,4,,19,177,,1,1410
SP-R_1-125,13,4,,20,197,,1,789
SP-R_1-125,13,4,,21,173,,1,676
SP-R_1-125,13,4,,22,40,,0,806
SP-R_1-125,13,4,,23,220,,1,603
SP-R_1-125,13,4,,24,132,,0,668
SP-R_1-125,13,4,,25,90,,0,854
SP-R_1-125,13,4,,26,52,,0,726
SP-R_1-125,13,4,,27,28,,0,851
SP-R_1-125,13,4,,28,153,,0,683
SP-R_1-125,13,4,,29,234,,1,675
SP-R_1-125,13,4,,30,207,,1,627
SP-R_1-125,13,4,,31,208,,1,493
SP-R_1-125,13,4,,32,62,,0,653
SP-R_1-125,13,4,,33,120,,0,1108
SP-R_1-125,13,4,,34,119,,0,705
SP-R_1-125,13,4,,35,108,,0,1589
SP-R_1-125,13,4,,36,299,,1,681
SP-R_1-125,13,4,,37,237,,1,3181
SP-R_1-125,13,4,,38,35,,0,620
SP-R_1-125,13,4,,39,10,,0,600
SP-R_1-125,13,4,,40,143,,0,2095
SP-R_1-125,13,4,,41,249,,1,558
SP-R_1-125,13,4,,42,244,,1,596
SP-R_1-125,13,4,,43,283,,1,625
SP-R_1-125,13,4,,44,268,,1,3889
SP-R_1-125,13,4,,45,41,,0,548
SP-R_1-125,13,4,,46,236,,1,606
SP-R_1-125,13,4,,47,30,,0,571
SP-R_1-125,13,4,,48,14,,0,1010
SP-R_1-125,13,4,,49,216,,0,548
SP-R_1-125,13,4,,50,15,,0,595
SP-R_1-125,13,4,,51,296,,1,851
SP-R_1-125,13,4,,52,250,,1,671
SP-R_1-125,13,4,,53,46,,0,627
SP-R_1-125,13,4,,54,121,,0,505
SP-R_1-125,13,4,,55,206,,1,769
SP-R_1-125,13,4,,56,258,,1,1540
SP-R_1-125,13,4,,57,176,,0,1330
SP-R_1-125,13,4,,58,126,,0,734
SP-R_1-125,13,4,,59,86,,0,866
SP-R_1-125,13,4,,60,278,,1,570
SP-R_1-125,13,4,,61,33,,0,678
SP-R_1-125,13,4,,62,137,,0,1097
SP-R_1-125,13,4,,63,252,,1,725
SP-R_1-125,13,4,,64,9,,0,661
SP-R_1-125,13,4,,65,190,,1,779
SP-R_1-125,13,4,,66,13,,0,663
SP-R_1-125,13,4,,67,163,,1,2178
SP-R_1-125,13,4,,68,6,,0,666
SP-R_1-125,13,4,,69,292,,1,1018
SP-R_1-125,13,4,,70,136,,1,1137
SP-R_1-125,13,4,,71,77,,0,661
SP-R_1-125,13,4,,72,94,,0,697
SP-R_1-125,13,4,,73,181,,1,695
SP-R_1-125,13,4,,74,64,,0,717
SP-R_1-125,13,4,,75,211,,1,556
SP-R_1-125,13,4,,76,24,,0,688
SP-R_1-125,13,4,,77,17,,0,1458
SP-R_1-125,13,4,,78,99,,0,808
SP-R_1-125,13,4,,79,191,,1,619
SP-R_1-125,13,4,,80,138,,0,641
SP-R_1-125,13,4,,81,241,,1,633
SP-R_1-125,13,4,,82,297,,1,504
SP-R_1-125,13,4,,83,55,,0,559
SP-R_1-125,13,4,,84,109,,0,695
SP-R_1-125,13,4,,85,25,,0,614
SP-R_1-125,13,4,,86,279,,1,568
SP-R_1-125,13,4,,87,251,,1,497
SP-R_1-125,13,4,,88,19,,0,691
SP-R_1-125,13,4,,89,129,,1,989
SP-R_1-125,13,4,,90,230,,1,757
SP-R_1-125,13,4,,91,34,,0,668
SP-R_1-125,13,4,,92,294,,1,711
SP-R_1-125,13,4,,93,110,,0,651
SP-R_1-125,13,4,,94,212,,1,969
SP-R_1-125,13,4,,95,189,,1,3311
SP-R_1-125,13,4,,96,298,,1,838
SP-R_1-125,13,4,,97,122,,0,665
SP-R_1-125,13,4,,98,106,,0,578
SP-R_1-125,13,4,,99,289,,0,782
SP-R_1-125,13,4,,100,71,,0,661
SP-R_1-125,13,4,,101,89,,0,2731
SP-R_1-125,13,4,,102,147,,0,731
SP-R_1-125,13,4,,103,202,,1,659
SP-R_1-125,13,4,,104,265,,1,639
SP-R_1-125,13,4,,105,159,,1,561
SP-R_1-125,13,4,,106,29,,0,810
SP-R_1-125,13,4,,107,154,,1,1110
SP-R_1-125,13,4,,108,146,,1,734
SP-R_1-125,13,4,,109,179,,1,1618
SP-R_1-125,13,4,,110,266,,1,755
SP-R_1-125,13,4,,111,12,,0,742
SP-R_1-125,13,4,,112,198,,1,1177
SP-R_1-125,13,4,,113,232,,1,1033
SP-R_1-125,13,4,,114,133,,1,1368
SP-R_1-125,13,4,,115,73,,0,1654
SP-R_1-125,13,4,,116,229,,1,740
SP-R_1-125,13,4,,117,78,,1,1785
SP-R_1-125,13,4,,118,58,,0,2340
SP-R_1-125,13,4,,119,242,,1,689
SP-R_1-125,13,4,,120,213,,1,562
SP-R_1-125,13,4,,121,39,,1,4748
SP-R_1-125,13,4,,122,240,,1,684
SP-R_1-125,13,4,,123,145,,0,987
SP-R_1-125,13,4,,124,96,,1,2287
SP-R_1-125,13,4,,125,210,,1,802
SP-R_1-125,13,4,,126,31,,0,1869
SP-R_1-125,13,4,,127,149,,1,954
SP-R_1-125,13,4,,128,166,,1,721
SP-R_1-125,13,4,,129,195,,1,1466
SP-R_1-125,13,4,,130,130,,1,1100
SP-R_1-125,13,4,,131,113,,1,750
SP-R_1-125,13,4,,132,200,,1,782
SP-R_1-125,13,4,,133,100,,1,665
SP-R_1-125,13,4,,134,60,,1,854
SP-R_1-125,13,4,,135,215,,1,682
SP-R_1-125,13,4,,136,68,,1,309
SP-R_1-125,13,4,,137,272,,1,670
SP-R_1-125,13,4,,138,201,,1,649
SP-R_1-125,13,4,,139,199,,1,827
SP-R_1-125,13,4,,140,98,,0,1823
SP-R_1-125,13,4,,141,4,,0,1051
SP-R_1-125,13,4,,142,18,,0,687
SP-R_1-125,13,4,,143,221,,1,566
SP-R_1-125,13,4,,144,157,,1,1529
SP-R_1-125,13,4,,145,37,,1,665
SP-R_1-125,13,4,,146,16,,0,681
SP-R_1-125,13,4,,147,284,,1,715
SP-R_1-125,13,4,,148,50,,0,1276
SP-R_1-125,13,4,,149,160,,1,1781
SP-R_1-125,13,4,,150,135,,1,1011
SP-R_1-125,13,4,,151,79,,1,1212
SP-R_1-125,13,4,,152,102,,1,1259
SP-R_1-125,13,4,,153,222,,1,993
SP-R_1-125,13,4,,154,65,,1,2318
SP-R_1-125,13,4,,155,45,,0,1675
SP-R_1-125,13,4,,156,247,,1,1152
SP-R_1-125,13,4,,157,282,,1,993
SP-R_1-125,13,4,,158,20,,0,1090
SP-R_1-125,13,4,,159,26,,0,873
SP-R_1-125,13,4,,160,165,,1,1128
SP-R_1-125,13,4,,161,66,,0,1115
SP-R_1-125,13,4,,162,295,,1,976
SP-R_1-125,13,4,,163,280,,1,1047
SP-R_1-125,13,4,,164,144,,0,800
SP-R_1-125,13,4,,165,118,,1,700
SP-R_1-125,13,4,,166,61,,0,721
SP-R_1-125,13,4,,167,72,,0,932
SP-R_1-125,13,4,,168,23,,0,908
