Z:\Behavioral Studies\CrazyBeliefs\RawData\1FB\SP-R_1-125-23-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_1-125,23,1,,1,200,,1,5678
SP-R_1-125,23,1,,2,200,,0,2078
SP-R_1-125,23,1,,3,200,,1,2446
SP-R_1-125,23,1,,4,200,,1,1751
SP-R_1-125,23,1,,5,200,,1,1291
SP-R_1-125,23,1,,6,100,,1,1179
SP-R_1-125,23,1,,7,100,,1,1063
SP-R_1-125,23,1,,8,200,,1,1007
SP-R_1-125,23,1,,9,100,,1,1194
SP-R_1-125,23,1,,10,100,,1,1094
SP-R_1-125,23,1,,11,100,,1,789
SP-R_1-125,23,1,,12,100,,1,1240
SP-R_1-125,23,1,,13,100,,1,769
SP-R_1-125,23,1,,14,200,,1,716
SP-R_1-125,23,1,,15,100,,1,2050
SP-R_1-125,23,1,,16,100,,1,2539
SP-R_1-125,23,1,,17,200,,1,937
SP-R_1-125,23,1,,18,200,,1,1117
SP-R_1-125,23,1,,19,200,,1,1117
SP-R_1-125,23,1,,20,100,,1,707
SP-R_1-125,23,2,,1,240,,1,1514
SP-R_1-125,23,2,,2,160,,0,2073
SP-R_1-125,23,2,,3,60,,0,1073
SP-R_1-125,23,2,,4,230,,1,729
SP-R_1-125,23,2,,5,240,,1,663
SP-R_1-125,23,2,,6,110,,0,984
SP-R_1-125,23,2,,7,160,,0,843
SP-R_1-125,23,2,,8,170,,0,604
SP-R_1-125,23,2,,9,220,,1,535
SP-R_1-125,23,2,,10,80,,0,660
SP-R_1-125,23,2,,11,70,,0,621
SP-R_1-125,23,2,,12,200,,1,1527
SP-R_1-125,23,2,,13,180,,1,509
SP-R_1-125,23,2,,14,190,,1,532
SP-R_1-125,23,2,,15,180,,1,1570
SP-R_1-125,23,2,,16,70,,0,781
SP-R_1-125,23,2,,17,120,,0,411
SP-R_1-125,23,2,,18,90,,0,509
SP-R_1-125,23,2,,19,130,,0,643
SP-R_1-125,23,2,,20,210,,1,509
SP-R_1-125,23,2,,21,190,,1,460
SP-R_1-125,23,2,,22,140,,0,532
SP-R_1-125,23,2,,23,140,,0,618
SP-R_1-125,23,2,,24,210,,1,612
SP-R_1-125,23,2,,25,110,,0,494
SP-R_1-125,23,2,,26,80,,0,501
SP-R_1-125,23,2,,27,90,,0,365
SP-R_1-125,23,2,,28,200,,1,578
SP-R_1-125,23,2,,29,220,,1,541
SP-R_1-125,23,2,,30,60,,0,444
SP-R_1-125,23,2,,31,170,,0,973
SP-R_1-125,23,2,,32,130,,0,425
SP-R_1-125,23,2,,33,100,,0,331
SP-R_1-125,23,2,,34,120,,0,361
SP-R_1-125,23,2,,35,150,,0,790
SP-R_1-125,23,2,,36,230,,1,489
SP-R_1-125,23,2,,37,100,,0,409
SP-R_1-125,23,2,,38,150,,0,579
SP-R_1-125,23,3,95.bmp,,,,,
SP-R_1-125,23,4,,1,144,,0,2407
SP-R_1-125,23,4,,2,242,,1,3096
