E:\1FB Data\SP-R_1-125-32-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_1-125,32,1,,1,200,,1,5156
SP-R_1-125,32,1,,2,100,,0,2849
SP-R_1-125,32,1,,3,100,,1,1746
SP-R_1-125,32,1,,4,100,,1,1231
SP-R_1-125,32,1,,5,100,,1,969
SP-R_1-125,32,1,,6,100,,1,533
SP-R_1-125,32,1,,7,200,,1,761
SP-R_1-125,32,1,,8,200,,1,478
SP-R_1-125,32,1,,9,200,,1,533
SP-R_1-125,32,1,,10,200,,1,500
SP-R_1-125,32,1,,11,200,,1,411
SP-R_1-125,32,1,,12,100,,1,1005
SP-R_1-125,32,1,,13,100,,1,392
SP-R_1-125,32,1,,14,200,,1,612
SP-R_1-125,32,1,,15,100,,1,734
SP-R_1-125,32,1,,16,100,,1,1036
SP-R_1-125,32,1,,17,200,,1,573
SP-R_1-125,32,1,,18,200,,1,505
SP-R_1-125,32,1,,19,100,,1,400
SP-R_1-125,32,1,,20,200,,1,546
SP-R_1-125,32,2,,1,240,,1,3389
SP-R_1-125,32,2,,2,220,,1,1656
SP-R_1-125,32,2,,3,220,,1,745
SP-R_1-125,32,2,,4,200,,1,774
SP-R_1-125,32,2,,5,70,,0,882
SP-R_1-125,32,2,,6,60,,0,1458
SP-R_1-125,32,2,,7,130,,0,563
SP-R_1-125,32,2,,8,160,,0,399
SP-R_1-125,32,2,,9,60,,0,546
SP-R_1-125,32,2,,10,190,,1,687
SP-R_1-125,32,2,,11,120,,0,1015
SP-R_1-125,32,2,,12,230,,1,505
SP-R_1-125,32,2,,13,130,,0,448
SP-R_1-125,32,2,,14,140,,0,794
SP-R_1-125,32,2,,15,100,,0,500
SP-R_1-125,32,2,,16,140,,0,420
SP-R_1-125,32,2,,17,120,,0,342
SP-R_1-125,32,2,,18,110,,0,324
SP-R_1-125,32,2,,19,200,,1,586
SP-R_1-125,32,2,,20,80,,0,773
SP-R_1-125,32,2,,21,70,,0,553
SP-R_1-125,32,2,,22,210,,1,550
SP-R_1-125,32,2,,23,230,,1,458
SP-R_1-125,32,2,,24,90,,0,499
SP-R_1-125,32,2,,25,110,,0,410
SP-R_1-125,32,2,,26,170,,1,3653
SP-R_1-125,32,2,,27,190,,1,574
SP-R_1-125,32,2,,28,80,,0,626
SP-R_1-125,32,2,,29,180,,1,700
SP-R_1-125,32,2,,30,150,,1,1522
SP-R_1-125,32,2,,31,150,,1,1560
SP-R_1-125,32,2,,32,100,,0,692
SP-R_1-125,32,2,,33,180,,1,796
SP-R_1-125,32,2,,34,160,,1,591
SP-R_1-125,32,2,,35,170,,1,627
SP-R_1-125,32,2,,36,240,,1,733
SP-R_1-125,32,2,,37,90,,0,569
SP-R_1-125,32,2,,38,210,,1,647
SP-R_1-125,32,3,235.bmp,,,,,
SP-R_1-125,32,4,,1,128,,0,2602
SP-R_1-125,32,4,,2,67,,0,1296
SP-R_1-125,32,4,,3,7,,0,1402
SP-R_1-125,32,4,,4,96,,0,853
SP-R_1-125,32,4,,5,238,,1,830
SP-R_1-125,32,4,,6,87,,0,856
SP-R_1-125,32,4,,7,268,,1,1042
SP-R_1-125,32,4,,8,93,,0,615
SP-R_1-125,32,4,,9,179,,1,4321
SP-R_1-125,32,4,,10,230,,1,833
SP-R_1-125,32,4,,11,62,,0,652
SP-R_1-125,32,4,,12,239,,1,699
SP-R_1-125,32,4,,13,45,,0,541
SP-R_1-125,32,4,,14,187,,1,954
SP-R_1-125,32,4,,15,283,,1,690
SP-R_1-125,32,4,,16,174,,1,881
SP-R_1-125,32,4,,17,292,,1,597
SP-R_1-125,32,4,,18,53,,0,758
SP-R_1-125,32,4,,19,150,,0,538
SP-R_1-125,32,4,,20,153,,0,1502
SP-R_1-125,32,4,,21,285,,1,1241
SP-R_1-125,32,4,,22,264,,1,583
SP-R_1-125,32,4,,23,269,,1,469
SP-R_1-125,32,4,,24,46,,0,659
SP-R_1-125,32,4,,25,3,,0,881
SP-R_1-125,32,4,,26,124,,0,981
SP-R_1-125,32,4,,27,216,,1,688
SP-R_1-125,32,4,,28,125,,0,791
SP-R_1-125,32,4,,29,229,,1,904
