E:\1FB Data\Original E-Data Files\SP-R_1-175-26-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_1-175,26,1,,1,200,,1,19142
SP-R_1-175,26,1,,2,100,,0,3180
SP-R_1-175,26,1,,3,100,,1,2344
SP-R_1-175,26,1,,4,200,,1,2876
SP-R_1-175,26,1,,5,200,,1,1300
SP-R_1-175,26,1,,6,100,,1,1435
SP-R_1-175,26,1,,7,100,,1,3428
SP-R_1-175,26,1,,8,200,,1,919
SP-R_1-175,26,1,,9,100,,1,1293
SP-R_1-175,26,1,,10,100,,1,787
SP-R_1-175,26,1,,11,200,,1,815
SP-R_1-175,26,1,,12,100,,1,681
SP-R_1-175,26,1,,13,200,,1,1248
SP-R_1-175,26,1,,14,100,,1,1185
SP-R_1-175,26,1,,15,200,,1,1044
SP-R_1-175,26,1,,16,200,,1,1758
SP-R_1-175,26,1,,17,200,,1,579
SP-R_1-175,26,1,,18,100,,1,1166
SP-R_1-175,26,1,,19,200,,1,2810
SP-R_1-175,26,1,,20,100,,1,837
SP-R_1-175,26,2,,1,60,,0,1449
SP-R_1-175,26,2,,2,230,,1,2050
SP-R_1-175,26,2,,3,170,,1,3674
SP-R_1-175,26,2,,4,210,,1,994
SP-R_1-175,26,2,,5,240,,1,797
SP-R_1-175,26,2,,6,100,,0,1849
SP-R_1-175,26,2,,7,230,,1,698
SP-R_1-175,26,2,,8,220,,1,1169
SP-R_1-175,26,2,,9,80,,0,870
SP-R_1-175,26,2,,10,100,,0,438
SP-R_1-175,26,2,,11,210,,1,703
SP-R_1-175,26,2,,12,70,,0,822
SP-R_1-175,26,2,,13,90,,0,552
SP-R_1-175,26,2,,14,200,,1,700
SP-R_1-175,26,2,,15,60,,0,547
SP-R_1-175,26,2,,16,120,,0,433
SP-R_1-175,26,2,,17,110,,0,499
SP-R_1-175,26,2,,18,190,,1,706
SP-R_1-175,26,2,,19,130,,0,401
SP-R_1-175,26,2,,20,180,,1,1802
SP-R_1-175,26,2,,21,180,,1,2829
SP-R_1-175,26,2,,22,140,,0,2183
SP-R_1-175,26,2,,23,160,,0,2771
SP-R_1-175,26,2,,24,220,,1,919
SP-R_1-175,26,2,,25,140,,0,1685
SP-R_1-175,26,2,,26,90,,0,764
SP-R_1-175,26,2,,27,110,,0,465
SP-R_1-175,26,2,,28,70,,0,458
SP-R_1-175,26,2,,29,200,,0,818
SP-R_1-175,26,2,,30,160,,0,900
SP-R_1-175,26,2,,31,190,,0,1146
SP-R_1-175,26,2,,32,170,,1,2407
SP-R_1-175,26,2,,33,120,,0,650
SP-R_1-175,26,2,,34,150,,1,747
SP-R_1-175,26,2,,35,150,,0,1664
SP-R_1-175,26,2,,36,130,,0,1025
SP-R_1-175,26,2,,37,80,,0,459
SP-R_1-175,26,2,,38,240,,1,963
SP-R_1-175,26,3,260.bmp,,,,,
SP-R_1-175,26,4,,1,284,,1,3874
SP-R_1-175,26,4,,2,230,,1,3153
SP-R_1-175,26,4,,3,208,,1,1193
SP-R_1-175,26,4,,4,159,,0,2356
SP-R_1-175,26,4,,5,223,,1,2581
SP-R_1-175,26,4,,6,279,,1,2612
SP-R_1-175,26,4,,7,199,,1,1403
SP-R_1-175,26,4,,8,154,,0,4452
SP-R_1-175,26,4,,9,166,,0,2484
SP-R_1-175,26,4,,10,111,,0,1466
SP-R_1-175,26,4,,11,252,,1,1996
SP-R_1-175,26,4,,12,113,,0,991
SP-R_1-175,26,4,,13,97,,0,706
SP-R_1-175,26,4,,14,131,,0,1455
SP-R_1-175,26,4,,15,79,,0,843
SP-R_1-175,26,4,,16,128,,0,1611
SP-R_1-175,26,4,,17,202,,1,1947
SP-R_1-175,26,4,,18,50,,0,776
SP-R_1-175,26,4,,19,106,,0,839
SP-R_1-175,26,4,,20,167,,0,4341
SP-R_1-175,26,4,,21,298,,1,870
SP-R_1-175,26,4,,22,180,,1,4209
SP-R_1-175,26,4,,23,274,,1,931
SP-R_1-175,26,4,,24,44,,0,1173
SP-R_1-175,26,4,,25,219,,1,853
SP-R_1-175,26,4,,26,295,,1,678
SP-R_1-175,26,4,,27,9,,0,1238
SP-R_1-175,26,4,,28,69,,0,865
SP-R_1-175,26,4,,29,135,,0,1026
SP-R_1-175,26,4,,30,109,,0,720
SP-R_1-175,26,4,,31,293,,1,861
SP-R_1-175,26,4,,32,185,,1,1672
SP-R_1-175,26,4,,33,149,,0,3695
SP-R_1-175,26,4,,34,176,,0,842
SP-R_1-175,26,4,,35,265,,1,1133
SP-R_1-175,26,4,,36,177,,1,4786
SP-R_1-175,26,4,,37,234,,1,2807
SP-R_1-175,26,4,,38,104,,0,680
SP-R_1-175,26,4,,39,90,,0,795
SP-R_1-175,26,4,,40,5,,0,754
SP-R_1-175,26,4,,41,240,,1,726
SP-R_1-175,26,4,,42,286,,1,772
SP-R_1-175,26,4,,43,134,,0,575
SP-R_1-175,26,4,,44,212,,1,811
