C:\Users\RogersLab\Desktop\New folder\SP-C_1-125-10-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_1-125,10,1,,1,100,,1,10230
SP-C_1-125,10,1,,2,100,,1,2647
SP-C_1-125,10,1,,3,100,,1,1096
SP-C_1-125,10,1,,4,200,,1,2528
SP-C_1-125,10,1,,5,100,,1,1310
SP-C_1-125,10,1,,6,200,,1,1500
SP-C_1-125,10,1,,7,100,,1,1107
SP-C_1-125,10,1,,8,200,,1,3770
SP-C_1-125,10,1,,9,200,,1,2061
SP-C_1-125,10,1,,10,100,,1,1030
SP-C_1-125,10,1,,11,200,,1,1375
SP-C_1-125,10,1,,12,100,,1,779
SP-C_1-125,10,1,,13,200,,1,695
SP-C_1-125,10,1,,14,100,,1,687
SP-C_1-125,10,1,,15,100,,1,526
SP-C_1-125,10,1,,16,100,,1,468
SP-C_1-125,10,1,,17,200,,1,660
SP-C_1-125,10,1,,18,200,,1,452
SP-C_1-125,10,1,,19,200,,1,492
SP-C_1-125,10,1,,20,200,,1,420
SP-C_1-125,10,2,,1,210,,0,1892
SP-C_1-125,10,2,,2,170,,0,5947
SP-C_1-125,10,2,,3,90,,1,729
SP-C_1-125,10,2,,4,70,,1,807
SP-C_1-125,10,2,,5,140,,0,1897
SP-C_1-125,10,2,,6,180,,0,2176
SP-C_1-125,10,2,,7,190,,0,1060
SP-C_1-125,10,2,,8,240,,0,3844
SP-C_1-125,10,2,,9,210,,0,2038
SP-C_1-125,10,2,,10,110,,1,1055
SP-C_1-125,10,2,,11,70,,1,1416
SP-C_1-125,10,2,,12,200,,0,1074
SP-C_1-125,10,2,,13,110,,1,986
SP-C_1-125,10,2,,14,180,,0,1965
SP-C_1-125,10,2,,15,150,,0,2514
SP-C_1-125,10,2,,16,100,,1,601
SP-C_1-125,10,2,,17,240,,0,1956
SP-C_1-125,10,2,,18,160,,0,1424
SP-C_1-125,10,2,,19,230,,0,1178
SP-C_1-125,10,2,,20,220,,0,1422
SP-C_1-125,10,2,,21,130,,1,511
SP-C_1-125,10,2,,22,80,,1,646
SP-C_1-125,10,2,,23,90,,1,615
SP-C_1-125,10,2,,24,60,,1,1330
SP-C_1-125,10,2,,25,130,,0,1848
SP-C_1-125,10,2,,26,60,,1,730
SP-C_1-125,10,2,,27,80,,1,2552
SP-C_1-125,10,2,,28,200,,0,820
SP-C_1-125,10,2,,29,120,,1,5926
SP-C_1-125,10,2,,30,230,,0,781
SP-C_1-125,10,2,,31,220,,0,409
SP-C_1-125,10,2,,32,160,,0,2035
SP-C_1-125,10,2,,33,120,,1,637
SP-C_1-125,10,2,,34,140,,1,534
SP-C_1-125,10,2,,35,100,,1,587
SP-C_1-125,10,2,,36,150,,1,1343
SP-C_1-125,10,2,,37,170,,0,684
SP-C_1-125,10,2,,38,190,,0,658
SP-C_1-125,10,3,192.bmp,,,,,
SP-C_1-125,10,4,,1,194,,1,3700
SP-C_1-125,10,4,,2,253,,0,3071
SP-C_1-125,10,4,,3,216,,0,2581
SP-C_1-125,10,4,,4,214,,1,4610
SP-C_1-125,10,4,,5,57,,1,1543
SP-C_1-125,10,4,,6,95,,1,1234
SP-C_1-125,10,4,,7,227,,0,1283
SP-C_1-125,10,4,,8,296,,0,1356
SP-C_1-125,10,4,,9,140,,1,2551
SP-C_1-125,10,4,,10,79,,1,2119
SP-C_1-125,10,4,,11,94,,1,1119
SP-C_1-125,10,4,,12,117,,0,4463
SP-C_1-125,10,4,,13,295,,0,1298
SP-C_1-125,10,4,,14,250,,0,1026
SP-C_1-125,10,4,,15,72,,1,1124
SP-C_1-125,10,4,,16,63,,1,1760
SP-C_1-125,10,4,,17,291,,0,950
SP-C_1-125,10,4,,18,3,,1,1560
SP-C_1-125,10,4,,19,193,,0,1350
SP-C_1-125,10,4,,20,243,,0,942
SP-C_1-125,10,4,,21,143,,1,1848
SP-C_1-125,10,4,,22,281,,0,1022
SP-C_1-125,10,4,,23,22,,1,1007
SP-C_1-125,10,4,,24,275,,0,963
SP-C_1-125,10,4,,25,43,,1,1301
SP-C_1-125,10,4,,26,8,,1,963
SP-C_1-125,10,4,,27,40,,1,2045
SP-C_1-125,10,4,,28,224,,0,951
SP-C_1-125,10,4,,29,218,,0,981
SP-C_1-125,10,4,,30,258,,0,1402
SP-C_1-125,10,4,,31,241,,0,1081
SP-C_1-125,10,4,,32,163,,0,1855
SP-C_1-125,10,4,,33,32,,1,917
SP-C_1-125,10,4,,34,89,,1,3215
SP-C_1-125,10,4,,35,166,,0,1711
SP-C_1-125,10,4,,36,66,,1,1730
SP-C_1-125,10,4,,37,0,,1,1099
SP-C_1-125,10,4,,38,231,,0,897
SP-C_1-125,10,4,,39,174,,0,1244
SP-C_1-125,10,4,,40,93,,1,1508
SP-C_1-125,10,4,,41,85,,1,951
SP-C_1-125,10,4,,42,34,,1,815
SP-C_1-125,10,4,,43,272,,0,995
SP-C_1-125,10,4,,44,17,,1,1004
SP-C_1-125,10,4,,45,198,,0,1537
SP-C_1-125,10,4,,46,292,,0,1080
SP-C_1-125,10,4,,47,50,,1,1045
SP-C_1-125,10,4,,48,235,,0,1057
SP-C_1-125,10,4,,49,53,,1,1105
SP-C_1-125,10,4,,50,182,,0,1070
