PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist,Exp1,Exp2,ExpShift,AlExShift,ZAlExShift,sjnum,KnowClose,KnowFar,TrustClose,TrustFar,AccClose,AccFar,AttClose,AttFar,ZKnowClose,ZKnowFar,ZTrustClose,ZTrustFar,ZAccClose,ZAccFar,ZAttClose,ZAttFar,Outlier
none_C_pass_11,none,C,NA,control,11,1,11.37092765,-0.066851957,170.0911709,17.55206639,-0.089955079,195.1203492,25.02917828,25.02917828,-0.1251598,NA,145,225,80,80,1.211608878,11,50,54,50,50,26,28,64,14,0.04795483,0.197069424,-0.233813478,-0.322587184,-1.075710086,-0.705906301,1.000026081,-1.076709396,0
none_C_pass_110,none,C,NA,control,110,2,643.4903041,-4.151569515,154.9992844,351.3821559,-2.066953858,170,15.00071555,15.00071555,-0.176820897,NA,129,175,46,46,0.782411423,110,45,39,59,59,53,42,45,35,-0.185872298,-0.429309909,0.080058133,0.170046166,0.415516752,-0.406965984,0.473857436,-0.360503229,0
none_C_pass_12,none,C,NA,control,12,2,6.945626295,-0.044768805,155.1443308,3.603996749,-0.037985245,94.87885905,-60.26547173,-60.26547173,-0.564550698,NA,60,73,13,13,0.365837423,12,20,11,13,17,10,19,36,29,-1.249599305,-1.644165607,-1.977906822,-1.714632171,-1.513330899,-1.368285631,0.023692872,-0.641992052,0
none_C_pass_13,none,C,NA,control,13,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-0.409953337,NA,129,142,13,13,0.365837423,13,81,43,76,14,80,46,72,14,1.392973639,-0.270970459,0.932892159,-1.933168454,1.18130126,0.101518297,1.375344511,-1.076709396,0
none_C_pass_14,none,C,NA,control,14,2,23.51167858,-0.167940565,139.9999968,441.8147367,-2.008248803,220,80.00000324,80.00000324,0.15801951,NA,40,22,-18,-18,-0.025489668,14,65,38,80,46,34,60,70,68,0.665109307,-0.472697612,1.019563874,-0.413306653,-0.436764768,0.345371132,1.724314558,1.187685296,0
none_C_pass_15,none,C,NA,control,15,1,26.87049098,-0.167940565,160.0000032,7.571491392,-0.04045877,187.1409198,27.14091658,27.14091658,-0.114281291,NA,150,275,125,125,1.779664333,15,36,81,35,68,38,65,35,42,-0.559473019,1.345894592,-0.906912884,0.482703451,-0.574152009,0.953799818,-0.360503229,0.323802581,0
none_C_pass_16,none,C,NA,control,16,2,7.702839676,-0.048077763,160.216266,8.194707421,-0.056533446,144.9532613,-15.26300471,-15.26300471,-0.332722859,NA,250,225,-25,-25,-0.11385385,16,76,19,73,18,67,35,36,68,1.13314919,-1.297063979,0.706395294,-1.669758878,1.043513662,-0.699541529,0.023692872,1.187685296,0
none_C_pass_17,none,C,NA,control,17,1,1.85248365,-0.010820021,171.2088748,0.372464837,-0.00035987,1034.999567,863.7906925,863.7906925,4.195675972,NA,150,150,0,0,0.201732514,17,50,50,55,52,50,44,50,42,0.04795483,0.026873103,-0.009447009,-0.233110447,-0.072593932,0.011804453,0.343218828,0.323802581,1
none_C_pass_18,none,C,NA,control,18,2,15.09597459,-0.091487123,165.0065511,16.2991194,-0.101868592,160.0014198,-5.005131311,-5.005131311,-0.279879964,NA,158,250,92,92,1.363090333,18,68,62,56,65,38,59,4,15,0.792756548,0.568607272,-0.054156973,0.439285928,-0.25733708,0.303574626,-1.576892244,-1.298799305,0
none_C_pass_19,none,C,NA,control,19,1,8.370050652,-0.055800338,150,10.59010575,-0.088276786,119.9647867,-30.03521328,-30.03521328,-0.408821113,NA,82,35,-47,-47,-0.39156985,19,27,27,35,65,19,35,27,35,-0.949962351,-0.951755743,-0.906912884,0.348488345,-1.368285631,-0.391907846,-0.73582166,-0.026325413,0
