PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist
none_C_pass_11,none,C,NA,control,11,1,11.37092765,-0.066851957,170.0911709,17.55206639,-0.089955079,195.1203492,25.02917828,25.02917828,-0.1251598,NA
none_C_pass_110,none,C,NA,control,110,2,643.4903041,-4.151569515,154.9992844,351.3821559,-2.066953858,170,15.00071555,15.00071555,-0.176820897,NA
none_C_pass_12,none,C,NA,control,12,2,6.945626295,-0.044768805,155.1443308,3.603996749,-0.037985245,94.87885905,-60.26547173,-60.26547173,-0.564550698,NA
none_C_pass_13,none,C,NA,control,13,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-0.409953337,NA
none_C_pass_14,none,C,NA,control,14,2,23.51167858,-0.167940565,139.9999968,441.8147367,-2.008248803,220,80.00000324,80.00000324,0.15801951,NA
none_C_pass_15,none,C,NA,control,15,1,26.87049098,-0.167940565,160.0000032,7.571491392,-0.04045877,187.1409198,27.14091658,27.14091658,-0.114281291,NA
none_C_pass_16,none,C,NA,control,16,2,7.702839676,-0.048077763,160.216266,8.194707421,-0.056533446,144.9532613,-15.26300471,-15.26300471,-0.332722859,NA
none_C_pass_17,none,C,NA,control,17,1,1.85248365,-0.010820021,171.2088748,0.372464837,-0.00035987,1034.999567,863.7906925,863.7906925,4.195675972,NA
none_C_pass_18,none,C,NA,control,18,2,15.09597459,-0.091487123,165.0065511,16.2991194,-0.101868592,160.0014198,-5.005131311,-5.005131311,-0.279879964,NA
none_C_pass_19,none,C,NA,control,19,1,8.370050652,-0.055800338,150,10.59010575,-0.088276786,119.9647867,-30.03521328,-30.03521328,-0.408821113,NA
two15_C_165_11,two15,C,165,right,11,1,351.3821559,-2.066953858,170,272.1263384,-1.94375956,140,-30,-30,-0.510971997,-5
two15_C_165_110,two15,C,165,right,110,2,10.74748163,-0.067156687,160.0359123,8.579075745,-0.063587161,134.9183643,-25.11754793,-25.11754793,-0.327146371,4.9640877
two15_C_165_12,two15,C,165,right,12,2,27.45973984,-0.189377516,144.9999998,7.237973836,-0.046660391,155.1203003,10.12030048,10.12030048,0.999568041,20.0000002
two15_C_165_13,two15,C,165,right,13,1,10.76422657,-0.074240478,144.9913424,6.158378921,-0.047558314,129.4911118,-15.50023059,-15.50023059,0.034948197,20.0086576
two15_C_165_14,two15,C,165,right,14,2,29.35351506,-0.189377516,155.0000002,643.4903041,-4.151569515,154.9992844,-0.000715704,-0.000715704,0.618509076,9.9999998
two15_C_165_15,two15,C,165,right,15,1,33.14085329,-0.189376296,175.000008,11.70613097,-0.082771837,141.4264975,-33.57351048,-33.57351048,-0.645515621,-10.000008
two15_C_165_16,two15,C,165,right,16,2,559.1029953,-4.141441473,135.0020274,19.71375693,-0.123210829,160.0001974,24.99816994,24.99816994,1.559723803,29.9979726
two15_C_165_17,two15,C,165,right,17,1,31.24726177,-0.189377343,165.0000012,1.72210368,-0.010718817,160.6617241,-4.338277051,-4.338277051,0.455198732,-1.20E-06
