C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_LB_Dead-120-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Dead,120,1,,1,170,,0,7115
SP-C_LB_Dead,120,1,,2,30,,0,3945
SP-C_LB_Dead,120,1,,3,30,,1,4098
SP-C_LB_Dead,120,1,,4,30,,1,1470
SP-C_LB_Dead,120,1,,5,170,,1,1665
SP-C_LB_Dead,120,1,,6,170,,1,971
SP-C_LB_Dead,120,1,,7,170,,1,815
SP-C_LB_Dead,120,1,,8,30,,1,868
SP-C_LB_Dead,120,1,,9,30,,1,759
SP-C_LB_Dead,120,1,,10,30,,1,814
SP-C_LB_Dead,120,1,,11,170,,1,675
SP-C_LB_Dead,120,1,,12,170,,1,536
SP-C_LB_Dead,120,1,,13,170,,1,1120
SP-C_LB_Dead,120,1,,14,30,,1,1114
SP-C_LB_Dead,120,1,,15,30,,1,702
SP-C_LB_Dead,120,1,,16,30,,1,610
SP-C_LB_Dead,120,1,,17,170,,1,531
SP-C_LB_Dead,120,1,,18,170,,1,999
SP-C_LB_Dead,120,1,,19,30,,1,566
SP-C_LB_Dead,120,1,,20,170,,1,552
SP-C_LB_Dead,120,2,,1,130,,0,3579
SP-C_LB_Dead,120,2,,2,220,,0,2802
SP-C_LB_Dead,120,2,,3,60,,1,950
SP-C_LB_Dead,120,2,,4,180,,0,712
SP-C_LB_Dead,120,2,,5,70,,1,726
SP-C_LB_Dead,120,2,,6,210,,0,1025
SP-C_LB_Dead,120,2,,7,190,,0,957
SP-C_LB_Dead,120,2,,8,190,,0,766
SP-C_LB_Dead,120,2,,9,160,,0,1359
SP-C_LB_Dead,120,2,,10,160,,0,778
SP-C_LB_Dead,120,2,,11,170,,0,757
SP-C_LB_Dead,120,2,,12,120,,1,771
SP-C_LB_Dead,120,2,,13,140,,1,1203
SP-C_LB_Dead,120,2,,14,180,,0,1096
SP-C_LB_Dead,120,2,,15,90,,1,765
SP-C_LB_Dead,120,2,,16,230,,0,877
SP-C_LB_Dead,120,2,,17,110,,1,1130
SP-C_LB_Dead,120,2,,18,200,,0,452
SP-C_LB_Dead,120,2,,19,200,,0,941
SP-C_LB_Dead,120,2,,20,220,,0,721
SP-C_LB_Dead,120,2,,21,100,,1,592
SP-C_LB_Dead,120,2,,22,70,,1,605
SP-C_LB_Dead,120,2,,23,60,,1,589
SP-C_LB_Dead,120,2,,24,80,,1,486
SP-C_LB_Dead,120,2,,25,80,,1,454
SP-C_LB_Dead,120,2,,26,150,,0,511
SP-C_LB_Dead,120,2,,27,100,,1,433
SP-C_LB_Dead,120,2,,28,120,,1,645
SP-C_LB_Dead,120,2,,29,150,,0,590
SP-C_LB_Dead,120,2,,30,170,,0,727
SP-C_LB_Dead,120,2,,31,230,,0,615
SP-C_LB_Dead,120,2,,32,240,,0,540
SP-C_LB_Dead,120,2,,33,140,,1,748
SP-C_LB_Dead,120,2,,34,90,,1,451
SP-C_LB_Dead,120,2,,35,210,,0,706
SP-C_LB_Dead,120,2,,36,110,,1,778
SP-C_LB_Dead,120,2,,37,240,,0,507
SP-C_LB_Dead,120,2,,38,130,,1,652
SP-C_LB_Dead,120,3,32.bmp,,,,,
SP-C_LB_Dead,120,4,,1,21,,1,3850
SP-C_LB_Dead,120,4,,2,104,,1,1414
SP-C_LB_Dead,120,4,,3,280,,0,974
SP-C_LB_Dead,120,4,,4,155,,0,4478
SP-C_LB_Dead,120,4,,5,160,,1,1462
SP-C_LB_Dead,120,4,,6,262,,0,987
SP-C_LB_Dead,120,4,,7,98,,1,780
SP-C_LB_Dead,120,4,,8,286,,0,689
SP-C_LB_Dead,120,4,,9,110,,1,653
SP-C_LB_Dead,120,4,,10,17,,1,1098
SP-C_LB_Dead,120,4,,11,248,,0,952
SP-C_LB_Dead,120,4,,12,205,,0,1028
SP-C_LB_Dead,120,4,,13,266,,0,959
SP-C_LB_Dead,120,4,,14,263,,0,1036
SP-C_LB_Dead,120,4,,15,66,,1,816
SP-C_LB_Dead,120,4,,16,136,,1,740
SP-C_LB_Dead,120,4,,17,146,,1,792
SP-C_LB_Dead,120,4,,18,22,,1,622
SP-C_LB_Dead,120,4,,19,76,,1,700
SP-C_LB_Dead,120,4,,20,47,,1,602
SP-C_LB_Dead,120,4,,21,192,,0,982
SP-C_LB_Dead,120,4,,22,142,,1,1485
SP-C_LB_Dead,120,4,,23,123,,1,679
SP-C_LB_Dead,120,4,,24,296,,0,661
SP-C_LB_Dead,120,4,,25,284,,0,1063
SP-C_LB_Dead,120,4,,26,10,,1,738
SP-C_LB_Dead,120,4,,27,199,,0,1038
SP-C_LB_Dead,120,4,,28,256,,0,1234
SP-C_LB_Dead,120,4,,29,297,,0,972
SP-C_LB_Dead,120,4,,30,27,,1,2114
SP-C_LB_Dead,120,4,,31,254,,0,865
SP-C_LB_Dead,120,4,,32,126,,1,1662
SP-C_LB_Dead,120,4,,33,242,,0,1415
SP-C_LB_Dead,120,4,,34,168,,1,1713
SP-C_LB_Dead,120,4,,35,164,,1,772
SP-C_LB_Dead,120,4,,36,239,,0,547
SP-C_LB_Dead,120,4,,37,99,,1,721
SP-C_LB_Dead,120,4,,38,237,,0,546
SP-C_LB_Dead,120,4,,39,73,,1,706
