C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_RB_Dead-117-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Dead,117,1,,1,270,,1,3671
SP-C_RB_Dead,117,1,,2,130,,1,2503
SP-C_RB_Dead,117,1,,3,270,,1,2173
SP-C_RB_Dead,117,1,,4,130,,1,1240
SP-C_RB_Dead,117,1,,5,270,,1,1439
SP-C_RB_Dead,117,1,,6,270,,1,775
SP-C_RB_Dead,117,1,,7,130,,1,1745
SP-C_RB_Dead,117,1,,8,270,,1,637
SP-C_RB_Dead,117,1,,9,130,,1,816
SP-C_RB_Dead,117,1,,10,270,,1,639
SP-C_RB_Dead,117,1,,11,130,,1,967
SP-C_RB_Dead,117,1,,12,270,,1,503
SP-C_RB_Dead,117,1,,13,270,,1,539
SP-C_RB_Dead,117,1,,14,130,,1,692
SP-C_RB_Dead,117,1,,15,130,,1,877
SP-C_RB_Dead,117,1,,16,270,,1,410
SP-C_RB_Dead,117,1,,17,130,,1,360
SP-C_RB_Dead,117,1,,18,270,,1,400
SP-C_RB_Dead,117,1,,19,130,,1,427
SP-C_RB_Dead,117,1,,20,130,,1,674
SP-C_RB_Dead,117,2,,1,240,,0,1054
SP-C_RB_Dead,117,2,,2,170,,1,922
SP-C_RB_Dead,117,2,,3,80,,1,1044
SP-C_RB_Dead,117,2,,4,100,,1,766
SP-C_RB_Dead,117,2,,5,180,,0,1163
SP-C_RB_Dead,117,2,,6,100,,1,726
SP-C_RB_Dead,117,2,,7,60,,1,600
SP-C_RB_Dead,117,2,,8,220,,0,485
SP-C_RB_Dead,117,2,,9,110,,1,577
SP-C_RB_Dead,117,2,,10,60,,1,456
SP-C_RB_Dead,117,2,,11,190,,0,476
SP-C_RB_Dead,117,2,,12,160,,0,485
SP-C_RB_Dead,117,2,,13,230,,0,883
SP-C_RB_Dead,117,2,,14,140,,1,754
SP-C_RB_Dead,117,2,,15,80,,1,470
SP-C_RB_Dead,117,2,,16,130,,1,1239
SP-C_RB_Dead,117,2,,17,220,,0,496
SP-C_RB_Dead,117,2,,18,210,,0,453
SP-C_RB_Dead,117,2,,19,90,,1,452
SP-C_RB_Dead,117,2,,20,210,,0,499
SP-C_RB_Dead,117,2,,21,120,,1,416
SP-C_RB_Dead,117,2,,22,150,,1,1673
SP-C_RB_Dead,117,2,,23,130,,1,671
SP-C_RB_Dead,117,2,,24,180,,0,656
SP-C_RB_Dead,117,2,,25,200,,0,546
SP-C_RB_Dead,117,2,,26,200,,0,463
SP-C_RB_Dead,117,2,,27,110,,1,520
SP-C_RB_Dead,117,2,,28,70,,1,453
SP-C_RB_Dead,117,2,,29,230,,0,449
SP-C_RB_Dead,117,2,,30,190,,0,499
SP-C_RB_Dead,117,2,,31,160,,0,463
SP-C_RB_Dead,117,2,,32,170,,0,406
SP-C_RB_Dead,117,2,,33,70,,1,529
SP-C_RB_Dead,117,2,,34,120,,1,490
SP-C_RB_Dead,117,2,,35,240,,0,438
SP-C_RB_Dead,117,2,,36,150,,0,415
SP-C_RB_Dead,117,2,,37,140,,1,926
SP-C_RB_Dead,117,2,,38,90,,1,457
SP-C_RB_Dead,117,3,148.bmp,,,,,
SP-C_RB_Dead,117,4,,1,79,,1,1360
SP-C_RB_Dead,117,4,,2,133,,1,1585
SP-C_RB_Dead,117,4,,3,102,,1,1170
SP-C_RB_Dead,117,4,,4,104,,0,1165
SP-C_RB_Dead,117,4,,5,174,,0,1129
SP-C_RB_Dead,117,4,,6,283,,0,1226
SP-C_RB_Dead,117,4,,7,100,,1,680
SP-C_RB_Dead,117,4,,8,57,,1,759
SP-C_RB_Dead,117,4,,9,39,,1,708
SP-C_RB_Dead,117,4,,10,161,,1,1446
SP-C_RB_Dead,117,4,,11,117,,1,1288
SP-C_RB_Dead,117,4,,12,195,,0,1707
SP-C_RB_Dead,117,4,,13,292,,0,784
SP-C_RB_Dead,117,4,,14,36,,1,610
SP-C_RB_Dead,117,4,,15,87,,1,496
SP-C_RB_Dead,117,4,,16,75,,1,505
SP-C_RB_Dead,117,4,,17,10,,1,714
SP-C_RB_Dead,117,4,,18,190,,0,706
SP-C_RB_Dead,117,4,,19,24,,1,598
SP-C_RB_Dead,117,4,,20,256,,0,603
SP-C_RB_Dead,117,4,,21,95,,1,547
SP-C_RB_Dead,117,4,,22,1,,1,640
SP-C_RB_Dead,117,4,,23,280,,0,547
SP-C_RB_Dead,117,4,,24,204,,0,472
SP-C_RB_Dead,117,4,,25,83,,1,582
SP-C_RB_Dead,117,4,,26,185,,0,436
SP-C_RB_Dead,117,4,,27,224,,0,725
SP-C_RB_Dead,117,4,,28,43,,1,672
SP-C_RB_Dead,117,4,,29,167,,1,1033
SP-C_RB_Dead,117,4,,30,73,,1,632
SP-C_RB_Dead,117,4,,31,60,,1,514
