C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_LB_Close-2-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Close,2,1,,1,30,,0,7467
SP-C_LB_Close,2,1,,2,30,,0,3026
SP-C_LB_Close,2,1,,3,170,,1,1084
SP-C_LB_Close,2,1,,4,30,,1,2188
SP-C_LB_Close,2,1,,5,30,,1,1606
SP-C_LB_Close,2,1,,6,30,,0,801
SP-C_LB_Close,2,1,,7,170,,1,1004
SP-C_LB_Close,2,1,,8,170,,1,807
SP-C_LB_Close,2,1,,9,30,,1,633
SP-C_LB_Close,2,1,,10,170,,1,1139
SP-C_LB_Close,2,1,,11,30,,1,520
SP-C_LB_Close,2,1,,12,170,,1,646
SP-C_LB_Close,2,1,,13,30,,1,520
SP-C_LB_Close,2,1,,14,30,,1,582
SP-C_LB_Close,2,1,,15,170,,1,449
SP-C_LB_Close,2,1,,16,30,,1,785
SP-C_LB_Close,2,1,,17,170,,1,508
SP-C_LB_Close,2,1,,18,170,,1,1267
SP-C_LB_Close,2,1,,19,170,,1,635
SP-C_LB_Close,2,1,,20,170,,1,564
SP-C_LB_Close,2,2,,1,60,,1,1433
SP-C_LB_Close,2,2,,2,120,,0,1091
SP-C_LB_Close,2,2,,3,220,,0,730
SP-C_LB_Close,2,2,,4,200,,0,424
SP-C_LB_Close,2,2,,5,180,,0,306
SP-C_LB_Close,2,2,,6,210,,0,473
SP-C_LB_Close,2,2,,7,240,,0,345
SP-C_LB_Close,2,2,,8,90,,1,862
SP-C_LB_Close,2,2,,9,160,,1,2103
SP-C_LB_Close,2,2,,10,70,,1,622
SP-C_LB_Close,2,2,,11,130,,1,392
SP-C_LB_Close,2,2,,12,70,,1,555
SP-C_LB_Close,2,2,,13,100,,1,488
SP-C_LB_Close,2,2,,14,60,,1,423
SP-C_LB_Close,2,2,,15,180,,0,505
SP-C_LB_Close,2,2,,16,240,,0,448
SP-C_LB_Close,2,2,,17,130,,1,601
SP-C_LB_Close,2,2,,18,190,,0,492
SP-C_LB_Close,2,2,,19,200,,0,659
SP-C_LB_Close,2,2,,20,110,,1,436
SP-C_LB_Close,2,2,,21,140,,1,693
SP-C_LB_Close,2,2,,22,80,,1,460
SP-C_LB_Close,2,2,,23,220,,0,604
SP-C_LB_Close,2,2,,24,230,,0,455
SP-C_LB_Close,2,2,,25,80,,1,776
SP-C_LB_Close,2,2,,26,170,,1,732
SP-C_LB_Close,2,2,,27,190,,1,938
SP-C_LB_Close,2,2,,28,110,,1,1055
SP-C_LB_Close,2,2,,29,210,,0,1104
SP-C_LB_Close,2,2,,30,150,,1,2015
SP-C_LB_Close,2,2,,31,170,,0,817
SP-C_LB_Close,2,2,,32,160,,1,3027
SP-C_LB_Close,2,2,,33,100,,1,1421
SP-C_LB_Close,2,2,,34,120,,1,1432
SP-C_LB_Close,2,2,,35,90,,1,3897
SP-C_LB_Close,2,2,,36,140,,1,648
SP-C_LB_Close,2,2,,37,230,,0,649
SP-C_LB_Close,2,2,,38,150,,1,1154
SP-C_LB_Close,2,3,226.bmp,,,,,
SP-C_LB_Close,2,4,,1,192,,0,3976
SP-C_LB_Close,2,4,,2,141,,1,1208
SP-C_LB_Close,2,4,,3,49,,1,1105
SP-C_LB_Close,2,4,,4,159,,1,1244
SP-C_LB_Close,2,4,,5,283,,0,1056
SP-C_LB_Close,2,4,,6,94,,1,1074
SP-C_LB_Close,2,4,,7,63,,1,548
SP-C_LB_Close,2,4,,8,106,,1,764
SP-C_LB_Close,2,4,,9,16,,1,906
SP-C_LB_Close,2,4,,10,206,,0,557
SP-C_LB_Close,2,4,,11,294,,0,676
SP-C_LB_Close,2,4,,12,214,,0,1777
SP-C_LB_Close,2,4,,13,90,,1,780
SP-C_LB_Close,2,4,,14,137,,1,985
SP-C_LB_Close,2,4,,15,126,,1,1114
SP-C_LB_Close,2,4,,16,105,,1,1963
SP-C_LB_Close,2,4,,17,255,,0,671
SP-C_LB_Close,2,4,,18,52,,1,503
SP-C_LB_Close,2,4,,19,1,,1,1633
SP-C_LB_Close,2,4,,20,243,,0,577
SP-C_LB_Close,2,4,,21,180,,1,1639
SP-C_LB_Close,2,4,,22,92,,1,1766
SP-C_LB_Close,2,4,,23,268,,0,1123
SP-C_LB_Close,2,4,,24,100,,1,1994
SP-C_LB_Close,2,4,,25,9,,1,801
SP-C_LB_Close,2,4,,26,235,,0,754
SP-C_LB_Close,2,4,,27,269,,0,856
SP-C_LB_Close,2,4,,28,234,,0,530
SP-C_LB_Close,2,4,,29,13,,1,525
SP-C_LB_Close,2,4,,30,273,,0,521
SP-C_LB_Close,2,4,,31,18,,1,466
SP-C_LB_Close,2,4,,32,242,,0,556
SP-C_LB_Close,2,4,,33,252,,0,914
SP-C_LB_Close,2,4,,34,207,,0,986
SP-C_LB_Close,2,4,,35,35,,1,747
SP-C_LB_Close,2,4,,36,150,,1,2653
SP-C_LB_Close,2,4,,37,286,,0,810
SP-C_LB_Close,2,4,,38,209,,0,1434
SP-C_LB_Close,2,4,,39,85,,1,477
SP-C_LB_Close,2,4,,40,282,,0,586
SP-C_LB_Close,2,4,,41,145,,1,598
SP-C_LB_Close,2,4,,42,101,,1,688
SP-C_LB_Close,2,4,,43,12,,1,569
SP-C_LB_Close,2,4,,44,143,,0,1198
SP-C_LB_Close,2,4,,45,200,,0,2148
SP-C_LB_Close,2,4,,46,136,,0,1610
SP-C_LB_Close,2,4,,47,69,,1,785
