C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_LB_Close-41-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Close,41,1,,1,30,,1,7116
SP-C_LB_Close,41,1,,2,30,,1,1674
SP-C_LB_Close,41,1,,3,170,,1,2170
SP-C_LB_Close,41,1,,4,170,,1,1206
SP-C_LB_Close,41,1,,5,30,,1,736
SP-C_LB_Close,41,1,,6,170,,1,934
SP-C_LB_Close,41,1,,7,170,,1,523
SP-C_LB_Close,41,1,,8,30,,1,737
SP-C_LB_Close,41,1,,9,30,,1,615
SP-C_LB_Close,41,1,,10,30,,1,393
SP-C_LB_Close,41,1,,11,170,,1,604
SP-C_LB_Close,41,1,,12,30,,1,670
SP-C_LB_Close,41,1,,13,30,,0,454
SP-C_LB_Close,41,1,,14,30,,1,653
SP-C_LB_Close,41,1,,15,170,,1,935
SP-C_LB_Close,41,1,,16,170,,1,1084
SP-C_LB_Close,41,1,,17,30,,1,677
SP-C_LB_Close,41,1,,18,170,,1,629
SP-C_LB_Close,41,1,,19,170,,1,783
SP-C_LB_Close,41,1,,20,170,,1,699
SP-C_LB_Close,41,2,,1,180,,0,3432
SP-C_LB_Close,41,2,,2,160,,0,1058
SP-C_LB_Close,41,2,,3,70,,1,1083
SP-C_LB_Close,41,2,,4,100,,1,658
SP-C_LB_Close,41,2,,5,120,,0,4330
SP-C_LB_Close,41,2,,6,190,,0,4400
SP-C_LB_Close,41,2,,7,110,,1,1211
SP-C_LB_Close,41,2,,8,120,,1,1302
SP-C_LB_Close,41,2,,9,220,,0,797
SP-C_LB_Close,41,2,,10,180,,0,1192
SP-C_LB_Close,41,2,,11,150,,1,4091
SP-C_LB_Close,41,2,,12,170,,1,1107
SP-C_LB_Close,41,2,,13,150,,1,1001
SP-C_LB_Close,41,2,,14,90,,1,1003
SP-C_LB_Close,41,2,,15,80,,1,1574
SP-C_LB_Close,41,2,,16,60,,1,1002
SP-C_LB_Close,41,2,,17,200,,0,1525
SP-C_LB_Close,41,2,,18,110,,1,995
SP-C_LB_Close,41,2,,19,100,,1,806
SP-C_LB_Close,41,2,,20,210,,0,705
SP-C_LB_Close,41,2,,21,200,,0,823
SP-C_LB_Close,41,2,,22,140,,1,635
SP-C_LB_Close,41,2,,23,230,,0,724
SP-C_LB_Close,41,2,,24,240,,0,946
SP-C_LB_Close,41,2,,25,210,,0,703
SP-C_LB_Close,41,2,,26,130,,1,790
SP-C_LB_Close,41,2,,27,60,,1,649
SP-C_LB_Close,41,2,,28,70,,1,1258
SP-C_LB_Close,41,2,,29,230,,0,555
SP-C_LB_Close,41,2,,30,220,,0,1407
SP-C_LB_Close,41,2,,31,90,,1,530
SP-C_LB_Close,41,2,,32,160,,1,920
SP-C_LB_Close,41,2,,33,240,,0,606
SP-C_LB_Close,41,2,,34,130,,1,2161
SP-C_LB_Close,41,2,,35,80,,1,678
