C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_LB_Control-10-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Control,10,1,,1,30,,0,9261
SP-C_LB_Control,10,1,,2,30,,1,1406
SP-C_LB_Control,10,1,,3,170,,0,2617
SP-C_LB_Control,10,1,,4,30,,0,1171
SP-C_LB_Control,10,1,,5,170,,1,7102
SP-C_LB_Control,10,1,,6,170,,1,1893
SP-C_LB_Control,10,1,,7,30,,1,1268
SP-C_LB_Control,10,1,,8,30,,1,3076
SP-C_LB_Control,10,1,,9,30,,1,1484
SP-C_LB_Control,10,1,,10,170,,1,1155
SP-C_LB_Control,10,1,,11,170,,1,928
SP-C_LB_Control,10,1,,12,170,,1,1126
SP-C_LB_Control,10,1,,13,30,,1,1275
SP-C_LB_Control,10,1,,14,30,,1,1037
SP-C_LB_Control,10,1,,15,170,,1,1582
SP-C_LB_Control,10,1,,16,30,,1,2089
SP-C_LB_Control,10,1,,17,170,,1,688
SP-C_LB_Control,10,1,,18,170,,1,720
SP-C_LB_Control,10,1,,19,170,,1,486
SP-C_LB_Control,10,1,,20,30,,1,477
SP-C_LB_Control,10,2,,1,230,,0,3502
SP-C_LB_Control,10,2,,2,90,,1,1045
SP-C_LB_Control,10,2,,3,220,,0,774
SP-C_LB_Control,10,2,,4,140,,1,2866
SP-C_LB_Control,10,2,,5,60,,1,858
SP-C_LB_Control,10,2,,6,160,,0,739
SP-C_LB_Control,10,2,,7,110,,1,2936
SP-C_LB_Control,10,2,,8,90,,1,2190
SP-C_LB_Control,10,2,,9,210,,0,936
SP-C_LB_Control,10,2,,10,120,,1,846
SP-C_LB_Control,10,2,,11,100,,1,695
SP-C_LB_Control,10,2,,12,100,,1,630
SP-C_LB_Control,10,2,,13,220,,0,600
SP-C_LB_Control,10,2,,14,160,,0,691
SP-C_LB_Control,10,2,,15,70,,1,715
SP-C_LB_Control,10,2,,16,230,,0,673
SP-C_LB_Control,10,2,,17,80,,1,689
