C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_LB_Control-49-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Control,49,1,,1,170,,0,7550
SP-C_LB_Control,49,1,,2,170,,1,1851
SP-C_LB_Control,49,1,,3,30,,1,7020
SP-C_LB_Control,49,1,,4,170,,1,1566
SP-C_LB_Control,49,1,,5,30,,1,970
SP-C_LB_Control,49,1,,6,170,,1,1158
SP-C_LB_Control,49,1,,7,30,,1,1763
SP-C_LB_Control,49,1,,8,30,,1,1031
SP-C_LB_Control,49,1,,9,170,,1,953
SP-C_LB_Control,49,1,,10,170,,1,806
SP-C_LB_Control,49,1,,11,170,,1,616
SP-C_LB_Control,49,1,,12,170,,1,561
SP-C_LB_Control,49,1,,13,30,,1,534
SP-C_LB_Control,49,1,,14,30,,1,1180
SP-C_LB_Control,49,1,,15,30,,1,760
SP-C_LB_Control,49,1,,16,170,,1,596
SP-C_LB_Control,49,1,,17,30,,1,856
SP-C_LB_Control,49,1,,18,170,,1,617
SP-C_LB_Control,49,1,,19,30,,1,667
SP-C_LB_Control,49,1,,20,30,,1,723
SP-C_LB_Control,49,2,,1,150,,0,3338
SP-C_LB_Control,49,2,,2,190,,0,1743
SP-C_LB_Control,49,2,,3,60,,1,1381
SP-C_LB_Control,49,2,,4,120,,0,945
SP-C_LB_Control,49,2,,5,240,,0,3638
SP-C_LB_Control,49,2,,6,170,,0,1416
SP-C_LB_Control,49,2,,7,160,,0,1874
SP-C_LB_Control,49,2,,8,70,,1,1609
SP-C_LB_Control,49,2,,9,90,,1,948
SP-C_LB_Control,49,2,,10,80,,1,1066
SP-C_LB_Control,49,2,,11,130,,0,1082
SP-C_LB_Control,49,2,,12,150,,0,1194
SP-C_LB_Control,49,2,,13,140,,0,966
SP-C_LB_Control,49,2,,14,100,,0,4002
SP-C_LB_Control,49,2,,15,130,,0,1101
SP-C_LB_Control,49,2,,16,180,,0,1108
SP-C_LB_Control,49,2,,17,110,,0,2746
SP-C_LB_Control,49,2,,18,210,,0,959
SP-C_LB_Control,49,2,,19,230,,0,1532
SP-C_LB_Control,49,2,,20,200,,0,1146
SP-C_LB_Control,49,2,,21,200,,0,991
SP-C_LB_Control,49,2,,22,220,,0,971
SP-C_LB_Control,49,2,,23,100,,0,3143
SP-C_LB_Control,49,2,,24,90,,0,996
SP-C_LB_Control,49,2,,25,70,,1,1024
SP-C_LB_Control,49,2,,26,240,,0,1002
SP-C_LB_Control,49,2,,27,160,,0,1028
SP-C_LB_Control,49,2,,28,180,,0,814
SP-C_LB_Control,49,2,,29,120,,0,1265
SP-C_LB_Control,49,2,,30,230,,0,618
SP-C_LB_Control,49,2,,31,60,,1,643
SP-C_LB_Control,49,2,,32,80,,1,516
SP-C_LB_Control,49,2,,33,210,,0,538
SP-C_LB_Control,49,2,,34,140,,0,712
SP-C_LB_Control,49,2,,35,190,,0,534
SP-C_LB_Control,49,2,,36,220,,0,548
SP-C_LB_Control,49,2,,37,110,,1,1233
SP-C_LB_Control,49,2,,38,170,,0,1043
SP-C_LB_Control,49,3,175.bmp,,,,,
SP-C_LB_Control,49,4,,1,27,,1,4236
SP-C_LB_Control,49,4,,2,258,,0,2390
SP-C_LB_Control,49,4,,3,231,,0,2155
SP-C_LB_Control,49,4,,4,204,,0,1625
SP-C_LB_Control,49,4,,5,226,,0,1486
SP-C_LB_Control,49,4,,6,199,,0,1967
SP-C_LB_Control,49,4,,7,274,,0,1365
SP-C_LB_Control,49,4,,8,114,,1,4967
SP-C_LB_Control,49,4,,9,272,,0,1227
SP-C_LB_Control,49,4,,10,235,,0,3575
SP-C_LB_Control,49,4,,11,56,,1,1784
SP-C_LB_Control,49,4,,12,92,,1,1533
SP-C_LB_Control,49,4,,13,176,,0,3411
SP-C_LB_Control,49,4,,14,66,,1,1377
