C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_LB_Dead-3-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Dead,3,1,,1,170,,0,6767
SP-C_LB_Dead,3,1,,2,170,,1,1379
SP-C_LB_Dead,3,1,,3,30,,0,1655
SP-C_LB_Dead,3,1,,4,170,,0,1008
SP-C_LB_Dead,3,1,,5,170,,1,4090
SP-C_LB_Dead,3,1,,6,30,,1,1385
SP-C_LB_Dead,3,1,,7,170,,1,1797
SP-C_LB_Dead,3,1,,8,170,,1,896
SP-C_LB_Dead,3,1,,9,30,,1,911
SP-C_LB_Dead,3,1,,10,30,,1,998
SP-C_LB_Dead,3,1,,11,170,,1,1529
SP-C_LB_Dead,3,1,,12,170,,1,703
SP-C_LB_Dead,3,1,,13,30,,1,613
SP-C_LB_Dead,3,1,,14,30,,1,600
SP-C_LB_Dead,3,1,,15,30,,1,410
SP-C_LB_Dead,3,1,,16,30,,1,357
SP-C_LB_Dead,3,1,,17,170,,1,561
SP-C_LB_Dead,3,1,,18,30,,1,758
SP-C_LB_Dead,3,1,,19,30,,1,395
SP-C_LB_Dead,3,1,,20,170,,1,430
SP-C_LB_Dead,3,2,,1,90,,1,2298
SP-C_LB_Dead,3,2,,2,100,,1,841
SP-C_LB_Dead,3,2,,3,230,,0,2122
SP-C_LB_Dead,3,2,,4,160,,0,976
SP-C_LB_Dead,3,2,,5,60,,1,836
SP-C_LB_Dead,3,2,,6,140,,0,846
SP-C_LB_Dead,3,2,,7,110,,0,2087
SP-C_LB_Dead,3,2,,8,70,,1,871
SP-C_LB_Dead,3,2,,9,60,,1,647
SP-C_LB_Dead,3,2,,10,240,,0,584
SP-C_LB_Dead,3,2,,11,150,,0,715
SP-C_LB_Dead,3,2,,12,170,,0,634
SP-C_LB_Dead,3,2,,13,120,,0,835
SP-C_LB_Dead,3,2,,14,230,,0,1165
SP-C_LB_Dead,3,2,,15,200,,0,1458
SP-C_LB_Dead,3,2,,16,220,,0,1010
SP-C_LB_Dead,3,2,,17,220,,0,804
SP-C_LB_Dead,3,2,,18,190,,0,807
SP-C_LB_Dead,3,2,,19,120,,1,617
SP-C_LB_Dead,3,2,,20,70,,1,499
SP-C_LB_Dead,3,2,,21,160,,0,1122
SP-C_LB_Dead,3,2,,22,80,,1,1072
SP-C_LB_Dead,3,2,,23,210,,0,512
SP-C_LB_Dead,3,2,,24,80,,1,455
SP-C_LB_Dead,3,2,,25,130,,0,632
SP-C_LB_Dead,3,2,,26,200,,0,570
SP-C_LB_Dead,3,2,,27,170,,0,414
SP-C_LB_Dead,3,2,,28,210,,0,520
SP-C_LB_Dead,3,2,,29,240,,0,486
SP-C_LB_Dead,3,2,,30,180,,0,510
SP-C_LB_Dead,3,2,,31,100,,1,628
SP-C_LB_Dead,3,2,,32,180,,0,598
SP-C_LB_Dead,3,2,,33,110,,1,474
SP-C_LB_Dead,3,2,,34,140,,0,1050
SP-C_LB_Dead,3,2,,35,130,,0,571
SP-C_LB_Dead,3,2,,36,90,,1,447
SP-C_LB_Dead,3,2,,37,150,,0,464
SP-C_LB_Dead,3,2,,38,190,,0,449
