C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_LB_Dead-43-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Dead,43,1,,1,170,,1,11113
SP-C_LB_Dead,43,1,,2,170,,1,2328
SP-C_LB_Dead,43,1,,3,30,,1,4254
SP-C_LB_Dead,43,1,,4,30,,1,1119
SP-C_LB_Dead,43,1,,5,30,,1,1012
SP-C_LB_Dead,43,1,,6,170,,1,783
SP-C_LB_Dead,43,1,,7,170,,1,2098
SP-C_LB_Dead,43,1,,8,170,,1,945
SP-C_LB_Dead,43,1,,9,30,,1,847
SP-C_LB_Dead,43,1,,10,170,,1,759
SP-C_LB_Dead,43,1,,11,30,,1,804
SP-C_LB_Dead,43,1,,12,30,,1,647
SP-C_LB_Dead,43,1,,13,30,,1,560
SP-C_LB_Dead,43,1,,14,30,,1,572
SP-C_LB_Dead,43,1,,15,30,,1,536
SP-C_LB_Dead,43,1,,16,170,,1,750
SP-C_LB_Dead,43,1,,17,170,,1,522
SP-C_LB_Dead,43,1,,18,170,,1,456
SP-C_LB_Dead,43,1,,19,30,,1,545
SP-C_LB_Dead,43,1,,20,170,,1,423
SP-C_LB_Dead,43,2,,1,230,,0,4338
SP-C_LB_Dead,43,2,,2,180,,0,1216
SP-C_LB_Dead,43,2,,3,140,,0,1074
SP-C_LB_Dead,43,2,,4,240,,1,1074
SP-C_LB_Dead,43,2,,5,130,,1,2569
SP-C_LB_Dead,43,2,,6,230,,0,1367
SP-C_LB_Dead,43,2,,7,130,,0,4163
SP-C_LB_Dead,43,2,,8,210,,1,1048
SP-C_LB_Dead,43,2,,9,110,,0,544
SP-C_LB_Dead,43,2,,10,160,,0,5749
SP-C_LB_Dead,43,2,,11,60,,1,922
SP-C_LB_Dead,43,2,,12,170,,0,824
SP-C_LB_Dead,43,2,,13,120,,0,1227
SP-C_LB_Dead,43,2,,14,190,,0,4637
SP-C_LB_Dead,43,2,,15,200,,0,1270
SP-C_LB_Dead,43,2,,16,70,,1,757
SP-C_LB_Dead,43,2,,17,150,,0,777
SP-C_LB_Dead,43,2,,18,140,,0,487
SP-C_LB_Dead,43,2,,19,80,,1,606
SP-C_LB_Dead,43,2,,20,220,,0,681
SP-C_LB_Dead,43,2,,21,170,,0,1577
SP-C_LB_Dead,43,2,,22,150,,0,2341
SP-C_LB_Dead,43,2,,23,210,,0,674
SP-C_LB_Dead,43,2,,24,90,,1,482
SP-C_LB_Dead,43,2,,25,100,,1,474
SP-C_LB_Dead,43,2,,26,90,,1,514
SP-C_LB_Dead,43,2,,27,200,,0,1529
SP-C_LB_Dead,43,2,,28,220,,0,623
SP-C_LB_Dead,43,2,,29,120,,1,937
SP-C_LB_Dead,43,2,,30,110,,1,535
SP-C_LB_Dead,43,2,,31,80,,1,452
SP-C_LB_Dead,43,2,,32,180,,0,508
SP-C_LB_Dead,43,2,,33,240,,0,434
SP-C_LB_Dead,43,2,,34,160,,0,780
SP-C_LB_Dead,43,2,,35,60,,1,480
SP-C_LB_Dead,43,2,,36,70,,1,384
SP-C_LB_Dead,43,2,,37,190,,0,507
SP-C_LB_Dead,43,2,,38,100,,1,682
SP-C_LB_Dead,43,3,155.bmp,,,,,
SP-C_LB_Dead,43,4,,1,215,,0,2062
SP-C_LB_Dead,43,4,,2,292,,0,1067
SP-C_LB_Dead,43,4,,3,185,,0,1012
SP-C_LB_Dead,43,4,,4,40,,1,866
SP-C_LB_Dead,43,4,,5,45,,1,756
SP-C_LB_Dead,43,4,,6,135,,1,2190
SP-C_LB_Dead,43,4,,7,186,,0,893
SP-C_LB_Dead,43,4,,8,164,,1,2102
SP-C_LB_Dead,43,4,,9,181,,0,1265
SP-C_LB_Dead,43,4,,10,228,,0,800
SP-C_LB_Dead,43,4,,11,114,,1,812
SP-C_LB_Dead,43,4,,12,295,,0,637
SP-C_LB_Dead,43,4,,13,167,,0,2074
SP-C_LB_Dead,43,4,,14,155,,0,1326
SP-C_LB_Dead,43,4,,15,232,,0,682
SP-C_LB_Dead,43,4,,16,74,,1,652
SP-C_LB_Dead,43,4,,17,7,,1,702
SP-C_LB_Dead,43,4,,18,66,,1,850
SP-C_LB_Dead,43,4,,19,225,,0,579
SP-C_LB_Dead,43,4,,20,77,,1,628
SP-C_LB_Dead,43,4,,21,288,,0,663
SP-C_LB_Dead,43,4,,22,37,,1,627
SP-C_LB_Dead,43,4,,23,49,,1,609
SP-C_LB_Dead,43,4,,24,33,,1,563
SP-C_LB_Dead,43,4,,25,252,,0,544
SP-C_LB_Dead,43,4,,26,287,,0,633
SP-C_LB_Dead,43,4,,27,242,,0,591
SP-C_LB_Dead,43,4,,28,100,,1,576
SP-C_LB_Dead,43,4,,29,55,,1,638
SP-C_LB_Dead,43,4,,30,116,,1,654
SP-C_LB_Dead,43,4,,31,281,,0,643
SP-C_LB_Dead,43,4,,32,5,,1,587
SP-C_LB_Dead,43,4,,33,152,,0,2835
SP-C_LB_Dead,43,4,,34,160,,0,1130
SP-C_LB_Dead,43,4,,35,259,,0,735
SP-C_LB_Dead,43,4,,36,266,,0,568
SP-C_LB_Dead,43,4,,37,286,,0,628
SP-C_LB_Dead,43,4,,38,199,,0,2190
SP-C_LB_Dead,43,4,,39,159,,0,1344
SP-C_LB_Dead,43,4,,40,96,,1,723
SP-C_LB_Dead,43,4,,41,220,,0,693
SP-C_LB_Dead,43,4,,42,279,,0,796
SP-C_LB_Dead,43,4,,43,249,,0,723
SP-C_LB_Dead,43,4,,44,206,,0,917
SP-C_LB_Dead,43,4,,45,237,,0,588
SP-C_LB_Dead,43,4,,46,92,,1,664
SP-C_LB_Dead,43,4,,47,248,,0,504
SP-C_LB_Dead,43,4,,48,46,,1,664
SP-C_LB_Dead,43,4,,49,53,,1,607
SP-C_LB_Dead,43,4,,50,98,,1,592
SP-C_LB_Dead,43,4,,51,60,,1,552
SP-C_LB_Dead,43,4,,52,87,,1,511
SP-C_LB_Dead,43,4,,53,240,,0,510
SP-C_LB_Dead,43,4,,54,297,,0,566
SP-C_LB_Dead,43,4,,55,113,,1,806
SP-C_LB_Dead,43,4,,56,123,,1,611
SP-C_LB_Dead,43,4,,57,212,,0,871
SP-C_LB_Dead,43,4,,58,58,,1,590
SP-C_LB_Dead,43,4,,59,51,,1,555
SP-C_LB_Dead,43,4,,60,197,,0,827
SP-C_LB_Dead,43,4,,61,296,,0,1193
SP-C_LB_Dead,43,4,,62,11,,1,667
SP-C_LB_Dead,43,4,,63,3,,1,575
SP-C_LB_Dead,43,4,,64,236,,0,600
SP-C_LB_Dead,43,4,,65,26,,1,588
SP-C_LB_Dead,43,4,,66,194,,0,813
SP-C_LB_Dead,43,4,,67,16,,1,588
SP-C_LB_Dead,43,4,,68,184,,0,1103
SP-C_LB_Dead,43,4,,69,233,,0,698
SP-C_LB_Dead,43,4,,70,84,,1,705
SP-C_LB_Dead,43,4,,71,10,,1,612
SP-C_LB_Dead,43,4,,72,294,,0,599
