C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_LB_Far-8-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Far,8,1,,1,30,,1,6855
SP-C_LB_Far,8,1,,2,30,,1,1400
SP-C_LB_Far,8,1,,3,170,,1,971
SP-C_LB_Far,8,1,,4,170,,1,486
SP-C_LB_Far,8,1,,5,170,,1,926
SP-C_LB_Far,8,1,,6,30,,1,804
SP-C_LB_Far,8,1,,7,30,,1,990
SP-C_LB_Far,8,1,,8,170,,1,698
SP-C_LB_Far,8,1,,9,30,,1,1144
SP-C_LB_Far,8,1,,10,170,,1,557
SP-C_LB_Far,8,1,,11,170,,1,730
SP-C_LB_Far,8,1,,12,170,,1,512
SP-C_LB_Far,8,1,,13,170,,1,550
SP-C_LB_Far,8,1,,14,30,,1,419
SP-C_LB_Far,8,1,,15,30,,1,693
SP-C_LB_Far,8,1,,16,170,,1,557
SP-C_LB_Far,8,1,,17,170,,1,761
SP-C_LB_Far,8,1,,18,30,,1,782
SP-C_LB_Far,8,1,,19,30,,1,610
SP-C_LB_Far,8,1,,20,30,,1,500
SP-C_LB_Far,8,2,,1,80,,1,4386
SP-C_LB_Far,8,2,,2,160,,0,582
SP-C_LB_Far,8,2,,3,240,,0,1154
SP-C_LB_Far,8,2,,4,90,,1,711
SP-C_LB_Far,8,2,,5,150,,0,629
SP-C_LB_Far,8,2,,6,230,,0,559
SP-C_LB_Far,8,2,,7,180,,0,1204
SP-C_LB_Far,8,2,,8,170,,0,1038
SP-C_LB_Far,8,2,,9,110,,1,895
SP-C_LB_Far,8,2,,10,120,,1,694
SP-C_LB_Far,8,2,,11,110,,1,622
SP-C_LB_Far,8,2,,12,60,,1,544
SP-C_LB_Far,8,2,,13,80,,1,645
SP-C_LB_Far,8,2,,14,140,,0,655
SP-C_LB_Far,8,2,,15,140,,0,543
SP-C_LB_Far,8,2,,16,150,,0,413
SP-C_LB_Far,8,2,,17,100,,0,1599
SP-C_LB_Far,8,2,,18,160,,0,1202
SP-C_LB_Far,8,2,,19,220,,0,861
SP-C_LB_Far,8,2,,20,210,,0,1405
SP-C_LB_Far,8,2,,21,170,,0,1248
SP-C_LB_Far,8,2,,22,120,,1,802
SP-C_LB_Far,8,2,,23,210,,0,708
SP-C_LB_Far,8,2,,24,190,,0,3811
SP-C_LB_Far,8,2,,25,190,,0,429
SP-C_LB_Far,8,2,,26,90,,1,575
SP-C_LB_Far,8,2,,27,130,,1,1419
SP-C_LB_Far,8,2,,28,70,,1,725
SP-C_LB_Far,8,2,,29,60,,1,531
SP-C_LB_Far,8,2,,30,180,,0,561
SP-C_LB_Far,8,2,,31,200,,0,710
SP-C_LB_Far,8,2,,32,200,,0,412
SP-C_LB_Far,8,2,,33,100,,1,615
SP-C_LB_Far,8,2,,34,240,,0,642
SP-C_LB_Far,8,2,,35,230,,0,403
SP-C_LB_Far,8,2,,36,130,,1,606
SP-C_LB_Far,8,2,,37,220,,0,1913
SP-C_LB_Far,8,2,,38,70,,1,631
SP-C_LB_Far,8,3,45.bmp,,,,,
SP-C_LB_Far,8,4,,1,174,,0,2808
SP-C_LB_Far,8,4,,2,260,,0,1243
SP-C_LB_Far,8,4,,3,297,,0,1419
SP-C_LB_Far,8,4,,4,103,,1,1955
SP-C_LB_Far,8,4,,5,48,,1,884
SP-C_LB_Far,8,4,,6,105,,1,754
SP-C_LB_Far,8,4,,7,191,,0,1533
SP-C_LB_Far,8,4,,8,299,,0,735
SP-C_LB_Far,8,4,,9,240,,0,733
SP-C_LB_Far,8,4,,10,213,,0,930
SP-C_LB_Far,8,4,,11,264,,0,844
SP-C_LB_Far,8,4,,12,61,,1,747
SP-C_LB_Far,8,4,,13,255,,0,1573
SP-C_LB_Far,8,4,,14,245,,0,774
SP-C_LB_Far,8,4,,15,192,,0,1021
SP-C_LB_Far,8,4,,16,144,,1,727
SP-C_LB_Far,8,4,,17,96,,1,804
SP-C_LB_Far,8,4,,18,209,,0,944
SP-C_LB_Far,8,4,,19,89,,1,738
SP-C_LB_Far,8,4,,20,113,,1,1141
SP-C_LB_Far,8,4,,21,183,,0,667
SP-C_LB_Far,8,4,,22,106,,1,599
SP-C_LB_Far,8,4,,23,94,,1,939
SP-C_LB_Far,8,4,,24,148,,0,15903
SP-C_LB_Far,8,4,,25,274,,0,844
SP-C_LB_Far,8,4,,26,24,,1,697
SP-C_LB_Far,8,4,,27,92,,1,711
SP-C_LB_Far,8,4,,28,296,,0,717
SP-C_LB_Far,8,4,,29,25,,1,600
SP-C_LB_Far,8,4,,30,20,,1,601
SP-C_LB_Far,8,4,,31,133,,0,1411
SP-C_LB_Far,8,4,,32,286,,0,593
SP-C_LB_Far,8,4,,33,119,,0,1157
SP-C_LB_Far,8,4,,34,42,,1,638
SP-C_LB_Far,8,4,,35,265,,0,577
SP-C_LB_Far,8,4,,36,185,,0,843
SP-C_LB_Far,8,4,,37,165,,0,2993
SP-C_LB_Far,8,4,,38,217,,0,817
SP-C_LB_Far,8,4,,39,236,,0,650
SP-C_LB_Far,8,4,,40,17,,1,651
SP-C_LB_Far,8,4,,41,193,,0,706
SP-C_LB_Far,8,4,,42,32,,1,585
SP-C_LB_Far,8,4,,43,121,,0,1254
SP-C_LB_Far,8,4,,44,146,,0,998
SP-C_LB_Far,8,4,,45,18,,1,647
SP-C_LB_Far,8,4,,46,75,,1,892
SP-C_LB_Far,8,4,,47,153,,0,649
SP-C_LB_Far,8,4,,48,99,,1,1736
SP-C_LB_Far,8,4,,49,130,,0,971
SP-C_LB_Far,8,4,,50,3,,1,967
SP-C_LB_Far,8,4,,51,154,,0,3945
SP-C_LB_Far,8,4,,52,272,,0,671
SP-C_LB_Far,8,4,,53,128,,0,1713
SP-C_LB_Far,8,4,,54,97,,0,925
SP-C_LB_Far,8,4,,55,107,,0,1606
SP-C_LB_Far,8,4,,56,64,,1,774
SP-C_LB_Far,8,4,,57,68,,1,592
SP-C_LB_Far,8,4,,58,29,,1,969
SP-C_LB_Far,8,4,,59,203,,0,634
SP-C_LB_Far,8,4,,60,269,,0,564
SP-C_LB_Far,8,4,,61,281,,0,738
SP-C_LB_Far,8,4,,62,120,,0,1104
SP-C_LB_Far,8,4,,63,161,,0,652
SP-C_LB_Far,8,4,,64,93,,1,602
SP-C_LB_Far,8,4,,65,290,,0,609
SP-C_LB_Far,8,4,,66,155,,0,949
SP-C_LB_Far,8,4,,67,159,,0,908
SP-C_LB_Far,8,4,,68,19,,1,619
SP-C_LB_Far,8,4,,69,118,,0,4952
SP-C_LB_Far,8,4,,70,250,,0,728
SP-C_LB_Far,8,4,,71,15,,1,528
SP-C_LB_Far,8,4,,72,5,,1,726
SP-C_LB_Far,8,4,,73,13,,1,682
SP-C_LB_Far,8,4,,74,38,,1,1403
SP-C_LB_Far,8,4,,75,122,,0,808
SP-C_LB_Far,8,4,,76,198,,0,581
SP-C_LB_Far,8,4,,77,102,,0,1531
SP-C_LB_Far,8,4,,78,79,,1,1823
SP-C_LB_Far,8,4,,79,292,,0,582
SP-C_LB_Far,8,4,,80,190,,0,780
SP-C_LB_Far,8,4,,81,179,,0,579
SP-C_LB_Far,8,4,,82,138,,0,857
SP-C_LB_Far,8,4,,83,10,,1,642
SP-C_LB_Far,8,4,,84,27,,1,604
SP-C_LB_Far,8,4,,85,230,,0,630
SP-C_LB_Far,8,4,,86,259,,0,623
SP-C_LB_Far,8,4,,87,81,,1,2832
SP-C_LB_Far,8,4,,88,72,,1,2707
SP-C_LB_Far,8,4,,89,137,,0,7807
SP-C_LB_Far,8,4,,90,256,,0,597
SP-C_LB_Far,8,4,,91,22,,1,639
SP-C_LB_Far,8,4,,92,173,,0,1228
SP-C_LB_Far,8,4,,93,294,,0,966
SP-C_LB_Far,8,4,,94,228,,0,530
SP-C_LB_Far,8,4,,95,284,,0,498
SP-C_LB_Far,8,4,,96,140,,0,2378
SP-C_LB_Far,8,4,,97,172,,0,1276
SP-C_LB_Far,8,4,,98,49,,1,564
SP-C_LB_Far,8,4,,99,9,,1,570
SP-C_LB_Far,8,4,,100,152,,0,688
SP-C_LB_Far,8,4,,101,59,,1,1952
SP-C_LB_Far,8,4,,102,55,,1,627
SP-C_LB_Far,8,4,,103,127,,0,786
SP-C_LB_Far,8,4,,104,178,,0,636
SP-C_LB_Far,8,4,,105,225,,0,654
SP-C_LB_Far,8,4,,106,289,,0,4172
SP-C_LB_Far,8,4,,107,246,,0,593
SP-C_LB_Far,8,4,,108,39,,1,657
SP-C_LB_Far,8,4,,109,206,,0,523
SP-C_LB_Far,8,4,,110,134,,0,1045
SP-C_LB_Far,8,4,,111,150,,0,597
SP-C_LB_Far,8,4,,112,212,,0,462
SP-C_LB_Far,8,4,,113,243,,0,569
SP-C_LB_Far,8,4,,114,71,,1,665
SP-C_LB_Far,8,4,,115,12,,1,665
SP-C_LB_Far,8,4,,116,276,,0,1169
SP-C_LB_Far,8,4,,117,83,,1,2446
SP-C_LB_Far,8,4,,118,164,,0,922
SP-C_LB_Far,8,4,,119,235,,0,1937
SP-C_LB_Far,8,4,,120,117,,0,4229
SP-C_LB_Far,8,4,,121,129,,0,843
SP-C_LB_Far,8,4,,122,66,,1,671
SP-C_LB_Far,8,4,,123,181,,0,623
SP-C_LB_Far,8,4,,124,162,,0,668
SP-C_LB_Far,8,4,,125,62,,1,504
SP-C_LB_Far,8,4,,126,182,,0,662
SP-C_LB_Far,8,4,,127,145,,0,708
SP-C_LB_Far,8,4,,128,16,,1,640
SP-C_LB_Far,8,4,,129,239,,0,1034
SP-C_LB_Far,8,4,,130,151,,0,722
SP-C_LB_Far,8,4,,131,200,,0,653
SP-C_LB_Far,8,4,,132,216,,0,503
SP-C_LB_Far,8,4,,133,51,,1,620
SP-C_LB_Far,8,4,,134,202,,0,589
SP-C_LB_Far,8,4,,135,241,,0,629
SP-C_LB_Far,8,4,,136,244,,0,520
SP-C_LB_Far,8,4,,137,160,,0,1430
SP-C_LB_Far,8,4,,138,298,,0,591
SP-C_LB_Far,8,4,,139,219,,0,569
SP-C_LB_Far,8,4,,140,229,,0,1071
SP-C_LB_Far,8,4,,141,41,,1,646
SP-C_LB_Far,8,4,,142,116,,0,829
SP-C_LB_Far,8,4,,143,1,,1,1093
SP-C_LB_Far,8,4,,144,252,,0,973
SP-C_LB_Far,8,4,,145,224,,0,506
SP-C_LB_Far,8,4,,146,223,,0,590
SP-C_LB_Far,8,4,,147,238,,0,493
SP-C_LB_Far,8,4,,148,31,,1,1561
SP-C_LB_Far,8,4,,149,157,,0,890
SP-C_LB_Far,8,4,,150,111,,0,9930
SP-C_LB_Far,8,4,,151,124,,0,835
SP-C_LB_Far,8,4,,152,6,,1,570
SP-C_LB_Far,8,4,,153,278,,0,685
SP-C_LB_Far,8,4,,154,65,,1,994
SP-C_LB_Far,8,4,,155,40,,1,1083
SP-C_LB_Far,8,4,,156,74,,1,776
SP-C_LB_Far,8,4,,157,101,,0,1132
SP-C_LB_Far,8,4,,158,180,,0,1450
SP-C_LB_Far,8,4,,159,253,,0,558
SP-C_LB_Far,8,4,,160,254,,0,634
SP-C_LB_Far,8,4,,161,56,,1,1023
SP-C_LB_Far,8,4,,162,98,,1,757
SP-C_LB_Far,8,4,,163,28,,1,1025
SP-C_LB_Far,8,4,,164,163,,0,1055
SP-C_LB_Far,8,4,,165,142,,0,659
SP-C_LB_Far,8,4,,166,88,,0,6023
SP-C_LB_Far,8,4,,167,189,,0,783
SP-C_LB_Far,8,4,,168,69,,1,687
SP-C_LB_Far,8,4,,169,227,,0,615
SP-C_LB_Far,8,4,,170,166,,0,2009
SP-C_LB_Far,8,4,,171,67,,1,563
SP-C_LB_Far,8,4,,172,231,,0,1383
SP-C_LB_Far,8,4,,173,271,,0,561
SP-C_LB_Far,8,4,,174,90,,1,1485
SP-C_LB_Far,8,4,,175,222,,0,604
SP-C_LB_Far,8,4,,176,52,,1,1647
SP-C_LB_Far,8,4,,177,126,,0,1639
SP-C_LB_Far,8,4,,178,57,,1,746
SP-C_LB_Far,8,4,,179,226,,0,521
SP-C_LB_Far,8,4,,180,80,,1,579
SP-C_LB_Far,8,4,,181,36,,1,736
SP-C_LB_Far,8,4,,182,221,,0,555
SP-C_LB_Far,8,4,,183,167,,0,879
SP-C_LB_Far,8,4,,184,45,,1,532
SP-C_LB_Far,8,4,,185,8,,1,577
SP-C_LB_Far,8,4,,186,251,,0,498
SP-C_LB_Far,8,4,,187,143,,0,757
SP-C_LB_Far,8,4,,188,132,,0,630
SP-C_LB_Far,8,4,,189,169,,0,541
SP-C_LB_Far,8,4,,190,170,,0,629
SP-C_LB_Far,8,4,,191,112,,0,777
SP-C_LB_Far,8,4,,192,34,,1,800
