C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_LB_Mid-46-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Mid,46,1,,1,30,,1,5951
SP-C_LB_Mid,46,1,,2,170,,1,4123
SP-C_LB_Mid,46,1,,3,170,,1,2841
SP-C_LB_Mid,46,1,,4,30,,1,1602
SP-C_LB_Mid,46,1,,5,170,,1,1245
SP-C_LB_Mid,46,1,,6,170,,1,830
SP-C_LB_Mid,46,1,,7,170,,1,505
SP-C_LB_Mid,46,1,,8,30,,1,335
SP-C_LB_Mid,46,1,,9,30,,1,445
SP-C_LB_Mid,46,1,,10,30,,1,493
SP-C_LB_Mid,46,1,,11,30,,1,972
SP-C_LB_Mid,46,1,,12,30,,1,601
SP-C_LB_Mid,46,1,,13,170,,1,571
SP-C_LB_Mid,46,1,,14,30,,1,527
SP-C_LB_Mid,46,1,,15,170,,0,437
SP-C_LB_Mid,46,1,,16,170,,1,1534
SP-C_LB_Mid,46,1,,17,30,,1,645
SP-C_LB_Mid,46,1,,18,170,,1,694
SP-C_LB_Mid,46,1,,19,170,,1,564
SP-C_LB_Mid,46,1,,20,30,,1,424
SP-C_LB_Mid,46,2,,1,70,,1,2801
SP-C_LB_Mid,46,2,,2,220,,0,1732
SP-C_LB_Mid,46,2,,3,160,,0,1081
SP-C_LB_Mid,46,2,,4,240,,0,1225
SP-C_LB_Mid,46,2,,5,70,,1,699
SP-C_LB_Mid,46,2,,6,120,,0,1338
SP-C_LB_Mid,46,2,,7,80,,1,720
SP-C_LB_Mid,46,2,,8,180,,0,1374
SP-C_LB_Mid,46,2,,9,200,,0,1266
SP-C_LB_Mid,46,2,,10,130,,0,1138
SP-C_LB_Mid,46,2,,11,100,,1,608
SP-C_LB_Mid,46,2,,12,140,,0,786
SP-C_LB_Mid,46,2,,13,90,,1,694
SP-C_LB_Mid,46,2,,14,110,,1,605
SP-C_LB_Mid,46,2,,15,230,,0,864
SP-C_LB_Mid,46,2,,16,110,,1,649
SP-C_LB_Mid,46,2,,17,210,,0,690
SP-C_LB_Mid,46,2,,18,80,,1,569
SP-C_LB_Mid,46,2,,19,90,,1,564
SP-C_LB_Mid,46,2,,20,210,,0,585
SP-C_LB_Mid,46,2,,21,240,,0,581
SP-C_LB_Mid,46,2,,22,160,,0,1073
SP-C_LB_Mid,46,2,,23,60,,1,537
SP-C_LB_Mid,46,2,,24,130,,0,1062
SP-C_LB_Mid,46,2,,25,230,,0,839
