C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_RB_Close-12-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Close,12,1,,1,270,,1,13603
SP-C_RB_Close,12,1,,2,270,,1,3342
SP-C_RB_Close,12,1,,3,270,,1,1860
SP-C_RB_Close,12,1,,4,130,,1,2828
SP-C_RB_Close,12,1,,5,270,,1,2047
SP-C_RB_Close,12,1,,6,130,,1,1111
SP-C_RB_Close,12,1,,7,270,,1,2182
SP-C_RB_Close,12,1,,8,270,,1,1121
SP-C_RB_Close,12,1,,9,130,,1,887
SP-C_RB_Close,12,1,,10,130,,1,1687
SP-C_RB_Close,12,1,,11,130,,1,1718
SP-C_RB_Close,12,1,,12,130,,1,820
SP-C_RB_Close,12,1,,13,270,,1,806
SP-C_RB_Close,12,1,,14,270,,1,761
SP-C_RB_Close,12,1,,15,130,,1,414
SP-C_RB_Close,12,1,,16,130,,1,680
SP-C_RB_Close,12,1,,17,130,,1,488
SP-C_RB_Close,12,1,,18,130,,1,495
SP-C_RB_Close,12,1,,19,270,,1,790
SP-C_RB_Close,12,1,,20,270,,1,554
SP-C_RB_Close,12,2,,1,210,,0,2686
SP-C_RB_Close,12,2,,2,120,,1,717
SP-C_RB_Close,12,2,,3,150,,1,780
SP-C_RB_Close,12,2,,4,80,,1,4240
SP-C_RB_Close,12,2,,5,190,,0,681
SP-C_RB_Close,12,2,,6,220,,0,945
SP-C_RB_Close,12,2,,7,220,,0,518
SP-C_RB_Close,12,2,,8,210,,0,1708
SP-C_RB_Close,12,2,,9,130,,1,659
SP-C_RB_Close,12,2,,10,160,,1,507
SP-C_RB_Close,12,2,,11,120,,1,499
SP-C_RB_Close,12,2,,12,230,,0,626
SP-C_RB_Close,12,2,,13,190,,1,3852
SP-C_RB_Close,12,2,,14,70,,1,764
SP-C_RB_Close,12,2,,15,140,,1,1001
SP-C_RB_Close,12,2,,16,150,,1,635
SP-C_RB_Close,12,2,,17,130,,1,1005
SP-C_RB_Close,12,2,,18,80,,1,729
SP-C_RB_Close,12,2,,19,60,,1,599
