C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_RB_Control-20-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Control,20,1,,1,130,,0,10009
SP-C_RB_Control,20,1,,2,270,,1,3739
SP-C_RB_Control,20,1,,3,130,,1,4056
SP-C_RB_Control,20,1,,4,270,,1,2610
SP-C_RB_Control,20,1,,5,270,,1,2093
SP-C_RB_Control,20,1,,6,130,,1,1981
SP-C_RB_Control,20,1,,7,130,,1,1840
SP-C_RB_Control,20,1,,8,270,,1,1001
SP-C_RB_Control,20,1,,9,130,,1,1036
SP-C_RB_Control,20,1,,10,270,,1,1253
SP-C_RB_Control,20,1,,11,270,,1,1022
SP-C_RB_Control,20,1,,12,130,,1,1040
SP-C_RB_Control,20,1,,13,130,,1,1442
SP-C_RB_Control,20,1,,14,270,,1,898
SP-C_RB_Control,20,1,,15,130,,1,786
SP-C_RB_Control,20,1,,16,270,,1,694
SP-C_RB_Control,20,1,,17,130,,1,644
SP-C_RB_Control,20,1,,18,270,,1,574
SP-C_RB_Control,20,1,,19,130,,1,594
SP-C_RB_Control,20,1,,20,270,,1,557
SP-C_RB_Control,20,2,,1,80,,1,1404
SP-C_RB_Control,20,2,,2,150,,1,3581
SP-C_RB_Control,20,2,,3,220,,0,1209
SP-C_RB_Control,20,2,,4,180,,1,2517
SP-C_RB_Control,20,2,,5,230,,0,955
SP-C_RB_Control,20,2,,6,100,,1,2456
SP-C_RB_Control,20,2,,7,170,,1,3520
SP-C_RB_Control,20,2,,8,210,,0,1544
SP-C_RB_Control,20,2,,9,190,,0,2229
SP-C_RB_Control,20,2,,10,90,,1,1231
SP-C_RB_Control,20,2,,11,100,,1,2169
SP-C_RB_Control,20,2,,12,150,,1,2692
SP-C_RB_Control,20,2,,13,240,,0,940
SP-C_RB_Control,20,2,,14,70,,1,993
SP-C_RB_Control,20,2,,15,130,,1,1109
SP-C_RB_Control,20,2,,16,160,,1,2179
SP-C_RB_Control,20,2,,17,170,,1,1831
SP-C_RB_Control,20,2,,18,240,,0,793
SP-C_RB_Control,20,2,,19,110,,1,861
SP-C_RB_Control,20,2,,20,140,,1,1549
SP-C_RB_Control,20,2,,21,60,,1,1370
SP-C_RB_Control,20,2,,22,80,,1,1022
SP-C_RB_Control,20,2,,23,90,,1,1128
SP-C_RB_Control,20,2,,24,160,,1,5157
SP-C_RB_Control,20,2,,25,70,,1,834
SP-C_RB_Control,20,2,,26,120,,1,1548
SP-C_RB_Control,20,2,,27,110,,1,817
SP-C_RB_Control,20,2,,28,230,,0,882
SP-C_RB_Control,20,2,,29,130,,1,915
SP-C_RB_Control,20,2,,30,220,,0,794
SP-C_RB_Control,20,2,,31,190,,0,2709
SP-C_RB_Control,20,2,,32,180,,0,747
SP-C_RB_Control,20,2,,33,140,,1,1994
SP-C_RB_Control,20,2,,34,210,,0,685
SP-C_RB_Control,20,2,,35,200,,0,757
SP-C_RB_Control,20,2,,36,200,,0,937
SP-C_RB_Control,20,2,,37,120,,1,879
SP-C_RB_Control,20,2,,38,60,,1,1526
SP-C_RB_Control,20,3,282.bmp,,,,,
SP-C_RB_Control,20,4,,1,242,,0,2387
SP-C_RB_Control,20,4,,2,183,,0,9509
SP-C_RB_Control,20,4,,3,182,,0,4054
SP-C_RB_Control,20,4,,4,19,,1,1646
SP-C_RB_Control,20,4,,5,222,,0,1255
SP-C_RB_Control,20,4,,6,48,,1,1492
SP-C_RB_Control,20,4,,7,165,,0,3179
SP-C_RB_Control,20,4,,8,175,,0,6377
SP-C_RB_Control,20,4,,9,282,,0,1410
SP-C_RB_Control,20,4,,10,292,,0,1151
SP-C_RB_Control,20,4,,11,124,,1,1921
SP-C_RB_Control,20,4,,12,278,,0,1100
SP-C_RB_Control,20,4,,13,132,,1,1730
SP-C_RB_Control,20,4,,14,133,,1,1292
SP-C_RB_Control,20,4,,15,121,,1,1228
SP-C_RB_Control,20,4,,16,88,,1,1164
SP-C_RB_Control,20,4,,17,270,,0,755
SP-C_RB_Control,20,4,,18,125,,1,2517
SP-C_RB_Control,20,4,,19,1,,1,3193
SP-C_RB_Control,20,4,,20,89,,1,3313
SP-C_RB_Control,20,4,,21,179,,0,910
SP-C_RB_Control,20,4,,22,129,,0,1333
SP-C_RB_Control,20,4,,23,288,,0,697
SP-C_RB_Control,20,4,,24,145,,1,3006
