C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_RB_Control-60-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Control,60,1,,1,270,,0,4842
SP-C_RB_Control,60,1,,2,130,,0,2468
SP-C_RB_Control,60,1,,3,130,,1,2012
SP-C_RB_Control,60,1,,4,270,,1,1271
SP-C_RB_Control,60,1,,5,270,,1,1103
SP-C_RB_Control,60,1,,6,270,,1,1237
SP-C_RB_Control,60,1,,7,270,,1,974
SP-C_RB_Control,60,1,,8,270,,1,674
SP-C_RB_Control,60,1,,9,270,,1,586
SP-C_RB_Control,60,1,,10,270,,1,862
SP-C_RB_Control,60,1,,11,130,,1,1054
SP-C_RB_Control,60,1,,12,270,,1,607
SP-C_RB_Control,60,1,,13,130,,1,2104
SP-C_RB_Control,60,1,,14,270,,1,614
SP-C_RB_Control,60,1,,15,130,,1,666
SP-C_RB_Control,60,1,,16,130,,1,729
SP-C_RB_Control,60,1,,17,130,,1,895
SP-C_RB_Control,60,1,,18,130,,1,767
SP-C_RB_Control,60,1,,19,130,,1,339
SP-C_RB_Control,60,1,,20,130,,1,512
SP-C_RB_Control,60,2,,1,220,,0,2028
SP-C_RB_Control,60,2,,2,80,,1,1559
SP-C_RB_Control,60,2,,3,160,,0,4035
SP-C_RB_Control,60,2,,4,80,,1,853
SP-C_RB_Control,60,2,,5,240,,0,1061
SP-C_RB_Control,60,2,,6,150,,1,2005
SP-C_RB_Control,60,2,,7,140,,1,720
SP-C_RB_Control,60,2,,8,130,,1,702
SP-C_RB_Control,60,2,,9,160,,1,3109
SP-C_RB_Control,60,2,,10,120,,1,892
SP-C_RB_Control,60,2,,11,90,,1,1027
SP-C_RB_Control,60,2,,12,230,,0,2661
SP-C_RB_Control,60,2,,13,210,,0,861
SP-C_RB_Control,60,2,,14,110,,1,743
SP-C_RB_Control,60,2,,15,70,,1,797
SP-C_RB_Control,60,2,,16,230,,0,478
SP-C_RB_Control,60,2,,17,200,,0,1552
SP-C_RB_Control,60,2,,18,100,,1,492
SP-C_RB_Control,60,2,,19,150,,1,548
SP-C_RB_Control,60,2,,20,100,,1,361
SP-C_RB_Control,60,2,,21,60,,1,494
SP-C_RB_Control,60,2,,22,70,,1,877
SP-C_RB_Control,60,2,,23,140,,1,805
