C:\Users\RogersLab\Downloads\ACB Data\Original E-Data Files\SP-C_RB_Dead-54-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Dead,54,1,,1,270,,1,3741
SP-C_RB_Dead,54,1,,2,130,,0,1659
SP-C_RB_Dead,54,1,,3,270,,1,1276
SP-C_RB_Dead,54,1,,4,130,,1,2171
SP-C_RB_Dead,54,1,,5,130,,1,1518
SP-C_RB_Dead,54,1,,6,270,,1,1076
SP-C_RB_Dead,54,1,,7,270,,1,1044
SP-C_RB_Dead,54,1,,8,270,,1,669
SP-C_RB_Dead,54,1,,9,270,,1,725
SP-C_RB_Dead,54,1,,10,130,,1,1659
SP-C_RB_Dead,54,1,,11,130,,1,675
SP-C_RB_Dead,54,1,,12,130,,1,1019
SP-C_RB_Dead,54,1,,13,130,,1,933
SP-C_RB_Dead,54,1,,14,270,,1,803
SP-C_RB_Dead,54,1,,15,270,,1,486
SP-C_RB_Dead,54,1,,16,270,,1,541
SP-C_RB_Dead,54,1,,17,270,,1,1026
SP-C_RB_Dead,54,1,,18,130,,1,717
SP-C_RB_Dead,54,1,,19,130,,1,579
SP-C_RB_Dead,54,1,,20,130,,1,1422
SP-C_RB_Dead,54,2,,1,190,,1,2610
SP-C_RB_Dead,54,2,,2,130,,1,1301
SP-C_RB_Dead,54,2,,3,90,,1,1747
SP-C_RB_Dead,54,2,,4,240,,0,728
SP-C_RB_Dead,54,2,,5,110,,1,670
SP-C_RB_Dead,54,2,,6,60,,1,870
SP-C_RB_Dead,54,2,,7,190,,0,590
SP-C_RB_Dead,54,2,,8,100,,1,490
SP-C_RB_Dead,54,2,,9,220,,0,473
SP-C_RB_Dead,54,2,,10,110,,1,393
SP-C_RB_Dead,54,2,,11,80,,1,772
SP-C_RB_Dead,54,2,,12,120,,1,1345
SP-C_RB_Dead,54,2,,13,210,,0,469
SP-C_RB_Dead,54,2,,14,100,,1,1255
SP-C_RB_Dead,54,2,,15,200,,0,519
SP-C_RB_Dead,54,2,,16,200,,0,557
SP-C_RB_Dead,54,2,,17,220,,0,450
SP-C_RB_Dead,54,2,,18,230,,0,523
SP-C_RB_Dead,54,2,,19,230,,0,449
SP-C_RB_Dead,54,2,,20,120,,1,626
