C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_RB_Far-18-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Far,18,1,,1,270,,0,6420
SP-C_RB_Far,18,1,,2,270,,1,2790
SP-C_RB_Far,18,1,,3,130,,1,1314
SP-C_RB_Far,18,1,,4,130,,1,903
SP-C_RB_Far,18,1,,5,130,,1,662
SP-C_RB_Far,18,1,,6,270,,1,671
SP-C_RB_Far,18,1,,7,270,,1,535
SP-C_RB_Far,18,1,,8,270,,1,748
SP-C_RB_Far,18,1,,9,270,,1,633
SP-C_RB_Far,18,1,,10,270,,1,674
SP-C_RB_Far,18,1,,11,130,,1,722
SP-C_RB_Far,18,1,,12,130,,1,584
SP-C_RB_Far,18,1,,13,130,,1,668
SP-C_RB_Far,18,1,,14,270,,1,628
SP-C_RB_Far,18,1,,15,270,,1,701
SP-C_RB_Far,18,1,,16,130,,1,628
SP-C_RB_Far,18,1,,17,130,,1,470
SP-C_RB_Far,18,1,,18,130,,1,629
SP-C_RB_Far,18,1,,19,270,,1,591
SP-C_RB_Far,18,1,,20,130,,1,506
SP-C_RB_Far,18,2,,1,180,,1,1789
SP-C_RB_Far,18,2,,2,210,,0,1304
SP-C_RB_Far,18,2,,3,190,,1,1383
SP-C_RB_Far,18,2,,4,240,,0,1026
SP-C_RB_Far,18,2,,5,140,,1,1204
SP-C_RB_Far,18,2,,6,100,,1,1071
SP-C_RB_Far,18,2,,7,170,,1,1159
SP-C_RB_Far,18,2,,8,100,,1,1044
SP-C_RB_Far,18,2,,9,160,,1,1317
SP-C_RB_Far,18,2,,10,90,,1,1090
SP-C_RB_Far,18,2,,11,190,,0,2041
SP-C_RB_Far,18,2,,12,180,,0,859
SP-C_RB_Far,18,2,,13,130,,1,707
SP-C_RB_Far,18,2,,14,120,,1,498
SP-C_RB_Far,18,2,,15,200,,0,617
SP-C_RB_Far,18,2,,16,150,,1,492
SP-C_RB_Far,18,2,,17,110,,1,819
SP-C_RB_Far,18,2,,18,160,,0,1013
SP-C_RB_Far,18,2,,19,140,,1,1000
SP-C_RB_Far,18,2,,20,210,,0,778
SP-C_RB_Far,18,2,,21,230,,0,870
SP-C_RB_Far,18,2,,22,230,,0,678
SP-C_RB_Far,18,2,,23,80,,1,902
SP-C_RB_Far,18,2,,24,200,,0,1205
SP-C_RB_Far,18,2,,25,150,,1,2096
SP-C_RB_Far,18,2,,26,240,,0,903
SP-C_RB_Far,18,2,,27,110,,1,894
SP-C_RB_Far,18,2,,28,70,,1,709
SP-C_RB_Far,18,2,,29,60,,1,828
SP-C_RB_Far,18,2,,30,70,,1,638
SP-C_RB_Far,18,2,,31,170,,1,847
SP-C_RB_Far,18,2,,32,220,,0,889
SP-C_RB_Far,18,2,,33,130,,1,551
SP-C_RB_Far,18,2,,34,220,,0,596
SP-C_RB_Far,18,2,,35,80,,1,519
SP-C_RB_Far,18,2,,36,90,,1,589
SP-C_RB_Far,18,2,,37,60,,1,712
SP-C_RB_Far,18,2,,38,120,,1,775
SP-C_RB_Far,18,3,85.bmp,,,,,
SP-C_RB_Far,18,4,,1,228,,0,2144
SP-C_RB_Far,18,4,,2,123,,1,3173
SP-C_RB_Far,18,4,,3,250,,0,1527
SP-C_RB_Far,18,4,,4,277,,0,865
SP-C_RB_Far,18,4,,5,45,,1,973
SP-C_RB_Far,18,4,,6,145,,1,800
SP-C_RB_Far,18,4,,7,206,,0,754
SP-C_RB_Far,18,4,,8,246,,0,966
SP-C_RB_Far,18,4,,9,213,,0,675
SP-C_RB_Far,18,4,,10,38,,1,548
SP-C_RB_Far,18,4,,11,223,,0,545
SP-C_RB_Far,18,4,,12,140,,1,495
SP-C_RB_Far,18,4,,13,68,,1,582
SP-C_RB_Far,18,4,,14,299,,0,523
SP-C_RB_Far,18,4,,15,182,,1,518
SP-C_RB_Far,18,4,,16,248,,0,765
SP-C_RB_Far,18,4,,17,41,,1,605
SP-C_RB_Far,18,4,,18,198,,1,2391
SP-C_RB_Far,18,4,,19,163,,1,1521
SP-C_RB_Far,18,4,,20,231,,0,842
SP-C_RB_Far,18,4,,21,136,,1,779
SP-C_RB_Far,18,4,,22,75,,1,772
SP-C_RB_Far,18,4,,23,135,,1,703
SP-C_RB_Far,18,4,,24,73,,1,816
SP-C_RB_Far,18,4,,25,294,,0,616
SP-C_RB_Far,18,4,,26,207,,0,768
SP-C_RB_Far,18,4,,27,86,,1,620
SP-C_RB_Far,18,4,,28,243,,0,566
SP-C_RB_Far,18,4,,29,220,,0,525
SP-C_RB_Far,18,4,,30,98,,1,476
SP-C_RB_Far,18,4,,31,105,,1,437
SP-C_RB_Far,18,4,,32,151,,1,1043
SP-C_RB_Far,18,4,,33,261,,0,1102
SP-C_RB_Far,18,4,,34,53,,1,700
SP-C_RB_Far,18,4,,35,152,,1,785
SP-C_RB_Far,18,4,,36,4,,1,910
SP-C_RB_Far,18,4,,37,25,,1,703
SP-C_RB_Far,18,4,,38,218,,0,536
SP-C_RB_Far,18,4,,39,283,,0,751
SP-C_RB_Far,18,4,,40,278,,0,536
SP-C_RB_Far,18,4,,41,34,,1,510
SP-C_RB_Far,18,4,,42,106,,1,613
SP-C_RB_Far,18,4,,43,28,,1,728
SP-C_RB_Far,18,4,,44,260,,0,550
SP-C_RB_Far,18,4,,45,273,,0,709
SP-C_RB_Far,18,4,,46,184,,0,1037
SP-C_RB_Far,18,4,,47,7,,1,482
SP-C_RB_Far,18,4,,48,166,,0,1114
SP-C_RB_Far,18,4,,49,189,,1,772
SP-C_RB_Far,18,4,,50,92,,1,466
SP-C_RB_Far,18,4,,51,109,,1,483
SP-C_RB_Far,18,4,,52,252,,0,539
SP-C_RB_Far,18,4,,53,156,,1,462
SP-C_RB_Far,18,4,,54,17,,1,484
SP-C_RB_Far,18,4,,55,295,,0,707
SP-C_RB_Far,18,4,,56,233,,0,665
SP-C_RB_Far,18,4,,57,88,,1,463
SP-C_RB_Far,18,4,,58,138,,1,554
SP-C_RB_Far,18,4,,59,211,,0,761
SP-C_RB_Far,18,4,,60,214,,0,801
SP-C_RB_Far,18,4,,61,146,,1,715
SP-C_RB_Far,18,4,,62,85,,1,621
SP-C_RB_Far,18,4,,63,74,,1,546
SP-C_RB_Far,18,4,,64,91,,1,488
SP-C_RB_Far,18,4,,65,142,,1,658
SP-C_RB_Far,18,4,,66,247,,0,662
SP-C_RB_Far,18,4,,67,22,,1,543
SP-C_RB_Far,18,4,,68,103,,1,733
SP-C_RB_Far,18,4,,69,100,,1,470
SP-C_RB_Far,18,4,,70,290,,0,753
SP-C_RB_Far,18,4,,71,99,,1,494
SP-C_RB_Far,18,4,,72,227,,0,621
SP-C_RB_Far,18,4,,73,164,,1,477
SP-C_RB_Far,18,4,,74,173,,1,439
SP-C_RB_Far,18,4,,75,31,,1,481
SP-C_RB_Far,18,4,,76,47,,1,506
SP-C_RB_Far,18,4,,77,199,,0,449
SP-C_RB_Far,18,4,,78,118,,1,451
SP-C_RB_Far,18,4,,79,289,,0,533
SP-C_RB_Far,18,4,,80,23,,1,529
SP-C_RB_Far,18,4,,81,115,,1,3290
SP-C_RB_Far,18,4,,82,3,,1,571
SP-C_RB_Far,18,4,,83,217,,0,421
SP-C_RB_Far,18,4,,84,219,,0,638
SP-C_RB_Far,18,4,,85,12,,1,462
SP-C_RB_Far,18,4,,86,270,,0,445
SP-C_RB_Far,18,4,,87,104,,1,456
SP-C_RB_Far,18,4,,88,238,,0,509
SP-C_RB_Far,18,4,,89,52,,1,413
SP-C_RB_Far,18,4,,90,259,,0,442
SP-C_RB_Far,18,4,,91,180,,0,1556
SP-C_RB_Far,18,4,,92,84,,1,1228
SP-C_RB_Far,18,4,,93,202,,0,520
SP-C_RB_Far,18,4,,94,170,,0,555
SP-C_RB_Far,18,4,,95,80,,1,509
SP-C_RB_Far,18,4,,96,203,,0,561
SP-C_RB_Far,18,4,,97,139,,1,1998
SP-C_RB_Far,18,4,,98,72,,1,566
SP-C_RB_Far,18,4,,99,232,,0,587
SP-C_RB_Far,18,4,,100,298,,0,586
SP-C_RB_Far,18,4,,101,281,,0,420
SP-C_RB_Far,18,4,,102,255,,0,508
SP-C_RB_Far,18,4,,103,87,,1,525
SP-C_RB_Far,18,4,,104,296,,0,534
SP-C_RB_Far,18,4,,105,125,,1,1309
SP-C_RB_Far,18,4,,106,126,,1,478
SP-C_RB_Far,18,4,,107,119,,1,560
SP-C_RB_Far,18,4,,108,249,,0,546
SP-C_RB_Far,18,4,,109,257,,0,212
SP-C_RB_Far,18,4,,110,81,,1,458
SP-C_RB_Far,18,4,,111,162,,0,940
SP-C_RB_Far,18,4,,112,276,,0,875
SP-C_RB_Far,18,4,,113,76,,1,476
SP-C_RB_Far,18,4,,114,133,,0,1332
SP-C_RB_Far,18,4,,115,229,,0,671
SP-C_RB_Far,18,4,,116,79,,1,598
SP-C_RB_Far,18,4,,117,59,,1,662
SP-C_RB_Far,18,4,,118,188,,0,568
SP-C_RB_Far,18,4,,119,279,,0,583
SP-C_RB_Far,18,4,,120,114,,1,454
SP-C_RB_Far,18,4,,121,251,,0,617
SP-C_RB_Far,18,4,,122,128,,1,505
SP-C_RB_Far,18,4,,123,112,,1,509
SP-C_RB_Far,18,4,,124,230,,0,633
SP-C_RB_Far,18,4,,125,286,,0,619
SP-C_RB_Far,18,4,,126,82,,1,484
SP-C_RB_Far,18,4,,127,291,,0,564
SP-C_RB_Far,18,4,,128,275,,0,683
SP-C_RB_Far,18,4,,129,297,,0,460
SP-C_RB_Far,18,4,,130,245,,0,431
SP-C_RB_Far,18,4,,131,32,,1,450
SP-C_RB_Far,18,4,,132,134,,0,586
SP-C_RB_Far,18,4,,133,236,,0,579
SP-C_RB_Far,18,4,,134,111,,1,554
SP-C_RB_Far,18,4,,135,21,,1,448
SP-C_RB_Far,18,4,,136,69,,1,1780
SP-C_RB_Far,18,4,,137,42,,1,440
SP-C_RB_Far,18,4,,138,5,,1,497
SP-C_RB_Far,18,4,,139,172,,0,516
SP-C_RB_Far,18,4,,140,93,,1,423
SP-C_RB_Far,18,4,,141,271,,0,532
SP-C_RB_Far,18,4,,142,177,,1,765
SP-C_RB_Far,18,4,,143,190,,1,971
SP-C_RB_Far,18,4,,144,83,,1,482
SP-C_RB_Far,18,4,,145,96,,1,496
SP-C_RB_Far,18,4,,146,157,,0,777
SP-C_RB_Far,18,4,,147,124,,1,592
SP-C_RB_Far,18,4,,148,144,,1,655
SP-C_RB_Far,18,4,,149,46,,1,226
SP-C_RB_Far,18,4,,150,224,,0,748
SP-C_RB_Far,18,4,,151,242,,0,411
SP-C_RB_Far,18,4,,152,258,,0,444
SP-C_RB_Far,18,4,,153,168,,1,603
SP-C_RB_Far,18,4,,154,6,,1,489
SP-C_RB_Far,18,4,,155,95,,1,654
SP-C_RB_Far,18,4,,156,56,,1,545
SP-C_RB_Far,18,4,,157,225,,0,498
SP-C_RB_Far,18,4,,158,176,,0,318
SP-C_RB_Far,18,4,,159,280,,0,634
SP-C_RB_Far,18,4,,160,178,,1,553
SP-C_RB_Far,18,4,,161,262,,0,492
SP-C_RB_Far,18,4,,162,43,,1,476
SP-C_RB_Far,18,4,,163,272,,0,581
SP-C_RB_Far,18,4,,164,239,,0,474
SP-C_RB_Far,18,4,,165,97,,1,561
SP-C_RB_Far,18,4,,166,167,,1,1035
SP-C_RB_Far,18,4,,167,63,,1,749
SP-C_RB_Far,18,4,,168,44,,1,427
SP-C_RB_Far,18,4,,169,49,,1,389
SP-C_RB_Far,18,4,,170,160,,0,1054
SP-C_RB_Far,18,4,,171,40,,1,437
SP-C_RB_Far,18,4,,172,216,,1,420
SP-C_RB_Far,18,4,,173,39,,1,626
SP-C_RB_Far,18,4,,174,54,,1,424
SP-C_RB_Far,18,4,,175,153,,1,1284
SP-C_RB_Far,18,4,,176,208,,0,524
SP-C_RB_Far,18,4,,177,2,,1,513
SP-C_RB_Far,18,4,,178,67,,1,662
SP-C_RB_Far,18,4,,179,35,,1,541
SP-C_RB_Far,18,4,,180,24,,1,444
SP-C_RB_Far,18,4,,181,149,,1,384
SP-C_RB_Far,18,4,,182,11,,1,586
SP-C_RB_Far,18,4,,183,212,,0,768
SP-C_RB_Far,18,4,,184,204,,0,1157
SP-C_RB_Far,18,4,,185,195,,0,464
SP-C_RB_Far,18,4,,186,181,,0,747
SP-C_RB_Far,18,4,,187,143,,1,1115
SP-C_RB_Far,18,4,,188,113,,1,553
SP-C_RB_Far,18,4,,189,94,,1,997
SP-C_RB_Far,18,4,,190,117,,1,441
SP-C_RB_Far,18,4,,191,33,,1,477
