C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-C_RB_Mid-15-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Mid,15,1,,1,270,,1,8745
SP-C_RB_Mid,15,1,,2,130,,1,3431
SP-C_RB_Mid,15,1,,3,130,,1,1457
SP-C_RB_Mid,15,1,,4,270,,1,712
SP-C_RB_Mid,15,1,,5,270,,1,671
SP-C_RB_Mid,15,1,,6,130,,1,647
SP-C_RB_Mid,15,1,,7,130,,1,713
SP-C_RB_Mid,15,1,,8,270,,1,511
SP-C_RB_Mid,15,1,,9,130,,1,1190
SP-C_RB_Mid,15,1,,10,270,,1,514
SP-C_RB_Mid,15,1,,11,130,,1,1488
SP-C_RB_Mid,15,1,,12,270,,1,560
SP-C_RB_Mid,15,1,,13,270,,1,595
SP-C_RB_Mid,15,1,,14,270,,1,542
SP-C_RB_Mid,15,1,,15,130,,1,668
SP-C_RB_Mid,15,1,,16,130,,1,5404
SP-C_RB_Mid,15,1,,17,130,,1,583
SP-C_RB_Mid,15,1,,18,270,,1,474
SP-C_RB_Mid,15,1,,19,130,,1,458
SP-C_RB_Mid,15,1,,20,270,,1,507
SP-C_RB_Mid,15,2,,1,120,,1,1138
SP-C_RB_Mid,15,2,,2,150,,1,783
SP-C_RB_Mid,15,2,,3,180,,1,666
SP-C_RB_Mid,15,2,,4,90,,1,2067
SP-C_RB_Mid,15,2,,5,90,,1,1115
SP-C_RB_Mid,15,2,,6,220,,0,697
SP-C_RB_Mid,15,2,,7,230,,0,449
SP-C_RB_Mid,15,2,,8,190,,0,546
SP-C_RB_Mid,15,2,,9,110,,1,463
SP-C_RB_Mid,15,2,,10,180,,1,1040
SP-C_RB_Mid,15,2,,11,210,,1,490
SP-C_RB_Mid,15,2,,12,220,,0,800
SP-C_RB_Mid,15,2,,13,150,,1,1132
SP-C_RB_Mid,15,2,,14,200,,1,2642
SP-C_RB_Mid,15,2,,15,110,,1,707
SP-C_RB_Mid,15,2,,16,100,,1,409
SP-C_RB_Mid,15,2,,17,170,,1,388
SP-C_RB_Mid,15,2,,18,170,,1,600
SP-C_RB_Mid,15,2,,19,100,,1,786
SP-C_RB_Mid,15,2,,20,60,,1,494
SP-C_RB_Mid,15,2,,21,70,,1,356
SP-C_RB_Mid,15,2,,22,130,,1,346
SP-C_RB_Mid,15,2,,23,130,,1,496
SP-C_RB_Mid,15,2,,24,160,,1,647
SP-C_RB_Mid,15,2,,25,190,,1,384
SP-C_RB_Mid,15,2,,26,210,,0,924
SP-C_RB_Mid,15,2,,27,230,,0,490
SP-C_RB_Mid,15,2,,28,80,,1,521
SP-C_RB_Mid,15,2,,29,120,,1,311
SP-C_RB_Mid,15,2,,30,240,,0,637
SP-C_RB_Mid,15,2,,31,140,,1,695
SP-C_RB_Mid,15,2,,32,80,,1,328
SP-C_RB_Mid,15,2,,33,200,,0,573
SP-C_RB_Mid,15,2,,34,240,,0,763
SP-C_RB_Mid,15,2,,35,60,,1,479
SP-C_RB_Mid,15,2,,36,140,,1,823
SP-C_RB_Mid,15,2,,37,70,,1,578
SP-C_RB_Mid,15,2,,38,160,,1,685
SP-C_RB_Mid,15,3,175.bmp,,,,,
SP-C_RB_Mid,15,4,,1,44,,1,5757
SP-C_RB_Mid,15,4,,2,143,,1,1814
SP-C_RB_Mid,15,4,,3,5,,1,3061
SP-C_RB_Mid,15,4,,4,145,,1,2962
SP-C_RB_Mid,15,4,,5,53,,1,2144
SP-C_RB_Mid,15,4,,6,20,,1,793
SP-C_RB_Mid,15,4,,7,262,,0,748
SP-C_RB_Mid,15,4,,8,30,,1,1380
SP-C_RB_Mid,15,4,,9,178,,1,3355
SP-C_RB_Mid,15,4,,10,96,,1,1049
SP-C_RB_Mid,15,4,,11,51,,1,1288
SP-C_RB_Mid,15,4,,12,272,,0,594
SP-C_RB_Mid,15,4,,13,67,,1,667
SP-C_RB_Mid,15,4,,14,13,,1,799
SP-C_RB_Mid,15,4,,15,164,,1,2141
SP-C_RB_Mid,15,4,,16,99,,1,1519
SP-C_RB_Mid,15,4,,17,221,,0,530
SP-C_RB_Mid,15,4,,18,94,,1,2849
SP-C_RB_Mid,15,4,,19,169,,1,1193
SP-C_RB_Mid,15,4,,20,232,,0,654
SP-C_RB_Mid,15,4,,21,58,,1,645
SP-C_RB_Mid,15,4,,22,157,,1,1527
SP-C_RB_Mid,15,4,,23,215,,0,1302
SP-C_RB_Mid,15,4,,24,93,,1,517
SP-C_RB_Mid,15,4,,25,129,,1,1348
SP-C_RB_Mid,15,4,,26,186,,1,1474
SP-C_RB_Mid,15,4,,27,2,,1,835
SP-C_RB_Mid,15,4,,28,66,,1,705
SP-C_RB_Mid,15,4,,29,211,,0,685
