C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\SP-C_LB_Close-1-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Close,1,1,,1,170,,0,4561
SP-C_LB_Close,1,1,,2,170,,1,1054
SP-C_LB_Close,1,1,,3,170,,1,697
SP-C_LB_Close,1,1,,4,30,,1,1034
SP-C_LB_Close,1,1,,5,30,,1,580
SP-C_LB_Close,1,1,,6,30,,1,687
SP-C_LB_Close,1,1,,7,30,,1,543
SP-C_LB_Close,1,1,,8,30,,1,515
SP-C_LB_Close,1,1,,9,170,,1,513
SP-C_LB_Close,1,1,,10,30,,1,479
SP-C_LB_Close,1,1,,11,170,,1,519
SP-C_LB_Close,1,1,,12,170,,1,469
SP-C_LB_Close,1,1,,13,170,,1,428
SP-C_LB_Close,1,1,,14,170,,1,409
SP-C_LB_Close,1,1,,15,170,,1,451
SP-C_LB_Close,1,1,,16,30,,1,438
SP-C_LB_Close,1,1,,17,170,,1,438
SP-C_LB_Close,1,1,,18,30,,1,534
SP-C_LB_Close,1,1,,19,30,,1,552
SP-C_LB_Close,1,1,,20,30,,1,430
SP-C_LB_Close,1,2,,1,80,,1,867
SP-C_LB_Close,1,2,,2,210,,0,641
SP-C_LB_Close,1,2,,3,130,,0,822
SP-C_LB_Close,1,2,,4,90,,1,1025
SP-C_LB_Close,1,2,,5,170,,0,782
SP-C_LB_Close,1,2,,6,160,,0,544
SP-C_LB_Close,1,2,,7,70,,1,510
SP-C_LB_Close,1,2,,8,210,,0,532
SP-C_LB_Close,1,2,,9,110,,1,557
SP-C_LB_Close,1,2,,10,120,,1,503
SP-C_LB_Close,1,2,,11,100,,1,520
SP-C_LB_Close,1,2,,12,190,,0,480
SP-C_LB_Close,1,2,,13,230,,0,448
SP-C_LB_Close,1,2,,14,150,,0,809
SP-C_LB_Close,1,2,,15,140,,0,477
SP-C_LB_Close,1,2,,16,200,,0,557
SP-C_LB_Close,1,2,,17,80,,1,447
SP-C_LB_Close,1,2,,18,120,,1,408
SP-C_LB_Close,1,2,,19,180,,0,486
SP-C_LB_Close,1,2,,20,230,,0,438
SP-C_LB_Close,1,2,,21,190,,0,446
SP-C_LB_Close,1,2,,22,150,,0,533
SP-C_LB_Close,1,2,,23,240,,0,593
SP-C_LB_Close,1,2,,24,170,,0,662
SP-C_LB_Close,1,2,,25,100,,1,472
SP-C_LB_Close,1,2,,26,70,,1,406
SP-C_LB_Close,1,2,,27,220,,0,518
SP-C_LB_Close,1,2,,28,180,,0,382
SP-C_LB_Close,1,2,,29,60,,1,521
SP-C_LB_Close,1,2,,30,130,,0,496
SP-C_LB_Close,1,2,,31,200,,0,531
SP-C_LB_Close,1,2,,32,60,,1,526
SP-C_LB_Close,1,2,,33,110,,1,471
SP-C_LB_Close,1,2,,34,160,,0,867
SP-C_LB_Close,1,2,,35,240,,0,544
SP-C_LB_Close,1,2,,36,140,,0,573
SP-C_LB_Close,1,2,,37,90,,1,497
SP-C_LB_Close,1,2,,38,220,,0,452
SP-C_LB_Close,1,3,300.bmp,,,,,
SP-C_LB_Close,1,4,,1,160,,0,1386
SP-C_LB_Close,1,4,,2,23,,1,748
SP-C_LB_Close,1,4,,3,225,,0,724
SP-C_LB_Close,1,4,,4,17,,1,555
SP-C_LB_Close,1,4,,5,244,,0,574
SP-C_LB_Close,1,4,,6,141,,0,1514
SP-C_LB_Close,1,4,,7,231,,0,664
SP-C_LB_Close,1,4,,8,271,,0,881
SP-C_LB_Close,1,4,,9,143,,0,838
SP-C_LB_Close,1,4,,10,264,,0,862
SP-C_LB_Close,1,4,,11,98,,1,720
SP-C_LB_Close,1,4,,12,157,,1,1742
SP-C_LB_Close,1,4,,13,265,,0,627
SP-C_LB_Close,1,4,,14,96,,1,672
SP-C_LB_Close,1,4,,15,150,,0,668
SP-C_LB_Close,1,4,,16,51,,1,664
SP-C_LB_Close,1,4,,17,279,,0,494
SP-C_LB_Close,1,4,,18,212,,0,571
SP-C_LB_Close,1,4,,19,44,,1,660
SP-C_LB_Close,1,4,,20,296,,0,548
SP-C_LB_Close,1,4,,21,139,,0,782
SP-C_LB_Close,1,4,,22,233,,0,543
SP-C_LB_Close,1,4,,23,4,,1,583
SP-C_LB_Close,1,4,,24,89,,1,671
SP-C_LB_Close,1,4,,25,162,,0,520
SP-C_LB_Close,1,4,,26,167,,0,588
SP-C_LB_Close,1,4,,27,113,,1,670
SP-C_LB_Close,1,4,,28,46,,1,612
SP-C_LB_Close,1,4,,29,222,,0,521
SP-C_LB_Close,1,4,,30,40,,1,577
SP-C_LB_Close,1,4,,31,43,,1,481
SP-C_LB_Close,1,4,,32,75,,1,521
SP-C_LB_Close,1,4,,33,287,,0,431
SP-C_LB_Close,1,4,,34,255,,0,596
SP-C_LB_Close,1,4,,35,52,,1,494
SP-C_LB_Close,1,4,,36,115,,0,1380
SP-C_LB_Close,1,4,,37,68,,1,565
SP-C_LB_Close,1,4,,38,129,,1,1082
SP-C_LB_Close,1,4,,39,42,,1,612
SP-C_LB_Close,1,4,,40,73,,1,1027
SP-C_LB_Close,1,4,,41,145,,0,803
SP-C_LB_Close,1,4,,42,81,,1,591
SP-C_LB_Close,1,4,,43,148,,0,753
SP-C_LB_Close,1,4,,44,154,,0,622
SP-C_LB_Close,1,4,,45,199,,0,694
SP-C_LB_Close,1,4,,46,28,,1,488
SP-C_LB_Close,1,4,,47,227,,0,510
SP-C_LB_Close,1,4,,48,297,,0,504
SP-C_LB_Close,1,4,,49,205,,0,512
SP-C_LB_Close,1,4,,50,1,,1,510
SP-C_LB_Close,1,4,,51,208,,0,462
SP-C_LB_Close,1,4,,52,16,,1,514
SP-C_LB_Close,1,4,,53,242,,0,433
SP-C_LB_Close,1,4,,54,177,,0,692
SP-C_LB_Close,1,4,,55,191,,0,473
SP-C_LB_Close,1,4,,56,217,,0,736
SP-C_LB_Close,1,4,,57,276,,0,489
SP-C_LB_Close,1,4,,58,26,,1,524
SP-C_LB_Close,1,4,,59,24,,1,452
SP-C_LB_Close,1,4,,60,132,,0,694
SP-C_LB_Close,1,4,,61,198,,0,554
SP-C_LB_Close,1,4,,62,122,,0,702
SP-C_LB_Close,1,4,,63,49,,1,452
SP-C_LB_Close,1,4,,64,270,,0,513
SP-C_LB_Close,1,4,,65,260,,0,499
SP-C_LB_Close,1,4,,66,90,,1,609
SP-C_LB_Close,1,4,,67,118,,1,541
SP-C_LB_Close,1,4,,68,182,,0,505
SP-C_LB_Close,1,4,,69,299,,0,425
SP-C_LB_Close,1,4,,70,2,,1,521
SP-C_LB_Close,1,4,,71,188,,0,471
SP-C_LB_Close,1,4,,72,280,,0,462
SP-C_LB_Close,1,4,,73,219,,0,442
SP-C_LB_Close,1,4,,74,130,,0,409
SP-C_LB_Close,1,4,,75,135,,0,767
SP-C_LB_Close,1,4,,76,283,,0,565
SP-C_LB_Close,1,4,,77,291,,0,545
SP-C_LB_Close,1,4,,78,165,,0,792
SP-C_LB_Close,1,4,,79,240,,0,473
SP-C_LB_Close,1,4,,80,204,,0,410
SP-C_LB_Close,1,4,,81,173,,0,500
SP-C_LB_Close,1,4,,82,232,,0,532
SP-C_LB_Close,1,4,,83,214,,0,520
SP-C_LB_Close,1,4,,84,286,,0,441
SP-C_LB_Close,1,4,,85,241,,0,409
SP-C_LB_Close,1,4,,86,111,,1,776
SP-C_LB_Close,1,4,,87,70,,1,594
SP-C_LB_Close,1,4,,88,230,,0,483
SP-C_LB_Close,1,4,,89,213,,0,450
SP-C_LB_Close,1,4,,90,290,,0,402
SP-C_LB_Close,1,4,,91,293,,0,486
SP-C_LB_Close,1,4,,92,254,,0,591
SP-C_LB_Close,1,4,,93,185,,0,1517
SP-C_LB_Close,1,4,,94,74,,1,521
SP-C_LB_Close,1,4,,95,247,,0,515
SP-C_LB_Close,1,4,,96,87,,1,585
SP-C_LB_Close,1,4,,97,78,,1,521
SP-C_LB_Close,1,4,,98,126,,1,684
SP-C_LB_Close,1,4,,99,128,,1,505
SP-C_LB_Close,1,4,,100,99,,1,1393
SP-C_LB_Close,1,4,,101,72,,1,488
SP-C_LB_Close,1,4,,102,229,,0,438
SP-C_LB_Close,1,4,,103,218,,0,462
SP-C_LB_Close,1,4,,104,151,,0,751
SP-C_LB_Close,1,4,,105,278,,0,484
SP-C_LB_Close,1,4,,106,88,,1,475
SP-C_LB_Close,1,4,,107,133,,1,1390
SP-C_LB_Close,1,4,,108,187,,0,579
SP-C_LB_Close,1,4,,109,53,,1,649
SP-C_LB_Close,1,4,,110,155,,0,833
SP-C_LB_Close,1,4,,111,159,,0,451
SP-C_LB_Close,1,4,,112,168,,0,452
SP-C_LB_Close,1,4,,113,272,,0,453
SP-C_LB_Close,1,4,,114,207,,0,410
SP-C_LB_Close,1,4,,115,153,,0,398
SP-C_LB_Close,1,4,,116,249,,0,518
SP-C_LB_Close,1,4,,117,201,,0,454
SP-C_LB_Close,1,4,,118,178,,0,410
SP-C_LB_Close,1,4,,119,30,,1,550
SP-C_LB_Close,1,4,,120,112,,0,868
SP-C_LB_Close,1,4,,121,114,,0,425
SP-C_LB_Close,1,4,,122,239,,0,625
SP-C_LB_Close,1,4,,123,224,,0,538
SP-C_LB_Close,1,4,,124,261,,0,494
SP-C_LB_Close,1,4,,125,134,,0,825
SP-C_LB_Close,1,4,,126,57,,1,529
SP-C_LB_Close,1,4,,127,12,,1,526
SP-C_LB_Close,1,4,,128,169,,0,1487
SP-C_LB_Close,1,4,,129,158,,0,654
SP-C_LB_Close,1,4,,130,235,,0,548
SP-C_LB_Close,1,4,,131,209,,0,414
SP-C_LB_Close,1,4,,132,33,,1,719
SP-C_LB_Close,1,4,,133,13,,1,680
SP-C_LB_Close,1,4,,134,288,,0,527
SP-C_LB_Close,1,4,,135,123,,0,917
SP-C_LB_Close,1,4,,136,184,,0,536
SP-C_LB_Close,1,4,,137,124,,1,835
SP-C_LB_Close,1,4,,138,69,,1,582
SP-C_LB_Close,1,4,,139,300,,0,541
SP-C_LB_Close,1,4,,140,94,,1,1105
SP-C_LB_Close,1,4,,141,250,,0,488
SP-C_LB_Close,1,4,,142,27,,1,494
SP-C_LB_Close,1,4,,143,8,,1,648
SP-C_LB_Close,1,4,,144,274,,0,577
SP-C_LB_Close,1,4,,145,120,,1,1328
SP-C_LB_Close,1,4,,146,7,,1,615
SP-C_LB_Close,1,4,,147,50,,0,521
SP-C_LB_Close,1,4,,148,60,,1,468
SP-C_LB_Close,1,4,,149,268,,0,444
SP-C_LB_Close,1,4,,150,194,,0,691
SP-C_LB_Close,1,4,,151,294,,0,484
SP-C_LB_Close,1,4,,152,55,,1,486
SP-C_LB_Close,1,4,,153,256,,0,430
SP-C_LB_Close,1,4,,154,262,,0,434
SP-C_LB_Close,1,4,,155,164,,0,444
SP-C_LB_Close,1,4,,156,163,,0,378
SP-C_LB_Close,1,4,,157,58,,1,505
SP-C_LB_Close,1,4,,158,226,,0,464
SP-C_LB_Close,1,4,,159,77,,1,451
SP-C_LB_Close,1,4,,160,166,,1,2375
SP-C_LB_Close,1,4,,161,215,,0,566
SP-C_LB_Close,1,4,,162,196,,0,463
SP-C_LB_Close,1,4,,163,170,,0,506
SP-C_LB_Close,1,4,,164,19,,1,559
SP-C_LB_Close,1,4,,165,252,,0,497
SP-C_LB_Close,1,4,,166,142,,1,1326
SP-C_LB_Close,1,4,,167,121,,0,836
SP-C_LB_Close,1,4,,168,172,,0,593
SP-C_LB_Close,1,4,,169,236,,0,662
SP-C_LB_Close,1,4,,170,103,,1,500
SP-C_LB_Close,1,4,,171,186,,0,590
SP-C_LB_Close,1,4,,172,5,,1,614
SP-C_LB_Close,1,4,,173,108,,0,862
SP-C_LB_Close,1,4,,174,156,,0,528
SP-C_LB_Close,1,4,,175,289,,0,532
SP-C_LB_Close,1,4,,176,189,,0,832
SP-C_LB_Close,1,4,,177,228,,0,558
SP-C_LB_Close,1,4,,178,275,,0,569
SP-C_LB_Close,1,4,,179,237,,0,470
SP-C_LB_Close,1,4,,180,238,,0,438
SP-C_LB_Close,1,4,,181,144,,0,366
SP-C_LB_Close,1,4,,182,211,,0,459
SP-C_LB_Close,1,4,,183,97,,1,862
SP-C_LB_Close,1,4,,184,146,,1,1339
SP-C_LB_Close,1,4,,185,180,,0,712
SP-C_LB_Close,1,4,,186,6,,1,580
SP-C_LB_Close,1,4,,187,277,,0,590
SP-C_LB_Close,1,4,,188,22,,1,499
SP-C_LB_Close,1,4,,189,48,,1,551
SP-C_LB_Close,1,4,,190,117,,0,1006
SP-C_LB_Close,1,4,,191,21,,0,485
SP-C_LB_Close,1,4,,192,79,,1,544
SP-C_LB_Close,1,4,,193,14,,1,565
SP-C_LB_Close,1,4,,194,62,,1,411
SP-C_LB_Close,1,4,,195,63,,1,642
SP-C_LB_Close,1,4,,196,298,,0,367
SP-C_LB_Close,1,4,,197,61,,1,537
SP-C_LB_Close,1,4,,198,35,,1,451
SP-C_LB_Close,1,4,,199,32,,1,566
SP-C_LB_Close,1,4,,200,190,,0,577
SP-C_LB_Close,1,4,,201,104,,1,628
SP-C_LB_Close,1,4,,202,0,,1,508
SP-C_LB_Close,1,4,,203,64,,1,693
SP-C_LB_Close,1,4,,204,9,,1,556
SP-C_LB_Close,1,4,,205,295,,0,482
SP-C_LB_Close,1,4,,206,248,,0,374
SP-C_LB_Close,1,4,,207,258,,0,356
SP-C_LB_Close,1,4,,208,152,,0,650
SP-C_LB_Close,1,4,,209,223,,0,596
SP-C_LB_Close,1,4,,210,65,,1,590
SP-C_LB_Close,1,4,,211,285,,0,519
SP-C_LB_Close,1,4,,212,282,,0,499
SP-C_LB_Close,1,4,,213,246,,0,422
SP-C_LB_Close,1,4,,214,37,,1,476
SP-C_LB_Close,1,4,,215,176,,0,411
SP-C_LB_Close,1,4,,216,263,,0,445
SP-C_LB_Close,1,4,,217,195,,0,532
SP-C_LB_Close,1,4,,218,10,,1,509
SP-C_LB_Close,1,4,,219,147,,1,1333
SP-C_LB_Close,1,4,,220,245,,0,434
SP-C_LB_Close,1,4,,221,183,,0,550
SP-C_LB_Close,1,4,,222,95,,1,686
SP-C_LB_Close,1,4,,223,161,,0,613
SP-C_LB_Close,1,4,,224,119,,0,1584
SP-C_LB_Close,1,4,,225,234,,0,745
SP-C_LB_Close,1,4,,226,181,,0,709
SP-C_LB_Close,1,4,,227,200,,0,565
SP-C_LB_Close,1,4,,228,54,,1,523
SP-C_LB_Close,1,4,,229,93,,1,827
SP-C_LB_Close,1,4,,230,29,,1,532
SP-C_LB_Close,1,4,,231,175,,0,482
SP-C_LB_Close,1,4,,232,131,,0,475
SP-C_LB_Close,1,4,,233,292,,0,573
SP-C_LB_Close,1,4,,234,80,,1,513
SP-C_LB_Close,1,4,,235,34,,1,546
SP-C_LB_Close,1,4,,236,102,,1,681
SP-C_LB_Close,1,4,,237,202,,0,432
SP-C_LB_Close,1,4,,238,174,,0,440
SP-C_LB_Close,1,4,,239,284,,0,495
SP-C_LB_Close,1,4,,240,86,,1,756
SP-C_LB_Close,1,4,,241,269,,0,404
SP-C_LB_Close,1,4,,242,220,,0,575
SP-C_LB_Close,1,4,,243,25,,1,492
SP-C_LB_Close,1,4,,244,140,,1,898
SP-C_LB_Close,1,4,,245,18,,1,634
SP-C_LB_Close,1,4,,246,193,,0,431
SP-C_LB_Close,1,4,,247,45,,1,555
SP-C_LB_Close,1,4,,248,267,,0,517
SP-C_LB_Close,1,4,,249,100,,1,662
SP-C_LB_Close,1,4,,250,47,,1,713
SP-C_LB_Close,1,4,,251,107,,1,886
SP-C_LB_Close,1,4,,252,257,,0,430
SP-C_LB_Close,1,4,,253,59,,1,587
SP-C_LB_Close,1,4,,254,3,,1,539
SP-C_LB_Close,1,4,,255,281,,0,445
SP-C_LB_Close,1,4,,256,85,,1,828
SP-C_LB_Close,1,4,,257,243,,0,468
SP-C_LB_Close,1,4,,258,109,,1,928
SP-C_LB_Close,1,4,,259,253,,0,422
SP-C_LB_Close,1,4,,260,197,,0,507
SP-C_LB_Close,1,4,,261,251,,0,413
SP-C_LB_Close,1,4,,262,11,,1,507
SP-C_LB_Close,1,4,,263,171,,0,544
SP-C_LB_Close,1,4,,264,31,,1,545
SP-C_LB_Close,1,4,,265,36,,1,611
SP-C_LB_Close,1,4,,266,259,,0,463
SP-C_LB_Close,1,4,,267,106,,1,741
SP-C_LB_Close,1,4,,268,137,,1,583
SP-C_LB_Close,1,4,,269,67,,1,618
SP-C_LB_Close,1,4,,270,66,,1,388
SP-C_LB_Close,1,4,,271,105,,1,656
SP-C_LB_Close,1,4,,272,91,,1,569
SP-C_LB_Close,1,4,,273,138,,1,810
SP-C_LB_Close,1,4,,274,136,,1,526
SP-C_LB_Close,1,4,,275,92,,1,904
SP-C_LB_Close,1,4,,276,82,,1,874
SP-C_LB_Close,1,4,,277,210,,0,534
SP-C_LB_Close,1,4,,278,84,,1,822
SP-C_LB_Close,1,4,,279,192,,0,627
SP-C_LB_Close,1,4,,280,216,,0,478
SP-C_LB_Close,1,4,,281,76,,1,524
SP-C_LB_Close,1,4,,282,266,,0,480
SP-C_LB_Close,1,4,,283,39,,1,583
SP-C_LB_Close,1,4,,284,116,,1,807
SP-C_LB_Close,1,4,,285,41,,1,521
SP-C_LB_Close,1,4,,286,38,,1,664
SP-C_LB_Close,1,4,,287,273,,0,523
SP-C_LB_Close,1,4,,288,56,,1,584
SP-C_LB_Close,1,4,,289,15,,1,433
SP-C_LB_Close,1,4,,290,110,,1,766
SP-C_LB_Close,1,4,,291,149,,0,511
SP-C_LB_Close,1,4,,292,20,,1,632
SP-C_LB_Close,1,4,,293,127,,0,510
SP-C_LB_Close,1,4,,294,83,,1,454
SP-C_LB_Close,1,4,,295,221,,0,534
SP-C_LB_Close,1,4,,296,206,,0,501
SP-C_LB_Close,1,4,,297,101,,1,775
SP-C_LB_Close,1,4,,298,203,,0,680
SP-C_LB_Close,1,4,,299,71,,1,524
SP-C_LB_Close,1,4,,300,179,,0,458
SP-C_LB_Close,1,4,,301,125,,0,523
SP-C_LB_Close,1,5,,1,140,,1,3246
SP-C_LB_Close,1,5,,2,150,,1,517
SP-C_LB_Close,1,5,,3,130,,1,558
SP-C_LB_Close,1,5,,4,110,,1,447
SP-C_LB_Close,1,5,,5,210,,0,503
SP-C_LB_Close,1,5,,6,120,,1,888
SP-C_LB_Close,1,5,,7,240,,0,409
SP-C_LB_Close,1,5,,8,170,,1,441
SP-C_LB_Close,1,5,,9,120,,1,993
SP-C_LB_Close,1,5,,10,90,,1,534
SP-C_LB_Close,1,5,,11,210,,0,449
SP-C_LB_Close,1,5,,12,200,,0,376
SP-C_LB_Close,1,5,,13,200,,0,323
SP-C_LB_Close,1,5,,14,190,,0,324
SP-C_LB_Close,1,5,,15,90,,1,1170
SP-C_LB_Close,1,5,,16,160,,0,493
SP-C_LB_Close,1,5,,17,170,,0,353
SP-C_LB_Close,1,5,,18,180,,0,342
SP-C_LB_Close,1,5,,19,150,,0,745
SP-C_LB_Close,1,5,,20,240,,0,495
SP-C_LB_Close,1,5,,21,80,,1,976
SP-C_LB_Close,1,5,,22,70,,1,373
SP-C_LB_Close,1,5,,23,230,,0,478
SP-C_LB_Close,1,5,,24,220,,0,398
SP-C_LB_Close,1,5,,25,80,,1,622
SP-C_LB_Close,1,5,,26,100,,1,376
SP-C_LB_Close,1,5,,27,60,,1,563
SP-C_LB_Close,1,5,,28,230,,0,386
SP-C_LB_Close,1,5,,29,180,,0,321
SP-C_LB_Close,1,5,,30,70,,1,593
SP-C_LB_Close,1,5,,31,130,,1,422
SP-C_LB_Close,1,5,,32,60,,1,633
SP-C_LB_Close,1,5,,33,160,,0,469
SP-C_LB_Close,1,5,,34,100,,1,772
SP-C_LB_Close,1,5,,35,220,,0,431
SP-C_LB_Close,1,5,,36,110,,0,643
SP-C_LB_Close,1,5,,37,190,,0,627
SP-C_LB_Close,1,5,,38,140,,0,1024
SP-C_LB_Close,1,6,145.bmp,,,,,
SP-C_LB_Close,1,7,,1,Adam.bmp,65,,
SP-C_LB_Close,1,7,,2,Mark.bmp,36,,
SP-C_LB_Close,1,8,,1,Mark.bmp,78,,
SP-C_LB_Close,1,8,,2,Adam.bmp,96,,
SP-C_LB_Close,1,9,,1,Mark.bmp,88,,
SP-C_LB_Close,1,9,,2,Adam.bmp,92,,
SP-C_LB_Close,1,10,,1,Mark.bmp,56,,
SP-C_LB_Close,1,10,,2,Adam.bmp,59,,
