C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-C_LB_Close-65-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Close,65,1,,1,30,,1,4116
SP-C_LB_Close,65,1,,2,30,,1,1087
SP-C_LB_Close,65,1,,3,30,,0,1053
SP-C_LB_Close,65,1,,4,30,,1,1127
SP-C_LB_Close,65,1,,5,170,,1,1175
SP-C_LB_Close,65,1,,6,170,,1,666
SP-C_LB_Close,65,1,,7,170,,1,358
SP-C_LB_Close,65,1,,8,170,,1,568
SP-C_LB_Close,65,1,,9,30,,1,644
SP-C_LB_Close,65,1,,10,30,,1,501
SP-C_LB_Close,65,1,,11,30,,1,503
SP-C_LB_Close,65,1,,12,170,,1,956
SP-C_LB_Close,65,1,,13,170,,1,742
SP-C_LB_Close,65,1,,14,30,,1,769
SP-C_LB_Close,65,1,,15,170,,1,387
SP-C_LB_Close,65,1,,16,170,,1,468
SP-C_LB_Close,65,1,,17,30,,0,468
SP-C_LB_Close,65,1,,18,30,,1,570
SP-C_LB_Close,65,1,,19,170,,1,572
SP-C_LB_Close,65,1,,20,170,,1,422
SP-C_LB_Close,65,2,,1,180,,0,842
SP-C_LB_Close,65,2,,2,70,,1,522
SP-C_LB_Close,65,2,,3,160,,0,506
SP-C_LB_Close,65,2,,4,150,,0,671
SP-C_LB_Close,65,2,,5,90,,1,535
SP-C_LB_Close,65,2,,6,160,,0,480
SP-C_LB_Close,65,2,,7,120,,0,516
SP-C_LB_Close,65,2,,8,150,,0,637
SP-C_LB_Close,65,2,,9,140,,0,535
SP-C_LB_Close,65,2,,10,210,,0,3575
SP-C_LB_Close,65,2,,11,90,,1,690
SP-C_LB_Close,65,2,,12,110,,1,527
SP-C_LB_Close,65,2,,13,60,,1,393
SP-C_LB_Close,65,2,,14,70,,1,550
SP-C_LB_Close,65,2,,15,220,,0,509
SP-C_LB_Close,65,2,,16,190,,0,461
SP-C_LB_Close,65,2,,17,80,,1,480
SP-C_LB_Close,65,2,,18,100,,1,494
SP-C_LB_Close,65,2,,19,230,,0,482
SP-C_LB_Close,65,2,,20,210,,0,442
SP-C_LB_Close,65,2,,21,190,,0,306
SP-C_LB_Close,65,2,,22,240,,0,324
SP-C_LB_Close,65,2,,23,170,,0,2180
SP-C_LB_Close,65,2,,24,80,,1,447
SP-C_LB_Close,65,2,,25,100,,1,445
SP-C_LB_Close,65,2,,26,130,,1,388
SP-C_LB_Close,65,2,,27,230,,0,534
SP-C_LB_Close,65,2,,28,170,,0,410
SP-C_LB_Close,65,2,,29,110,,1,610
SP-C_LB_Close,65,2,,30,140,,1,408
SP-C_LB_Close,65,2,,31,130,,1,419
SP-C_LB_Close,65,2,,32,200,,0,497
SP-C_LB_Close,65,2,,33,200,,0,667
SP-C_LB_Close,65,2,,34,60,,1,489
SP-C_LB_Close,65,2,,35,220,,0,484
SP-C_LB_Close,65,2,,36,180,,0,443
SP-C_LB_Close,65,2,,37,240,,0,446
SP-C_LB_Close,65,2,,38,120,,1,501
SP-C_LB_Close,65,3,145.bmp,,,,,
SP-C_LB_Close,65,4,,1,116,,1,5640
SP-C_LB_Close,65,4,,2,113,,1,1959
SP-C_LB_Close,65,4,,3,200,,0,873
