XXXX,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Control,100,1,,1,30,,1,4440
SP-C_LB_Control,100,1,,2,170,,0,2616
SP-C_LB_Control,100,1,,3,30,,1,1169
SP-C_LB_Control,100,1,,4,30,,1,863
SP-C_LB_Control,100,1,,5,30,,1,718
SP-C_LB_Control,100,1,,6,170,,1,1596
SP-C_LB_Control,100,1,,7,30,,1,813
SP-C_LB_Control,100,1,,8,30,,1,877
SP-C_LB_Control,100,1,,9,170,,1,864
SP-C_LB_Control,100,1,,10,170,,1,572
SP-C_LB_Control,100,1,,11,170,,1,701
SP-C_LB_Control,100,1,,12,170,,1,684
SP-C_LB_Control,100,1,,13,30,,1,571
SP-C_LB_Control,100,1,,14,170,,1,611
SP-C_LB_Control,100,1,,15,30,,1,1024
SP-C_LB_Control,100,1,,16,170,,1,579
SP-C_LB_Control,100,1,,17,30,,1,502
SP-C_LB_Control,100,1,,18,30,,1,516
SP-C_LB_Control,100,1,,19,170,,1,527
SP-C_LB_Control,100,1,,20,170,,1,581
SP-C_LB_Control,100,2,,1,70,,1,958
SP-C_LB_Control,100,2,,2,60,,1,1070
SP-C_LB_Control,100,2,,3,220,,0,953
SP-C_LB_Control,100,2,,4,190,,0,833
SP-C_LB_Control,100,2,,5,230,,0,830
SP-C_LB_Control,100,2,,6,220,,0,884
SP-C_LB_Control,100,2,,7,150,,1,2570
SP-C_LB_Control,100,2,,8,100,,1,770
SP-C_LB_Control,100,2,,9,170,,0,1342
SP-C_LB_Control,100,2,,10,80,,1,804
SP-C_LB_Control,100,2,,11,120,,0,1032
SP-C_LB_Control,100,2,,12,130,,0,571
SP-C_LB_Control,100,2,,13,240,,0,603
SP-C_LB_Control,100,2,,14,200,,0,720
SP-C_LB_Control,100,2,,15,210,,0,360
SP-C_LB_Control,100,2,,16,100,,1,680
SP-C_LB_Control,100,2,,17,140,,0,751
SP-C_LB_Control,100,2,,18,90,,1,668
SP-C_LB_Control,100,2,,19,230,,0,539
SP-C_LB_Control,100,2,,20,80,,1,577
SP-C_LB_Control,100,2,,21,210,,0,503
SP-C_LB_Control,100,2,,22,130,,1,864
SP-C_LB_Control,100,2,,23,190,,0,1052
SP-C_LB_Control,100,2,,24,170,,0,736
SP-C_LB_Control,100,2,,25,60,,1,469
SP-C_LB_Control,100,2,,26,180,,0,1458
SP-C_LB_Control,100,2,,27,150,,0,539
SP-C_LB_Control,100,2,,28,90,,1,392
SP-C_LB_Control,100,2,,29,140,,1,4369
SP-C_LB_Control,100,2,,30,160,,0,1716
SP-C_LB_Control,100,2,,31,120,,1,818
SP-C_LB_Control,100,2,,32,240,,0,554
SP-C_LB_Control,100,2,,33,160,,1,1134
SP-C_LB_Control,100,2,,34,200,,0,490
SP-C_LB_Control,100,2,,35,110,,1,504
SP-C_LB_Control,100,2,,36,70,,1,473
SP-C_LB_Control,100,2,,37,180,,1,759
SP-C_LB_Control,100,2,,38,110,,1,665
SP-C_LB_Control,100,3,179.bmp,,,,,
SP-C_LB_Control,100,4,,1,84,,1,2229
SP-C_LB_Control,100,4,,2,65,,1,818
SP-C_LB_Control,100,4,,3,96,,1,2420
SP-C_LB_Control,100,4,,4,91,,1,967
SP-C_LB_Control,100,4,,5,51,,1,724
SP-C_LB_Control,100,4,,6,34,,1,792
SP-C_LB_Control,100,4,,7,117,,1,3642
SP-C_LB_Control,100,4,,8,161,,0,1594
SP-C_LB_Control,100,4,,9,129,,1,2307
SP-C_LB_Control,100,4,,10,221,,0,829
SP-C_LB_Control,100,4,,11,154,,0,3320
SP-C_LB_Control,100,4,,12,265,,0,901
SP-C_LB_Control,100,4,,13,143,,0,1062
SP-C_LB_Control,100,4,,14,87,,1,903
SP-C_LB_Control,100,4,,15,131,,1,3542
SP-C_LB_Control,100,4,,16,25,,1,657
SP-C_LB_Control,100,4,,17,135,,0,3818
SP-C_LB_Control,100,4,,18,128,,0,1654
SP-C_LB_Control,100,4,,19,165,,0,686
SP-C_LB_Control,100,4,,20,203,,0,612
SP-C_LB_Control,100,4,,21,47,,1,515
SP-C_LB_Control,100,4,,22,9,,1,952
SP-C_LB_Control,100,4,,23,79,,1,822
SP-C_LB_Control,100,4,,24,46,,1,539
SP-C_LB_Control,100,4,,25,237,,0,578
SP-C_LB_Control,100,4,,26,180,,0,1003
SP-C_LB_Control,100,4,,27,44,,1,720
SP-C_LB_Control,100,4,,28,190,,0,566
SP-C_LB_Control,100,4,,29,50,,1,492
SP-C_LB_Control,100,4,,30,204,,0,542
SP-C_LB_Control,100,4,,31,56,,1,591
SP-C_LB_Control,100,4,,32,252,,0,666
SP-C_LB_Control,100,4,,33,116,,1,642
SP-C_LB_Control,100,4,,34,7,,1,894
SP-C_LB_Control,100,4,,35,220,,0,811
SP-C_LB_Control,100,4,,36,58,,1,692
SP-C_LB_Control,100,4,,37,152,,0,1890
SP-C_LB_Control,100,4,,38,141,,0,4545
SP-C_LB_Control,100,4,,39,196,,0,591
SP-C_LB_Control,100,4,,40,255,,0,556
SP-C_LB_Control,100,4,,41,109,,1,3038
SP-C_LB_Control,100,4,,42,38,,1,1216
SP-C_LB_Control,100,4,,43,212,,0,601
SP-C_LB_Control,100,4,,44,271,,0,847
SP-C_LB_Control,100,4,,45,88,,1,2281
SP-C_LB_Control,100,4,,46,176,,0,1054
SP-C_LB_Control,100,4,,47,61,,1,604
SP-C_LB_Control,100,4,,48,182,,0,718
SP-C_LB_Control,100,4,,49,201,,0,2825
SP-C_LB_Control,100,4,,50,52,,1,864
SP-C_LB_Control,100,4,,51,167,,0,836
