C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_LB_Control-88-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Control,88,1,,1,30,,1,6221
SP-C_LB_Control,88,1,,2,170,,1,2150
SP-C_LB_Control,88,1,,3,170,,1,1482
SP-C_LB_Control,88,1,,4,170,,1,597
SP-C_LB_Control,88,1,,5,30,,1,587
SP-C_LB_Control,88,1,,6,30,,1,598
SP-C_LB_Control,88,1,,7,170,,1,558
SP-C_LB_Control,88,1,,8,30,,1,531
SP-C_LB_Control,88,1,,9,30,,1,516
SP-C_LB_Control,88,1,,10,30,,1,430
SP-C_LB_Control,88,1,,11,30,,1,378
SP-C_LB_Control,88,1,,12,170,,1,586
SP-C_LB_Control,88,1,,13,30,,1,502
SP-C_LB_Control,88,1,,14,170,,1,554
SP-C_LB_Control,88,1,,15,170,,1,627
SP-C_LB_Control,88,1,,16,30,,1,595
SP-C_LB_Control,88,1,,17,170,,1,1203
SP-C_LB_Control,88,1,,18,170,,1,629
SP-C_LB_Control,88,1,,19,170,,1,750
SP-C_LB_Control,88,1,,20,30,,1,621
SP-C_LB_Control,88,2,,1,210,,0,1022
SP-C_LB_Control,88,2,,2,60,,1,602
SP-C_LB_Control,88,2,,3,200,,0,517
SP-C_LB_Control,88,2,,4,80,,1,535
SP-C_LB_Control,88,2,,5,120,,0,2194
SP-C_LB_Control,88,2,,6,140,,0,1147
SP-C_LB_Control,88,2,,7,210,,0,786
SP-C_LB_Control,88,2,,8,230,,0,566
SP-C_LB_Control,88,2,,9,130,,0,1012
SP-C_LB_Control,88,2,,10,60,,1,516
SP-C_LB_Control,88,2,,11,90,,1,915
SP-C_LB_Control,88,2,,12,100,,1,1571
SP-C_LB_Control,88,2,,13,110,,0,948
SP-C_LB_Control,88,2,,14,220,,0,692
SP-C_LB_Control,88,2,,15,130,,0,749
SP-C_LB_Control,88,2,,16,150,,0,782
SP-C_LB_Control,88,2,,17,200,,0,745
SP-C_LB_Control,88,2,,18,170,,0,713
SP-C_LB_Control,88,2,,19,90,,1,994
SP-C_LB_Control,88,2,,20,190,,0,712
SP-C_LB_Control,88,2,,21,110,,1,809
SP-C_LB_Control,88,2,,22,100,,1,604
SP-C_LB_Control,88,2,,23,240,,0,589
SP-C_LB_Control,88,2,,24,230,,0,478
SP-C_LB_Control,88,2,,25,140,,0,1498
SP-C_LB_Control,88,2,,26,190,,0,611
SP-C_LB_Control,88,2,,27,170,,0,535
SP-C_LB_Control,88,2,,28,70,,1,611
SP-C_LB_Control,88,2,,29,180,,0,615
SP-C_LB_Control,88,2,,30,150,,0,660
SP-C_LB_Control,88,2,,31,220,,0,610
SP-C_LB_Control,88,2,,32,70,,1,552
SP-C_LB_Control,88,2,,33,160,,0,703
SP-C_LB_Control,88,2,,34,180,,0,552
SP-C_LB_Control,88,2,,35,80,,1,506
SP-C_LB_Control,88,2,,36,160,,0,591
SP-C_LB_Control,88,2,,37,240,,0,591
SP-C_LB_Control,88,2,,38,120,,0,284
SP-C_LB_Control,88,3,40.bmp,,,,,
SP-C_LB_Control,88,4,,1,239,,0,2017
SP-C_LB_Control,88,4,,2,256,,0,1696
SP-C_LB_Control,88,4,,3,30,,1,1003
SP-C_LB_Control,88,4,,4,288,,0,732
SP-C_LB_Control,88,4,,5,195,,0,1057
SP-C_LB_Control,88,4,,6,248,,0,655
SP-C_LB_Control,88,4,,7,273,,0,421
SP-C_LB_Control,88,4,,8,294,,0,719
SP-C_LB_Control,88,4,,9,36,,1,1085
SP-C_LB_Control,88,4,,10,177,,0,678
SP-C_LB_Control,88,4,,11,233,,0,773
SP-C_LB_Control,88,4,,12,231,,0,636
SP-C_LB_Control,88,4,,13,83,,1,488
SP-C_LB_Control,88,4,,14,3,,1,1660
SP-C_LB_Control,88,4,,15,89,,1,1549
SP-C_LB_Control,88,4,,16,245,,0,610
SP-C_LB_Control,88,4,,17,8,,1,598
SP-C_LB_Control,88,4,,18,299,,0,518
SP-C_LB_Control,88,4,,19,112,,0,1307
SP-C_LB_Control,88,4,,20,73,,1,789
SP-C_LB_Control,88,4,,21,7,,1,807
SP-C_LB_Control,88,4,,22,228,,0,548
SP-C_LB_Control,88,4,,23,21,,1,680
SP-C_LB_Control,88,4,,24,216,,0,545
SP-C_LB_Control,88,4,,25,165,,0,1372
SP-C_LB_Control,88,4,,26,130,,0,762
SP-C_LB_Control,88,4,,27,221,,0,1131
SP-C_LB_Control,88,4,,28,94,,1,1033
SP-C_LB_Control,88,4,,29,80,,1,574
SP-C_LB_Control,88,4,,30,174,,0,711
SP-C_LB_Control,88,4,,31,196,,0,617
SP-C_LB_Control,88,4,,32,100,,0,581
SP-C_LB_Control,88,4,,33,281,,0,611
SP-C_LB_Control,88,4,,34,145,,0,2090
SP-C_LB_Control,88,4,,35,215,,0,571
SP-C_LB_Control,88,4,,36,136,,0,1039
SP-C_LB_Control,88,4,,37,243,,0,612
SP-C_LB_Control,88,4,,38,163,,0,717
SP-C_LB_Control,88,4,,39,283,,0,569
SP-C_LB_Control,88,4,,40,223,,0,498
SP-C_LB_Control,88,4,,41,85,,1,840
SP-C_LB_Control,88,4,,42,218,,0,641
SP-C_LB_Control,88,4,,43,271,,0,537
SP-C_LB_Control,88,4,,44,109,,1,1044
SP-C_LB_Control,88,4,,45,254,,0,643
SP-C_LB_Control,88,4,,46,74,,1,730
SP-C_LB_Control,88,4,,47,49,,1,499
SP-C_LB_Control,88,4,,48,156,,0,1343
SP-C_LB_Control,88,4,,49,59,,1,575
SP-C_LB_Control,88,4,,50,69,,1,475
SP-C_LB_Control,88,4,,51,261,,0,580
SP-C_LB_Control,88,4,,52,123,,0,811
SP-C_LB_Control,88,4,,53,255,,0,656
SP-C_LB_Control,88,4,,54,38,,1,591
SP-C_LB_Control,88,4,,55,175,,0,1102
SP-C_LB_Control,88,4,,56,138,,0,567
SP-C_LB_Control,88,4,,57,52,,1,558
SP-C_LB_Control,88,4,,58,192,,0,1148
SP-C_LB_Control,88,4,,59,99,,0,1674
SP-C_LB_Control,88,4,,60,198,,0,642
SP-C_LB_Control,88,4,,61,259,,0,805
SP-C_LB_Control,88,4,,62,82,,1,587
SP-C_LB_Control,88,4,,63,72,,1,496
SP-C_LB_Control,88,4,,64,226,,0,563
SP-C_LB_Control,88,4,,65,171,,0,553
SP-C_LB_Control,88,4,,66,300,,0,562
SP-C_LB_Control,88,4,,67,238,,0,1279
SP-C_LB_Control,88,4,,68,150,,0,609
SP-C_LB_Control,88,4,,69,152,,0,458
SP-C_LB_Control,88,4,,70,208,,0,875
SP-C_LB_Control,88,4,,71,183,,0,425
SP-C_LB_Control,88,4,,72,58,,1,504
SP-C_LB_Control,88,4,,73,111,,1,514
SP-C_LB_Control,88,4,,74,64,,1,448
SP-C_LB_Control,88,4,,75,203,,0,645
SP-C_LB_Control,88,4,,76,77,,0,700
SP-C_LB_Control,88,4,,77,234,,0,658
SP-C_LB_Control,88,4,,78,34,,1,551
SP-C_LB_Control,88,4,,79,11,,1,562
SP-C_LB_Control,88,4,,80,133,,0,661
SP-C_LB_Control,88,4,,81,148,,0,785
SP-C_LB_Control,88,4,,82,187,,0,616
SP-C_LB_Control,88,4,,83,295,,0,638
SP-C_LB_Control,88,4,,84,70,,1,817
SP-C_LB_Control,88,4,,85,170,,0,1412
SP-C_LB_Control,88,4,,86,219,,0,489
SP-C_LB_Control,88,4,,87,287,,0,551
SP-C_LB_Control,88,4,,88,110,,0,1006
SP-C_LB_Control,88,4,,89,98,,0,666
SP-C_LB_Control,88,4,,90,169,,0,648
SP-C_LB_Control,88,4,,91,285,,0,677
SP-C_LB_Control,88,4,,92,46,,1,530
SP-C_LB_Control,88,4,,93,260,,0,672
SP-C_LB_Control,88,4,,94,129,,0,752
SP-C_LB_Control,88,4,,95,296,,0,533
SP-C_LB_Control,88,4,,96,13,,1,544
SP-C_LB_Control,88,4,,97,250,,0,531
SP-C_LB_Control,88,4,,98,31,,1,475
SP-C_LB_Control,88,4,,99,57,,1,692
SP-C_LB_Control,88,4,,100,205,,0,541
SP-C_LB_Control,88,4,,101,266,,0,502
SP-C_LB_Control,88,4,,102,154,,0,491
SP-C_LB_Control,88,4,,103,265,,0,385
SP-C_LB_Control,88,4,,104,37,,1,504
SP-C_LB_Control,88,4,,105,258,,0,544
SP-C_LB_Control,88,4,,106,184,,0,548
SP-C_LB_Control,88,4,,107,200,,0,570
SP-C_LB_Control,88,4,,108,194,,0,408
SP-C_LB_Control,88,4,,109,193,,0,442
SP-C_LB_Control,88,4,,110,122,,1,1545
SP-C_LB_Control,88,4,,111,42,,1,595
SP-C_LB_Control,88,4,,112,210,,0,572
SP-C_LB_Control,88,4,,113,230,,0,545
SP-C_LB_Control,88,4,,114,191,,0,405
SP-C_LB_Control,88,4,,115,126,,0,3409
SP-C_LB_Control,88,4,,116,97,,1,503
SP-C_LB_Control,88,4,,117,232,,0,634
SP-C_LB_Control,88,4,,118,153,,0,1057
SP-C_LB_Control,88,4,,119,71,,1,552
SP-C_LB_Control,88,4,,120,67,,1,796
SP-C_LB_Control,88,4,,121,190,,0,836
SP-C_LB_Control,88,4,,122,199,,0,604
SP-C_LB_Control,88,4,,123,18,,1,621
SP-C_LB_Control,88,4,,124,104,,1,525
SP-C_LB_Control,88,4,,125,176,,0,588
SP-C_LB_Control,88,4,,126,124,,1,794
SP-C_LB_Control,88,4,,127,45,,1,418
SP-C_LB_Control,88,4,,128,75,,1,495
SP-C_LB_Control,88,4,,129,297,,0,680
SP-C_LB_Control,88,4,,130,227,,0,465
SP-C_LB_Control,88,4,,131,246,,0,713
SP-C_LB_Control,88,4,,132,105,,1,485
SP-C_LB_Control,88,4,,133,252,,0,595
SP-C_LB_Control,88,4,,134,128,,1,754
