C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_LB_Dead-106-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Dead,106,1,,1,170,,0,12070
SP-C_LB_Dead,106,1,,2,170,,1,2298
SP-C_LB_Dead,106,1,,3,30,,0,2058
SP-C_LB_Dead,106,1,,4,30,,1,1287
SP-C_LB_Dead,106,1,,5,30,,1,1586
SP-C_LB_Dead,106,1,,6,170,,1,726
SP-C_LB_Dead,106,1,,7,170,,1,517
SP-C_LB_Dead,106,1,,8,30,,0,1246
SP-C_LB_Dead,106,1,,9,30,,1,648
SP-C_LB_Dead,106,1,,10,170,,1,600
SP-C_LB_Dead,106,1,,11,30,,1,543
SP-C_LB_Dead,106,1,,12,30,,0,385
SP-C_LB_Dead,106,1,,13,170,,1,1373
SP-C_LB_Dead,106,1,,14,170,,1,742
SP-C_LB_Dead,106,1,,15,170,,1,356
SP-C_LB_Dead,106,1,,16,30,,1,692
SP-C_LB_Dead,106,1,,17,170,,1,510
SP-C_LB_Dead,106,1,,18,170,,1,1056
SP-C_LB_Dead,106,1,,19,30,,0,551
SP-C_LB_Dead,106,1,,20,30,,1,761
SP-C_LB_Dead,106,2,,1,180,,0,779
SP-C_LB_Dead,106,2,,2,190,,0,1080
SP-C_LB_Dead,106,2,,3,190,,0,988
SP-C_LB_Dead,106,2,,4,170,,0,852
SP-C_LB_Dead,106,2,,5,70,,1,782
SP-C_LB_Dead,106,2,,6,90,,1,523
SP-C_LB_Dead,106,2,,7,130,,1,1349
SP-C_LB_Dead,106,2,,8,130,,1,518
SP-C_LB_Dead,106,2,,9,180,,0,931
SP-C_LB_Dead,106,2,,10,220,,0,853
SP-C_LB_Dead,106,2,,11,150,,1,1212
SP-C_LB_Dead,106,2,,12,60,,1,557
SP-C_LB_Dead,106,2,,13,230,,0,1112
SP-C_LB_Dead,106,2,,14,100,,1,570
SP-C_LB_Dead,106,2,,15,70,,1,549
SP-C_LB_Dead,106,2,,16,200,,0,473
SP-C_LB_Dead,106,2,,17,150,,0,2236
SP-C_LB_Dead,106,2,,18,210,,0,586
SP-C_LB_Dead,106,2,,19,90,,1,489
SP-C_LB_Dead,106,2,,20,170,,0,775
SP-C_LB_Dead,106,2,,21,220,,0,541
SP-C_LB_Dead,106,2,,22,110,,1,454
SP-C_LB_Dead,106,2,,23,110,,1,912
SP-C_LB_Dead,106,2,,24,230,,0,459
SP-C_LB_Dead,106,2,,25,140,,1,2750
SP-C_LB_Dead,106,2,,26,80,,1,536
SP-C_LB_Dead,106,2,,27,60,,1,497
