C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-C_LB_Far-20-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Far,20,1,,1,170,,1,5259
SP-C_LB_Far,20,1,,2,170,,1,2633
SP-C_LB_Far,20,1,,3,30,,1,1993
SP-C_LB_Far,20,1,,4,170,,1,1032
SP-C_LB_Far,20,1,,5,170,,0,1285
SP-C_LB_Far,20,1,,6,170,,1,3584
SP-C_LB_Far,20,1,,7,30,,1,1301
SP-C_LB_Far,20,1,,8,30,,1,1036
SP-C_LB_Far,20,1,,9,30,,1,1012
SP-C_LB_Far,20,1,,10,30,,1,764
SP-C_LB_Far,20,1,,11,170,,1,606
SP-C_LB_Far,20,1,,12,170,,0,1555
SP-C_LB_Far,20,1,,13,170,,1,861
SP-C_LB_Far,20,1,,14,170,,1,385
SP-C_LB_Far,20,1,,15,30,,1,638
SP-C_LB_Far,20,1,,16,30,,1,957
SP-C_LB_Far,20,1,,17,170,,1,628
SP-C_LB_Far,20,1,,18,30,,1,749
SP-C_LB_Far,20,1,,19,30,,1,448
SP-C_LB_Far,20,1,,20,30,,1,503
SP-C_LB_Far,20,2,,1,130,,0,3214
SP-C_LB_Far,20,2,,2,100,,1,3407
SP-C_LB_Far,20,2,,3,120,,1,1739
SP-C_LB_Far,20,2,,4,90,,1,866
SP-C_LB_Far,20,2,,5,230,,0,766
SP-C_LB_Far,20,2,,6,110,,1,798
SP-C_LB_Far,20,2,,7,60,,1,648
SP-C_LB_Far,20,2,,8,220,,0,737
SP-C_LB_Far,20,2,,9,230,,0,498
SP-C_LB_Far,20,2,,10,70,,1,641
SP-C_LB_Far,20,2,,11,150,,1,1148
SP-C_LB_Far,20,2,,12,150,,1,899
SP-C_LB_Far,20,2,,13,210,,0,731
SP-C_LB_Far,20,2,,14,220,,0,388
SP-C_LB_Far,20,2,,15,140,,1,655
SP-C_LB_Far,20,2,,16,160,,1,426
SP-C_LB_Far,20,2,,17,170,,1,379
SP-C_LB_Far,20,2,,18,80,,1,545
SP-C_LB_Far,20,2,,19,70,,1,331
SP-C_LB_Far,20,2,,20,240,,0,512
SP-C_LB_Far,20,2,,21,120,,1,496
SP-C_LB_Far,20,2,,22,80,,1,325
SP-C_LB_Far,20,2,,23,240,,0,494
SP-C_LB_Far,20,2,,24,210,,0,640
SP-C_LB_Far,20,2,,25,100,,1,443
SP-C_LB_Far,20,2,,26,140,,1,433
SP-C_LB_Far,20,2,,27,200,,1,366
SP-C_LB_Far,20,2,,28,130,,1,1037
SP-C_LB_Far,20,2,,29,170,,0,806
SP-C_LB_Far,20,2,,30,60,,1,555
SP-C_LB_Far,20,2,,31,160,,0,825
SP-C_LB_Far,20,2,,32,190,,0,883
SP-C_LB_Far,20,2,,33,180,,0,451
SP-C_LB_Far,20,2,,34,180,,0,669
SP-C_LB_Far,20,2,,35,90,,1,548
SP-C_LB_Far,20,2,,36,190,,0,500
SP-C_LB_Far,20,2,,37,200,,0,362
SP-C_LB_Far,20,2,,38,110,,1,481
SP-C_LB_Far,20,3,245.bmp,,,,,
SP-C_LB_Far,20,4,,1,220,,0,2326
SP-C_LB_Far,20,4,,2,7,,1,2992
SP-C_LB_Far,20,4,,3,158,,0,2082
SP-C_LB_Far,20,4,,4,123,,1,2786
SP-C_LB_Far,20,4,,5,150,,1,1524
SP-C_LB_Far,20,4,,6,68,,1,750
SP-C_LB_Far,20,4,,7,41,,1,1297
SP-C_LB_Far,20,4,,8,233,,0,672
SP-C_LB_Far,20,4,,9,76,,1,896
SP-C_LB_Far,20,4,,10,285,,0,921
SP-C_LB_Far,20,4,,11,103,,1,785
SP-C_LB_Far,20,4,,12,98,,1,2275
SP-C_LB_Far,20,4,,13,224,,0,836
SP-C_LB_Far,20,4,,14,0,,1,933
SP-C_LB_Far,20,4,,15,71,,1,1030
SP-C_LB_Far,20,4,,16,267,,0,723
SP-C_LB_Far,20,4,,17,201,,0,646
SP-C_LB_Far,20,4,,18,260,,0,822
SP-C_LB_Far,20,4,,19,67,,1,778
SP-C_LB_Far,20,4,,20,168,,0,526
SP-C_LB_Far,20,4,,21,55,,1,586
SP-C_LB_Far,20,4,,22,254,,0,550
SP-C_LB_Far,20,4,,23,104,,1,628
SP-C_LB_Far,20,4,,24,96,,1,2507
SP-C_LB_Far,20,4,,25,204,,0,1015
SP-C_LB_Far,20,4,,26,291,,0,593
SP-C_LB_Far,20,4,,27,143,,1,1582
