C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\SP-C_LB_Far-4-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Far,4,1,,1,170,,0,3714
SP-C_LB_Far,4,1,,2,170,,1,1026
SP-C_LB_Far,4,1,,3,170,,1,743
SP-C_LB_Far,4,1,,4,30,,1,789
SP-C_LB_Far,4,1,,5,30,,1,394
SP-C_LB_Far,4,1,,6,30,,1,355
SP-C_LB_Far,4,1,,7,30,,1,387
SP-C_LB_Far,4,1,,8,170,,1,456
SP-C_LB_Far,4,1,,9,30,,1,491
SP-C_LB_Far,4,1,,10,170,,1,614
SP-C_LB_Far,4,1,,11,170,,1,1080
SP-C_LB_Far,4,1,,12,170,,1,486
SP-C_LB_Far,4,1,,13,30,,1,465
SP-C_LB_Far,4,1,,14,30,,1,436
SP-C_LB_Far,4,1,,15,170,,1,485
SP-C_LB_Far,4,1,,16,170,,1,540
SP-C_LB_Far,4,1,,17,170,,1,480
SP-C_LB_Far,4,1,,18,30,,1,455
SP-C_LB_Far,4,1,,19,30,,1,378
SP-C_LB_Far,4,1,,20,30,,1,382
SP-C_LB_Far,4,2,,1,80,,1,2805
SP-C_LB_Far,4,2,,2,190,,0,1078
SP-C_LB_Far,4,2,,3,230,,0,924
SP-C_LB_Far,4,2,,4,170,,0,566
SP-C_LB_Far,4,2,,5,100,,1,661
SP-C_LB_Far,4,2,,6,120,,1,616
SP-C_LB_Far,4,2,,7,70,,1,482
SP-C_LB_Far,4,2,,8,160,,0,483
SP-C_LB_Far,4,2,,9,90,,1,578
SP-C_LB_Far,4,2,,10,180,,0,533
SP-C_LB_Far,4,2,,11,220,,0,560
SP-C_LB_Far,4,2,,12,110,,1,480
SP-C_LB_Far,4,2,,13,60,,1,992
SP-C_LB_Far,4,2,,14,190,,0,453
SP-C_LB_Far,4,2,,15,160,,0,495
SP-C_LB_Far,4,2,,16,140,,0,434
SP-C_LB_Far,4,2,,17,210,,0,503
SP-C_LB_Far,4,2,,18,150,,0,457
SP-C_LB_Far,4,2,,19,180,,0,423
SP-C_LB_Far,4,2,,20,130,,0,380
SP-C_LB_Far,4,2,,21,200,,0,374
SP-C_LB_Far,4,2,,22,120,,1,447
SP-C_LB_Far,4,2,,23,230,,0,392
SP-C_LB_Far,4,2,,24,60,,1,470
SP-C_LB_Far,4,2,,25,100,,0,449
SP-C_LB_Far,4,2,,26,150,,0,522
SP-C_LB_Far,4,2,,27,240,,0,643
SP-C_LB_Far,4,2,,28,130,,1,482
SP-C_LB_Far,4,2,,29,70,,1,514
SP-C_LB_Far,4,2,,30,170,,0,552
SP-C_LB_Far,4,2,,31,90,,1,436
SP-C_LB_Far,4,2,,32,80,,1,538
SP-C_LB_Far,4,2,,33,210,,0,516
SP-C_LB_Far,4,2,,34,240,,0,474
SP-C_LB_Far,4,2,,35,220,,0,488
SP-C_LB_Far,4,2,,36,200,,0,424
SP-C_LB_Far,4,2,,37,140,,1,510
SP-C_LB_Far,4,2,,38,110,,1,499
SP-C_LB_Far,4,3,126.bmp,,,,,
SP-C_LB_Far,4,4,,1,45,,1,2308
SP-C_LB_Far,4,4,,2,129,,1,1441
SP-C_LB_Far,4,4,,3,82,,1,1275
SP-C_LB_Far,4,4,,4,177,,0,1402
SP-C_LB_Far,4,4,,5,24,,1,978
SP-C_LB_Far,4,4,,6,70,,1,856
SP-C_LB_Far,4,4,,7,74,,1,1397
SP-C_LB_Far,4,4,,8,127,,1,970
SP-C_LB_Far,4,4,,9,130,,0,3782
SP-C_LB_Far,4,4,,10,219,,0,858
SP-C_LB_Far,4,4,,11,225,,0,1016
SP-C_LB_Far,4,4,,12,83,,1,918
SP-C_LB_Far,4,4,,13,188,,0,902
SP-C_LB_Far,4,4,,14,108,,1,839
SP-C_LB_Far,4,4,,15,118,,1,1911
SP-C_LB_Far,4,4,,16,149,,0,904
SP-C_LB_Far,4,4,,17,58,,1,1605
SP-C_LB_Far,4,4,,18,237,,0,455
SP-C_LB_Far,4,4,,19,12,,1,527
SP-C_LB_Far,4,4,,20,64,,1,504
SP-C_LB_Far,4,4,,21,137,,1,655
SP-C_LB_Far,4,4,,22,157,,0,481
SP-C_LB_Far,4,4,,23,274,,0,509
SP-C_LB_Far,4,4,,24,162,,0,906
SP-C_LB_Far,4,4,,25,234,,0,614
SP-C_LB_Far,4,4,,26,246,,0,3696
SP-C_LB_Far,4,4,,27,256,,0,506
SP-C_LB_Far,4,4,,28,25,,1,459
SP-C_LB_Far,4,4,,29,67,,1,485
SP-C_LB_Far,4,4,,30,180,,0,518
SP-C_LB_Far,4,4,,31,0,,1,551
SP-C_LB_Far,4,4,,32,128,,0,475
SP-C_LB_Far,4,4,,33,9,,1,659
SP-C_LB_Far,4,4,,34,213,,0,497
SP-C_LB_Far,4,4,,35,109,,0,1478
SP-C_LB_Far,4,4,,36,72,,1,584
SP-C_LB_Far,4,4,,37,158,,0,658
SP-C_LB_Far,4,4,,38,287,,0,678
SP-C_LB_Far,4,4,,39,47,,1,468
SP-C_LB_Far,4,4,,40,78,,1,552
SP-C_LB_Far,4,4,,41,75,,1,451
SP-C_LB_Far,4,4,,42,235,,0,452
SP-C_LB_Far,4,4,,43,209,,0,493
SP-C_LB_Far,4,4,,44,22,,1,408
SP-C_LB_Far,4,4,,45,222,,0,513
SP-C_LB_Far,4,4,,46,105,,1,691
SP-C_LB_Far,4,4,,47,299,,0,514
SP-C_LB_Far,4,4,,48,216,,0,660
SP-C_LB_Far,4,4,,49,126,,1,579
SP-C_LB_Far,4,4,,50,59,,1,536
SP-C_LB_Far,4,4,,51,250,,0,435
SP-C_LB_Far,4,4,,52,275,,0,495
SP-C_LB_Far,4,4,,53,134,,0,572
SP-C_LB_Far,4,4,,54,37,,1,518
SP-C_LB_Far,4,4,,55,239,,0,475
SP-C_LB_Far,4,4,,56,297,,0,547
SP-C_LB_Far,4,4,,57,28,,1,1606
SP-C_LB_Far,4,4,,58,92,,1,592
SP-C_LB_Far,4,4,,59,35,,0,439
SP-C_LB_Far,4,4,,60,62,,1,517
SP-C_LB_Far,4,4,,61,93,,1,398
SP-C_LB_Far,4,4,,62,147,,1,485
SP-C_LB_Far,4,4,,63,203,,0,756
SP-C_LB_Far,4,4,,64,50,,1,533
SP-C_LB_Far,4,4,,65,98,,1,607
SP-C_LB_Far,4,4,,66,161,,0,851
SP-C_LB_Far,4,4,,67,170,,1,6339
SP-C_LB_Far,4,4,,68,17,,1,544
SP-C_LB_Far,4,4,,69,263,,0,503
SP-C_LB_Far,4,4,,70,208,,0,695
SP-C_LB_Far,4,4,,71,264,,0,433
SP-C_LB_Far,4,4,,72,103,,1,1059
SP-C_LB_Far,4,4,,73,112,,1,775
SP-C_LB_Far,4,4,,74,284,,0,448
SP-C_LB_Far,4,4,,75,36,,1,552
SP-C_LB_Far,4,4,,76,38,,1,462
SP-C_LB_Far,4,4,,77,42,,1,457
SP-C_LB_Far,4,4,,78,283,,0,473
SP-C_LB_Far,4,4,,79,257,,0,586
SP-C_LB_Far,4,4,,80,19,,1,502
SP-C_LB_Far,4,4,,81,152,,0,605
SP-C_LB_Far,4,4,,82,84,,1,620
SP-C_LB_Far,4,4,,83,293,,0,601
SP-C_LB_Far,4,4,,84,187,,0,552
SP-C_LB_Far,4,4,,85,107,,1,439
SP-C_LB_Far,4,4,,86,232,,0,563
SP-C_LB_Far,4,4,,87,247,,0,2387
SP-C_LB_Far,4,4,,88,226,,0,1062
SP-C_LB_Far,4,4,,89,223,,0,1348
SP-C_LB_Far,4,4,,90,119,,1,848
SP-C_LB_Far,4,4,,91,122,,1,527
SP-C_LB_Far,4,4,,92,259,,0,569
SP-C_LB_Far,4,4,,93,270,,0,588
SP-C_LB_Far,4,4,,94,1,,1,433
SP-C_LB_Far,4,4,,95,227,,0,499
SP-C_LB_Far,4,4,,96,195,,0,608
SP-C_LB_Far,4,4,,97,142,,0,999
SP-C_LB_Far,4,4,,98,220,,0,627
SP-C_LB_Far,4,4,,99,115,,1,767
SP-C_LB_Far,4,4,,100,240,,0,627
SP-C_LB_Far,4,4,,101,97,,1,513
SP-C_LB_Far,4,4,,102,60,,1,607
SP-C_LB_Far,4,4,,103,116,,1,560
SP-C_LB_Far,4,4,,104,85,,1,475
SP-C_LB_Far,4,4,,105,13,,1,594
SP-C_LB_Far,4,4,,106,52,,1,485
SP-C_LB_Far,4,4,,107,205,,0,501
SP-C_LB_Far,4,4,,108,88,,1,482
SP-C_LB_Far,4,4,,109,77,,1,396
SP-C_LB_Far,4,4,,110,169,,1,936
SP-C_LB_Far,4,4,,111,56,,1,3105
SP-C_LB_Far,4,4,,112,141,,1,491
SP-C_LB_Far,4,4,,113,4,,1,446
SP-C_LB_Far,4,4,,114,86,,1,517
SP-C_LB_Far,4,4,,115,40,,1,449
SP-C_LB_Far,4,4,,116,8,,1,374
SP-C_LB_Far,4,4,,117,33,,1,381
SP-C_LB_Far,4,4,,118,5,,1,383
SP-C_LB_Far,4,4,,119,228,,0,485
SP-C_LB_Far,4,4,,120,179,,0,451
SP-C_LB_Far,4,4,,121,111,,0,536
SP-C_LB_Far,4,4,,122,260,,0,631
SP-C_LB_Far,4,4,,123,99,,1,1180
SP-C_LB_Far,4,4,,124,197,,0,528
SP-C_LB_Far,4,4,,125,132,,0,685
SP-C_LB_Far,4,4,,126,242,,0,537
SP-C_LB_Far,4,4,,127,194,,0,526
SP-C_LB_Far,4,4,,128,43,,1,527
SP-C_LB_Far,4,4,,129,249,,0,536
SP-C_LB_Far,4,4,,130,154,,0,626
SP-C_LB_Far,4,4,,131,3,,1,493
SP-C_LB_Far,4,4,,132,193,,0,564
SP-C_LB_Far,4,4,,133,136,,0,527
SP-C_LB_Far,4,4,,134,295,,0,549
SP-C_LB_Far,4,4,,135,280,,0,467
SP-C_LB_Far,4,4,,136,26,,1,320
SP-C_LB_Far,4,4,,137,68,,1,385
SP-C_LB_Far,4,4,,138,153,,0,536
SP-C_LB_Far,4,4,,139,229,,0,456
SP-C_LB_Far,4,4,,140,160,,0,407
SP-C_LB_Far,4,4,,141,279,,0,394
SP-C_LB_Far,4,4,,142,27,,1,785
SP-C_LB_Far,4,4,,143,255,,0,558
SP-C_LB_Far,4,4,,144,29,,1,423
SP-C_LB_Far,4,4,,145,15,,1,519
SP-C_LB_Far,4,4,,146,204,,0,541
SP-C_LB_Far,4,4,,147,291,,0,733
SP-C_LB_Far,4,4,,148,69,,0,832
SP-C_LB_Far,4,4,,149,135,,0,469
SP-C_LB_Far,4,4,,150,244,,0,3244
SP-C_LB_Far,4,4,,151,73,,1,639
SP-C_LB_Far,4,4,,152,125,,0,1253
SP-C_LB_Far,4,4,,153,266,,0,501
SP-C_LB_Far,4,4,,154,252,,0,526
SP-C_LB_Far,4,4,,155,123,,1,1058
SP-C_LB_Far,4,4,,156,182,,0,669
SP-C_LB_Far,4,4,,157,202,,0,516
SP-C_LB_Far,4,4,,158,272,,0,603
SP-C_LB_Far,4,4,,159,251,,0,528
SP-C_LB_Far,4,4,,160,113,,1,761
SP-C_LB_Far,4,4,,161,146,,1,3571
SP-C_LB_Far,4,4,,162,140,,1,528
SP-C_LB_Far,4,4,,163,34,,1,576
SP-C_LB_Far,4,4,,164,288,,0,672
SP-C_LB_Far,4,4,,165,254,,0,583
SP-C_LB_Far,4,4,,166,79,,1,530
SP-C_LB_Far,4,4,,167,16,,1,522
SP-C_LB_Far,4,4,,168,261,,0,466
SP-C_LB_Far,4,4,,169,191,,0,567
SP-C_LB_Far,4,4,,170,276,,0,630
SP-C_LB_Far,4,4,,171,175,,0,1476
SP-C_LB_Far,4,4,,172,230,,0,1273
SP-C_LB_Far,4,4,,173,159,,1,1329
SP-C_LB_Far,4,4,,174,221,,0,693
SP-C_LB_Far,4,4,,175,215,,1,438
SP-C_LB_Far,4,4,,176,120,,1,548
SP-C_LB_Far,4,4,,177,245,,0,979
SP-C_LB_Far,4,4,,178,224,,0,591
SP-C_LB_Far,4,4,,179,11,,1,453
SP-C_LB_Far,4,4,,180,231,,0,623
SP-C_LB_Far,4,4,,181,165,,1,960
SP-C_LB_Far,4,4,,182,278,,0,676
SP-C_LB_Far,4,4,,183,268,,0,504
SP-C_LB_Far,4,4,,184,214,,0,605
SP-C_LB_Far,4,4,,185,95,,1,489
SP-C_LB_Far,4,4,,186,300,,0,613
SP-C_LB_Far,4,4,,187,57,,1,579
SP-C_LB_Far,4,4,,188,150,,0,453
SP-C_LB_Far,4,4,,189,124,,1,543
SP-C_LB_Far,4,4,,190,210,,0,592
SP-C_LB_Far,4,4,,191,121,,1,510
SP-C_LB_Far,4,4,,192,71,,1,482
SP-C_LB_Far,4,4,,193,114,,1,464
SP-C_LB_Far,4,4,,194,145,,1,374
SP-C_LB_Far,4,4,,195,241,,0,488
SP-C_LB_Far,4,4,,196,61,,1,419
SP-C_LB_Far,4,4,,197,185,,0,527
SP-C_LB_Far,4,4,,198,186,,1,413
SP-C_LB_Far,4,4,,199,173,,1,795
SP-C_LB_Far,4,4,,200,164,,1,497
SP-C_LB_Far,4,4,,201,192,,1,564
SP-C_LB_Far,4,4,,202,163,,1,409
SP-C_LB_Far,4,4,,203,294,,0,559
SP-C_LB_Far,4,4,,204,282,,0,469
SP-C_LB_Far,4,4,,205,199,,0,432
SP-C_LB_Far,4,4,,206,217,,0,880
SP-C_LB_Far,4,4,,207,206,,0,402
SP-C_LB_Far,4,4,,208,2,,1,498
SP-C_LB_Far,4,4,,209,94,,1,517
SP-C_LB_Far,4,4,,210,172,,1,330
SP-C_LB_Far,4,4,,211,110,,1,420
SP-C_LB_Far,4,4,,212,281,,0,497
SP-C_LB_Far,4,4,,213,277,,0,452
SP-C_LB_Far,4,4,,214,76,,1,614
SP-C_LB_Far,4,4,,215,181,,1,788
SP-C_LB_Far,4,4,,216,49,,1,604
SP-C_LB_Far,4,4,,217,32,,1,526
SP-C_LB_Far,4,4,,218,167,,0,586
SP-C_LB_Far,4,4,,219,106,,1,464
SP-C_LB_Far,4,4,,220,176,,1,868
SP-C_LB_Far,4,4,,221,253,,0,712
SP-C_LB_Far,4,4,,222,81,,1,628
SP-C_LB_Far,4,4,,223,201,,0,7170
SP-C_LB_Far,4,4,,224,238,,0,546
SP-C_LB_Far,4,4,,225,200,,0,328
SP-C_LB_Far,4,4,,226,100,,0,348
SP-C_LB_Far,4,4,,227,273,,0,283
SP-C_LB_Far,4,4,,228,133,,0,327
SP-C_LB_Far,4,4,,229,265,,0,411
SP-C_LB_Far,4,4,,230,267,,0,596
SP-C_LB_Far,4,4,,231,18,,1,393
SP-C_LB_Far,4,4,,232,190,,0,493
SP-C_LB_Far,4,4,,233,212,,0,431
SP-C_LB_Far,4,4,,234,148,,1,597
SP-C_LB_Far,4,4,,235,101,,1,516
SP-C_LB_Far,4,4,,236,10,,1,511
SP-C_LB_Far,4,4,,237,189,,0,537
SP-C_LB_Far,4,4,,238,248,,0,635
SP-C_LB_Far,4,4,,239,298,,0,518
SP-C_LB_Far,4,4,,240,198,,0,420
SP-C_LB_Far,4,4,,241,286,,0,441
SP-C_LB_Far,4,4,,242,243,,0,613
SP-C_LB_Far,4,4,,243,21,,1,449
SP-C_LB_Far,4,4,,244,117,,1,763
SP-C_LB_Far,4,4,,245,151,,1,504
SP-C_LB_Far,4,4,,246,89,,1,395
SP-C_LB_Far,4,4,,247,174,,1,571
SP-C_LB_Far,4,4,,248,207,,0,543
SP-C_LB_Far,4,4,,249,233,,0,466
SP-C_LB_Far,4,4,,250,41,,0,373
SP-C_LB_Far,4,4,,251,102,,1,328
SP-C_LB_Far,4,4,,252,14,,1,287
SP-C_LB_Far,4,4,,253,144,,1,226
SP-C_LB_Far,4,4,,254,155,,1,307
SP-C_LB_Far,4,4,,255,166,,1,10
SP-C_LB_Far,4,4,,256,262,,1,312
SP-C_LB_Far,4,4,,257,178,,1,787
SP-C_LB_Far,4,4,,258,285,,0,1061
SP-C_LB_Far,4,4,,259,55,,1,675
SP-C_LB_Far,4,4,,260,66,,1,411
SP-C_LB_Far,4,4,,261,131,,1,436
SP-C_LB_Far,4,4,,262,211,,0,562
SP-C_LB_Far,4,4,,263,258,,0,560
SP-C_LB_Far,4,4,,264,90,,0,372
SP-C_LB_Far,4,4,,265,87,,1,400
SP-C_LB_Far,4,4,,266,31,,1,385
SP-C_LB_Far,4,4,,267,236,,0,469
SP-C_LB_Far,4,4,,268,290,,0,550
SP-C_LB_Far,4,4,,269,80,,1,441
SP-C_LB_Far,4,4,,270,44,,1,406
SP-C_LB_Far,4,4,,271,91,,1,344
SP-C_LB_Far,4,4,,272,23,,1,312
SP-C_LB_Far,4,4,,273,138,,1,115
SP-C_LB_Far,4,4,,274,30,,0,466
SP-C_LB_Far,4,4,,275,143,,1,581
SP-C_LB_Far,4,4,,276,96,,1,334
SP-C_LB_Far,4,4,,277,183,,1,384
SP-C_LB_Far,4,4,,278,7,,1,437
SP-C_LB_Far,4,4,,279,156,,1,401
SP-C_LB_Far,4,4,,280,53,,1,439
SP-C_LB_Far,4,4,,281,271,,0,515
SP-C_LB_Far,4,4,,282,54,,1,469
