C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-C_LB_Far-68-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Far,68,1,,1,30,,1,4134
SP-C_LB_Far,68,1,,2,30,,1,2687
SP-C_LB_Far,68,1,,3,30,,1,1816
SP-C_LB_Far,68,1,,4,170,,0,2937
SP-C_LB_Far,68,1,,5,30,,1,1270
SP-C_LB_Far,68,1,,6,30,,1,846
SP-C_LB_Far,68,1,,7,170,,1,740
SP-C_LB_Far,68,1,,8,30,,1,525
SP-C_LB_Far,68,1,,9,30,,1,563
SP-C_LB_Far,68,1,,10,170,,1,674
SP-C_LB_Far,68,1,,11,30,,1,669
SP-C_LB_Far,68,1,,12,30,,1,419
SP-C_LB_Far,68,1,,13,170,,1,956
SP-C_LB_Far,68,1,,14,170,,1,815
SP-C_LB_Far,68,1,,15,170,,1,471
SP-C_LB_Far,68,1,,16,170,,1,641
SP-C_LB_Far,68,1,,17,170,,1,472
SP-C_LB_Far,68,1,,18,30,,1,689
SP-C_LB_Far,68,1,,19,170,,1,720
SP-C_LB_Far,68,1,,20,170,,1,507
SP-C_LB_Far,68,2,,1,210,,0,1265
SP-C_LB_Far,68,2,,2,60,,1,834
SP-C_LB_Far,68,2,,3,140,,0,1272
SP-C_LB_Far,68,2,,4,240,,0,935
SP-C_LB_Far,68,2,,5,100,,1,677
SP-C_LB_Far,68,2,,6,80,,1,659
SP-C_LB_Far,68,2,,7,230,,0,1252
SP-C_LB_Far,68,2,,8,90,,1,698
SP-C_LB_Far,68,2,,9,110,,1,691
SP-C_LB_Far,68,2,,10,190,,0,678
SP-C_LB_Far,68,2,,11,130,,1,698
SP-C_LB_Far,68,2,,12,220,,0,682
SP-C_LB_Far,68,2,,13,150,,1,492
SP-C_LB_Far,68,2,,14,160,,1,563
SP-C_LB_Far,68,2,,15,200,,0,650
SP-C_LB_Far,68,2,,16,180,,0,1013
SP-C_LB_Far,68,2,,17,150,,1,613
SP-C_LB_Far,68,2,,18,200,,0,697
SP-C_LB_Far,68,2,,19,100,,1,651
SP-C_LB_Far,68,2,,20,90,,1,658
SP-C_LB_Far,68,2,,21,120,,1,509
SP-C_LB_Far,68,2,,22,110,,1,706
SP-C_LB_Far,68,2,,23,180,,0,747
SP-C_LB_Far,68,2,,24,80,,1,924
SP-C_LB_Far,68,2,,25,130,,1,624
SP-C_LB_Far,68,2,,26,120,,1,497
SP-C_LB_Far,68,2,,27,190,,0,1078
SP-C_LB_Far,68,2,,28,70,,1,651
SP-C_LB_Far,68,2,,29,140,,1,528
SP-C_LB_Far,68,2,,30,160,,1,663
SP-C_LB_Far,68,2,,31,240,,0,715
SP-C_LB_Far,68,2,,32,210,,0,717
SP-C_LB_Far,68,2,,33,170,,0,1371
SP-C_LB_Far,68,2,,34,70,,1,666
SP-C_LB_Far,68,2,,35,60,,1,667
SP-C_LB_Far,68,2,,36,170,,0,749
SP-C_LB_Far,68,2,,37,220,,0,709
SP-C_LB_Far,68,2,,38,230,,0,1701
SP-C_LB_Far,68,3,234.bmp,,,,,
SP-C_LB_Far,68,4,,1,84,,1,4551
SP-C_LB_Far,68,4,,2,11,,0,4880
SP-C_LB_Far,68,4,,3,20,,1,1666
SP-C_LB_Far,68,4,,4,97,,1,2892
SP-C_LB_Far,68,4,,5,51,,1,1080
SP-C_LB_Far,68,4,,6,214,,0,2100
SP-C_LB_Far,68,4,,7,60,,1,1497
SP-C_LB_Far,68,4,,8,15,,1,1177
SP-C_LB_Far,68,4,,9,270,,0,1251
SP-C_LB_Far,68,4,,10,234,,0,1024
SP-C_LB_Far,68,4,,11,230,,0,2597
SP-C_LB_Far,68,4,,12,82,,1,944
SP-C_LB_Far,68,4,,13,235,,0,1289
SP-C_LB_Far,68,4,,14,181,,1,1977
