C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-C_LB_Mid-19-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_LB_Mid,19,1,,1,30,,1,5226
SP-C_LB_Mid,19,1,,2,170,,1,1967
SP-C_LB_Mid,19,1,,3,170,,1,749
SP-C_LB_Mid,19,1,,4,30,,1,368
SP-C_LB_Mid,19,1,,5,170,,1,380
SP-C_LB_Mid,19,1,,6,170,,1,919
SP-C_LB_Mid,19,1,,7,30,,1,384
SP-C_LB_Mid,19,1,,8,30,,1,632
SP-C_LB_Mid,19,1,,9,170,,1,439
SP-C_LB_Mid,19,1,,10,170,,1,394
SP-C_LB_Mid,19,1,,11,170,,1,387
SP-C_LB_Mid,19,1,,12,170,,1,409
SP-C_LB_Mid,19,1,,13,30,,1,632
SP-C_LB_Mid,19,1,,14,170,,1,598
SP-C_LB_Mid,19,1,,15,30,,1,494
SP-C_LB_Mid,19,1,,16,30,,1,320
SP-C_LB_Mid,19,1,,17,30,,1,442
SP-C_LB_Mid,19,1,,18,170,,1,381
SP-C_LB_Mid,19,1,,19,30,,1,439
SP-C_LB_Mid,19,1,,20,30,,1,439
SP-C_LB_Mid,19,2,,1,230,,0,1020
SP-C_LB_Mid,19,2,,2,130,,1,983
SP-C_LB_Mid,19,2,,3,140,,1,514
SP-C_LB_Mid,19,2,,4,210,,0,525
SP-C_LB_Mid,19,2,,5,150,,1,682
SP-C_LB_Mid,19,2,,6,200,,0,453
SP-C_LB_Mid,19,2,,7,200,,0,478
SP-C_LB_Mid,19,2,,8,180,,0,414
SP-C_LB_Mid,19,2,,9,160,,1,953
SP-C_LB_Mid,19,2,,10,220,,0,446
SP-C_LB_Mid,19,2,,11,80,,1,618
SP-C_LB_Mid,19,2,,12,240,,0,514
SP-C_LB_Mid,19,2,,13,110,,1,466
SP-C_LB_Mid,19,2,,14,220,,0,477
