C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-C_RB_Close-37-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Close,37,1,,1,270,,1,8778
SP-C_RB_Close,37,1,,2,270,,1,1757
SP-C_RB_Close,37,1,,3,130,,1,1908
SP-C_RB_Close,37,1,,4,130,,1,642
SP-C_RB_Close,37,1,,5,130,,1,826
SP-C_RB_Close,37,1,,6,130,,1,869
SP-C_RB_Close,37,1,,7,130,,1,679
SP-C_RB_Close,37,1,,8,270,,1,1398
SP-C_RB_Close,37,1,,9,270,,1,1003
SP-C_RB_Close,37,1,,10,270,,1,672
SP-C_RB_Close,37,1,,11,270,,1,1024
SP-C_RB_Close,37,1,,12,270,,1,959
SP-C_RB_Close,37,1,,13,270,,1,617
SP-C_RB_Close,37,1,,14,130,,1,568
SP-C_RB_Close,37,1,,15,130,,1,814
SP-C_RB_Close,37,1,,16,270,,1,529
SP-C_RB_Close,37,1,,17,130,,1,457
SP-C_RB_Close,37,1,,18,270,,1,602
SP-C_RB_Close,37,1,,19,130,,1,462
SP-C_RB_Close,37,1,,20,130,,1,1100
SP-C_RB_Close,37,2,,1,130,,1,4536
SP-C_RB_Close,37,2,,2,120,,1,917
SP-C_RB_Close,37,2,,3,220,,0,1073
SP-C_RB_Close,37,2,,4,190,,0,708
SP-C_RB_Close,37,2,,5,140,,1,497
SP-C_RB_Close,37,2,,6,240,,0,684
SP-C_RB_Close,37,2,,7,200,,0,4182
SP-C_RB_Close,37,2,,8,170,,1,796
SP-C_RB_Close,37,2,,9,90,,1,1158
SP-C_RB_Close,37,2,,10,210,,0,529
SP-C_RB_Close,37,2,,11,180,,1,1690
SP-C_RB_Close,37,2,,12,130,,1,534
SP-C_RB_Close,37,2,,13,70,,1,802
SP-C_RB_Close,37,2,,14,120,,1,1076
SP-C_RB_Close,37,2,,15,110,,1,805
SP-C_RB_Close,37,2,,16,160,,1,1143
SP-C_RB_Close,37,2,,17,170,,1,917
SP-C_RB_Close,37,2,,18,230,,0,466
SP-C_RB_Close,37,2,,19,150,,1,993
SP-C_RB_Close,37,2,,20,90,,1,672
SP-C_RB_Close,37,2,,21,60,,1,600
SP-C_RB_Close,37,2,,22,80,,1,392
SP-C_RB_Close,37,2,,23,200,,0,489
SP-C_RB_Close,37,2,,24,110,,1,517
SP-C_RB_Close,37,2,,25,100,,1,360
SP-C_RB_Close,37,2,,26,140,,1,617
SP-C_RB_Close,37,2,,27,240,,0,485
SP-C_RB_Close,37,2,,28,230,,0,341
SP-C_RB_Close,37,2,,29,70,,1,744
SP-C_RB_Close,37,2,,30,60,,1,344
SP-C_RB_Close,37,2,,31,150,,0,529
SP-C_RB_Close,37,2,,32,100,,1,1129
SP-C_RB_Close,37,2,,33,210,,0,513
SP-C_RB_Close,37,2,,34,80,,1,713
SP-C_RB_Close,37,2,,35,220,,0,494
SP-C_RB_Close,37,2,,36,180,,0,363
SP-C_RB_Close,37,2,,37,160,,1,1017
SP-C_RB_Close,37,2,,38,190,,0,1894
SP-C_RB_Close,37,3,150.bmp,,,,,
SP-C_RB_Close,37,4,,1,226,,0,4425
SP-C_RB_Close,37,4,,2,297,,0,1791
SP-C_RB_Close,37,4,,3,197,,0,753
SP-C_RB_Close,37,4,,4,49,,1,1344
SP-C_RB_Close,37,4,,5,84,,1,1209
SP-C_RB_Close,37,4,,6,99,,1,1035
SP-C_RB_Close,37,4,,7,262,,0,998
SP-C_RB_Close,37,4,,8,248,,0,1270
SP-C_RB_Close,37,4,,9,268,,0,1049
SP-C_RB_Close,37,4,,10,190,,0,2682
SP-C_RB_Close,37,4,,11,236,,0,1162
SP-C_RB_Close,37,4,,12,273,,0,1017
SP-C_RB_Close,37,4,,13,295,,0,1772
SP-C_RB_Close,37,4,,14,200,,0,1632
SP-C_RB_Close,37,4,,15,151,,1,1538
SP-C_RB_Close,37,4,,16,291,,0,3919
SP-C_RB_Close,37,4,,17,31,,1,1185
SP-C_RB_Close,37,4,,18,0,,1,1126
SP-C_RB_Close,37,4,,19,42,,1,1061
SP-C_RB_Close,37,4,,20,68,,1,2242
SP-C_RB_Close,37,4,,21,129,,1,1879
SP-C_RB_Close,37,4,,22,62,,1,1198
SP-C_RB_Close,37,4,,23,34,,1,903
SP-C_RB_Close,37,4,,24,113,,1,1048
SP-C_RB_Close,37,4,,25,179,,1,3115
SP-C_RB_Close,37,4,,26,3,,1,1074
SP-C_RB_Close,37,4,,27,145,,0,3803
SP-C_RB_Close,37,4,,28,254,,0,1135
SP-C_RB_Close,37,4,,29,114,,1,1908
SP-C_RB_Close,37,4,,30,178,,0,1132
SP-C_RB_Close,37,4,,31,112,,1,1142
SP-C_RB_Close,37,4,,32,82,,1,1291
SP-C_RB_Close,37,4,,33,127,,1,1152
SP-C_RB_Close,37,4,,34,166,,0,2251
SP-C_RB_Close,37,4,,35,264,,0,1151
SP-C_RB_Close,37,4,,36,227,,0,1075
SP-C_RB_Close,37,4,,37,240,,0,809
SP-C_RB_Close,37,4,,38,176,,1,1094
SP-C_RB_Close,37,4,,39,269,,0,888
SP-C_RB_Close,37,4,,40,20,,1,906
SP-C_RB_Close,37,4,,41,44,,1,965
SP-C_RB_Close,37,4,,42,237,,0,777
SP-C_RB_Close,37,4,,43,92,,1,781
SP-C_RB_Close,37,4,,44,184,,1,2825
SP-C_RB_Close,37,4,,45,229,,0,980
SP-C_RB_Close,37,4,,46,81,,1,1218
SP-C_RB_Close,37,4,,47,25,,1,1023
SP-C_RB_Close,37,4,,48,101,,1,959
SP-C_RB_Close,37,4,,49,132,,1,886
SP-C_RB_Close,37,4,,50,187,,0,1680
SP-C_RB_Close,37,4,,51,149,,1,1825
SP-C_RB_Close,37,4,,52,206,,0,1068
SP-C_RB_Close,37,4,,53,158,,0,1217
SP-C_RB_Close,37,4,,54,215,,0,2119
SP-C_RB_Close,37,4,,55,128,,1,917
SP-C_RB_Close,37,4,,56,165,,1,1211
SP-C_RB_Close,37,4,,57,15,,1,858
SP-C_RB_Close,37,4,,58,252,,0,952
SP-C_RB_Close,37,4,,59,266,,0,1140
SP-C_RB_Close,37,4,,60,177,,0,1016
SP-C_RB_Close,37,4,,61,131,,1,1066
SP-C_RB_Close,37,4,,62,280,,0,936
SP-C_RB_Close,37,4,,63,47,,1,932
SP-C_RB_Close,37,4,,64,192,,0,1873
SP-C_RB_Close,37,4,,65,189,,0,875
SP-C_RB_Close,37,4,,66,33,,1,810
SP-C_RB_Close,37,4,,67,167,,1,1084
SP-C_RB_Close,37,4,,68,77,,1,1240
SP-C_RB_Close,37,4,,69,29,,1,692
SP-C_RB_Close,37,4,,70,159,,1,1115
SP-C_RB_Close,37,4,,71,36,,1,891
SP-C_RB_Close,37,4,,72,117,,1,1287
SP-C_RB_Close,37,4,,73,135,,1,1312
SP-C_RB_Close,37,4,,74,72,,1,1197
SP-C_RB_Close,37,4,,75,284,,0,938
SP-C_RB_Close,37,4,,76,263,,0,1122
SP-C_RB_Close,37,4,,77,35,,1,1076
SP-C_RB_Close,37,4,,78,83,,1,881
SP-C_RB_Close,37,4,,79,202,,0,1179
SP-C_RB_Close,37,4,,80,120,,1,895
SP-C_RB_Close,37,4,,81,69,,1,840
SP-C_RB_Close,37,4,,82,256,,0,830
SP-C_RB_Close,37,4,,83,121,,1,1245
SP-C_RB_Close,37,4,,84,164,,1,920
SP-C_RB_Close,37,4,,85,296,,0,903
SP-C_RB_Close,37,4,,86,37,,1,894
SP-C_RB_Close,37,4,,87,90,,1,933
SP-C_RB_Close,37,4,,88,147,,1,1576
SP-C_RB_Close,37,4,,89,243,,0,1200
SP-C_RB_Close,37,4,,90,98,,1,812
SP-C_RB_Close,37,4,,91,168,,0,1169
SP-C_RB_Close,37,4,,92,67,,1,867
SP-C_RB_Close,37,4,,93,18,,1,870
SP-C_RB_Close,37,4,,94,231,,0,973
SP-C_RB_Close,37,4,,95,223,,0,799
SP-C_RB_Close,37,4,,96,199,,0,972
SP-C_RB_Close,37,4,,97,232,,0,1662
SP-C_RB_Close,37,4,,98,22,,1,814
SP-C_RB_Close,37,4,,99,109,,1,930
SP-C_RB_Close,37,4,,100,133,,1,1147
SP-C_RB_Close,37,4,,101,181,,0,761
SP-C_RB_Close,37,4,,102,55,,1,761
SP-C_RB_Close,37,4,,103,105,,1,849
SP-C_RB_Close,37,4,,104,110,,1,892
SP-C_RB_Close,37,4,,105,185,,0,1120
SP-C_RB_Close,37,4,,106,203,,0,815
SP-C_RB_Close,37,4,,107,153,,1,955
SP-C_RB_Close,37,4,,108,222,,0,1097
SP-C_RB_Close,37,4,,109,279,,0,1204
SP-C_RB_Close,37,4,,110,130,,1,788
SP-C_RB_Close,37,4,,111,220,,0,839
SP-C_RB_Close,37,4,,112,255,,0,995
SP-C_RB_Close,37,4,,113,139,,1,795
SP-C_RB_Close,37,4,,114,97,,1,713
SP-C_RB_Close,37,4,,115,27,,1,930
SP-C_RB_Close,37,4,,116,140,,1,795
SP-C_RB_Close,37,4,,117,261,,0,735
SP-C_RB_Close,37,4,,118,13,,1,884
SP-C_RB_Close,37,4,,119,64,,1,1602
SP-C_RB_Close,37,4,,120,70,,1,762
SP-C_RB_Close,37,4,,121,238,,0,735
SP-C_RB_Close,37,4,,122,298,,0,680
SP-C_RB_Close,37,4,,123,251,,0,762
SP-C_RB_Close,37,4,,124,183,,1,2368
SP-C_RB_Close,37,4,,125,74,,1,1065
SP-C_RB_Close,37,4,,126,272,,0,868
SP-C_RB_Close,37,4,,127,241,,0,859
SP-C_RB_Close,37,4,,128,156,,1,1294
SP-C_RB_Close,37,4,,129,292,,0,724
SP-C_RB_Close,37,4,,130,211,,0,923
SP-C_RB_Close,37,4,,131,12,,1,874
SP-C_RB_Close,37,4,,132,142,,0,2084
SP-C_RB_Close,37,4,,133,216,,0,786
SP-C_RB_Close,37,4,,134,123,,0,1102
SP-C_RB_Close,37,4,,135,9,,1,919
SP-C_RB_Close,37,4,,136,213,,0,838
SP-C_RB_Close,37,4,,137,212,,0,889
SP-C_RB_Close,37,4,,138,271,,0,1049
SP-C_RB_Close,37,4,,139,278,,0,1713
SP-C_RB_Close,37,4,,140,259,,0,818
SP-C_RB_Close,37,4,,141,191,,0,1298
SP-C_RB_Close,37,4,,142,63,,1,706
SP-C_RB_Close,37,4,,143,287,,0,902
SP-C_RB_Close,37,4,,144,88,,1,849
SP-C_RB_Close,37,4,,145,71,,1,748
SP-C_RB_Close,37,4,,146,2,,1,795
SP-C_RB_Close,37,4,,147,17,,1,954
SP-C_RB_Close,37,4,,148,4,,1,909
SP-C_RB_Close,37,4,,149,286,,0,900
SP-C_RB_Close,37,4,,150,150,,1,1327
SP-C_RB_Close,37,4,,151,160,,1,1358
SP-C_RB_Close,37,4,,152,54,,1,1891
SP-C_RB_Close,37,4,,153,196,,0,2283
SP-C_RB_Close,37,4,,154,137,,1,1532
SP-C_RB_Close,37,4,,155,43,,1,968
SP-C_RB_Close,37,4,,156,247,,1,812
SP-C_RB_Close,37,4,,157,258,,0,1234
SP-C_RB_Close,37,4,,158,245,,0,839
SP-C_RB_Close,37,4,,159,21,,1,824
SP-C_RB_Close,37,4,,160,188,,0,1165
SP-C_RB_Close,37,4,,161,201,,0,838
SP-C_RB_Close,37,4,,162,208,,0,814
SP-C_RB_Close,37,4,,163,118,,1,772
SP-C_RB_Close,37,4,,164,148,,1,1176
SP-C_RB_Close,37,4,,165,115,,1,1090
SP-C_RB_Close,37,4,,166,76,,1,1174
SP-C_RB_Close,37,4,,167,218,,0,689
