C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\SP-C_RB_Close-5-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Close,5,1,,1,130,,1,3438
SP-C_RB_Close,5,1,,2,270,,1,1140
SP-C_RB_Close,5,1,,3,270,,1,993
SP-C_RB_Close,5,1,,4,270,,1,815
SP-C_RB_Close,5,1,,5,270,,1,600
SP-C_RB_Close,5,1,,6,270,,1,748
SP-C_RB_Close,5,1,,7,130,,1,965
SP-C_RB_Close,5,1,,8,270,,1,575
SP-C_RB_Close,5,1,,9,270,,1,633
SP-C_RB_Close,5,1,,10,130,,1,558
SP-C_RB_Close,5,1,,11,130,,1,615
SP-C_RB_Close,5,1,,12,130,,1,570
SP-C_RB_Close,5,1,,13,130,,1,644
SP-C_RB_Close,5,1,,14,270,,1,555
SP-C_RB_Close,5,1,,15,130,,1,451
SP-C_RB_Close,5,1,,16,130,,1,469
SP-C_RB_Close,5,1,,17,270,,1,651
SP-C_RB_Close,5,1,,18,130,,0,1590
SP-C_RB_Close,5,1,,19,270,,1,891
SP-C_RB_Close,5,1,,20,130,,1,662
SP-C_RB_Close,5,2,,1,110,,1,867
SP-C_RB_Close,5,2,,2,160,,1,5986
SP-C_RB_Close,5,2,,3,130,,1,686
SP-C_RB_Close,5,2,,4,240,,0,581
SP-C_RB_Close,5,2,,5,110,,1,632
SP-C_RB_Close,5,2,,6,140,,1,455
SP-C_RB_Close,5,2,,7,120,,1,415
SP-C_RB_Close,5,2,,8,220,,0,404
SP-C_RB_Close,5,2,,9,70,,1,469
SP-C_RB_Close,5,2,,10,200,,0,416
SP-C_RB_Close,5,2,,11,90,,1,435
SP-C_RB_Close,5,2,,12,180,,1,472
SP-C_RB_Close,5,2,,13,190,,1,469
SP-C_RB_Close,5,2,,14,170,,1,498
SP-C_RB_Close,5,2,,15,90,,1,550
SP-C_RB_Close,5,2,,16,80,,1,530
SP-C_RB_Close,5,2,,17,150,,1,446
SP-C_RB_Close,5,2,,18,70,,1,422
SP-C_RB_Close,5,2,,19,210,,0,617
SP-C_RB_Close,5,2,,20,80,,1,434
SP-C_RB_Close,5,2,,21,220,,0,425
SP-C_RB_Close,5,2,,22,100,,1,460
SP-C_RB_Close,5,2,,23,230,,0,456
SP-C_RB_Close,5,2,,24,150,,1,483
SP-C_RB_Close,5,2,,25,60,,1,468
SP-C_RB_Close,5,2,,26,120,,1,400
SP-C_RB_Close,5,2,,27,200,,1,433
SP-C_RB_Close,5,2,,28,190,,0,583
SP-C_RB_Close,5,2,,29,170,,1,1401
SP-C_RB_Close,5,2,,30,230,,0,577
SP-C_RB_Close,5,2,,31,160,,1,466
SP-C_RB_Close,5,2,,32,60,,1,482
SP-C_RB_Close,5,2,,33,100,,1,417
SP-C_RB_Close,5,2,,34,210,,0,562
SP-C_RB_Close,5,2,,35,130,,1,436
SP-C_RB_Close,5,2,,36,180,,0,1224
SP-C_RB_Close,5,2,,37,140,,1,1374
SP-C_RB_Close,5,2,,38,240,,0,610
SP-C_RB_Close,5,3,95.bmp,,,,,
SP-C_RB_Close,5,4,,1,113,,1,3664
SP-C_RB_Close,5,4,,2,34,,1,1474
SP-C_RB_Close,5,4,,3,44,,1,1102
SP-C_RB_Close,5,4,,4,166,,0,1106
SP-C_RB_Close,5,4,,5,175,,0,787
SP-C_RB_Close,5,4,,6,77,,1,838
SP-C_RB_Close,5,4,,7,222,,0,640
SP-C_RB_Close,5,4,,8,78,,1,725
SP-C_RB_Close,5,4,,9,283,,0,712
SP-C_RB_Close,5,4,,10,167,,1,582
SP-C_RB_Close,5,4,,11,42,,1,792
SP-C_RB_Close,5,4,,12,11,,1,1284
SP-C_RB_Close,5,4,,13,162,,0,1818
SP-C_RB_Close,5,4,,14,196,,0,975
SP-C_RB_Close,5,4,,15,164,,0,996
SP-C_RB_Close,5,4,,16,10,,1,756
SP-C_RB_Close,5,4,,17,249,,0,666
SP-C_RB_Close,5,4,,18,226,,0,783
SP-C_RB_Close,5,4,,19,73,,1,1008
SP-C_RB_Close,5,4,,20,83,,1,816
SP-C_RB_Close,5,4,,21,2,,1,809
SP-C_RB_Close,5,4,,22,12,,1,742
SP-C_RB_Close,5,4,,23,31,,1,614
SP-C_RB_Close,5,4,,24,235,,0,773
SP-C_RB_Close,5,4,,25,102,,1,779
SP-C_RB_Close,5,4,,26,158,,0,752
SP-C_RB_Close,5,4,,27,143,,1,835
SP-C_RB_Close,5,4,,28,47,,1,723
SP-C_RB_Close,5,4,,29,68,,1,673
SP-C_RB_Close,5,4,,30,227,,0,821
SP-C_RB_Close,5,4,,31,50,,1,730
SP-C_RB_Close,5,4,,32,57,,1,1077
SP-C_RB_Close,5,4,,33,135,,0,1393
SP-C_RB_Close,5,4,,34,14,,1,846
SP-C_RB_Close,5,4,,35,192,,0,562
SP-C_RB_Close,5,4,,36,136,,0,1568
SP-C_RB_Close,5,4,,37,184,,0,869
SP-C_RB_Close,5,4,,38,208,,0,709
SP-C_RB_Close,5,4,,39,245,,0,710
SP-C_RB_Close,5,4,,40,106,,0,886
SP-C_RB_Close,5,4,,41,200,,0,685
SP-C_RB_Close,5,4,,42,111,,1,632
SP-C_RB_Close,5,4,,43,187,,0,901
SP-C_RB_Close,5,4,,44,290,,0,1065
SP-C_RB_Close,5,4,,45,62,,1,928
SP-C_RB_Close,5,4,,46,209,,0,669
SP-C_RB_Close,5,4,,47,59,,1,813
SP-C_RB_Close,5,4,,48,107,,1,721
SP-C_RB_Close,5,4,,49,131,,1,837
SP-C_RB_Close,5,4,,50,220,,0,664
SP-C_RB_Close,5,4,,51,69,,1,819
SP-C_RB_Close,5,4,,52,297,,0,673
SP-C_RB_Close,5,4,,53,251,,0,624
SP-C_RB_Close,5,4,,54,274,,0,821
SP-C_RB_Close,5,4,,55,134,,1,808
SP-C_RB_Close,5,4,,56,179,,1,676
SP-C_RB_Close,5,4,,57,101,,1,4157
SP-C_RB_Close,5,4,,58,108,,1,771
SP-C_RB_Close,5,4,,59,159,,0,1648
SP-C_RB_Close,5,4,,60,112,,1,1752
SP-C_RB_Close,5,4,,61,198,,0,528
SP-C_RB_Close,5,4,,62,255,,0,631
SP-C_RB_Close,5,4,,63,163,,1,629
SP-C_RB_Close,5,4,,64,35,,1,713
SP-C_RB_Close,5,4,,65,64,,1,708
SP-C_RB_Close,5,4,,66,225,,0,704
SP-C_RB_Close,5,4,,67,246,,0,802
SP-C_RB_Close,5,4,,68,234,,0,641
SP-C_RB_Close,5,4,,69,122,,1,634
SP-C_RB_Close,5,4,,70,82,,1,563
SP-C_RB_Close,5,4,,71,268,,0,772
SP-C_RB_Close,5,4,,72,286,,0,658
SP-C_RB_Close,5,4,,73,228,,0,993
SP-C_RB_Close,5,4,,74,213,,0,1155
SP-C_RB_Close,5,4,,75,152,,1,766
SP-C_RB_Close,5,4,,76,87,,1,1243
SP-C_RB_Close,5,4,,77,119,,1,863
SP-C_RB_Close,5,4,,78,171,,1,3248
SP-C_RB_Close,5,4,,79,157,,1,1663
SP-C_RB_Close,5,4,,80,168,,1,929
SP-C_RB_Close,5,4,,81,53,,1,839
SP-C_RB_Close,5,4,,82,212,,0,749
SP-C_RB_Close,5,4,,83,223,,0,628
SP-C_RB_Close,5,4,,84,264,,0,560
SP-C_RB_Close,5,4,,85,95,,1,738
SP-C_RB_Close,5,4,,86,104,,1,622
SP-C_RB_Close,5,4,,87,91,,1,813
SP-C_RB_Close,5,4,,88,18,,1,357
SP-C_RB_Close,5,4,,89,242,,1,400
SP-C_RB_Close,5,4,,90,300,,0,555
SP-C_RB_Close,5,4,,91,29,,1,565
SP-C_RB_Close,5,4,,92,272,,0,729
SP-C_RB_Close,5,4,,93,256,,0,534
SP-C_RB_Close,5,4,,94,185,,1,722
SP-C_RB_Close,5,4,,95,145,,1,1028
SP-C_RB_Close,5,4,,96,229,,0,923
SP-C_RB_Close,5,4,,97,183,,0,1028
SP-C_RB_Close,5,4,,98,180,,0,803
SP-C_RB_Close,5,4,,99,27,,1,545
SP-C_RB_Close,5,4,,100,182,,1,1293
SP-C_RB_Close,5,4,,101,252,,0,655
SP-C_RB_Close,5,4,,102,93,,1,625
SP-C_RB_Close,5,4,,103,204,,0,1727
SP-C_RB_Close,5,4,,104,79,,1,611
SP-C_RB_Close,5,4,,105,140,,1,942
SP-C_RB_Close,5,4,,106,236,,0,756
SP-C_RB_Close,5,4,,107,99,,1,705
SP-C_RB_Close,5,4,,108,265,,0,1155
SP-C_RB_Close,5,4,,109,278,,0,873
SP-C_RB_Close,5,4,,110,90,,1,801
SP-C_RB_Close,5,4,,111,269,,0,760
SP-C_RB_Close,5,4,,112,37,,1,555
SP-C_RB_Close,5,4,,113,60,,1,569
SP-C_RB_Close,5,4,,114,3,,1,712
SP-C_RB_Close,5,4,,115,72,,1,1680
SP-C_RB_Close,5,4,,116,142,,1,446
SP-C_RB_Close,5,4,,117,17,,1,693
SP-C_RB_Close,5,4,,118,105,,1,280
SP-C_RB_Close,5,4,,119,173,,0,798
SP-C_RB_Close,5,4,,120,32,,1,539
SP-C_RB_Close,5,4,,121,4,,1,565
SP-C_RB_Close,5,4,,122,110,,1,970
SP-C_RB_Close,5,4,,123,258,,0,620
SP-C_RB_Close,5,4,,124,239,,0,567
SP-C_RB_Close,5,4,,125,129,,1,1092
SP-C_RB_Close,5,4,,126,23,,1,654
SP-C_RB_Close,5,4,,127,276,,0,547
SP-C_RB_Close,5,4,,128,170,,0,1111
SP-C_RB_Close,5,4,,129,193,,0,642
SP-C_RB_Close,5,4,,130,46,,1,577
SP-C_RB_Close,5,4,,131,100,,1,2323
SP-C_RB_Close,5,4,,132,248,,0,614
SP-C_RB_Close,5,4,,133,238,,0,547
SP-C_RB_Close,5,4,,134,25,,1,548
SP-C_RB_Close,5,4,,135,216,,0,635
SP-C_RB_Close,5,4,,136,16,,1,550
SP-C_RB_Close,5,4,,137,86,,1,633
SP-C_RB_Close,5,4,,138,296,,0,625
SP-C_RB_Close,5,4,,139,188,,0,1027
SP-C_RB_Close,5,4,,140,149,,1,610
SP-C_RB_Close,5,4,,141,203,,0,774
SP-C_RB_Close,5,4,,142,7,,1,1246
SP-C_RB_Close,5,4,,143,61,,1,1714
SP-C_RB_Close,5,4,,144,150,,1,1763
SP-C_RB_Close,5,4,,145,71,,0,831
SP-C_RB_Close,5,4,,146,19,,1,552
SP-C_RB_Close,5,4,,147,219,,0,595
SP-C_RB_Close,5,4,,148,241,,0,639
SP-C_RB_Close,5,4,,149,63,,1,656
SP-C_RB_Close,5,4,,150,118,,1,968
SP-C_RB_Close,5,4,,151,289,,0,3139
SP-C_RB_Close,5,4,,152,124,,1,1122
SP-C_RB_Close,5,4,,153,48,,1,761
SP-C_RB_Close,5,4,,154,266,,0,566
SP-C_RB_Close,5,4,,155,178,,0,995
SP-C_RB_Close,5,4,,156,66,,1,608
SP-C_RB_Close,5,4,,157,280,,0,622
SP-C_RB_Close,5,4,,158,284,,0,472
SP-C_RB_Close,5,4,,159,172,,1,816
SP-C_RB_Close,5,4,,160,81,,1,1091
SP-C_RB_Close,5,4,,161,125,,1,792
SP-C_RB_Close,5,4,,162,74,,1,543
SP-C_RB_Close,5,4,,163,288,,0,640
SP-C_RB_Close,5,4,,164,205,,0,706
SP-C_RB_Close,5,4,,165,202,,0,502
SP-C_RB_Close,5,4,,166,109,,1,776
SP-C_RB_Close,5,4,,167,96,,1,624
SP-C_RB_Close,5,4,,168,221,,0,823
SP-C_RB_Close,5,4,,169,26,,1,584
SP-C_RB_Close,5,4,,170,165,,1,1350
SP-C_RB_Close,5,4,,171,214,,0,776
SP-C_RB_Close,5,4,,172,133,,1,701
SP-C_RB_Close,5,4,,173,151,,0,2451
SP-C_RB_Close,5,4,,174,169,,0,628
SP-C_RB_Close,5,4,,175,154,,0,554
SP-C_RB_Close,5,4,,176,218,,0,689
SP-C_RB_Close,5,4,,177,148,,1,819
SP-C_RB_Close,5,4,,178,51,,1,696
SP-C_RB_Close,5,4,,179,41,,1,771
SP-C_RB_Close,5,4,,180,36,,1,634
SP-C_RB_Close,5,4,,181,207,,0,711
SP-C_RB_Close,5,4,,182,39,,1,531
SP-C_RB_Close,5,4,,183,54,,1,664
SP-C_RB_Close,5,4,,184,197,,0,603
