C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_RB_Control-89-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Control,89,1,,1,130,,0,12452
SP-C_RB_Control,89,1,,2,130,,1,1591
SP-C_RB_Control,89,1,,3,270,,1,1630
SP-C_RB_Control,89,1,,4,270,,1,1339
SP-C_RB_Control,89,1,,5,130,,1,1149
SP-C_RB_Control,89,1,,6,130,,1,1259
SP-C_RB_Control,89,1,,7,270,,1,654
SP-C_RB_Control,89,1,,8,130,,1,729
SP-C_RB_Control,89,1,,9,130,,1,692
SP-C_RB_Control,89,1,,10,130,,1,581
SP-C_RB_Control,89,1,,11,270,,1,592
SP-C_RB_Control,89,1,,12,270,,1,908
SP-C_RB_Control,89,1,,13,270,,1,459
SP-C_RB_Control,89,1,,14,270,,1,430
SP-C_RB_Control,89,1,,15,270,,1,652
SP-C_RB_Control,89,1,,16,270,,1,485
SP-C_RB_Control,89,1,,17,130,,1,446
SP-C_RB_Control,89,1,,18,270,,1,445
SP-C_RB_Control,89,1,,19,130,,1,541
SP-C_RB_Control,89,1,,20,130,,1,641
SP-C_RB_Control,89,2,,1,160,,1,11689
SP-C_RB_Control,89,2,,2,120,,1,990
SP-C_RB_Control,89,2,,3,240,,0,595
SP-C_RB_Control,89,2,,4,130,,1,585
SP-C_RB_Control,89,2,,5,180,,1,574
SP-C_RB_Control,89,2,,6,230,,0,512
SP-C_RB_Control,89,2,,7,140,,1,485
SP-C_RB_Control,89,2,,8,220,,0,503
SP-C_RB_Control,89,2,,9,70,,1,584
SP-C_RB_Control,89,2,,10,210,,0,461
SP-C_RB_Control,89,2,,11,80,,1,488
SP-C_RB_Control,89,2,,12,200,,0,505
SP-C_RB_Control,89,2,,13,100,,1,493
SP-C_RB_Control,89,2,,14,140,,1,704
SP-C_RB_Control,89,2,,15,70,,1,751
SP-C_RB_Control,89,2,,16,240,,0,546
SP-C_RB_Control,89,2,,17,60,,1,642
SP-C_RB_Control,89,2,,18,60,,1,577
SP-C_RB_Control,89,2,,19,160,,0,578
SP-C_RB_Control,89,2,,20,230,,0,708
SP-C_RB_Control,89,2,,21,210,,0,498
SP-C_RB_Control,89,2,,22,180,,0,2871
SP-C_RB_Control,89,2,,23,170,,0,834
SP-C_RB_Control,89,2,,24,90,,1,1497
SP-C_RB_Control,89,2,,25,150,,1,1411
SP-C_RB_Control,89,2,,26,200,,0,557
SP-C_RB_Control,89,2,,27,190,,0,429
SP-C_RB_Control,89,2,,28,100,,1,596
SP-C_RB_Control,89,2,,29,190,,0,697
SP-C_RB_Control,89,2,,30,130,,1,1412
SP-C_RB_Control,89,2,,31,170,,0,781
SP-C_RB_Control,89,2,,32,110,,1,585
SP-C_RB_Control,89,2,,33,80,,1,445
SP-C_RB_Control,89,2,,34,110,,1,662
SP-C_RB_Control,89,2,,35,90,,1,425
SP-C_RB_Control,89,2,,36,150,,1,399
SP-C_RB_Control,89,2,,37,220,,0,526
SP-C_RB_Control,89,2,,38,120,,1,502
SP-C_RB_Control,89,3,80.bmp,,,,,
SP-C_RB_Control,89,4,,1,229,,0,3629
SP-C_RB_Control,89,4,,2,141,,1,2664
SP-C_RB_Control,89,4,,3,90,,1,1096
SP-C_RB_Control,89,4,,4,285,,0,1361
SP-C_RB_Control,89,4,,5,192,,0,1939
SP-C_RB_Control,89,4,,6,103,,1,839
SP-C_RB_Control,89,4,,7,242,,0,795
SP-C_RB_Control,89,4,,8,211,,0,730
SP-C_RB_Control,89,4,,9,113,,1,680
SP-C_RB_Control,89,4,,10,278,,0,611
SP-C_RB_Control,89,4,,11,60,,1,534
SP-C_RB_Control,89,4,,12,173,,0,1945
SP-C_RB_Control,89,4,,13,47,,1,992
SP-C_RB_Control,89,4,,14,171,,0,1296
SP-C_RB_Control,89,4,,15,202,,0,876
SP-C_RB_Control,89,4,,16,18,,1,624
SP-C_RB_Control,89,4,,17,80,,1,760
SP-C_RB_Control,89,4,,18,280,,0,719
SP-C_RB_Control,89,4,,19,30,,1,548
SP-C_RB_Control,89,4,,20,206,,0,711
SP-C_RB_Control,89,4,,21,239,,0,617
SP-C_RB_Control,89,4,,22,197,,0,654
SP-C_RB_Control,89,4,,23,31,,1,545
SP-C_RB_Control,89,4,,24,95,,1,851
SP-C_RB_Control,89,4,,25,97,,1,767
SP-C_RB_Control,89,4,,26,114,,1,732
SP-C_RB_Control,89,4,,27,201,,0,689
SP-C_RB_Control,89,4,,28,283,,0,480
SP-C_RB_Control,89,4,,29,148,,1,876
SP-C_RB_Control,89,4,,30,133,,1,988
SP-C_RB_Control,89,4,,31,10,,1,665
SP-C_RB_Control,89,4,,32,17,,1,530
SP-C_RB_Control,89,4,,33,57,,1,515
SP-C_RB_Control,89,4,,34,62,,1,526
SP-C_RB_Control,89,4,,35,184,,0,1109
SP-C_RB_Control,89,4,,36,4,,1,600
SP-C_RB_Control,89,4,,37,209,,0,568
SP-C_RB_Control,89,4,,38,263,,0,553
SP-C_RB_Control,89,4,,39,40,,1,541
SP-C_RB_Control,89,4,,40,27,,1,532
SP-C_RB_Control,89,4,,41,38,,1,544
SP-C_RB_Control,89,4,,42,167,,0,1926
SP-C_RB_Control,89,4,,43,58,,1,443
SP-C_RB_Control,89,4,,44,208,,0,510
SP-C_RB_Control,89,4,,45,223,,0,515
SP-C_RB_Control,89,4,,46,122,,1,841
SP-C_RB_Control,89,4,,47,105,,1,3746
SP-C_RB_Control,89,4,,48,174,,1,1022
SP-C_RB_Control,89,4,,49,34,,1,833
SP-C_RB_Control,89,4,,50,220,,0,595
SP-C_RB_Control,89,4,,51,189,,0,766
SP-C_RB_Control,89,4,,52,240,,0,698
SP-C_RB_Control,89,4,,53,75,,1,1110
SP-C_RB_Control,89,4,,54,198,,0,551
SP-C_RB_Control,89,4,,55,271,,0,731
SP-C_RB_Control,89,4,,56,108,,1,951
SP-C_RB_Control,89,4,,57,294,,0,1620
SP-C_RB_Control,89,4,,58,194,,0,1041
SP-C_RB_Control,89,4,,59,172,,1,936
SP-C_RB_Control,89,4,,60,170,,1,4284
SP-C_RB_Control,89,4,,61,100,,1,1678
SP-C_RB_Control,89,4,,62,102,,1,674
SP-C_RB_Control,89,4,,63,51,,1,1293
SP-C_RB_Control,89,4,,64,255,,0,918
SP-C_RB_Control,89,4,,65,143,,1,1270
SP-C_RB_Control,89,4,,66,64,,1,1211
SP-C_RB_Control,89,4,,67,82,,1,694
SP-C_RB_Control,89,4,,68,292,,0,1424
SP-C_RB_Control,89,4,,69,227,,0,618
SP-C_RB_Control,89,4,,70,151,,0,2560
SP-C_RB_Control,89,4,,71,45,,1,711
SP-C_RB_Control,89,4,,72,145,,1,1582
SP-C_RB_Control,89,4,,73,224,,0,581
SP-C_RB_Control,89,4,,74,234,,1,704
SP-C_RB_Control,89,4,,75,112,,1,548
SP-C_RB_Control,89,4,,76,78,,0,873
SP-C_RB_Control,89,4,,77,9,,1,574
SP-C_RB_Control,89,4,,78,249,,0,746
SP-C_RB_Control,89,4,,79,157,,1,1092
SP-C_RB_Control,89,4,,80,22,,1,611
SP-C_RB_Control,89,4,,81,142,,1,1252
SP-C_RB_Control,89,4,,82,146,,1,809
SP-C_RB_Control,89,4,,83,136,,1,585
SP-C_RB_Control,89,4,,84,254,,0,621
SP-C_RB_Control,89,4,,85,181,,1,775
SP-C_RB_Control,89,4,,86,131,,0,2077
SP-C_RB_Control,89,4,,87,296,,0,1153
SP-C_RB_Control,89,4,,88,165,,1,836
SP-C_RB_Control,89,4,,89,299,,0,761
SP-C_RB_Control,89,4,,90,144,,1,785
SP-C_RB_Control,89,4,,91,225,,0,597
SP-C_RB_Control,89,4,,92,6,,1,581
SP-C_RB_Control,89,4,,93,289,,0,589
SP-C_RB_Control,89,4,,94,207,,0,547
SP-C_RB_Control,89,4,,95,188,,0,1205
SP-C_RB_Control,89,4,,96,94,,1,678
SP-C_RB_Control,89,4,,97,96,,1,569
SP-C_RB_Control,89,4,,98,3,,1,981
SP-C_RB_Control,89,4,,99,273,,0,1715
SP-C_RB_Control,89,4,,100,2,,1,685
SP-C_RB_Control,89,4,,101,140,,1,2085
SP-C_RB_Control,89,4,,102,161,,0,1253
SP-C_RB_Control,89,4,,103,259,,0,670
SP-C_RB_Control,89,4,,104,71,,1,1174
SP-C_RB_Control,89,4,,105,214,,1,543
SP-C_RB_Control,89,4,,106,180,,1,2649
SP-C_RB_Control,89,4,,107,236,,0,720
SP-C_RB_Control,89,4,,108,245,,0,840
SP-C_RB_Control,89,4,,109,152,,1,952
SP-C_RB_Control,89,4,,110,41,,1,1093
SP-C_RB_Control,89,4,,111,241,,0,1822
SP-C_RB_Control,89,4,,112,107,,1,919
SP-C_RB_Control,89,4,,113,168,,1,2849
SP-C_RB_Control,89,4,,114,79,,1,616
SP-C_RB_Control,89,4,,115,274,,0,640
SP-C_RB_Control,89,4,,116,68,,1,5346
SP-C_RB_Control,89,4,,117,272,,0,1001
SP-C_RB_Control,89,4,,118,190,,1,868
SP-C_RB_Control,89,4,,119,128,,1,1209
SP-C_RB_Control,89,4,,120,116,,1,637
SP-C_RB_Control,89,4,,121,235,,0,828
SP-C_RB_Control,89,4,,122,89,,1,483
SP-C_RB_Control,89,4,,123,193,,0,2646
SP-C_RB_Control,89,4,,124,52,,1,609
SP-C_RB_Control,89,4,,125,121,,1,790
SP-C_RB_Control,89,4,,126,147,,1,3429
SP-C_RB_Control,89,4,,127,50,,1,596
SP-C_RB_Control,89,4,,128,109,,1,513
SP-C_RB_Control,89,4,,129,54,,1,794
SP-C_RB_Control,89,4,,130,93,,1,1182
SP-C_RB_Control,89,4,,131,135,,1,4564
SP-C_RB_Control,89,4,,132,87,,1,3772
SP-C_RB_Control,89,4,,133,262,,0,1661
SP-C_RB_Control,89,4,,134,295,,0,2850
SP-C_RB_Control,89,4,,135,231,,0,1803
SP-C_RB_Control,89,4,,136,13,,1,584
SP-C_RB_Control,89,4,,137,204,,0,1334
SP-C_RB_Control,89,4,,138,284,,1,1512
SP-C_RB_Control,89,4,,139,196,,0,2456
SP-C_RB_Control,89,4,,140,238,,0,878
SP-C_RB_Control,89,4,,141,125,,1,3122
SP-C_RB_Control,89,4,,142,91,,1,945
SP-C_RB_Control,89,4,,143,37,,1,806
SP-C_RB_Control,89,4,,144,155,,0,2135
SP-C_RB_Control,89,4,,145,158,,0,2314
SP-C_RB_Control,89,4,,146,277,,0,3385
SP-C_RB_Control,89,4,,147,212,,0,953
SP-C_RB_Control,89,4,,148,120,,1,461
SP-C_RB_Control,89,4,,149,266,,0,601
SP-C_RB_Control,89,4,,150,12,,1,525
SP-C_RB_Control,89,4,,151,53,,1,1389
SP-C_RB_Control,89,4,,152,77,,1,549
SP-C_RB_Control,89,4,,153,219,,0,691
SP-C_RB_Control,89,4,,154,183,,0,582
SP-C_RB_Control,89,4,,155,16,,1,728
SP-C_RB_Control,89,4,,156,111,,1,798
SP-C_RB_Control,89,4,,157,232,,0,1313
SP-C_RB_Control,89,4,,158,138,,1,3797
SP-C_RB_Control,89,4,,159,56,,1,598
SP-C_RB_Control,89,4,,160,287,,0,526
SP-C_RB_Control,89,4,,161,118,,1,430
SP-C_RB_Control,89,4,,162,226,,0,502
SP-C_RB_Control,89,4,,163,11,,1,439
SP-C_RB_Control,89,4,,164,252,,0,416
SP-C_RB_Control,89,4,,165,117,,1,505
SP-C_RB_Control,89,4,,166,251,,0,473
SP-C_RB_Control,89,4,,167,1,,1,379
SP-C_RB_Control,89,4,,168,290,,0,547
SP-C_RB_Control,89,4,,169,215,,0,448
SP-C_RB_Control,89,4,,170,257,,0,549
SP-C_RB_Control,89,4,,171,191,,0,593
SP-C_RB_Control,89,4,,172,48,,1,457
SP-C_RB_Control,89,4,,173,177,,0,520
SP-C_RB_Control,89,4,,174,288,,0,718
SP-C_RB_Control,89,4,,175,44,,1,444
SP-C_RB_Control,89,4,,176,88,,1,613
SP-C_RB_Control,89,4,,177,49,,1,500
SP-C_RB_Control,89,4,,178,7,,1,436
SP-C_RB_Control,89,4,,179,85,,1,590
SP-C_RB_Control,89,4,,180,67,,1,599
SP-C_RB_Control,89,4,,181,253,,0,381
SP-C_RB_Control,89,4,,182,164,,0,1053
SP-C_RB_Control,89,4,,183,153,,0,539
SP-C_RB_Control,89,4,,184,175,,1,627
SP-C_RB_Control,89,4,,185,19,,1,604
SP-C_RB_Control,89,4,,186,137,,1,673
SP-C_RB_Control,89,4,,187,123,,1,492
SP-C_RB_Control,89,4,,188,247,,0,566
SP-C_RB_Control,89,4,,189,267,,0,859
SP-C_RB_Control,89,4,,190,298,,0,1864
SP-C_RB_Control,89,4,,191,276,,0,718
SP-C_RB_Control,89,4,,192,24,,1,568
SP-C_RB_Control,89,4,,193,250,,0,662
SP-C_RB_Control,89,4,,194,63,,1,563
SP-C_RB_Control,89,4,,195,35,,1,681
SP-C_RB_Control,89,4,,196,228,,0,668
SP-C_RB_Control,89,4,,197,126,,1,620
SP-C_RB_Control,89,4,,198,26,,1,512
SP-C_RB_Control,89,4,,199,270,,0,579
SP-C_RB_Control,89,4,,200,8,,1,568
SP-C_RB_Control,89,4,,201,166,,0,603
SP-C_RB_Control,89,4,,202,221,,0,534
SP-C_RB_Control,89,4,,203,61,,1,635
SP-C_RB_Control,89,4,,204,76,,1,1463
SP-C_RB_Control,89,4,,205,256,,0,4954
SP-C_RB_Control,89,4,,206,15,,1,502
SP-C_RB_Control,89,4,,207,269,,0,557
SP-C_RB_Control,89,4,,208,154,,1,1307
SP-C_RB_Control,89,4,,209,218,,1,2950
SP-C_RB_Control,89,4,,210,83,,1,2397
SP-C_RB_Control,89,4,,211,187,,1,2517
SP-C_RB_Control,89,4,,212,179,,0,1308
SP-C_RB_Control,89,4,,213,70,,1,549
SP-C_RB_Control,89,4,,214,205,,0,946
SP-C_RB_Control,89,4,,215,99,,1,9514
