C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-C_RB_Dead-113-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Dead,113,1,,1,270,,1,5009
SP-C_RB_Dead,113,1,,2,130,,1,2537
SP-C_RB_Dead,113,1,,3,130,,1,2284
SP-C_RB_Dead,113,1,,4,270,,1,900
SP-C_RB_Dead,113,1,,5,130,,1,837
SP-C_RB_Dead,113,1,,6,270,,1,634
SP-C_RB_Dead,113,1,,7,130,,1,915
SP-C_RB_Dead,113,1,,8,130,,1,577
SP-C_RB_Dead,113,1,,9,270,,1,514
SP-C_RB_Dead,113,1,,10,270,,1,458
SP-C_RB_Dead,113,1,,11,130,,1,757
SP-C_RB_Dead,113,1,,12,270,,1,594
SP-C_RB_Dead,113,1,,13,130,,1,510
SP-C_RB_Dead,113,1,,14,130,,1,1116
SP-C_RB_Dead,113,1,,15,270,,1,653
SP-C_RB_Dead,113,1,,16,270,,1,503
SP-C_RB_Dead,113,1,,17,270,,1,918
SP-C_RB_Dead,113,1,,18,130,,1,408
SP-C_RB_Dead,113,1,,19,270,,1,567
SP-C_RB_Dead,113,1,,20,130,,1,544
SP-C_RB_Dead,113,2,,1,130,,1,3022
SP-C_RB_Dead,113,2,,2,230,,0,1419
SP-C_RB_Dead,113,2,,3,150,,1,750
SP-C_RB_Dead,113,2,,4,110,,1,514
SP-C_RB_Dead,113,2,,5,240,,0,591
SP-C_RB_Dead,113,2,,6,80,,1,505
SP-C_RB_Dead,113,2,,7,180,,1,958
SP-C_RB_Dead,113,2,,8,80,,1,748
SP-C_RB_Dead,113,2,,9,130,,1,580
SP-C_RB_Dead,113,2,,10,200,,0,899
SP-C_RB_Dead,113,2,,11,70,,1,513
SP-C_RB_Dead,113,2,,12,170,,0,571
SP-C_RB_Dead,113,2,,13,100,,1,490
SP-C_RB_Dead,113,2,,14,210,,0,459
SP-C_RB_Dead,113,2,,15,60,,1,401
SP-C_RB_Dead,113,2,,16,140,,1,744
SP-C_RB_Dead,113,2,,17,220,,0,502
SP-C_RB_Dead,113,2,,18,210,,0,493
SP-C_RB_Dead,113,2,,19,110,,1,427
SP-C_RB_Dead,113,2,,20,120,,1,401
SP-C_RB_Dead,113,2,,21,90,,1,358
SP-C_RB_Dead,113,2,,22,200,,0,477
SP-C_RB_Dead,113,2,,23,90,,1,413
SP-C_RB_Dead,113,2,,24,140,,1,365
SP-C_RB_Dead,113,2,,25,160,,1,1176
SP-C_RB_Dead,113,2,,26,190,,0,868
SP-C_RB_Dead,113,2,,27,230,,0,748
SP-C_RB_Dead,113,2,,28,170,,1,1861
SP-C_RB_Dead,113,2,,29,240,,0,591
SP-C_RB_Dead,113,2,,30,160,,1,533
SP-C_RB_Dead,113,2,,31,190,,1,809
SP-C_RB_Dead,113,2,,32,180,,1,602
SP-C_RB_Dead,113,2,,33,100,,1,516
SP-C_RB_Dead,113,2,,34,150,,1,571
SP-C_RB_Dead,113,2,,35,60,,1,587
SP-C_RB_Dead,113,2,,36,120,,1,479
SP-C_RB_Dead,113,2,,37,70,,1,416
SP-C_RB_Dead,113,2,,38,220,,0,470
SP-C_RB_Dead,113,3,295.bmp,,,,,
SP-C_RB_Dead,113,4,,1,95,,1,3242
SP-C_RB_Dead,113,4,,2,135,,1,1256
SP-C_RB_Dead,113,4,,3,296,,0,1479
SP-C_RB_Dead,113,4,,4,14,,1,775
SP-C_RB_Dead,113,4,,5,115,,1,1461
SP-C_RB_Dead,113,4,,6,253,,0,897
SP-C_RB_Dead,113,4,,7,16,,1,613
SP-C_RB_Dead,113,4,,8,222,,0,699
SP-C_RB_Dead,113,4,,9,84,,1,677
SP-C_RB_Dead,113,4,,10,228,,0,592
SP-C_RB_Dead,113,4,,11,197,,0,2313
SP-C_RB_Dead,113,4,,12,181,,1,1749
SP-C_RB_Dead,113,4,,13,143,,1,944
SP-C_RB_Dead,113,4,,14,112,,1,592
SP-C_RB_Dead,113,4,,15,179,,1,2305
SP-C_RB_Dead,113,4,,16,146,,1,599
SP-C_RB_Dead,113,4,,17,101,,1,554
SP-C_RB_Dead,113,4,,18,29,,1,660
SP-C_RB_Dead,113,4,,19,284,,0,724
SP-C_RB_Dead,113,4,,20,281,,0,547
SP-C_RB_Dead,113,4,,21,239,,0,1510
SP-C_RB_Dead,113,4,,22,114,,1,670
SP-C_RB_Dead,113,4,,23,5,,1,534
SP-C_RB_Dead,113,4,,24,50,,1,661
SP-C_RB_Dead,113,4,,25,2,,1,619
SP-C_RB_Dead,113,4,,26,271,,0,672
SP-C_RB_Dead,113,4,,27,250,,0,421
SP-C_RB_Dead,113,4,,28,67,,1,1257
SP-C_RB_Dead,113,4,,29,116,,1,818
SP-C_RB_Dead,113,4,,30,94,,1,957
SP-C_RB_Dead,113,4,,31,285,,0,627
SP-C_RB_Dead,113,4,,32,137,,1,534
SP-C_RB_Dead,113,4,,33,245,,0,637
SP-C_RB_Dead,113,4,,34,217,,0,1204
SP-C_RB_Dead,113,4,,35,160,,1,1440
SP-C_RB_Dead,113,4,,36,111,,1,1190
SP-C_RB_Dead,113,4,,37,123,,1,685
SP-C_RB_Dead,113,4,,38,218,,0,580
SP-C_RB_Dead,113,4,,39,180,,1,1203
SP-C_RB_Dead,113,4,,40,90,,1,569
SP-C_RB_Dead,113,4,,41,258,,0,677
SP-C_RB_Dead,113,4,,42,243,,0,609
SP-C_RB_Dead,113,4,,43,104,,1,988
SP-C_RB_Dead,113,4,,44,212,,0,581
SP-C_RB_Dead,113,4,,45,73,,1,589
SP-C_RB_Dead,113,4,,46,38,,1,521
SP-C_RB_Dead,113,4,,47,203,,0,655
SP-C_RB_Dead,113,4,,48,93,,1,587
SP-C_RB_Dead,113,4,,49,144,,1,586
SP-C_RB_Dead,113,4,,50,194,,1,1923
SP-C_RB_Dead,113,4,,51,254,,0,761
SP-C_RB_Dead,113,4,,52,107,,1,527
SP-C_RB_Dead,113,4,,53,156,,1,453
SP-C_RB_Dead,113,4,,54,125,,1,508
SP-C_RB_Dead,113,4,,55,251,,0,778
