C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-C_RB_Far-56-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Far,56,1,,1,270,,1,8610
SP-C_RB_Far,56,1,,2,270,,1,1814
SP-C_RB_Far,56,1,,3,130,,1,1683
SP-C_RB_Far,56,1,,4,270,,1,557
SP-C_RB_Far,56,1,,5,270,,1,438
SP-C_RB_Far,56,1,,6,270,,1,313
SP-C_RB_Far,56,1,,7,270,,1,317
SP-C_RB_Far,56,1,,8,270,,1,311
SP-C_RB_Far,56,1,,9,130,,1,454
SP-C_RB_Far,56,1,,10,130,,1,554
SP-C_RB_Far,56,1,,11,130,,1,499
SP-C_RB_Far,56,1,,12,270,,1,416
SP-C_RB_Far,56,1,,13,270,,1,490
SP-C_RB_Far,56,1,,14,270,,1,379
SP-C_RB_Far,56,1,,15,130,,1,445
SP-C_RB_Far,56,1,,16,130,,1,325
SP-C_RB_Far,56,1,,17,130,,1,287
SP-C_RB_Far,56,1,,18,130,,1,285
SP-C_RB_Far,56,1,,19,130,,1,267
SP-C_RB_Far,56,1,,20,130,,1,282
SP-C_RB_Far,56,2,,1,180,,1,1974
SP-C_RB_Far,56,2,,2,100,,1,2380
SP-C_RB_Far,56,2,,3,200,,0,809
SP-C_RB_Far,56,2,,4,120,,1,677
SP-C_RB_Far,56,2,,5,230,,0,482
SP-C_RB_Far,56,2,,6,150,,1,664
SP-C_RB_Far,56,2,,7,170,,1,4006
SP-C_RB_Far,56,2,,8,60,,1,558
SP-C_RB_Far,56,2,,9,150,,1,785
SP-C_RB_Far,56,2,,10,120,,1,535
SP-C_RB_Far,56,2,,11,210,,0,582
SP-C_RB_Far,56,2,,12,240,,0,718
SP-C_RB_Far,56,2,,13,140,,1,551
SP-C_RB_Far,56,2,,14,200,,0,856
SP-C_RB_Far,56,2,,15,190,,0,2074
SP-C_RB_Far,56,2,,16,210,,0,480
SP-C_RB_Far,56,2,,17,240,,0,531
SP-C_RB_Far,56,2,,18,60,,1,515
SP-C_RB_Far,56,2,,19,180,,1,2535
SP-C_RB_Far,56,2,,20,130,,1,515
SP-C_RB_Far,56,2,,21,160,,1,492
SP-C_RB_Far,56,2,,22,230,,0,524
SP-C_RB_Far,56,2,,23,140,,1,691
SP-C_RB_Far,56,2,,24,80,,1,408
SP-C_RB_Far,56,2,,25,170,,1,948
SP-C_RB_Far,56,2,,26,130,,1,508
SP-C_RB_Far,56,2,,27,90,,1,416
SP-C_RB_Far,56,2,,28,80,,1,363
SP-C_RB_Far,56,2,,29,220,,0,499
SP-C_RB_Far,56,2,,30,100,,1,616
SP-C_RB_Far,56,2,,31,220,,0,477
SP-C_RB_Far,56,2,,32,90,,1,484
SP-C_RB_Far,56,2,,33,110,,1,394
SP-C_RB_Far,56,2,,34,190,,0,503
SP-C_RB_Far,56,2,,35,70,,1,379
SP-C_RB_Far,56,2,,36,160,,0,521
SP-C_RB_Far,56,2,,37,70,,1,581
SP-C_RB_Far,56,2,,38,110,,1,396
SP-C_RB_Far,56,3,240.bmp,,,,,
SP-C_RB_Far,56,4,,1,78,,1,1687
SP-C_RB_Far,56,4,,2,290,,0,1604
SP-C_RB_Far,56,4,,3,165,,1,3113
SP-C_RB_Far,56,4,,4,4,,1,870
SP-C_RB_Far,56,4,,5,82,,1,733
SP-C_RB_Far,56,4,,6,141,,1,1039
SP-C_RB_Far,56,4,,7,269,,0,694
SP-C_RB_Far,56,4,,8,295,,0,757
SP-C_RB_Far,56,4,,9,296,,0,794
SP-C_RB_Far,56,4,,10,10,,1,1191
SP-C_RB_Far,56,4,,11,250,,0,720
SP-C_RB_Far,56,4,,12,158,,0,1636
SP-C_RB_Far,56,4,,13,171,,1,1076
SP-C_RB_Far,56,4,,14,3,,1,689
SP-C_RB_Far,56,4,,15,196,,0,626
SP-C_RB_Far,56,4,,16,49,,1,1148
SP-C_RB_Far,56,4,,17,106,,1,709
SP-C_RB_Far,56,4,,18,56,,1,663
SP-C_RB_Far,56,4,,19,235,,0,1148
SP-C_RB_Far,56,4,,20,182,,0,743
SP-C_RB_Far,56,4,,21,80,,1,548
SP-C_RB_Far,56,4,,22,275,,0,645
SP-C_RB_Far,56,4,,23,238,,0,479
SP-C_RB_Far,56,4,,24,26,,1,548
SP-C_RB_Far,56,4,,25,9,,1,498
SP-C_RB_Far,56,4,,26,51,,1,1364
SP-C_RB_Far,56,4,,27,29,,1,1339
SP-C_RB_Far,56,4,,28,62,,1,536
SP-C_RB_Far,56,4,,29,173,,0,963
SP-C_RB_Far,56,4,,30,27,,1,603
SP-C_RB_Far,56,4,,31,105,,0,994
SP-C_RB_Far,56,4,,32,144,,0,685
SP-C_RB_Far,56,4,,33,199,,0,632
SP-C_RB_Far,56,4,,34,33,,1,869
SP-C_RB_Far,56,4,,35,248,,0,580
SP-C_RB_Far,56,4,,36,142,,0,930
SP-C_RB_Far,56,4,,37,292,,0,628
SP-C_RB_Far,56,4,,38,177,,1,617
SP-C_RB_Far,56,4,,39,109,,1,737
SP-C_RB_Far,56,4,,40,217,,0,946
SP-C_RB_Far,56,4,,41,0,,1,627
SP-C_RB_Far,56,4,,42,232,,0,647
SP-C_RB_Far,56,4,,43,239,,0,798
SP-C_RB_Far,56,4,,44,271,,0,704
SP-C_RB_Far,56,4,,45,299,,0,796
SP-C_RB_Far,56,4,,46,244,,0,869
SP-C_RB_Far,56,4,,47,205,,0,1095
SP-C_RB_Far,56,4,,48,113,,1,1201
SP-C_RB_Far,56,4,,49,257,,1,430
SP-C_RB_Far,56,4,,50,289,,1,507
SP-C_RB_Far,56,4,,51,258,,0,507
SP-C_RB_Far,56,4,,52,37,,1,584
SP-C_RB_Far,56,4,,53,147,,1,1097
SP-C_RB_Far,56,4,,54,181,,1,958
SP-C_RB_Far,56,4,,55,210,,1,878
SP-C_RB_Far,56,4,,56,119,,1,662
SP-C_RB_Far,56,4,,57,192,,1,798
SP-C_RB_Far,56,4,,58,68,,1,785
SP-C_RB_Far,56,4,,59,208,,0,579
SP-C_RB_Far,56,4,,60,12,,0,506
SP-C_RB_Far,56,4,,61,128,,1,865
SP-C_RB_Far,56,4,,62,253,,0,895
SP-C_RB_Far,56,4,,63,111,,1,729
SP-C_RB_Far,56,4,,64,175,,1,1047
SP-C_RB_Far,56,4,,65,38,,1,604
SP-C_RB_Far,56,4,,66,44,,1,848
SP-C_RB_Far,56,4,,67,152,,0,898
SP-C_RB_Far,56,4,,68,198,,0,925
SP-C_RB_Far,56,4,,69,75,,1,1076
SP-C_RB_Far,56,4,,70,101,,1,607
SP-C_RB_Far,56,4,,71,170,,1,682
SP-C_RB_Far,56,4,,72,270,,0,629
SP-C_RB_Far,56,4,,73,138,,1,868
SP-C_RB_Far,56,4,,74,272,,0,634
SP-C_RB_Far,56,4,,75,200,,1,785
SP-C_RB_Far,56,4,,76,159,,1,584
SP-C_RB_Far,56,4,,77,276,,0,559
SP-C_RB_Far,56,4,,78,194,,1,819
SP-C_RB_Far,56,4,,79,135,,1,632
SP-C_RB_Far,56,4,,80,23,,1,627
SP-C_RB_Far,56,4,,81,172,,1,734
SP-C_RB_Far,56,4,,82,73,,1,1503
SP-C_RB_Far,56,4,,83,132,,0,993
SP-C_RB_Far,56,4,,84,229,,0,593
SP-C_RB_Far,56,4,,85,40,,1,595
SP-C_RB_Far,56,4,,86,157,,1,666
SP-C_RB_Far,56,4,,87,52,,1,673
SP-C_RB_Far,56,4,,88,184,,1,624
SP-C_RB_Far,56,4,,89,58,,1,615
SP-C_RB_Far,56,4,,90,267,,0,563
SP-C_RB_Far,56,4,,91,263,,0,509
SP-C_RB_Far,56,4,,92,72,,1,569
SP-C_RB_Far,56,4,,93,86,,1,882
SP-C_RB_Far,56,4,,94,79,,1,387
SP-C_RB_Far,56,4,,95,240,,0,569
SP-C_RB_Far,56,4,,96,36,,1,522
SP-C_RB_Far,56,4,,97,245,,0,575
SP-C_RB_Far,56,4,,98,66,,1,582
