C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-C_RB_Far-8-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Far,8,1,,1,270,,1,3612
SP-C_RB_Far,8,1,,2,270,,1,1053
SP-C_RB_Far,8,1,,3,130,,1,1212
SP-C_RB_Far,8,1,,4,270,,1,563
SP-C_RB_Far,8,1,,5,270,,1,3274
SP-C_RB_Far,8,1,,6,270,,1,923
SP-C_RB_Far,8,1,,7,130,,1,492
SP-C_RB_Far,8,1,,8,270,,1,1097
SP-C_RB_Far,8,1,,9,270,,1,1299
SP-C_RB_Far,8,1,,10,130,,1,667
SP-C_RB_Far,8,1,,11,130,,1,919
SP-C_RB_Far,8,1,,12,130,,1,447
SP-C_RB_Far,8,1,,13,270,,1,555
SP-C_RB_Far,8,1,,14,130,,1,425
SP-C_RB_Far,8,1,,15,130,,1,398
SP-C_RB_Far,8,1,,16,270,,1,576
SP-C_RB_Far,8,1,,17,130,,1,631
SP-C_RB_Far,8,1,,18,270,,0,842
SP-C_RB_Far,8,1,,19,130,,1,643
SP-C_RB_Far,8,1,,20,130,,0,454
SP-C_RB_Far,8,2,,1,100,,1,1105
SP-C_RB_Far,8,2,,2,150,,1,870
SP-C_RB_Far,8,2,,3,70,,1,1195
SP-C_RB_Far,8,2,,4,120,,1,1783
SP-C_RB_Far,8,2,,5,230,,0,657
SP-C_RB_Far,8,2,,6,140,,1,1208
SP-C_RB_Far,8,2,,7,180,,0,1251
SP-C_RB_Far,8,2,,8,90,,1,697
SP-C_RB_Far,8,2,,9,130,,0,1641
SP-C_RB_Far,8,2,,10,190,,0,2394
SP-C_RB_Far,8,2,,11,180,,0,541
SP-C_RB_Far,8,2,,12,80,,1,703
SP-C_RB_Far,8,2,,13,190,,0,859
SP-C_RB_Far,8,2,,14,200,,0,737
SP-C_RB_Far,8,2,,15,210,,0,865
SP-C_RB_Far,8,2,,16,140,,0,1300
SP-C_RB_Far,8,2,,17,100,,1,832
SP-C_RB_Far,8,2,,18,60,,1,986
SP-C_RB_Far,8,2,,19,110,,1,907
SP-C_RB_Far,8,2,,20,160,,0,891
SP-C_RB_Far,8,2,,21,90,,1,566
SP-C_RB_Far,8,2,,22,220,,0,612
SP-C_RB_Far,8,2,,23,120,,0,1532
SP-C_RB_Far,8,2,,24,240,,0,662
SP-C_RB_Far,8,2,,25,240,,0,387
SP-C_RB_Far,8,2,,26,170,,1,6498
SP-C_RB_Far,8,2,,27,160,,1,728
SP-C_RB_Far,8,2,,28,200,,0,833
SP-C_RB_Far,8,2,,29,70,,1,628
SP-C_RB_Far,8,2,,30,220,,0,704
SP-C_RB_Far,8,2,,31,110,,1,866
SP-C_RB_Far,8,2,,32,80,,1,547
SP-C_RB_Far,8,2,,33,60,,1,379
SP-C_RB_Far,8,2,,34,230,,0,507
SP-C_RB_Far,8,2,,35,210,,0,447
SP-C_RB_Far,8,2,,36,170,,0,417
SP-C_RB_Far,8,2,,37,150,,0,750
SP-C_RB_Far,8,2,,38,130,,0,465
SP-C_RB_Far,8,3,99.bmp,,,,,
SP-C_RB_Far,8,4,,1,4,,1,2072
SP-C_RB_Far,8,4,,2,141,,0,1397
SP-C_RB_Far,8,4,,3,116,,0,1357
SP-C_RB_Far,8,4,,4,276,,0,891
SP-C_RB_Far,8,4,,5,158,,0,1077
SP-C_RB_Far,8,4,,6,239,,0,659
SP-C_RB_Far,8,4,,7,114,,1,994
SP-C_RB_Far,8,4,,8,13,,1,786
SP-C_RB_Far,8,4,,9,268,,0,515
SP-C_RB_Far,8,4,,10,149,,0,869
SP-C_RB_Far,8,4,,11,27,,1,703
SP-C_RB_Far,8,4,,12,5,,1,568
SP-C_RB_Far,8,4,,13,125,,0,912
SP-C_RB_Far,8,4,,14,20,,1,2628
SP-C_RB_Far,8,4,,15,284,,0,664
SP-C_RB_Far,8,4,,16,208,,0,931
SP-C_RB_Far,8,4,,17,120,,0,810
SP-C_RB_Far,8,4,,18,281,,0,771
SP-C_RB_Far,8,4,,19,240,,0,688
SP-C_RB_Far,8,4,,20,289,,0,530
SP-C_RB_Far,8,4,,21,100,,0,1069
SP-C_RB_Far,8,4,,22,95,,0,778
SP-C_RB_Far,8,4,,23,200,,0,1055
SP-C_RB_Far,8,4,,24,218,,0,464
SP-C_RB_Far,8,4,,25,248,,0,596
SP-C_RB_Far,8,4,,26,1,,1,650
SP-C_RB_Far,8,4,,27,144,,0,1526
SP-C_RB_Far,8,4,,28,201,,0,484
SP-C_RB_Far,8,4,,29,264,,0,595
SP-C_RB_Far,8,4,,30,185,,0,983
SP-C_RB_Far,8,4,,31,170,,0,1116
SP-C_RB_Far,8,4,,32,290,,0,669
SP-C_RB_Far,8,4,,33,151,,1,1538
SP-C_RB_Far,8,4,,34,198,,0,611
SP-C_RB_Far,8,4,,35,74,,1,936
SP-C_RB_Far,8,4,,36,122,,0,1288
SP-C_RB_Far,8,4,,37,39,,1,878
SP-C_RB_Far,8,4,,38,96,,1,569
SP-C_RB_Far,8,4,,39,157,,1,1674
SP-C_RB_Far,8,4,,40,8,,1,531
SP-C_RB_Far,8,4,,41,88,,0,1010
SP-C_RB_Far,8,4,,42,223,,0,1513
SP-C_RB_Far,8,4,,43,231,,0,801
SP-C_RB_Far,8,4,,44,267,,0,542
SP-C_RB_Far,8,4,,45,138,,1,1067
SP-C_RB_Far,8,4,,46,0,,1,581
SP-C_RB_Far,8,4,,47,159,,0,1642
SP-C_RB_Far,8,4,,48,228,,0,519
SP-C_RB_Far,8,4,,49,172,,0,797
SP-C_RB_Far,8,4,,50,104,,1,1552
SP-C_RB_Far,8,4,,51,145,,0,867
SP-C_RB_Far,8,4,,52,25,,1,728
SP-C_RB_Far,8,4,,53,271,,0,569
SP-C_RB_Far,8,4,,54,266,,0,399
SP-C_RB_Far,8,4,,55,270,,0,468
SP-C_RB_Far,8,4,,56,46,,1,1085
SP-C_RB_Far,8,4,,57,206,,0,555
SP-C_RB_Far,8,4,,58,107,,0,836
SP-C_RB_Far,8,4,,59,263,,0,719
SP-C_RB_Far,8,4,,60,214,,0,566
SP-C_RB_Far,8,4,,61,220,,0,1715
SP-C_RB_Far,8,4,,62,29,,1,533
SP-C_RB_Far,8,4,,63,15,,1,392
SP-C_RB_Far,8,4,,64,134,,0,736
SP-C_RB_Far,8,4,,65,52,,1,664
SP-C_RB_Far,8,4,,66,119,,0,1239
SP-C_RB_Far,8,4,,67,11,,1,712
SP-C_RB_Far,8,4,,68,282,,0,1502
SP-C_RB_Far,8,4,,69,245,,0,841
SP-C_RB_Far,8,4,,70,235,,0,1229
SP-C_RB_Far,8,4,,71,63,,1,1409
SP-C_RB_Far,8,4,,72,34,,1,1965
SP-C_RB_Far,8,4,,73,177,,1,2417
SP-C_RB_Far,8,4,,74,57,,0,2483
SP-C_RB_Far,8,4,,75,42,,1,1675
SP-C_RB_Far,8,4,,76,139,,1,1099
SP-C_RB_Far,8,4,,77,194,,0,600
SP-C_RB_Far,8,4,,78,251,,0,538
SP-C_RB_Far,8,4,,79,40,,1,676
SP-C_RB_Far,8,4,,80,128,,1,764
SP-C_RB_Far,8,4,,81,176,,0,714
SP-C_RB_Far,8,4,,82,222,,0,591
SP-C_RB_Far,8,4,,83,193,,0,543
SP-C_RB_Far,8,4,,84,160,,0,1404
SP-C_RB_Far,8,4,,85,278,,0,635
SP-C_RB_Far,8,4,,86,9,,1,582
SP-C_RB_Far,8,4,,87,244,,0,558
SP-C_RB_Far,8,4,,88,207,,0,820
SP-C_RB_Far,8,4,,89,280,,0,434
SP-C_RB_Far,8,4,,90,35,,1,538
SP-C_RB_Far,8,4,,91,69,,1,606
SP-C_RB_Far,8,4,,92,126,,0,1492
SP-C_RB_Far,8,4,,93,99,,0,1093
SP-C_RB_Far,8,4,,94,24,,1,706
SP-C_RB_Far,8,4,,95,165,,0,1845
SP-C_RB_Far,8,4,,96,162,,0,619
SP-C_RB_Far,8,4,,97,17,,1,580
SP-C_RB_Far,8,4,,98,288,,0,708
SP-C_RB_Far,8,4,,99,84,,1,1281
SP-C_RB_Far,8,4,,100,32,,1,621
SP-C_RB_Far,8,4,,101,154,,0,582
SP-C_RB_Far,8,4,,102,113,,0,798
SP-C_RB_Far,8,4,,103,143,,0,623
SP-C_RB_Far,8,4,,104,111,,0,909
SP-C_RB_Far,8,4,,105,296,,0,802
SP-C_RB_Far,8,4,,106,168,,0,768
SP-C_RB_Far,8,4,,107,142,,0,654
SP-C_RB_Far,8,4,,108,64,,1,763
SP-C_RB_Far,8,4,,109,192,,0,652
SP-C_RB_Far,8,4,,110,124,,0,565
SP-C_RB_Far,8,4,,111,140,,0,575
SP-C_RB_Far,8,4,,112,205,,0,678
SP-C_RB_Far,8,4,,113,22,,1,1680
SP-C_RB_Far,8,4,,114,286,,0,519
SP-C_RB_Far,8,4,,115,179,,0,760
SP-C_RB_Far,8,4,,116,152,,0,552
SP-C_RB_Far,8,4,,117,272,,0,593
SP-C_RB_Far,8,4,,118,215,,0,455
SP-C_RB_Far,8,4,,119,230,,0,478
SP-C_RB_Far,8,4,,120,277,,0,525
SP-C_RB_Far,8,4,,121,136,,0,1086
SP-C_RB_Far,8,4,,122,80,,1,611
SP-C_RB_Far,8,4,,123,112,,1,517
SP-C_RB_Far,8,4,,124,16,,1,775
SP-C_RB_Far,8,4,,125,219,,0,530
