C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-C_RB_Mid-7-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-C_RB_Mid,7,1,,1,130,,1,2419
SP-C_RB_Mid,7,1,,2,270,,0,1183
SP-C_RB_Mid,7,1,,3,270,,1,788
SP-C_RB_Mid,7,1,,4,130,,1,761
SP-C_RB_Mid,7,1,,5,130,,1,633
SP-C_RB_Mid,7,1,,6,270,,1,607
SP-C_RB_Mid,7,1,,7,270,,1,541
SP-C_RB_Mid,7,1,,8,130,,1,608
SP-C_RB_Mid,7,1,,9,270,,1,816
SP-C_RB_Mid,7,1,,10,130,,1,443
SP-C_RB_Mid,7,1,,11,130,,1,541
SP-C_RB_Mid,7,1,,12,270,,1,700
SP-C_RB_Mid,7,1,,13,270,,1,528
SP-C_RB_Mid,7,1,,14,270,,1,387
SP-C_RB_Mid,7,1,,15,130,,1,408
SP-C_RB_Mid,7,1,,16,130,,1,546
SP-C_RB_Mid,7,1,,17,270,,1,456
SP-C_RB_Mid,7,1,,18,130,,1,460
SP-C_RB_Mid,7,1,,19,130,,0,446
SP-C_RB_Mid,7,1,,20,270,,1,623
SP-C_RB_Mid,7,2,,1,140,,1,582
SP-C_RB_Mid,7,2,,2,70,,1,714
SP-C_RB_Mid,7,2,,3,120,,1,550
SP-C_RB_Mid,7,2,,4,110,,1,515
SP-C_RB_Mid,7,2,,5,170,,1,504
SP-C_RB_Mid,7,2,,6,60,,1,622
SP-C_RB_Mid,7,2,,7,230,,0,537
SP-C_RB_Mid,7,2,,8,200,,0,499
SP-C_RB_Mid,7,2,,9,220,,0,679
SP-C_RB_Mid,7,2,,10,150,,1,510
SP-C_RB_Mid,7,2,,11,130,,1,548
SP-C_RB_Mid,7,2,,12,230,,0,544
SP-C_RB_Mid,7,2,,13,160,,1,545
SP-C_RB_Mid,7,2,,14,190,,0,572
SP-C_RB_Mid,7,2,,15,140,,1,495
SP-C_RB_Mid,7,2,,16,80,,1,546
SP-C_RB_Mid,7,2,,17,130,,1,527
SP-C_RB_Mid,7,2,,18,220,,0,453
SP-C_RB_Mid,7,2,,19,210,,0,528
SP-C_RB_Mid,7,2,,20,180,,0,712
SP-C_RB_Mid,7,2,,21,210,,0,566
SP-C_RB_Mid,7,2,,22,70,,1,550
SP-C_RB_Mid,7,2,,23,80,,1,564
