C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Close-62-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Close,62,1,,1,170,,1,14317
SP-R_LB_Close,62,1,,2,30,,0,1420
SP-R_LB_Close,62,1,,3,170,,1,2286
SP-R_LB_Close,62,1,,4,30,,1,1037
SP-R_LB_Close,62,1,,5,170,,1,1831
SP-R_LB_Close,62,1,,6,30,,1,880
SP-R_LB_Close,62,1,,7,170,,1,839
SP-R_LB_Close,62,1,,8,30,,1,745
SP-R_LB_Close,62,1,,9,170,,1,878
SP-R_LB_Close,62,1,,10,170,,1,2078
SP-R_LB_Close,62,1,,11,170,,1,710
SP-R_LB_Close,62,1,,12,170,,1,749
SP-R_LB_Close,62,1,,13,170,,1,786
SP-R_LB_Close,62,1,,14,30,,1,941
SP-R_LB_Close,62,1,,15,30,,1,562
SP-R_LB_Close,62,1,,16,170,,1,966
SP-R_LB_Close,62,1,,17,30,,1,1162
SP-R_LB_Close,62,1,,18,30,,1,799
SP-R_LB_Close,62,1,,19,30,,1,1306
SP-R_LB_Close,62,1,,20,30,,1,729
SP-R_LB_Close,62,2,,1,60,,0,2406
SP-R_LB_Close,62,2,,2,220,,1,4673
SP-R_LB_Close,62,2,,3,110,,1,1689
SP-R_LB_Close,62,2,,4,150,,1,945
SP-R_LB_Close,62,2,,5,150,,1,1430
SP-R_LB_Close,62,2,,6,100,,0,888
SP-R_LB_Close,62,2,,7,230,,1,1142
SP-R_LB_Close,62,2,,8,70,,0,804
SP-R_LB_Close,62,2,,9,170,,1,638
SP-R_LB_Close,62,2,,10,230,,1,808
SP-R_LB_Close,62,2,,11,200,,1,1523
SP-R_LB_Close,62,2,,12,200,,1,753
SP-R_LB_Close,62,2,,13,140,,0,741
SP-R_LB_Close,62,2,,14,160,,1,1619
SP-R_LB_Close,62,2,,15,90,,0,677
SP-R_LB_Close,62,2,,16,80,,0,597
SP-R_LB_Close,62,2,,17,60,,0,624
SP-R_LB_Close,62,2,,18,220,,1,1522
SP-R_LB_Close,62,2,,19,90,,0,816
SP-R_LB_Close,62,2,,20,180,,1,1418
SP-R_LB_Close,62,2,,21,110,,0,732
SP-R_LB_Close,62,2,,22,130,,0,746
SP-R_LB_Close,62,2,,23,210,,1,1319
SP-R_LB_Close,62,2,,24,130,,0,1485
SP-R_LB_Close,62,2,,25,100,,0,764
SP-R_LB_Close,62,2,,26,140,,0,2889
SP-R_LB_Close,62,2,,27,120,,0,1104
SP-R_LB_Close,62,2,,28,180,,1,911
SP-R_LB_Close,62,2,,29,70,,0,806
SP-R_LB_Close,62,2,,30,160,,1,1057
SP-R_LB_Close,62,2,,31,190,,1,1233
SP-R_LB_Close,62,2,,32,190,,1,779
SP-R_LB_Close,62,2,,33,240,,1,1111
SP-R_LB_Close,62,2,,34,170,,1,1022
SP-R_LB_Close,62,2,,35,210,,1,584
SP-R_LB_Close,62,2,,36,80,,0,658
SP-R_LB_Close,62,2,,37,120,,0,483
SP-R_LB_Close,62,2,,38,240,,1,643
SP-R_LB_Close,62,3,214.bmp,,,,,
SP-R_LB_Close,62,4,,1,56,,0,3050
SP-R_LB_Close,62,4,,2,203,,1,796
SP-R_LB_Close,62,4,,3,178,,1,867
SP-R_LB_Close,62,4,,4,255,,1,673
SP-R_LB_Close,62,4,,5,280,,1,925
SP-R_LB_Close,62,4,,6,58,,0,901
SP-R_LB_Close,62,4,,7,220,,1,758
SP-R_LB_Close,62,4,,8,83,,0,865
SP-R_LB_Close,62,4,,9,52,,0,1522
SP-R_LB_Close,62,4,,10,66,,0,819
SP-R_LB_Close,62,4,,11,12,,0,1348
SP-R_LB_Close,62,4,,12,251,,1,738
SP-R_LB_Close,62,4,,13,247,,1,686
SP-R_LB_Close,62,4,,14,81,,0,792
SP-R_LB_Close,62,4,,15,116,,0,1588
SP-R_LB_Close,62,4,,16,140,,0,2582
SP-R_LB_Close,62,4,,17,176,,1,1304
SP-R_LB_Close,62,4,,18,227,,1,2055
SP-R_LB_Close,62,4,,19,39,,0,712
SP-R_LB_Close,62,4,,20,30,,0,584
SP-R_LB_Close,62,4,,21,143,,0,2795
SP-R_LB_Close,62,4,,22,206,,1,695
SP-R_LB_Close,62,4,,23,118,,0,934
SP-R_LB_Close,62,4,,24,244,,1,924
SP-R_LB_Close,62,4,,25,109,,0,682
SP-R_LB_Close,62,4,,26,155,,1,841
SP-R_LB_Close,62,4,,27,239,,1,765
SP-R_LB_Close,62,4,,28,41,,0,828
SP-R_LB_Close,62,4,,29,225,,1,611
SP-R_LB_Close,62,4,,30,204,,1,1103
SP-R_LB_Close,62,4,,31,137,,0,834
SP-R_LB_Close,62,4,,32,210,,1,722
SP-R_LB_Close,62,4,,33,265,,1,701
SP-R_LB_Close,62,4,,34,190,,1,1846
SP-R_LB_Close,62,4,,35,101,,0,983
SP-R_LB_Close,62,4,,36,281,,1,900
SP-R_LB_Close,62,4,,37,97,,0,573
SP-R_LB_Close,62,4,,38,257,,1,778
SP-R_LB_Close,62,4,,39,87,,0,557
SP-R_LB_Close,62,4,,40,7,,0,675
SP-R_LB_Close,62,4,,41,258,,1,544
SP-R_LB_Close,62,4,,42,276,,1,580
SP-R_LB_Close,62,4,,43,205,,1,640
SP-R_LB_Close,62,4,,44,291,,1,894
SP-R_LB_Close,62,4,,45,188,,1,803
SP-R_LB_Close,62,4,,46,33,,0,581
SP-R_LB_Close,62,4,,47,284,,1,646
SP-R_LB_Close,62,4,,48,48,,0,708
SP-R_LB_Close,62,4,,49,290,,1,836
SP-R_LB_Close,62,4,,50,187,,1,968
SP-R_LB_Close,62,4,,51,51,,0,591
SP-R_LB_Close,62,4,,52,134,,0,623
SP-R_LB_Close,62,4,,53,22,,0,633
SP-R_LB_Close,62,4,,54,8,,0,773
SP-R_LB_Close,62,4,,55,142,,1,744
SP-R_LB_Close,62,4,,56,186,,1,1213
SP-R_LB_Close,62,4,,57,162,,1,861
