C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Control-30-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Control,30,1,,1,30,,1,3946
SP-R_LB_Control,30,1,,2,30,,1,1527
SP-R_LB_Control,30,1,,3,170,,1,918
SP-R_LB_Control,30,1,,4,30,,1,492
SP-R_LB_Control,30,1,,5,170,,1,530
SP-R_LB_Control,30,1,,6,30,,1,439
SP-R_LB_Control,30,1,,7,170,,1,472
SP-R_LB_Control,30,1,,8,30,,1,440
SP-R_LB_Control,30,1,,9,170,,1,354
SP-R_LB_Control,30,1,,10,30,,1,1014
SP-R_LB_Control,30,1,,11,170,,1,545
SP-R_LB_Control,30,1,,12,30,,1,726
SP-R_LB_Control,30,1,,13,30,,0,588
SP-R_LB_Control,30,1,,14,170,,1,646
SP-R_LB_Control,30,1,,15,170,,1,479
SP-R_LB_Control,30,1,,16,170,,1,687
SP-R_LB_Control,30,1,,17,170,,1,591
SP-R_LB_Control,30,1,,18,30,,1,570
SP-R_LB_Control,30,1,,19,30,,1,422
SP-R_LB_Control,30,1,,20,170,,1,576
SP-R_LB_Control,30,2,,1,220,,1,1453
SP-R_LB_Control,30,2,,2,150,,1,1333
SP-R_LB_Control,30,2,,3,210,,1,1499
SP-R_LB_Control,30,2,,4,160,,1,578
SP-R_LB_Control,30,2,,5,150,,1,686
SP-R_LB_Control,30,2,,6,60,,0,902
SP-R_LB_Control,30,2,,7,70,,0,780
SP-R_LB_Control,30,2,,8,200,,1,1416
SP-R_LB_Control,30,2,,9,170,,1,842
SP-R_LB_Control,30,2,,10,190,,1,579
SP-R_LB_Control,30,2,,11,120,,0,1559
SP-R_LB_Control,30,2,,12,90,,0,508
SP-R_LB_Control,30,2,,13,240,,1,610
SP-R_LB_Control,30,2,,14,180,,1,1158
SP-R_LB_Control,30,2,,15,90,,0,555
SP-R_LB_Control,30,2,,16,200,,1,536
SP-R_LB_Control,30,2,,17,230,,1,509
SP-R_LB_Control,30,2,,18,80,,0,532
SP-R_LB_Control,30,2,,19,140,,0,922
SP-R_LB_Control,30,2,,20,110,,0,967
SP-R_LB_Control,30,2,,21,130,,1,981
SP-R_LB_Control,30,2,,22,100,,1,561
SP-R_LB_Control,30,2,,23,210,,1,1077
SP-R_LB_Control,30,2,,24,220,,1,565
SP-R_LB_Control,30,2,,25,100,,0,665
SP-R_LB_Control,30,2,,26,110,,0,562
