C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Dead-23-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Dead,23,1,,1,30,,0,4970
SP-R_LB_Dead,23,1,,2,170,,0,5150
SP-R_LB_Dead,23,1,,3,30,,1,4954
SP-R_LB_Dead,23,1,,4,30,,1,2663
SP-R_LB_Dead,23,1,,5,30,,1,1136
SP-R_LB_Dead,23,1,,6,170,,1,1069
SP-R_LB_Dead,23,1,,7,30,,1,933
SP-R_LB_Dead,23,1,,8,170,,1,1067
SP-R_LB_Dead,23,1,,9,170,,1,1091
SP-R_LB_Dead,23,1,,10,170,,1,786
SP-R_LB_Dead,23,1,,11,30,,1,3421
SP-R_LB_Dead,23,1,,12,30,,1,607
SP-R_LB_Dead,23,1,,13,30,,1,570
SP-R_LB_Dead,23,1,,14,170,,1,582
SP-R_LB_Dead,23,1,,15,170,,1,657
SP-R_LB_Dead,23,1,,16,170,,1,578
SP-R_LB_Dead,23,1,,17,170,,1,374
SP-R_LB_Dead,23,1,,18,30,,1,841
SP-R_LB_Dead,23,1,,19,170,,1,603
SP-R_LB_Dead,23,1,,20,30,,1,684
SP-R_LB_Dead,23,2,,1,100,,0,6582
SP-R_LB_Dead,23,2,,2,90,,0,1722
SP-R_LB_Dead,23,2,,3,230,,1,2271
SP-R_LB_Dead,23,2,,4,210,,1,1032
SP-R_LB_Dead,23,2,,5,210,,1,946
SP-R_LB_Dead,23,2,,6,180,,0,1766
SP-R_LB_Dead,23,2,,7,60,,0,2276
SP-R_LB_Dead,23,2,,8,70,,0,844
SP-R_LB_Dead,23,2,,9,110,,0,693
SP-R_LB_Dead,23,2,,10,160,,1,797
SP-R_LB_Dead,23,2,,11,190,,1,927
SP-R_LB_Dead,23,2,,12,120,,0,887
SP-R_LB_Dead,23,2,,13,120,,0,734
SP-R_LB_Dead,23,2,,14,220,,1,779
SP-R_LB_Dead,23,2,,15,220,,1,655
SP-R_LB_Dead,23,2,,16,130,,0,800
SP-R_LB_Dead,23,2,,17,170,,0,1034
SP-R_LB_Dead,23,2,,18,80,,0,1283
SP-R_LB_Dead,23,2,,19,140,,0,779
SP-R_LB_Dead,23,2,,20,80,,0,729
SP-R_LB_Dead,23,2,,21,100,,0,815
SP-R_LB_Dead,23,2,,22,230,,1,721
SP-R_LB_Dead,23,2,,23,110,,0,887
SP-R_LB_Dead,23,2,,24,150,,0,1223
SP-R_LB_Dead,23,2,,25,130,,0,881
SP-R_LB_Dead,23,2,,26,180,,1,881
SP-R_LB_Dead,23,2,,27,160,,1,641
SP-R_LB_Dead,23,2,,28,200,,1,802
SP-R_LB_Dead,23,2,,29,60,,0,677
SP-R_LB_Dead,23,2,,30,70,,0,605
SP-R_LB_Dead,23,2,,31,150,,0,5024
SP-R_LB_Dead,23,2,,32,190,,1,969
SP-R_LB_Dead,23,2,,33,170,,0,1741
SP-R_LB_Dead,23,2,,34,140,,0,1034
SP-R_LB_Dead,23,2,,35,240,,1,700
SP-R_LB_Dead,23,2,,36,240,,1,563
SP-R_LB_Dead,23,2,,37,200,,0,4687
SP-R_LB_Dead,23,2,,38,90,,0,1047
SP-R_LB_Dead,23,3,200.bmp,,,,,
SP-R_LB_Dead,23,4,,1,216,,1,3570
SP-R_LB_Dead,23,4,,2,240,,1,1328
SP-R_LB_Dead,23,4,,3,54,,0,1770
SP-R_LB_Dead,23,4,,4,196,,0,4710
SP-R_LB_Dead,23,4,,5,36,,0,2211
SP-R_LB_Dead,23,4,,6,282,,1,1590
SP-R_LB_Dead,23,4,,7,114,,0,2137
SP-R_LB_Dead,23,4,,8,100,,0,1534
SP-R_LB_Dead,23,4,,9,37,,0,900
SP-R_LB_Dead,23,4,,10,292,,1,886
SP-R_LB_Dead,23,4,,11,154,,0,3421
SP-R_LB_Dead,23,4,,12,300,,1,1084
SP-R_LB_Dead,23,4,,13,13,,0,2341
SP-R_LB_Dead,23,4,,14,186,,0,3170
SP-R_LB_Dead,23,4,,15,139,,0,1844
SP-R_LB_Dead,23,4,,16,296,,1,1403
SP-R_LB_Dead,23,4,,17,67,,0,2934
SP-R_LB_Dead,23,4,,18,15,,0,1109
SP-R_LB_Dead,23,4,,19,27,,0,865
SP-R_LB_Dead,23,4,,20,153,,0,2506
SP-R_LB_Dead,23,4,,21,143,,0,1838
SP-R_LB_Dead,23,4,,22,262,,1,862
SP-R_LB_Dead,23,4,,23,22,,0,918
SP-R_LB_Dead,23,4,,24,55,,0,817
SP-R_LB_Dead,23,4,,25,51,,0,818
SP-R_LB_Dead,23,4,,26,134,,0,740
SP-R_LB_Dead,23,4,,27,215,,1,1348
SP-R_LB_Dead,23,4,,28,286,,1,889
SP-R_LB_Dead,23,4,,29,78,,0,777
SP-R_LB_Dead,23,4,,30,223,,1,961
SP-R_LB_Dead,23,4,,31,293,,1,978
SP-R_LB_Dead,23,4,,32,182,,0,5810
SP-R_LB_Dead,23,4,,33,219,,1,3016
SP-R_LB_Dead,23,4,,34,226,,1,1669
SP-R_LB_Dead,23,4,,35,90,,0,801
SP-R_LB_Dead,23,4,,36,87,,0,2491
SP-R_LB_Dead,23,4,,37,33,,0,1037
SP-R_LB_Dead,23,4,,38,206,,0,1760
SP-R_LB_Dead,23,4,,39,155,,0,850
SP-R_LB_Dead,23,4,,40,224,,1,1359
SP-R_LB_Dead,23,4,,41,115,,0,1577
SP-R_LB_Dead,23,4,,42,9,,0,798
SP-R_LB_Dead,23,4,,43,260,,1,1130
SP-R_LB_Dead,23,4,,44,159,,0,1003
SP-R_LB_Dead,23,4,,45,50,,0,1192
SP-R_LB_Dead,23,4,,46,18,,0,972
SP-R_LB_Dead,23,4,,47,104,,0,1178
SP-R_LB_Dead,23,4,,48,191,,0,1557
SP-R_LB_Dead,23,4,,49,1,,0,965
SP-R_LB_Dead,23,4,,50,38,,0,3066
SP-R_LB_Dead,23,4,,51,4,,0,745
SP-R_LB_Dead,23,4,,52,94,,0,922
SP-R_LB_Dead,23,4,,53,77,,0,664
SP-R_LB_Dead,23,4,,54,287,,1,623
SP-R_LB_Dead,23,4,,55,91,,0,660
SP-R_LB_Dead,23,4,,56,63,,0,588
SP-R_LB_Dead,23,4,,57,3,,0,552
SP-R_LB_Dead,23,4,,58,201,,1,648
SP-R_LB_Dead,23,4,,59,85,,0,1555
SP-R_LB_Dead,23,4,,60,250,,1,661
SP-R_LB_Dead,23,4,,61,72,,0,595
SP-R_LB_Dead,23,4,,62,225,,1,805
SP-R_LB_Dead,23,4,,63,39,,0,789
SP-R_LB_Dead,23,4,,64,131,,0,1971
SP-R_LB_Dead,23,4,,65,5,,0,676
SP-R_LB_Dead,23,4,,66,148,,1,2372
SP-R_LB_Dead,23,4,,67,116,,0,878
SP-R_LB_Dead,23,4,,68,276,,1,951
SP-R_LB_Dead,23,4,,69,108,,0,1135
SP-R_LB_Dead,23,4,,70,126,,0,2172
SP-R_LB_Dead,23,4,,71,74,,0,750
SP-R_LB_Dead,23,4,,72,284,,1,927
SP-R_LB_Dead,23,4,,73,140,,0,860
SP-R_LB_Dead,23,4,,74,181,,0,1051
SP-R_LB_Dead,23,4,,75,184,,0,4707
SP-R_LB_Dead,23,4,,76,133,,0,596
SP-R_LB_Dead,23,4,,77,297,,1,608
SP-R_LB_Dead,23,4,,78,117,,0,481
SP-R_LB_Dead,23,4,,79,281,,1,611
SP-R_LB_Dead,23,4,,80,255,,1,593
SP-R_LB_Dead,23,4,,81,57,,0,526
SP-R_LB_Dead,23,4,,82,242,,1,516
SP-R_LB_Dead,23,4,,83,11,,0,479
SP-R_LB_Dead,23,4,,84,229,,1,541
SP-R_LB_Dead,23,4,,85,150,,0,1087
SP-R_LB_Dead,23,4,,86,176,,0,1711
SP-R_LB_Dead,23,4,,87,144,,0,858
SP-R_LB_Dead,23,4,,88,231,,1,590
SP-R_LB_Dead,23,4,,89,96,,0,592
SP-R_LB_Dead,23,4,,90,127,,0,575
SP-R_LB_Dead,23,4,,91,230,,1,653
SP-R_LB_Dead,23,4,,92,257,,1,497
SP-R_LB_Dead,23,4,,93,53,,0,636
SP-R_LB_Dead,23,4,,94,299,,1,638
SP-R_LB_Dead,23,4,,95,41,,0,588
SP-R_LB_Dead,23,4,,96,42,,0,481
SP-R_LB_Dead,23,4,,97,261,,1,746
SP-R_LB_Dead,23,4,,98,228,,1,804
SP-R_LB_Dead,23,4,,99,243,,1,606
SP-R_LB_Dead,23,4,,100,93,,0,558
SP-R_LB_Dead,23,4,,101,258,,1,597
SP-R_LB_Dead,23,4,,102,70,,0,637
SP-R_LB_Dead,23,4,,103,295,,1,556
SP-R_LB_Dead,23,4,,104,62,,0,553
SP-R_LB_Dead,23,4,,105,183,,0,830
SP-R_LB_Dead,23,4,,106,6,,0,572
SP-R_LB_Dead,23,4,,107,80,,0,542
SP-R_LB_Dead,23,4,,108,101,,0,682
SP-R_LB_Dead,23,4,,109,235,,1,586
SP-R_LB_Dead,23,4,,110,69,,0,535
SP-R_LB_Dead,23,4,,111,34,,0,478
SP-R_LB_Dead,23,4,,112,147,,0,577
SP-R_LB_Dead,23,4,,113,190,,0,648
SP-R_LB_Dead,23,4,,114,298,,1,555
SP-R_LB_Dead,23,4,,115,128,,0,1276
SP-R_LB_Dead,23,4,,116,49,,0,644
SP-R_LB_Dead,23,4,,117,19,,0,458
SP-R_LB_Dead,23,4,,118,280,,1,766
SP-R_LB_Dead,23,4,,119,56,,0,479
SP-R_LB_Dead,23,4,,120,272,,1,1617
SP-R_LB_Dead,23,4,,121,232,,1,502
SP-R_LB_Dead,23,4,,122,43,,0,540
SP-R_LB_Dead,23,4,,123,14,,0,523
SP-R_LB_Dead,23,4,,124,29,,0,583
SP-R_LB_Dead,23,4,,125,285,,1,625
SP-R_LB_Dead,23,4,,126,82,,0,846
SP-R_LB_Dead,23,4,,127,44,,0,551
SP-R_LB_Dead,23,4,,128,110,,0,545
SP-R_LB_Dead,23,4,,129,208,,1,808
SP-R_LB_Dead,23,4,,130,289,,1,1170
SP-R_LB_Dead,23,4,,131,268,,1,504
SP-R_LB_Dead,23,4,,132,65,,0,615
SP-R_LB_Dead,23,4,,133,220,,0,1387
SP-R_LB_Dead,23,4,,134,10,,0,2117
SP-R_LB_Dead,23,4,,135,92,,0,730
SP-R_LB_Dead,23,4,,136,209,,1,1172
SP-R_LB_Dead,23,4,,137,58,,0,1018
SP-R_LB_Dead,23,4,,138,20,,0,718
SP-R_LB_Dead,23,4,,139,237,,1,757
SP-R_LB_Dead,23,4,,140,194,,1,1075
SP-R_LB_Dead,23,4,,141,279,,1,794
SP-R_LB_Dead,23,4,,142,265,,1,576
SP-R_LB_Dead,23,4,,143,213,,1,710
SP-R_LB_Dead,23,4,,144,106,,0,978
SP-R_LB_Dead,23,4,,145,17,,0,576
SP-R_LB_Dead,23,4,,146,28,,0,681
SP-R_LB_Dead,23,4,,147,81,,0,533
SP-R_LB_Dead,23,4,,148,61,,0,549
SP-R_LB_Dead,23,4,,149,95,,0,521
SP-R_LB_Dead,23,4,,150,169,,0,2877
SP-R_LB_Dead,23,4,,151,245,,1,789
SP-R_LB_Dead,23,4,,152,233,,1,530
SP-R_LB_Dead,23,4,,153,141,,0,797
SP-R_LB_Dead,23,4,,154,118,,0,652
SP-R_LB_Dead,23,4,,155,211,,1,568
SP-R_LB_Dead,23,4,,156,266,,1,1263
SP-R_LB_Dead,23,4,,157,236,,1,791
SP-R_LB_Dead,23,4,,158,112,,0,990
SP-R_LB_Dead,23,4,,159,113,,0,620
SP-R_LB_Dead,23,4,,160,68,,0,570
SP-R_LB_Dead,23,4,,161,251,,1,678
SP-R_LB_Dead,23,4,,162,0,,0,616
SP-R_LB_Dead,23,4,,163,278,,1,682
SP-R_LB_Dead,23,4,,164,76,,0,478
SP-R_LB_Dead,23,4,,165,189,,1,1874
SP-R_LB_Dead,23,4,,166,26,,0,1678
SP-R_LB_Dead,23,4,,167,253,,1,607
SP-R_LB_Dead,23,4,,168,98,,0,635
SP-R_LB_Dead,23,4,,169,164,,0,731
SP-R_LB_Dead,23,4,,170,79,,0,569
SP-R_LB_Dead,23,4,,171,202,,0,1066
SP-R_LB_Dead,23,4,,172,187,,1,1820
SP-R_LB_Dead,23,4,,173,188,,0,1086
SP-R_LB_Dead,23,4,,174,84,,0,571
SP-R_LB_Dead,23,4,,175,160,,0,3408
SP-R_LB_Dead,23,4,,176,137,,0,741
SP-R_LB_Dead,23,4,,177,156,,0,547
SP-R_LB_Dead,23,4,,178,217,,1,957
SP-R_LB_Dead,23,4,,179,167,,0,803
SP-R_LB_Dead,23,4,,180,214,,1,724
SP-R_LB_Dead,23,4,,181,171,,0,722
SP-R_LB_Dead,23,4,,182,192,,0,679
SP-R_LB_Dead,23,4,,183,32,,0,742
SP-R_LB_Dead,23,4,,184,259,,1,838
SP-R_LB_Dead,23,4,,185,207,,1,2340
SP-R_LB_Dead,23,4,,186,12,,0,501
SP-R_LB_Dead,23,4,,187,48,,0,559
