C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Dead-64-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Dead,64,1,,1,30,,0,5014
SP-R_LB_Dead,64,1,,2,30,,1,1176
SP-R_LB_Dead,64,1,,3,30,,1,1052
SP-R_LB_Dead,64,1,,4,170,,1,2709
SP-R_LB_Dead,64,1,,5,30,,1,796
SP-R_LB_Dead,64,1,,6,170,,1,839
SP-R_LB_Dead,64,1,,7,170,,1,1153
SP-R_LB_Dead,64,1,,8,170,,1,741
SP-R_LB_Dead,64,1,,9,30,,1,923
SP-R_LB_Dead,64,1,,10,170,,1,921
SP-R_LB_Dead,64,1,,11,30,,1,581
SP-R_LB_Dead,64,1,,12,170,,1,713
SP-R_LB_Dead,64,1,,13,170,,1,495
SP-R_LB_Dead,64,1,,14,170,,1,383
SP-R_LB_Dead,64,1,,15,170,,1,314
SP-R_LB_Dead,64,1,,16,30,,1,401
SP-R_LB_Dead,64,1,,17,30,,1,396
SP-R_LB_Dead,64,1,,18,30,,1,414
SP-R_LB_Dead,64,1,,19,30,,1,354
SP-R_LB_Dead,64,1,,20,170,,1,494
SP-R_LB_Dead,64,2,,1,140,,1,1393
SP-R_LB_Dead,64,2,,2,190,,1,820
SP-R_LB_Dead,64,2,,3,110,,1,558
SP-R_LB_Dead,64,2,,4,80,,0,907
SP-R_LB_Dead,64,2,,5,130,,1,610
SP-R_LB_Dead,64,2,,6,60,,0,604
SP-R_LB_Dead,64,2,,7,160,,1,503
SP-R_LB_Dead,64,2,,8,230,,1,2142
SP-R_LB_Dead,64,2,,9,180,,1,835
SP-R_LB_Dead,64,2,,10,170,,1,477
SP-R_LB_Dead,64,2,,11,130,,1,797
SP-R_LB_Dead,64,2,,12,220,,1,1416
SP-R_LB_Dead,64,2,,13,60,,0,683
SP-R_LB_Dead,64,2,,14,70,,0,563
SP-R_LB_Dead,64,2,,15,150,,1,607
SP-R_LB_Dead,64,2,,16,170,,1,354
SP-R_LB_Dead,64,2,,17,190,,1,326
SP-R_LB_Dead,64,2,,18,230,,1,910
SP-R_LB_Dead,64,2,,19,160,,1,796
SP-R_LB_Dead,64,2,,20,210,,1,647
SP-R_LB_Dead,64,2,,21,240,,1,600
SP-R_LB_Dead,64,2,,22,80,,0,499
SP-R_LB_Dead,64,2,,23,100,,0,393
SP-R_LB_Dead,64,2,,24,120,,0,461
SP-R_LB_Dead,64,2,,25,210,,1,829
SP-R_LB_Dead,64,2,,26,180,,1,1255
SP-R_LB_Dead,64,2,,27,240,,1,648
SP-R_LB_Dead,64,2,,28,70,,0,506
SP-R_LB_Dead,64,2,,29,110,,0,328
SP-R_LB_Dead,64,2,,30,150,,0,974
SP-R_LB_Dead,64,2,,31,140,,0,810
SP-R_LB_Dead,64,2,,32,90,,0,709
SP-R_LB_Dead,64,2,,33,100,,0,732
SP-R_LB_Dead,64,2,,34,200,,1,706
SP-R_LB_Dead,64,2,,35,120,,0,768
SP-R_LB_Dead,64,2,,36,200,,1,596
SP-R_LB_Dead,64,2,,37,90,,0,560
SP-R_LB_Dead,64,2,,38,220,,1,620
SP-R_LB_Dead,64,3,155.bmp,,,,,
SP-R_LB_Dead,64,4,,1,55,,0,2553
SP-R_LB_Dead,64,4,,2,58,,0,1142
SP-R_LB_Dead,64,4,,3,232,,1,957
SP-R_LB_Dead,64,4,,4,84,,0,709
SP-R_LB_Dead,64,4,,5,23,,0,708
SP-R_LB_Dead,64,4,,6,3,,0,1032
SP-R_LB_Dead,64,4,,7,98,,0,724
SP-R_LB_Dead,64,4,,8,51,,0,2887
SP-R_LB_Dead,64,4,,9,211,,1,922
SP-R_LB_Dead,64,4,,10,213,,1,824
SP-R_LB_Dead,64,4,,11,246,,1,635
SP-R_LB_Dead,64,4,,12,50,,0,592
SP-R_LB_Dead,64,4,,13,24,,0,795
SP-R_LB_Dead,64,4,,14,202,,1,715
SP-R_LB_Dead,64,4,,15,108,,0,836
SP-R_LB_Dead,64,4,,16,262,,1,777
SP-R_LB_Dead,64,4,,17,130,,0,618
SP-R_LB_Dead,64,4,,18,237,,1,704
SP-R_LB_Dead,64,4,,19,215,,1,1196
SP-R_LB_Dead,64,4,,20,269,,1,1044
SP-R_LB_Dead,64,4,,21,170,,1,1167
SP-R_LB_Dead,64,4,,22,218,,1,648
SP-R_LB_Dead,64,4,,23,154,,1,1194
SP-R_LB_Dead,64,4,,24,167,,1,794
SP-R_LB_Dead,64,4,,25,217,,1,1185
SP-R_LB_Dead,64,4,,26,100,,0,799
SP-R_LB_Dead,64,4,,27,145,,0,613
SP-R_LB_Dead,64,4,,28,251,,1,540
SP-R_LB_Dead,64,4,,29,44,,0,606
SP-R_LB_Dead,64,4,,30,180,,1,869
SP-R_LB_Dead,64,4,,31,153,,1,996
SP-R_LB_Dead,64,4,,32,296,,1,769
SP-R_LB_Dead,64,4,,33,184,,1,712
SP-R_LB_Dead,64,4,,34,159,,1,1796
SP-R_LB_Dead,64,4,,35,39,,0,578
SP-R_LB_Dead,64,4,,36,287,,1,532
SP-R_LB_Dead,64,4,,37,242,,1,583
SP-R_LB_Dead,64,4,,38,22,,0,484
SP-R_LB_Dead,64,4,,39,226,,1,810
SP-R_LB_Dead,64,4,,40,116,,0,1461
SP-R_LB_Dead,64,4,,41,248,,1,639
SP-R_LB_Dead,64,4,,42,249,,1,658
SP-R_LB_Dead,64,4,,43,199,,1,585
SP-R_LB_Dead,64,4,,44,76,,0,766
SP-R_LB_Dead,64,4,,45,16,,0,683
SP-R_LB_Dead,64,4,,46,256,,1,524
SP-R_LB_Dead,64,4,,47,111,,0,845
SP-R_LB_Dead,64,4,,48,181,,1,689
SP-R_LB_Dead,64,4,,49,219,,1,642
SP-R_LB_Dead,64,4,,50,292,,1,617
SP-R_LB_Dead,64,4,,51,197,,1,948
SP-R_LB_Dead,64,4,,52,239,,1,543
SP-R_LB_Dead,64,4,,53,10,,0,474
SP-R_LB_Dead,64,4,,54,83,,0,1546
SP-R_LB_Dead,64,4,,55,67,,0,651
SP-R_LB_Dead,64,4,,56,254,,1,550
SP-R_LB_Dead,64,4,,57,174,,1,3494
SP-R_LB_Dead,64,4,,58,52,,0,466
SP-R_LB_Dead,64,4,,59,4,,0,555
SP-R_LB_Dead,64,4,,60,225,,1,499
SP-R_LB_Dead,64,4,,61,65,,0,744
SP-R_LB_Dead,64,4,,62,177,,1,795
SP-R_LB_Dead,64,4,,63,30,,0,777
SP-R_LB_Dead,64,4,,64,135,,0,1039
SP-R_LB_Dead,64,4,,65,149,,0,944
SP-R_LB_Dead,64,4,,66,74,,0,631
SP-R_LB_Dead,64,4,,67,97,,0,575
SP-R_LB_Dead,64,4,,68,190,,1,1257
SP-R_LB_Dead,64,4,,69,42,,0,567
SP-R_LB_Dead,64,4,,70,234,,1,529
SP-R_LB_Dead,64,4,,71,205,,1,593
SP-R_LB_Dead,64,4,,72,73,,0,570
SP-R_LB_Dead,64,4,,73,193,,1,1199
SP-R_LB_Dead,64,4,,74,165,,1,557
SP-R_LB_Dead,64,4,,75,300,,1,758
SP-R_LB_Dead,64,4,,76,266,,1,608
SP-R_LB_Dead,64,4,,77,185,,1,1160
SP-R_LB_Dead,64,4,,78,194,,1,1057
SP-R_LB_Dead,64,4,,79,265,,1,442
SP-R_LB_Dead,64,4,,80,227,,1,457
SP-R_LB_Dead,64,4,,81,243,,1,449
SP-R_LB_Dead,64,4,,82,27,,0,525
SP-R_LB_Dead,64,4,,83,264,,1,1166
SP-R_LB_Dead,64,4,,84,175,,1,681
SP-R_LB_Dead,64,4,,85,148,,1,1017
SP-R_LB_Dead,64,4,,86,122,,0,1291
SP-R_LB_Dead,64,4,,87,281,,1,523
SP-R_LB_Dead,64,4,,88,81,,0,709
SP-R_LB_Dead,64,4,,89,236,,1,977
SP-R_LB_Dead,64,4,,90,259,,1,421
SP-R_LB_Dead,64,4,,91,172,,1,749
SP-R_LB_Dead,64,4,,92,91,,0,656
SP-R_LB_Dead,64,4,,93,123,,0,590
SP-R_LB_Dead,64,4,,94,191,,1,1218
SP-R_LB_Dead,64,4,,95,187,,1,580
SP-R_LB_Dead,64,4,,96,132,,1,871
SP-R_LB_Dead,64,4,,97,96,,0,653
SP-R_LB_Dead,64,4,,98,102,,0,587
SP-R_LB_Dead,64,4,,99,93,,0,863
SP-R_LB_Dead,64,4,,100,71,,0,793
SP-R_LB_Dead,64,4,,101,62,,0,636
SP-R_LB_Dead,64,4,,102,230,,1,464
SP-R_LB_Dead,64,4,,103,275,,1,592
SP-R_LB_Dead,64,4,,104,161,,0,684
SP-R_LB_Dead,64,4,,105,241,,1,564
SP-R_LB_Dead,64,4,,106,41,,0,638
SP-R_LB_Dead,64,4,,107,37,,0,442
SP-R_LB_Dead,64,4,,108,125,,0,915
SP-R_LB_Dead,64,4,,109,34,,0,558
SP-R_LB_Dead,64,4,,110,198,,1,740
SP-R_LB_Dead,64,4,,111,291,,1,562
SP-R_LB_Dead,64,4,,112,210,,1,399
SP-R_LB_Dead,64,4,,113,222,,1,623
SP-R_LB_Dead,64,4,,114,75,,0,461
SP-R_LB_Dead,64,4,,115,9,,0,552
SP-R_LB_Dead,64,4,,116,128,,0,607
SP-R_LB_Dead,64,4,,117,117,,0,601
SP-R_LB_Dead,64,4,,118,245,,1,541
SP-R_LB_Dead,64,4,,119,182,,1,586
SP-R_LB_Dead,64,4,,120,283,,1,476
SP-R_LB_Dead,64,4,,121,131,,1,1024
SP-R_LB_Dead,64,4,,122,114,,0,677
SP-R_LB_Dead,64,4,,123,195,,1,773
SP-R_LB_Dead,64,4,,124,208,,1,599
SP-R_LB_Dead,64,4,,125,64,,0,505
SP-R_LB_Dead,64,4,,126,127,,0,417
SP-R_LB_Dead,64,4,,127,134,,0,506
SP-R_LB_Dead,64,4,,128,250,,1,513
SP-R_LB_Dead,64,4,,129,151,,0,723
SP-R_LB_Dead,64,4,,130,32,,0,545
SP-R_LB_Dead,64,4,,131,80,,0,513
SP-R_LB_Dead,64,4,,132,43,,0,468
SP-R_LB_Dead,64,4,,133,209,,1,444
SP-R_LB_Dead,64,4,,134,146,,1,518
SP-R_LB_Dead,64,4,,135,105,,0,419
SP-R_LB_Dead,64,4,,136,113,,0,452
SP-R_LB_Dead,64,4,,137,121,,0,492
SP-R_LB_Dead,64,4,,138,272,,1,484
SP-R_LB_Dead,64,4,,139,288,,1,1140
SP-R_LB_Dead,64,4,,140,77,,0,554
SP-R_LB_Dead,64,4,,141,216,,1,497
SP-R_LB_Dead,64,4,,142,72,,0,365
SP-R_LB_Dead,64,4,,143,61,,0,451
