C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Far-67-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Far,67,1,,1,30,,1,6999
SP-R_LB_Far,67,1,,2,170,,1,2194
SP-R_LB_Far,67,1,,3,30,,1,1837
SP-R_LB_Far,67,1,,4,30,,1,742
SP-R_LB_Far,67,1,,5,30,,1,691
SP-R_LB_Far,67,1,,6,170,,1,651
SP-R_LB_Far,67,1,,7,170,,1,867
SP-R_LB_Far,67,1,,8,170,,1,683
SP-R_LB_Far,67,1,,9,30,,1,737
SP-R_LB_Far,67,1,,10,170,,1,903
SP-R_LB_Far,67,1,,11,30,,1,693
SP-R_LB_Far,67,1,,12,30,,1,3669
SP-R_LB_Far,67,1,,13,170,,1,669
SP-R_LB_Far,67,1,,14,170,,1,573
SP-R_LB_Far,67,1,,15,30,,1,569
SP-R_LB_Far,67,1,,16,30,,1,1069
SP-R_LB_Far,67,1,,17,30,,1,556
SP-R_LB_Far,67,1,,18,170,,1,801
SP-R_LB_Far,67,1,,19,170,,1,596
SP-R_LB_Far,67,1,,20,170,,1,847
SP-R_LB_Far,67,2,,1,80,,0,2547
SP-R_LB_Far,67,2,,2,80,,0,744
SP-R_LB_Far,67,2,,3,110,,0,942
SP-R_LB_Far,67,2,,4,110,,0,571
SP-R_LB_Far,67,2,,5,220,,1,551
SP-R_LB_Far,67,2,,6,150,,1,3292
SP-R_LB_Far,67,2,,7,60,,0,539
SP-R_LB_Far,67,2,,8,90,,0,633
SP-R_LB_Far,67,2,,9,140,,1,851
SP-R_LB_Far,67,2,,10,160,,1,835
SP-R_LB_Far,67,2,,11,180,,1,717
SP-R_LB_Far,67,2,,12,240,,1,643
SP-R_LB_Far,67,2,,13,70,,0,660
SP-R_LB_Far,67,2,,14,130,,0,1492
SP-R_LB_Far,67,2,,15,200,,1,627
SP-R_LB_Far,67,2,,16,230,,1,493
SP-R_LB_Far,67,2,,17,230,,1,437
SP-R_LB_Far,67,2,,18,170,,1,494
SP-R_LB_Far,67,2,,19,200,,1,629
SP-R_LB_Far,67,2,,20,160,,1,455
SP-R_LB_Far,67,2,,21,100,,0,592
SP-R_LB_Far,67,2,,22,190,,1,731
SP-R_LB_Far,67,2,,23,90,,0,641
SP-R_LB_Far,67,2,,24,60,,0,507
SP-R_LB_Far,67,2,,25,150,,0,474
SP-R_LB_Far,67,2,,26,220,,1,1042
SP-R_LB_Far,67,2,,27,120,,0,1523
SP-R_LB_Far,67,2,,28,70,,0,769
SP-R_LB_Far,67,2,,29,130,,0,1189
SP-R_LB_Far,67,2,,30,170,,0,2272
SP-R_LB_Far,67,2,,31,100,,0,993
SP-R_LB_Far,67,2,,32,210,,1,539
SP-R_LB_Far,67,2,,33,140,,0,1024
SP-R_LB_Far,67,2,,34,210,,1,578
SP-R_LB_Far,67,2,,35,120,,0,590
SP-R_LB_Far,67,2,,36,240,,1,546
SP-R_LB_Far,67,2,,37,190,,1,623
SP-R_LB_Far,67,2,,38,180,,1,753
SP-R_LB_Far,67,3,91.bmp,,,,,
SP-R_LB_Far,67,4,,1,242,,1,3845
SP-R_LB_Far,67,4,,2,66,,0,1764
SP-R_LB_Far,67,4,,3,144,,0,2986
SP-R_LB_Far,67,4,,4,165,,0,1178
SP-R_LB_Far,67,4,,5,32,,0,902
SP-R_LB_Far,67,4,,6,159,,1,1839
SP-R_LB_Far,67,4,,7,191,,1,846
SP-R_LB_Far,67,4,,8,181,,1,886
SP-R_LB_Far,67,4,,9,166,,1,1657
SP-R_LB_Far,67,4,,10,108,,0,820
SP-R_LB_Far,67,4,,11,271,,1,682
SP-R_LB_Far,67,4,,12,64,,0,671
SP-R_LB_Far,67,4,,13,22,,0,774
SP-R_LB_Far,67,4,,14,76,,0,738
SP-R_LB_Far,67,4,,15,190,,1,873
SP-R_LB_Far,67,4,,16,95,,0,583
SP-R_LB_Far,67,4,,17,230,,1,795
SP-R_LB_Far,67,4,,18,94,,0,723
SP-R_LB_Far,67,4,,19,29,,0,2225
SP-R_LB_Far,67,4,,20,75,,0,1783
SP-R_LB_Far,67,4,,21,294,,1,661
SP-R_LB_Far,67,4,,22,52,,0,688
SP-R_LB_Far,67,4,,23,213,,1,644
SP-R_LB_Far,67,4,,24,87,,0,614
SP-R_LB_Far,67,4,,25,157,,1,1367
SP-R_LB_Far,67,4,,26,262,,1,573
SP-R_LB_Far,67,4,,27,258,,1,650
SP-R_LB_Far,67,4,,28,48,,0,686
SP-R_LB_Far,67,4,,29,179,,1,1383
SP-R_LB_Far,67,4,,30,175,,1,1114
SP-R_LB_Far,67,4,,31,158,,1,560
SP-R_LB_Far,67,4,,32,197,,1,712
SP-R_LB_Far,67,4,,33,273,,1,767
SP-R_LB_Far,67,4,,34,84,,0,762
SP-R_LB_Far,67,4,,35,300,,1,1190
SP-R_LB_Far,67,4,,36,298,,1,654
SP-R_LB_Far,67,4,,37,26,,0,653
SP-R_LB_Far,67,4,,38,171,,0,1666
SP-R_LB_Far,67,4,,39,231,,1,688
SP-R_LB_Far,67,4,,40,14,,0,731
SP-R_LB_Far,67,4,,41,240,,1,735
SP-R_LB_Far,67,4,,42,200,,1,5108
SP-R_LB_Far,67,4,,43,285,,1,685
SP-R_LB_Far,67,4,,44,177,,0,1179
SP-R_LB_Far,67,4,,45,137,,0,758
SP-R_LB_Far,67,4,,46,13,,0,841
SP-R_LB_Far,67,4,,47,106,,0,723
SP-R_LB_Far,67,4,,48,182,,1,1129
SP-R_LB_Far,67,4,,49,162,,1,1657
SP-R_LB_Far,67,4,,50,178,,1,632
SP-R_LB_Far,67,4,,51,58,,0,645
SP-R_LB_Far,67,4,,52,114,,0,989
SP-R_LB_Far,67,4,,53,10,,0,1234
SP-R_LB_Far,67,4,,54,136,,0,1535
SP-R_LB_Far,67,4,,55,119,,0,685
SP-R_LB_Far,67,4,,56,249,,1,636
SP-R_LB_Far,67,4,,57,256,,1,641
SP-R_LB_Far,67,4,,58,228,,1,943
SP-R_LB_Far,67,4,,59,92,,0,663
SP-R_LB_Far,67,4,,60,51,,0,547
SP-R_LB_Far,67,4,,61,120,,0,650
SP-R_LB_Far,67,4,,62,8,,0,546
SP-R_LB_Far,67,4,,63,62,,0,698
SP-R_LB_Far,67,4,,64,248,,1,593
SP-R_LB_Far,67,4,,65,206,,1,619
SP-R_LB_Far,67,4,,66,38,,0,716
SP-R_LB_Far,67,4,,67,185,,1,606
SP-R_LB_Far,67,4,,68,31,,0,541
SP-R_LB_Far,67,4,,69,151,,0,1073
SP-R_LB_Far,67,4,,70,155,,0,1061
SP-R_LB_Far,67,4,,71,56,,0,602
SP-R_LB_Far,67,4,,72,272,,1,578
SP-R_LB_Far,67,4,,73,196,,1,2007
SP-R_LB_Far,67,4,,74,223,,1,722
SP-R_LB_Far,67,4,,75,42,,0,662
SP-R_LB_Far,67,4,,76,82,,0,994
SP-R_LB_Far,67,4,,77,239,,1,917
SP-R_LB_Far,67,4,,78,25,,0,1161
SP-R_LB_Far,67,4,,79,91,,0,636
SP-R_LB_Far,67,4,,80,11,,0,556
SP-R_LB_Far,67,4,,81,192,,1,594
SP-R_LB_Far,67,4,,82,15,,0,474
SP-R_LB_Far,67,4,,83,49,,0,581
SP-R_LB_Far,67,4,,84,126,,0,623
SP-R_LB_Far,67,4,,85,289,,1,628
SP-R_LB_Far,67,4,,86,281,,1,713
SP-R_LB_Far,67,4,,87,71,,0,500
SP-R_LB_Far,67,4,,88,101,,0,636
SP-R_LB_Far,67,4,,89,143,,0,639
SP-R_LB_Far,67,4,,90,19,,0,602
SP-R_LB_Far,67,4,,91,283,,1,598
SP-R_LB_Far,67,4,,92,46,,0,556
SP-R_LB_Far,67,4,,93,50,,0,720
SP-R_LB_Far,67,4,,94,221,,1,593
SP-R_LB_Far,67,4,,95,124,,0,540
SP-R_LB_Far,67,4,,96,30,,0,570
SP-R_LB_Far,67,4,,97,132,,0,530
SP-R_LB_Far,67,4,,98,168,,0,2209
SP-R_LB_Far,67,4,,99,7,,0,551
SP-R_LB_Far,67,4,,100,41,,0,573
SP-R_LB_Far,67,4,,101,290,,1,545
SP-R_LB_Far,67,4,,102,198,,1,775
SP-R_LB_Far,67,4,,103,53,,0,557
SP-R_LB_Far,67,4,,104,36,,0,813
SP-R_LB_Far,67,4,,105,24,,0,524
SP-R_LB_Far,67,4,,106,292,,1,574
SP-R_LB_Far,67,4,,107,146,,0,623
SP-R_LB_Far,67,4,,108,89,,0,507
SP-R_LB_Far,67,4,,109,222,,1,688
SP-R_LB_Far,67,4,,110,134,,0,689
SP-R_LB_Far,67,4,,111,218,,1,621
SP-R_LB_Far,67,4,,112,167,,1,973
SP-R_LB_Far,67,4,,113,80,,0,527
SP-R_LB_Far,67,4,,114,34,,0,1002
SP-R_LB_Far,67,4,,115,141,,1,775
SP-R_LB_Far,67,4,,116,60,,0,453
SP-R_LB_Far,67,4,,117,183,,1,556
SP-R_LB_Far,67,4,,118,287,,1,560
SP-R_LB_Far,67,4,,119,254,,1,690
SP-R_LB_Far,67,4,,120,9,,0,530
SP-R_LB_Far,67,4,,121,74,,0,637
SP-R_LB_Far,67,4,,122,234,,1,621
SP-R_LB_Far,67,4,,123,68,,0,511
SP-R_LB_Far,67,4,,124,156,,1,594
SP-R_LB_Far,67,4,,125,199,,1,567
SP-R_LB_Far,67,4,,126,69,,0,523
SP-R_LB_Far,67,4,,127,210,,1,619
SP-R_LB_Far,67,4,,128,98,,0,504
SP-R_LB_Far,67,4,,129,164,,1,1038
SP-R_LB_Far,67,4,,130,142,,1,587
SP-R_LB_Far,67,4,,131,117,,0,562
SP-R_LB_Far,67,4,,132,187,,1,673
SP-R_LB_Far,67,4,,133,102,,0,614
SP-R_LB_Far,67,4,,134,57,,0,555
SP-R_LB_Far,67,4,,135,173,,1,604
SP-R_LB_Far,67,4,,136,270,,1,646
SP-R_LB_Far,67,4,,137,133,,0,608
SP-R_LB_Far,67,4,,138,246,,1,3017
SP-R_LB_Far,67,4,,139,235,,1,817
SP-R_LB_Far,67,4,,140,282,,1,700
SP-R_LB_Far,67,4,,141,147,,0,732
SP-R_LB_Far,67,4,,142,244,,1,598
SP-R_LB_Far,67,4,,143,176,,1,2222
SP-R_LB_Far,67,4,,144,268,,1,690
SP-R_LB_Far,67,4,,145,140,,0,785
SP-R_LB_Far,67,4,,146,20,,0,559
SP-R_LB_Far,67,4,,147,253,,1,1019
SP-R_LB_Far,67,4,,148,277,,1,640
SP-R_LB_Far,67,4,,149,297,,1,590
SP-R_LB_Far,67,4,,150,169,,0,696
SP-R_LB_Far,67,4,,151,233,,1,564
SP-R_LB_Far,67,4,,152,269,,1,430
SP-R_LB_Far,67,4,,153,227,,1,929
SP-R_LB_Far,67,4,,154,286,,1,462
SP-R_LB_Far,67,4,,155,204,,1,1456
SP-R_LB_Far,67,4,,156,252,,1,1235
SP-R_LB_Far,67,4,,157,291,,1,492
SP-R_LB_Far,67,4,,158,21,,0,569
SP-R_LB_Far,67,4,,159,261,,1,562
SP-R_LB_Far,67,4,,160,110,,0,484
SP-R_LB_Far,67,4,,161,61,,0,636
SP-R_LB_Far,67,4,,162,237,,1,582
SP-R_LB_Far,67,4,,163,280,,1,557
SP-R_LB_Far,67,4,,164,265,,1,552
SP-R_LB_Far,67,4,,165,67,,0,508
SP-R_LB_Far,67,4,,166,4,,0,576
SP-R_LB_Far,67,4,,167,274,,1,519
SP-R_LB_Far,67,4,,168,160,,0,566
SP-R_LB_Far,67,4,,169,16,,0,494
SP-R_LB_Far,67,4,,170,174,,0,817
SP-R_LB_Far,67,4,,171,278,,1,557
SP-R_LB_Far,67,4,,172,99,,0,479
SP-R_LB_Far,67,4,,173,149,,0,686
SP-R_LB_Far,67,4,,174,79,,0,460
SP-R_LB_Far,67,4,,175,203,,0,580
SP-R_LB_Far,67,4,,176,18,,0,524
SP-R_LB_Far,67,4,,177,44,,0,450
SP-R_LB_Far,67,4,,178,28,,0,415
SP-R_LB_Far,67,4,,179,129,,0,523
SP-R_LB_Far,67,4,,180,216,,1,815
SP-R_LB_Far,67,4,,181,208,,1,619
SP-R_LB_Far,67,4,,182,103,,0,517
SP-R_LB_Far,67,4,,183,184,,0,735
SP-R_LB_Far,67,4,,184,40,,0,475
SP-R_LB_Far,67,4,,185,202,,1,1641
SP-R_LB_Far,67,4,,186,255,,1,700
SP-R_LB_Far,67,4,,187,3,,0,526
SP-R_LB_Far,67,4,,188,236,,1,697
SP-R_LB_Far,67,4,,189,295,,1,586
SP-R_LB_Far,67,4,,190,188,,0,1673
SP-R_LB_Far,67,4,,191,180,,0,1427
SP-R_LB_Far,67,4,,192,100,,0,506
SP-R_LB_Far,67,4,,193,83,,0,679
SP-R_LB_Far,67,4,,194,113,,0,775
SP-R_LB_Far,67,4,,195,288,,1,545
SP-R_LB_Far,67,4,,196,232,,1,449
SP-R_LB_Far,67,4,,197,211,,1,523
SP-R_LB_Far,67,4,,198,135,,0,730
SP-R_LB_Far,67,4,,199,219,,1,626
SP-R_LB_Far,67,4,,200,263,,1,607
SP-R_LB_Far,67,4,,201,251,,1,807
SP-R_LB_Far,67,4,,202,145,,0,572
SP-R_LB_Far,67,4,,203,201,,1,634
SP-R_LB_Far,67,4,,204,54,,0,569
SP-R_LB_Far,67,4,,205,104,,0,653
SP-R_LB_Far,67,4,,206,193,,1,629
SP-R_LB_Far,67,4,,207,279,,1,832
SP-R_LB_Far,67,4,,208,215,,1,592
SP-R_LB_Far,67,4,,209,96,,0,473
SP-R_LB_Far,67,4,,210,93,,0,568
SP-R_LB_Far,67,4,,211,250,,1,598
SP-R_LB_Far,67,4,,212,209,,1,536
SP-R_LB_Far,67,4,,213,276,,1,723
SP-R_LB_Far,67,4,,214,72,,0,537
SP-R_LB_Far,67,4,,215,161,,1,640
SP-R_LB_Far,67,4,,216,77,,0,518
SP-R_LB_Far,67,4,,217,70,,0,609
SP-R_LB_Far,67,4,,218,224,,1,623
SP-R_LB_Far,67,4,,219,275,,1,577
SP-R_LB_Far,67,4,,220,238,,1,639
SP-R_LB_Far,67,4,,221,65,,0,1160
SP-R_LB_Far,67,4,,222,5,,0,511
SP-R_LB_Far,67,4,,223,154,,0,724
SP-R_LB_Far,67,4,,224,45,,0,2108
SP-R_LB_Far,67,4,,225,43,,0,868
SP-R_LB_Far,67,4,,226,189,,0,1597
SP-R_LB_Far,67,4,,227,33,,0,557
SP-R_LB_Far,67,4,,228,111,,0,550
SP-R_LB_Far,67,4,,229,148,,0,1641
SP-R_LB_Far,67,4,,230,127,,0,502
SP-R_LB_Far,67,4,,231,299,,1,548
SP-R_LB_Far,67,4,,232,107,,0,802
SP-R_LB_Far,67,4,,233,121,,0,556
SP-R_LB_Far,67,4,,234,205,,1,776
SP-R_LB_Far,67,4,,235,247,,1,550
SP-R_LB_Far,67,4,,236,35,,0,473
SP-R_LB_Far,67,4,,237,212,,1,619
SP-R_LB_Far,67,4,,238,81,,0,518
SP-R_LB_Far,67,4,,239,63,,0,510
SP-R_LB_Far,67,4,,240,86,,0,490
SP-R_LB_Far,67,4,,241,112,,0,615
SP-R_LB_Far,67,4,,242,267,,1,634
SP-R_LB_Far,67,4,,243,257,,1,650
SP-R_LB_Far,67,4,,244,115,,0,698
SP-R_LB_Far,67,4,,245,59,,0,554
SP-R_LB_Far,67,4,,246,131,,0,535
SP-R_LB_Far,67,4,,247,296,,1,568
SP-R_LB_Far,67,4,,248,139,,0,622
SP-R_LB_Far,67,4,,249,229,,1,887
SP-R_LB_Far,67,4,,250,293,,1,983
SP-R_LB_Far,67,4,,251,118,,0,549
SP-R_LB_Far,67,4,,252,105,,0,593
SP-R_LB_Far,67,4,,253,123,,0,606
SP-R_LB_Far,67,4,,254,152,,0,752
SP-R_LB_Far,67,4,,255,163,,0,635
SP-R_LB_Far,67,4,,256,150,,0,838
SP-R_LB_Far,67,4,,257,138,,0,866
SP-R_LB_Far,67,4,,258,23,,0,622
SP-R_LB_Far,67,4,,259,284,,1,614
SP-R_LB_Far,67,4,,260,264,,1,641
SP-R_LB_Far,67,4,,261,17,,0,550
SP-R_LB_Far,67,4,,262,186,,1,1529
SP-R_LB_Far,67,4,,263,116,,0,560
SP-R_LB_Far,67,4,,264,217,,1,871
SP-R_LB_Far,67,4,,265,243,,1,565
SP-R_LB_Far,67,4,,266,130,,0,544
SP-R_LB_Far,67,4,,267,39,,0,568
SP-R_LB_Far,67,4,,268,245,,1,585
SP-R_LB_Far,67,4,,269,241,,1,539
SP-R_LB_Far,67,4,,270,6,,0,547
SP-R_LB_Far,67,4,,271,0,,0,758
SP-R_LB_Far,67,4,,272,2,,0,757
SP-R_LB_Far,67,4,,273,207,,0,1868
SP-R_LB_Far,67,4,,274,73,,0,651
SP-R_LB_Far,67,4,,275,55,,0,604
SP-R_LB_Far,67,4,,276,90,,0,659
SP-R_LB_Far,67,4,,277,259,,1,971
SP-R_LB_Far,67,4,,278,12,,0,589
SP-R_LB_Far,67,4,,279,153,,0,1070
SP-R_LB_Far,67,4,,280,85,,0,632
SP-R_LB_Far,67,4,,281,128,,0,603
SP-R_LB_Far,67,4,,282,170,,0,867
SP-R_LB_Far,67,4,,283,122,,0,517
SP-R_LB_Far,67,4,,284,266,,1,960
SP-R_LB_Far,67,4,,285,260,,1,1491
SP-R_LB_Far,67,4,,286,109,,0,778
SP-R_LB_Far,67,4,,287,97,,0,528
SP-R_LB_Far,67,4,,288,214,,1,562
SP-R_LB_Far,67,4,,289,1,,0,496
SP-R_LB_Far,67,4,,290,226,,1,703
SP-R_LB_Far,67,4,,291,47,,0,522
SP-R_LB_Far,67,4,,292,37,,0,506
SP-R_LB_Far,67,4,,293,172,,1,579
SP-R_LB_Far,67,4,,294,125,,0,562
SP-R_LB_Far,67,4,,295,220,,1,597
SP-R_LB_Far,67,4,,296,225,,1,666
SP-R_LB_Far,67,4,,297,27,,0,505
SP-R_LB_Far,67,4,,298,195,,1,575
SP-R_LB_Far,67,4,,299,194,,1,598
SP-R_LB_Far,67,4,,300,78,,0,439
SP-R_LB_Far,67,4,,301,88,,0,693
SP-R_LB_Far,67,5,,1,90,,0,1637
SP-R_LB_Far,67,5,,2,90,,0,783
SP-R_LB_Far,67,5,,3,140,,0,1058
SP-R_LB_Far,67,5,,4,240,,1,834
SP-R_LB_Far,67,5,,5,160,,0,1092
SP-R_LB_Far,67,5,,6,180,,0,1515
SP-R_LB_Far,67,5,,7,120,,0,530
SP-R_LB_Far,67,5,,8,130,,0,480
SP-R_LB_Far,67,5,,9,240,,1,616
SP-R_LB_Far,67,5,,10,170,,0,634
SP-R_LB_Far,67,5,,11,210,,1,651
SP-R_LB_Far,67,5,,12,220,,1,492
SP-R_LB_Far,67,5,,13,230,,1,443
SP-R_LB_Far,67,5,,14,170,,1,637
SP-R_LB_Far,67,5,,15,150,,0,638
SP-R_LB_Far,67,5,,16,60,,0,576
SP-R_LB_Far,67,5,,17,160,,0,764
SP-R_LB_Far,67,5,,18,220,,1,936
SP-R_LB_Far,67,5,,19,80,,0,1190
SP-R_LB_Far,67,5,,20,110,,0,801
SP-R_LB_Far,67,5,,21,200,,1,635
SP-R_LB_Far,67,5,,22,200,,1,844
SP-R_LB_Far,67,5,,23,210,,1,478
SP-R_LB_Far,67,5,,24,80,,0,550
SP-R_LB_Far,67,5,,25,100,,0,546
SP-R_LB_Far,67,5,,26,190,,1,640
SP-R_LB_Far,67,5,,27,230,,1,625
SP-R_LB_Far,67,5,,28,100,,0,507
SP-R_LB_Far,67,5,,29,70,,0,506
SP-R_LB_Far,67,5,,30,130,,0,560
SP-R_LB_Far,67,5,,31,120,,0,573
SP-R_LB_Far,67,5,,32,150,,0,1241
SP-R_LB_Far,67,5,,33,60,,0,859
SP-R_LB_Far,67,5,,34,110,,0,547
SP-R_LB_Far,67,5,,35,140,,0,529
SP-R_LB_Far,67,5,,36,190,,1,511
SP-R_LB_Far,67,5,,37,180,,1,621
SP-R_LB_Far,67,5,,38,70,,0,455
SP-R_LB_Far,67,6,51.bmp,,,,,
SP-R_LB_Far,67,7,,1,Adam.bmp,64,,
SP-R_LB_Far,67,7,,2,Mark.bmp,28,,
SP-R_LB_Far,67,8,,1,Adam.bmp,79,,
