C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Mid-36-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Mid,36,1,,1,30,,0,4932
SP-R_LB_Mid,36,1,,2,170,,1,2266
SP-R_LB_Mid,36,1,,3,170,,0,1434
SP-R_LB_Mid,36,1,,4,30,,1,3931
SP-R_LB_Mid,36,1,,5,30,,1,2161
SP-R_LB_Mid,36,1,,6,30,,1,1317
SP-R_LB_Mid,36,1,,7,170,,1,1155
SP-R_LB_Mid,36,1,,8,30,,1,840
SP-R_LB_Mid,36,1,,9,170,,1,785
SP-R_LB_Mid,36,1,,10,30,,1,540
SP-R_LB_Mid,36,1,,11,170,,1,673
SP-R_LB_Mid,36,1,,12,30,,1,353
SP-R_LB_Mid,36,1,,13,30,,1,598
SP-R_LB_Mid,36,1,,14,170,,1,641
SP-R_LB_Mid,36,1,,15,170,,0,570
SP-R_LB_Mid,36,1,,16,170,,1,862
SP-R_LB_Mid,36,1,,17,30,,1,711
SP-R_LB_Mid,36,1,,18,170,,1,1838
SP-R_LB_Mid,36,1,,19,30,,1,767
SP-R_LB_Mid,36,1,,20,170,,1,539
SP-R_LB_Mid,36,2,,1,180,,1,952
SP-R_LB_Mid,36,2,,2,120,,0,1196
SP-R_LB_Mid,36,2,,3,140,,0,743
SP-R_LB_Mid,36,2,,4,170,,0,518
SP-R_LB_Mid,36,2,,5,200,,1,595
SP-R_LB_Mid,36,2,,6,150,,0,896
SP-R_LB_Mid,36,2,,7,210,,1,1695
SP-R_LB_Mid,36,2,,8,240,,1,967
SP-R_LB_Mid,36,2,,9,190,,1,995
SP-R_LB_Mid,36,2,,10,80,,0,614
SP-R_LB_Mid,36,2,,11,190,,1,953
SP-R_LB_Mid,36,2,,12,60,,0,701
SP-R_LB_Mid,36,2,,13,200,,1,620
SP-R_LB_Mid,36,2,,14,210,,1,686
SP-R_LB_Mid,36,2,,15,60,,0,526
SP-R_LB_Mid,36,2,,16,70,,0,444
SP-R_LB_Mid,36,2,,17,110,,0,493
SP-R_LB_Mid,36,2,,18,180,,1,868
SP-R_LB_Mid,36,2,,19,220,,1,555
SP-R_LB_Mid,36,2,,20,130,,0,576
SP-R_LB_Mid,36,2,,21,150,,0,1452
SP-R_LB_Mid,36,2,,22,90,,0,557
SP-R_LB_Mid,36,2,,23,240,,1,609
SP-R_LB_Mid,36,2,,24,110,,1,652
SP-R_LB_Mid,36,2,,25,220,,1,957
SP-R_LB_Mid,36,2,,26,90,,0,818
SP-R_LB_Mid,36,2,,27,140,,0,780
SP-R_LB_Mid,36,2,,28,100,,0,488
SP-R_LB_Mid,36,2,,29,100,,0,462
SP-R_LB_Mid,36,2,,30,120,,0,392
SP-R_LB_Mid,36,2,,31,70,,0,492
SP-R_LB_Mid,36,2,,32,170,,1,1075
SP-R_LB_Mid,36,2,,33,130,,0,1130
SP-R_LB_Mid,36,2,,34,160,,0,930
SP-R_LB_Mid,36,2,,35,160,,1,944
SP-R_LB_Mid,36,2,,36,80,,0,909
SP-R_LB_Mid,36,2,,37,230,,1,868
SP-R_LB_Mid,36,2,,38,230,,1,659
SP-R_LB_Mid,36,3,195.bmp,,,,,
SP-R_LB_Mid,36,4,,1,64,,0,2072
SP-R_LB_Mid,36,4,,2,185,,1,752
SP-R_LB_Mid,36,4,,3,21,,0,952
SP-R_LB_Mid,36,4,,4,126,,0,1333
SP-R_LB_Mid,36,4,,5,68,,0,1055
SP-R_LB_Mid,36,4,,6,289,,1,806
SP-R_LB_Mid,36,4,,7,47,,0,812
SP-R_LB_Mid,36,4,,8,77,,0,1751
SP-R_LB_Mid,36,4,,9,170,,1,1361
SP-R_LB_Mid,36,4,,10,32,,0,647
SP-R_LB_Mid,36,4,,11,222,,1,1563
SP-R_LB_Mid,36,4,,12,70,,0,1996
SP-R_LB_Mid,36,4,,13,123,,0,2249
SP-R_LB_Mid,36,4,,14,253,,1,832
SP-R_LB_Mid,36,4,,15,59,,0,697
SP-R_LB_Mid,36,4,,16,115,,0,711
SP-R_LB_Mid,36,4,,17,50,,0,721
SP-R_LB_Mid,36,4,,18,130,,0,790
SP-R_LB_Mid,36,4,,19,72,,0,634
SP-R_LB_Mid,36,4,,20,48,,0,765
SP-R_LB_Mid,36,4,,21,223,,1,638
SP-R_LB_Mid,36,4,,22,25,,0,561
SP-R_LB_Mid,36,4,,23,1,,0,894
SP-R_LB_Mid,36,4,,24,241,,1,569
SP-R_LB_Mid,36,4,,25,257,,1,585
SP-R_LB_Mid,36,4,,26,299,,1,867
SP-R_LB_Mid,36,4,,27,49,,0,417
SP-R_LB_Mid,36,4,,28,200,,1,729
SP-R_LB_Mid,36,4,,29,226,,1,818
SP-R_LB_Mid,36,4,,30,168,,0,699
SP-R_LB_Mid,36,4,,31,40,,0,672
SP-R_LB_Mid,36,4,,32,97,,0,551
SP-R_LB_Mid,36,4,,33,224,,1,579
SP-R_LB_Mid,36,4,,34,44,,0,573
SP-R_LB_Mid,36,4,,35,87,,0,477
SP-R_LB_Mid,36,4,,36,104,,0,542
SP-R_LB_Mid,36,4,,37,164,,0,1458
SP-R_LB_Mid,36,4,,38,5,,0,600
SP-R_LB_Mid,36,4,,39,169,,1,878
SP-R_LB_Mid,36,4,,40,242,,1,527
SP-R_LB_Mid,36,4,,41,134,,1,926
SP-R_LB_Mid,36,4,,42,213,,1,1171
SP-R_LB_Mid,36,4,,43,228,,1,703
SP-R_LB_Mid,36,4,,44,194,,1,561
SP-R_LB_Mid,36,4,,45,34,,0,954
SP-R_LB_Mid,36,4,,46,80,,0,639
SP-R_LB_Mid,36,4,,47,66,,0,567
SP-R_LB_Mid,36,4,,48,133,,1,1763
SP-R_LB_Mid,36,4,,49,288,,1,674
SP-R_LB_Mid,36,4,,50,234,,1,460
SP-R_LB_Mid,36,4,,51,37,,0,556
SP-R_LB_Mid,36,4,,52,198,,1,716
SP-R_LB_Mid,36,4,,53,189,,1,558
SP-R_LB_Mid,36,4,,54,259,,1,546
SP-R_LB_Mid,36,4,,55,221,,1,391
SP-R_LB_Mid,36,4,,56,78,,0,956
SP-R_LB_Mid,36,4,,57,207,,1,665
SP-R_LB_Mid,36,4,,58,58,,0,763
SP-R_LB_Mid,36,4,,59,139,,1,855
SP-R_LB_Mid,36,4,,60,183,,1,620
SP-R_LB_Mid,36,4,,61,100,,1,1511
SP-R_LB_Mid,36,4,,62,251,,1,538
SP-R_LB_Mid,36,4,,63,212,,1,541
SP-R_LB_Mid,36,4,,64,99,,1,1345
SP-R_LB_Mid,36,4,,65,158,,1,569
SP-R_LB_Mid,36,4,,66,295,,1,582
SP-R_LB_Mid,36,4,,67,267,,1,390
SP-R_LB_Mid,36,4,,68,214,,1,446
SP-R_LB_Mid,36,4,,69,176,,1,942
SP-R_LB_Mid,36,4,,70,262,,1,537
SP-R_LB_Mid,36,4,,71,217,,1,516
SP-R_LB_Mid,36,4,,72,172,,1,748
SP-R_LB_Mid,36,4,,73,245,,1,482
SP-R_LB_Mid,36,4,,74,205,,1,277
