C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_LB_Mid-66-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Mid,66,1,,1,170,,1,7021
SP-R_LB_Mid,66,1,,2,30,,1,2304
SP-R_LB_Mid,66,1,,3,30,,1,1158
SP-R_LB_Mid,66,1,,4,30,,1,691
SP-R_LB_Mid,66,1,,5,170,,1,970
SP-R_LB_Mid,66,1,,6,30,,1,790
SP-R_LB_Mid,66,1,,7,170,,1,729
SP-R_LB_Mid,66,1,,8,170,,1,743
SP-R_LB_Mid,66,1,,9,170,,1,652
SP-R_LB_Mid,66,1,,10,170,,1,653
SP-R_LB_Mid,66,1,,11,30,,1,670
SP-R_LB_Mid,66,1,,12,30,,1,446
SP-R_LB_Mid,66,1,,13,170,,1,631
SP-R_LB_Mid,66,1,,14,30,,1,665
SP-R_LB_Mid,66,1,,15,30,,1,625
SP-R_LB_Mid,66,1,,16,170,,1,579
SP-R_LB_Mid,66,1,,17,30,,1,686
SP-R_LB_Mid,66,1,,18,170,,1,565
SP-R_LB_Mid,66,1,,19,170,,1,881
SP-R_LB_Mid,66,1,,20,30,,1,616
SP-R_LB_Mid,66,2,,1,80,,0,3040
SP-R_LB_Mid,66,2,,2,60,,0,569
SP-R_LB_Mid,66,2,,3,100,,0,469
SP-R_LB_Mid,66,2,,4,220,,1,757
SP-R_LB_Mid,66,2,,5,160,,1,802
SP-R_LB_Mid,66,2,,6,100,,0,1181
SP-R_LB_Mid,66,2,,7,130,,0,617
SP-R_LB_Mid,66,2,,8,150,,0,419
SP-R_LB_Mid,66,2,,9,230,,1,653
SP-R_LB_Mid,66,2,,10,70,,0,644
SP-R_LB_Mid,66,2,,11,120,,0,806
SP-R_LB_Mid,66,2,,12,140,,0,576
SP-R_LB_Mid,66,2,,13,190,,1,764
SP-R_LB_Mid,66,2,,14,170,,1,601
SP-R_LB_Mid,66,2,,15,70,,0,580
SP-R_LB_Mid,66,2,,16,110,,0,328
SP-R_LB_Mid,66,2,,17,230,,1,510
SP-R_LB_Mid,66,2,,18,220,,1,549
SP-R_LB_Mid,66,2,,19,210,,1,466
SP-R_LB_Mid,66,2,,20,200,,1,642
SP-R_LB_Mid,66,2,,21,110,,0,547
SP-R_LB_Mid,66,2,,22,170,,0,473
SP-R_LB_Mid,66,2,,23,160,,0,513
SP-R_LB_Mid,66,2,,24,180,,0,655
SP-R_LB_Mid,66,2,,25,210,,1,936
SP-R_LB_Mid,66,2,,26,120,,1,317
SP-R_LB_Mid,66,2,,27,140,,0,1419
SP-R_LB_Mid,66,2,,28,200,,1,597
SP-R_LB_Mid,66,2,,29,90,,0,545
SP-R_LB_Mid,66,2,,30,240,,1,510
SP-R_LB_Mid,66,2,,31,130,,0,725
SP-R_LB_Mid,66,2,,32,150,,0,475
SP-R_LB_Mid,66,2,,33,240,,1,546
SP-R_LB_Mid,66,2,,34,90,,0,688
SP-R_LB_Mid,66,2,,35,190,,1,560
SP-R_LB_Mid,66,2,,36,80,,0,518
SP-R_LB_Mid,66,2,,37,180,,1,595
SP-R_LB_Mid,66,2,,38,60,,0,487
SP-R_LB_Mid,66,3,49.bmp,,,,,
SP-R_LB_Mid,66,4,,1,43,,0,1458
SP-R_LB_Mid,66,4,,2,14,,0,1078
SP-R_LB_Mid,66,4,,3,226,,1,816
SP-R_LB_Mid,66,4,,4,17,,0,929
SP-R_LB_Mid,66,4,,5,34,,0,714
SP-R_LB_Mid,66,4,,6,141,,0,748
SP-R_LB_Mid,66,4,,7,196,,1,596
SP-R_LB_Mid,66,4,,8,92,,0,610
SP-R_LB_Mid,66,4,,9,133,,0,1613
SP-R_LB_Mid,66,4,,10,233,,1,762
SP-R_LB_Mid,66,4,,11,38,,0,523
SP-R_LB_Mid,66,4,,12,33,,0,597
SP-R_LB_Mid,66,4,,13,177,,1,908
SP-R_LB_Mid,66,4,,14,209,,1,626
SP-R_LB_Mid,66,4,,15,198,,1,705
SP-R_LB_Mid,66,4,,16,18,,0,580
SP-R_LB_Mid,66,4,,17,170,,1,851
SP-R_LB_Mid,66,4,,18,216,,1,775
SP-R_LB_Mid,66,4,,19,83,,0,661
SP-R_LB_Mid,66,4,,20,110,,0,553
SP-R_LB_Mid,66,4,,21,19,,0,573
SP-R_LB_Mid,66,4,,22,258,,1,709
SP-R_LB_Mid,66,4,,23,70,,0,609
SP-R_LB_Mid,66,4,,24,158,,1,743
SP-R_LB_Mid,66,4,,25,246,,1,725
SP-R_LB_Mid,66,4,,26,139,,0,608
SP-R_LB_Mid,66,4,,27,299,,1,564
SP-R_LB_Mid,66,4,,28,263,,1,990
SP-R_LB_Mid,66,4,,29,252,,1,478
SP-R_LB_Mid,66,4,,30,25,,0,582
SP-R_LB_Mid,66,4,,31,175,,1,1164
SP-R_LB_Mid,66,4,,32,8,,0,1345
SP-R_LB_Mid,66,4,,33,181,,1,590
SP-R_LB_Mid,66,4,,34,265,,1,615
SP-R_LB_Mid,66,4,,35,146,,0,921
SP-R_LB_Mid,66,4,,36,98,,0,598
SP-R_LB_Mid,66,4,,37,136,,0,526
SP-R_LB_Mid,66,4,,38,272,,1,635
SP-R_LB_Mid,66,4,,39,194,,1,1468
SP-R_LB_Mid,66,4,,40,39,,0,515
SP-R_LB_Mid,66,4,,41,93,,0,560
SP-R_LB_Mid,66,4,,42,260,,1,522
SP-R_LB_Mid,66,4,,43,54,,0,444
