C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_RB_Close-32-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Close,32,1,,1,270,,1,8697
SP-R_RB_Close,32,1,,2,270,,1,7039
SP-R_RB_Close,32,1,,3,270,,1,6801
SP-R_RB_Close,32,1,,4,130,,1,4564
SP-R_RB_Close,32,1,,5,270,,1,2567
SP-R_RB_Close,32,1,,6,270,,0,1379
SP-R_RB_Close,32,1,,7,270,,1,2591
SP-R_RB_Close,32,1,,8,270,,1,1411
SP-R_RB_Close,32,1,,9,130,,1,1534
SP-R_RB_Close,32,1,,10,130,,1,1747
SP-R_RB_Close,32,1,,11,270,,1,4160
SP-R_RB_Close,32,1,,12,130,,1,3621
SP-R_RB_Close,32,1,,13,130,,1,1199
SP-R_RB_Close,32,1,,14,130,,1,1273
SP-R_RB_Close,32,1,,15,130,,1,1850
SP-R_RB_Close,32,1,,16,130,,1,1034
SP-R_RB_Close,32,1,,17,270,,1,1459
SP-R_RB_Close,32,1,,18,130,,1,1188
SP-R_RB_Close,32,1,,19,270,,1,1767
SP-R_RB_Close,32,1,,20,130,,1,1459
SP-R_RB_Close,32,2,,1,230,,1,3633
SP-R_RB_Close,32,2,,2,80,,0,1770
SP-R_RB_Close,32,2,,3,180,,1,2566
SP-R_RB_Close,32,2,,4,220,,1,1706
SP-R_RB_Close,32,2,,5,70,,0,1512
SP-R_RB_Close,32,2,,6,200,,1,3176
SP-R_RB_Close,32,2,,7,140,,0,1341
SP-R_RB_Close,32,2,,8,60,,0,1720
SP-R_RB_Close,32,2,,9,90,,0,1512
SP-R_RB_Close,32,2,,10,70,,0,1814
SP-R_RB_Close,32,2,,11,240,,1,1841
SP-R_RB_Close,32,2,,12,130,,0,1787
SP-R_RB_Close,32,2,,13,210,,1,1870
SP-R_RB_Close,32,2,,14,140,,0,3382
SP-R_RB_Close,32,2,,15,190,,1,1386
SP-R_RB_Close,32,2,,16,190,,1,1302
SP-R_RB_Close,32,2,,17,210,,1,1420
SP-R_RB_Close,32,2,,18,90,,0,1237
SP-R_RB_Close,32,2,,19,240,,1,1398
SP-R_RB_Close,32,2,,20,200,,1,3970
SP-R_RB_Close,32,2,,21,150,,0,1118
SP-R_RB_Close,32,2,,22,230,,1,997
SP-R_RB_Close,32,2,,23,60,,0,1047
SP-R_RB_Close,32,2,,24,170,,1,4410
SP-R_RB_Close,32,2,,25,110,,0,1477
SP-R_RB_Close,32,2,,26,170,,1,1653
SP-R_RB_Close,32,2,,27,120,,0,1125
SP-R_RB_Close,32,2,,28,120,,0,1723
SP-R_RB_Close,32,2,,29,100,,0,1049
SP-R_RB_Close,32,2,,30,80,,0,978
SP-R_RB_Close,32,2,,31,130,,0,9238
SP-R_RB_Close,32,2,,32,150,,0,1504
SP-R_RB_Close,32,2,,33,160,,0,1639
SP-R_RB_Close,32,2,,34,220,,1,1303
SP-R_RB_Close,32,2,,35,160,,1,2070
SP-R_RB_Close,32,2,,36,100,,0,1062
SP-R_RB_Close,32,2,,37,110,,0,1023
SP-R_RB_Close,32,2,,38,180,,1,2097
SP-R_RB_Close,32,3,284.bmp,,,,,
SP-R_RB_Close,32,4,,1,120,,0,4722
SP-R_RB_Close,32,4,,2,271,,1,3032
SP-R_RB_Close,32,4,,3,205,,1,2780
SP-R_RB_Close,32,4,,4,49,,0,2030
