C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_RB_Dead-34-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Dead,34,1,,1,270,,1,5261
SP-R_RB_Dead,34,1,,2,270,,1,2349
SP-R_RB_Dead,34,1,,3,270,,1,2018
SP-R_RB_Dead,34,1,,4,130,,1,1828
SP-R_RB_Dead,34,1,,5,270,,1,1190
SP-R_RB_Dead,34,1,,6,130,,1,801
SP-R_RB_Dead,34,1,,7,130,,1,891
SP-R_RB_Dead,34,1,,8,130,,1,675
SP-R_RB_Dead,34,1,,9,270,,1,563
SP-R_RB_Dead,34,1,,10,130,,1,631
SP-R_RB_Dead,34,1,,11,270,,1,713
SP-R_RB_Dead,34,1,,12,130,,1,590
SP-R_RB_Dead,34,1,,13,130,,1,561
SP-R_RB_Dead,34,1,,14,130,,1,1127
SP-R_RB_Dead,34,1,,15,270,,1,541
SP-R_RB_Dead,34,1,,16,130,,1,563
SP-R_RB_Dead,34,1,,17,270,,1,735
SP-R_RB_Dead,34,1,,18,130,,1,548
SP-R_RB_Dead,34,1,,19,270,,1,513
SP-R_RB_Dead,34,1,,20,270,,1,480
SP-R_RB_Dead,34,2,,1,60,,0,2007
SP-R_RB_Dead,34,2,,2,240,,1,1450
SP-R_RB_Dead,34,2,,3,140,,0,1098
SP-R_RB_Dead,34,2,,4,240,,1,1250
SP-R_RB_Dead,34,2,,5,190,,1,1322
SP-R_RB_Dead,34,2,,6,180,,1,833
SP-R_RB_Dead,34,2,,7,100,,0,635
SP-R_RB_Dead,34,2,,8,130,,0,660
SP-R_RB_Dead,34,2,,9,120,,0,949
SP-R_RB_Dead,34,2,,10,140,,0,778
SP-R_RB_Dead,34,2,,11,230,,1,630
SP-R_RB_Dead,34,2,,12,120,,0,600
SP-R_RB_Dead,34,2,,13,220,,1,587
SP-R_RB_Dead,34,2,,14,180,,1,573
SP-R_RB_Dead,34,2,,15,90,,0,531
SP-R_RB_Dead,34,2,,16,160,,1,993
SP-R_RB_Dead,34,2,,17,90,,0,612
SP-R_RB_Dead,34,2,,18,150,,1,1663
SP-R_RB_Dead,34,2,,19,210,,1,632
SP-R_RB_Dead,34,2,,20,220,,1,633
SP-R_RB_Dead,34,2,,21,170,,1,658
SP-R_RB_Dead,34,2,,22,170,,1,547
SP-R_RB_Dead,34,2,,23,110,,0,520
SP-R_RB_Dead,34,2,,24,110,,0,798
SP-R_RB_Dead,34,2,,25,60,,0,1153
SP-R_RB_Dead,34,2,,26,210,,1,894
SP-R_RB_Dead,34,2,,27,200,,1,934
SP-R_RB_Dead,34,2,,28,80,,0,506
SP-R_RB_Dead,34,2,,29,200,,1,570
SP-R_RB_Dead,34,2,,30,100,,0,462
SP-R_RB_Dead,34,2,,31,80,,0,711
SP-R_RB_Dead,34,2,,32,160,,1,726
SP-R_RB_Dead,34,2,,33,190,,1,580
SP-R_RB_Dead,34,2,,34,130,,0,792
SP-R_RB_Dead,34,2,,35,150,,0,2083
SP-R_RB_Dead,34,2,,36,70,,0,723
SP-R_RB_Dead,34,2,,37,230,,1,545
SP-R_RB_Dead,34,2,,38,70,,0,885
SP-R_RB_Dead,34,3,258.bmp,,,,,
SP-R_RB_Dead,34,4,,1,14,,0,3354
SP-R_RB_Dead,34,4,,2,51,,0,849
SP-R_RB_Dead,34,4,,3,271,,1,922
SP-R_RB_Dead,34,4,,4,225,,1,896
SP-R_RB_Dead,34,4,,5,270,,1,1106
SP-R_RB_Dead,34,4,,6,66,,0,812
SP-R_RB_Dead,34,4,,7,233,,1,626
SP-R_RB_Dead,34,4,,8,150,,0,1264
SP-R_RB_Dead,34,4,,9,200,,1,810
SP-R_RB_Dead,34,4,,10,277,,1,664
SP-R_RB_Dead,34,4,,11,181,,1,2764
SP-R_RB_Dead,34,4,,12,216,,1,775
SP-R_RB_Dead,34,4,,13,180,,1,1181
SP-R_RB_Dead,34,4,,14,20,,0,637
SP-R_RB_Dead,34,4,,15,97,,0,754
SP-R_RB_Dead,34,4,,16,79,,0,523
SP-R_RB_Dead,34,4,,17,123,,0,537
SP-R_RB_Dead,34,4,,18,136,,0,865
SP-R_RB_Dead,34,4,,19,248,,1,668
SP-R_RB_Dead,34,4,,20,246,,1,502
SP-R_RB_Dead,34,4,,21,232,,1,767
SP-R_RB_Dead,34,4,,22,9,,0,568
SP-R_RB_Dead,34,4,,23,25,,0,589
SP-R_RB_Dead,34,4,,24,283,,1,509
SP-R_RB_Dead,34,4,,25,192,,1,1015
SP-R_RB_Dead,34,4,,26,96,,0,524
SP-R_RB_Dead,34,4,,27,249,,1,544
SP-R_RB_Dead,34,4,,28,49,,0,617
