C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_RB_Far-38-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Far,38,1,,1,270,,1,70654
SP-R_RB_Far,38,1,,2,130,,1,2306
SP-R_RB_Far,38,1,,3,130,,1,961
SP-R_RB_Far,38,1,,4,130,,1,908
SP-R_RB_Far,38,1,,5,130,,1,1195
SP-R_RB_Far,38,1,,6,270,,0,911
SP-R_RB_Far,38,1,,7,130,,1,837
SP-R_RB_Far,38,1,,8,130,,1,1023
SP-R_RB_Far,38,1,,9,270,,1,1073
SP-R_RB_Far,38,1,,10,270,,1,961
SP-R_RB_Far,38,1,,11,130,,1,638
SP-R_RB_Far,38,1,,12,270,,1,574
SP-R_RB_Far,38,1,,13,130,,1,690
SP-R_RB_Far,38,1,,14,270,,1,522
SP-R_RB_Far,38,1,,15,270,,1,1536
SP-R_RB_Far,38,1,,16,130,,1,717
SP-R_RB_Far,38,1,,17,130,,1,931
SP-R_RB_Far,38,1,,18,270,,1,865
SP-R_RB_Far,38,1,,19,270,,1,1873
SP-R_RB_Far,38,1,,20,270,,1,712
SP-R_RB_Far,38,2,,1,60,,0,1663
SP-R_RB_Far,38,2,,2,120,,0,1231
SP-R_RB_Far,38,2,,3,140,,0,1081
SP-R_RB_Far,38,2,,4,220,,1,889
SP-R_RB_Far,38,2,,5,200,,1,2064
SP-R_RB_Far,38,2,,6,100,,0,561
SP-R_RB_Far,38,2,,7,130,,0,565
SP-R_RB_Far,38,2,,8,140,,0,514
SP-R_RB_Far,38,2,,9,220,,1,569
SP-R_RB_Far,38,2,,10,170,,1,565
SP-R_RB_Far,38,2,,11,70,,0,441
SP-R_RB_Far,38,2,,12,150,,0,675
SP-R_RB_Far,38,2,,13,190,,1,523
SP-R_RB_Far,38,2,,14,210,,1,689
SP-R_RB_Far,38,2,,15,180,,1,496
SP-R_RB_Far,38,2,,16,80,,0,520
SP-R_RB_Far,38,2,,17,230,,1,566
SP-R_RB_Far,38,2,,18,110,,0,858
SP-R_RB_Far,38,2,,19,170,,1,1403
SP-R_RB_Far,38,2,,20,90,,0,533
SP-R_RB_Far,38,2,,21,240,,1,787
SP-R_RB_Far,38,2,,22,110,,0,823
SP-R_RB_Far,38,2,,23,160,,1,1129
SP-R_RB_Far,38,2,,24,90,,0,615
SP-R_RB_Far,38,2,,25,200,,1,546
SP-R_RB_Far,38,2,,26,160,,1,663
SP-R_RB_Far,38,2,,27,190,,1,496
SP-R_RB_Far,38,2,,28,180,,1,503
SP-R_RB_Far,38,2,,29,80,,0,445
SP-R_RB_Far,38,2,,30,150,,1,679
SP-R_RB_Far,38,2,,31,240,,0,689
SP-R_RB_Far,38,2,,32,210,,1,640
SP-R_RB_Far,38,2,,33,130,,0,697
SP-R_RB_Far,38,2,,34,70,,0,953
SP-R_RB_Far,38,2,,35,120,,0,518
SP-R_RB_Far,38,2,,36,60,,0,660
SP-R_RB_Far,38,2,,37,230,,1,596
SP-R_RB_Far,38,2,,38,100,,0,1448
SP-R_RB_Far,38,3,197.bmp,,,,,
SP-R_RB_Far,38,4,,1,3,,0,1371
SP-R_RB_Far,38,4,,2,81,,0,1185
SP-R_RB_Far,38,4,,3,128,,0,965
SP-R_RB_Far,38,4,,4,9,,0,829
SP-R_RB_Far,38,4,,5,235,,1,992
SP-R_RB_Far,38,4,,6,78,,0,625
SP-R_RB_Far,38,4,,7,49,,0,693
SP-R_RB_Far,38,4,,8,82,,0,1339
SP-R_RB_Far,38,4,,9,179,,1,582
SP-R_RB_Far,38,4,,10,219,,1,1342
SP-R_RB_Far,38,4,,11,273,,1,915
SP-R_RB_Far,38,4,,12,200,,1,759
SP-R_RB_Far,38,4,,13,8,,0,627
SP-R_RB_Far,38,4,,14,106,,0,1305
SP-R_RB_Far,38,4,,15,244,,1,2140
SP-R_RB_Far,38,4,,16,227,,1,730
SP-R_RB_Far,38,4,,17,271,,1,756
SP-R_RB_Far,38,4,,18,259,,1,577
SP-R_RB_Far,38,4,,19,61,,0,585
SP-R_RB_Far,38,4,,20,209,,1,1212
SP-R_RB_Far,38,4,,21,17,,0,859
SP-R_RB_Far,38,4,,22,53,,0,909
SP-R_RB_Far,38,4,,23,56,,0,666
SP-R_RB_Far,38,4,,24,223,,1,556
SP-R_RB_Far,38,4,,25,89,,0,1640
SP-R_RB_Far,38,4,,26,98,,0,1187
SP-R_RB_Far,38,4,,27,108,,0,663
SP-R_RB_Far,38,4,,28,59,,0,589
SP-R_RB_Far,38,4,,29,211,,1,537
SP-R_RB_Far,38,4,,30,276,,1,695
SP-R_RB_Far,38,4,,31,280,,1,579
SP-R_RB_Far,38,4,,32,299,,1,592
SP-R_RB_Far,38,4,,33,93,,0,667
SP-R_RB_Far,38,4,,34,251,,1,636
SP-R_RB_Far,38,4,,35,109,,0,633
SP-R_RB_Far,38,4,,36,246,,1,526
SP-R_RB_Far,38,4,,37,279,,1,787
SP-R_RB_Far,38,4,,38,29,,0,496
SP-R_RB_Far,38,4,,39,37,,0,677
SP-R_RB_Far,38,4,,40,34,,0,655
SP-R_RB_Far,38,4,,41,55,,0,552
SP-R_RB_Far,38,4,,42,26,,0,964
SP-R_RB_Far,38,4,,43,202,,1,576
SP-R_RB_Far,38,4,,44,228,,1,540
SP-R_RB_Far,38,4,,45,147,,1,824
SP-R_RB_Far,38,4,,46,292,,1,683
SP-R_RB_Far,38,4,,47,204,,1,723
SP-R_RB_Far,38,4,,48,116,,1,813
SP-R_RB_Far,38,4,,49,206,,1,2260
SP-R_RB_Far,38,4,,50,260,,1,565
SP-R_RB_Far,38,4,,51,291,,1,629
SP-R_RB_Far,38,4,,52,143,,0,2544
SP-R_RB_Far,38,4,,53,243,,1,668
SP-R_RB_Far,38,4,,54,135,,0,959
SP-R_RB_Far,38,4,,55,77,,0,3312
SP-R_RB_Far,38,4,,56,197,,1,519
SP-R_RB_Far,38,4,,57,215,,1,591
SP-R_RB_Far,38,4,,58,131,,1,2278
SP-R_RB_Far,38,4,,59,210,,1,703
SP-R_RB_Far,38,4,,60,270,,1,530
SP-R_RB_Far,38,4,,61,151,,0,520
SP-R_RB_Far,38,4,,62,145,,0,872
SP-R_RB_Far,38,4,,63,14,,0,773
SP-R_RB_Far,38,4,,64,261,,1,553
SP-R_RB_Far,38,4,,65,74,,0,981
SP-R_RB_Far,38,4,,66,296,,1,1975
SP-R_RB_Far,38,4,,67,144,,0,586
SP-R_RB_Far,38,4,,68,269,,1,718
SP-R_RB_Far,38,4,,69,294,,1,604
SP-R_RB_Far,38,4,,70,286,,1,566
SP-R_RB_Far,38,4,,71,178,,0,823
SP-R_RB_Far,38,4,,72,165,,0,1283
SP-R_RB_Far,38,4,,73,51,,0,551
SP-R_RB_Far,38,4,,74,79,,0,642
SP-R_RB_Far,38,4,,75,83,,0,582
SP-R_RB_Far,38,4,,76,168,,0,1020
SP-R_RB_Far,38,4,,77,198,,1,586
SP-R_RB_Far,38,4,,78,104,,0,554
SP-R_RB_Far,38,4,,79,199,,0,958
SP-R_RB_Far,38,4,,80,162,,0,563
SP-R_RB_Far,38,4,,81,22,,0,600
SP-R_RB_Far,38,4,,82,27,,0,466
SP-R_RB_Far,38,4,,83,236,,0,495
SP-R_RB_Far,38,4,,84,185,,0,1650
SP-R_RB_Far,38,4,,85,46,,0,612
SP-R_RB_Far,38,4,,86,58,,0,1092
SP-R_RB_Far,38,4,,87,20,,0,529
SP-R_RB_Far,38,4,,88,134,,0,1366
SP-R_RB_Far,38,4,,89,25,,0,646
SP-R_RB_Far,38,4,,90,169,,0,531
SP-R_RB_Far,38,4,,91,203,,1,651
SP-R_RB_Far,38,4,,92,63,,0,1434
SP-R_RB_Far,38,4,,93,158,,0,797
SP-R_RB_Far,38,4,,94,170,,0,835
SP-R_RB_Far,38,4,,95,136,,0,546
SP-R_RB_Far,38,4,,96,154,,0,1568
SP-R_RB_Far,38,4,,97,92,,0,918
SP-R_RB_Far,38,4,,98,7,,0,621
SP-R_RB_Far,38,4,,99,254,,1,619
SP-R_RB_Far,38,4,,100,67,,0,624
SP-R_RB_Far,38,4,,101,142,,0,800
SP-R_RB_Far,38,4,,102,275,,1,764
SP-R_RB_Far,38,4,,103,96,,0,620
SP-R_RB_Far,38,4,,104,174,,0,818
SP-R_RB_Far,38,4,,105,110,,0,683
SP-R_RB_Far,38,4,,106,257,,1,644
SP-R_RB_Far,38,4,,107,42,,0,536
SP-R_RB_Far,38,4,,108,113,,0,583
