C:\Users\RogersLab\Desktop\ACB Data\Original Edat Files\SP-R_RB_Mid-35-1.edat2,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Mid,35,1,,1,130,,1,6781
SP-R_RB_Mid,35,1,,2,130,,1,1545
SP-R_RB_Mid,35,1,,3,270,,0,422
SP-R_RB_Mid,35,1,,4,130,,1,1000
SP-R_RB_Mid,35,1,,5,270,,1,539
SP-R_RB_Mid,35,1,,6,130,,1,465
SP-R_RB_Mid,35,1,,7,270,,1,481
SP-R_RB_Mid,35,1,,8,270,,1,609
SP-R_RB_Mid,35,1,,9,130,,1,562
SP-R_RB_Mid,35,1,,10,270,,1,871
SP-R_RB_Mid,35,1,,11,270,,1,575
SP-R_RB_Mid,35,1,,12,270,,1,795
SP-R_RB_Mid,35,1,,13,130,,1,543
SP-R_RB_Mid,35,1,,14,270,,1,579
SP-R_RB_Mid,35,1,,15,130,,1,745
SP-R_RB_Mid,35,1,,16,130,,1,574
SP-R_RB_Mid,35,1,,17,130,,1,426
SP-R_RB_Mid,35,1,,18,130,,1,340
SP-R_RB_Mid,35,1,,19,270,,1,553
SP-R_RB_Mid,35,1,,20,270,,1,518
SP-R_RB_Mid,35,2,,1,100,,0,1435
SP-R_RB_Mid,35,2,,2,150,,0,948
SP-R_RB_Mid,35,2,,3,120,,0,458
SP-R_RB_Mid,35,2,,4,230,,1,522
SP-R_RB_Mid,35,2,,5,230,,1,1184
SP-R_RB_Mid,35,2,,6,100,,0,492
SP-R_RB_Mid,35,2,,7,140,,0,515
SP-R_RB_Mid,35,2,,8,210,,1,498
SP-R_RB_Mid,35,2,,9,150,,0,473
SP-R_RB_Mid,35,2,,10,80,,0,505
SP-R_RB_Mid,35,2,,11,60,,0,799
SP-R_RB_Mid,35,2,,12,130,,0,643
SP-R_RB_Mid,35,2,,13,180,,1,733
SP-R_RB_Mid,35,2,,14,220,,1,491
SP-R_RB_Mid,35,2,,15,90,,0,849
SP-R_RB_Mid,35,2,,16,170,,1,667
SP-R_RB_Mid,35,2,,17,70,,0,915
SP-R_RB_Mid,35,2,,18,170,,1,849
SP-R_RB_Mid,35,2,,19,110,,0,730
SP-R_RB_Mid,35,2,,20,190,,1,1672
SP-R_RB_Mid,35,2,,21,130,,0,592
SP-R_RB_Mid,35,2,,22,220,,1,547
SP-R_RB_Mid,35,2,,23,190,,1,913
SP-R_RB_Mid,35,2,,24,180,,1,839
SP-R_RB_Mid,35,2,,25,120,,0,849
SP-R_RB_Mid,35,2,,26,160,,0,2394
SP-R_RB_Mid,35,2,,27,240,,1,533
SP-R_RB_Mid,35,2,,28,200,,1,1067
SP-R_RB_Mid,35,2,,29,110,,0,491
SP-R_RB_Mid,35,2,,30,80,,0,450
SP-R_RB_Mid,35,2,,31,90,,0,435
SP-R_RB_Mid,35,2,,32,240,,1,484
SP-R_RB_Mid,35,2,,33,200,,1,491
SP-R_RB_Mid,35,2,,34,160,,1,579
SP-R_RB_Mid,35,2,,35,210,,0,550
