C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_LB_Close-57-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Close,57,1,,1,30,,0,3451
SP-R_LB_Close,57,1,,2,170,,1,4687
SP-R_LB_Close,57,1,,3,170,,1,1300
SP-R_LB_Close,57,1,,4,30,,1,782
SP-R_LB_Close,57,1,,5,170,,1,836
SP-R_LB_Close,57,1,,6,170,,1,548
SP-R_LB_Close,57,1,,7,30,,1,485
SP-R_LB_Close,57,1,,8,170,,1,548
SP-R_LB_Close,57,1,,9,30,,1,567
SP-R_LB_Close,57,1,,10,30,,1,559
SP-R_LB_Close,57,1,,11,170,,1,519
SP-R_LB_Close,57,1,,12,30,,1,677
SP-R_LB_Close,57,1,,13,170,,1,407
SP-R_LB_Close,57,1,,14,170,,1,479
SP-R_LB_Close,57,1,,15,30,,1,551
SP-R_LB_Close,57,1,,16,170,,1,460
SP-R_LB_Close,57,1,,17,30,,1,798
SP-R_LB_Close,57,1,,18,170,,1,455
SP-R_LB_Close,57,1,,19,30,,1,601
SP-R_LB_Close,57,1,,20,30,,1,890
SP-R_LB_Close,57,2,,1,190,,1,2986
SP-R_LB_Close,57,2,,2,160,,1,470
SP-R_LB_Close,57,2,,3,180,,1,341
SP-R_LB_Close,57,2,,4,240,,1,2877
SP-R_LB_Close,57,2,,5,90,,0,978
SP-R_LB_Close,57,2,,6,230,,1,1084
SP-R_LB_Close,57,2,,7,90,,0,612
SP-R_LB_Close,57,2,,8,210,,1,1748
SP-R_LB_Close,57,2,,9,230,,1,497
SP-R_LB_Close,57,2,,10,170,,1,1892
SP-R_LB_Close,57,2,,11,220,,1,815
SP-R_LB_Close,57,2,,12,100,,0,983
SP-R_LB_Close,57,2,,13,110,,0,484
SP-R_LB_Close,57,2,,14,140,,0,2151
SP-R_LB_Close,57,2,,15,170,,0,803
SP-R_LB_Close,57,2,,16,150,,0,471
SP-R_LB_Close,57,2,,17,70,,0,778
SP-R_LB_Close,57,2,,18,190,,1,613
SP-R_LB_Close,57,2,,19,240,,1,594
SP-R_LB_Close,57,2,,20,200,,1,411
SP-R_LB_Close,57,2,,21,140,,0,622
SP-R_LB_Close,57,2,,22,210,,1,506
SP-R_LB_Close,57,2,,23,70,,0,559
SP-R_LB_Close,57,2,,24,160,,0,830
SP-R_LB_Close,57,2,,25,80,,0,443
SP-R_LB_Close,57,2,,26,180,,0,471
SP-R_LB_Close,57,2,,27,60,,0,310
SP-R_LB_Close,57,2,,28,130,,0,443
SP-R_LB_Close,57,2,,29,120,,0,311
SP-R_LB_Close,57,2,,30,60,,0,340
SP-R_LB_Close,57,2,,31,200,,0,311
SP-R_LB_Close,57,2,,32,150,,0,756
SP-R_LB_Close,57,2,,33,220,,1,440
SP-R_LB_Close,57,2,,34,110,,0,448
SP-R_LB_Close,57,2,,35,100,,0,520
SP-R_LB_Close,57,2,,36,120,,0,495
SP-R_LB_Close,57,2,,37,80,,0,484
SP-R_LB_Close,57,2,,38,130,,0,468
SP-R_LB_Close,57,3,150.bmp,,,,,
SP-R_LB_Close,57,4,,1,81,,1,1491
SP-R_LB_Close,57,4,,2,199,,1,1705
SP-R_LB_Close,57,4,,3,234,,1,1396
SP-R_LB_Close,57,4,,4,62,,0,1470
SP-R_LB_Close,57,4,,5,86,,0,1742
SP-R_LB_Close,57,4,,6,168,,0,4017
SP-R_LB_Close,57,4,,7,284,,1,1574
SP-R_LB_Close,57,4,,8,1,,0,3403
SP-R_LB_Close,57,4,,9,258,,1,1758
SP-R_LB_Close,57,4,,10,235,,1,1410
SP-R_LB_Close,57,4,,11,209,,1,651
SP-R_LB_Close,57,4,,12,211,,1,2803
SP-R_LB_Close,57,4,,13,278,,1,1628
SP-R_LB_Close,57,4,,14,101,,0,2208
SP-R_LB_Close,57,4,,15,249,,1,643
SP-R_LB_Close,57,4,,16,243,,1,836
SP-R_LB_Close,57,4,,17,286,,1,633
SP-R_LB_Close,57,4,,18,256,,1,1725
SP-R_LB_Close,57,4,,19,30,,0,1029
SP-R_LB_Close,57,4,,20,247,,1,701
SP-R_LB_Close,57,4,,21,251,,1,2251
SP-R_LB_Close,57,4,,22,127,,0,1658
SP-R_LB_Close,57,4,,23,194,,1,1969
SP-R_LB_Close,57,4,,24,262,,1,851
SP-R_LB_Close,57,4,,25,112,,0,634
SP-R_LB_Close,57,4,,26,229,,1,516
SP-R_LB_Close,57,4,,27,219,,1,454
SP-R_LB_Close,57,4,,28,202,,1,372
SP-R_LB_Close,57,4,,29,59,,0,639
SP-R_LB_Close,57,4,,30,34,,0,470
SP-R_LB_Close,57,4,,31,141,,0,825
SP-R_LB_Close,57,4,,32,173,,0,584
SP-R_LB_Close,57,4,,33,265,,1,505
SP-R_LB_Close,57,4,,34,49,,0,472
SP-R_LB_Close,57,4,,35,18,,0,689
SP-R_LB_Close,57,4,,36,44,,0,699
SP-R_LB_Close,57,4,,37,244,,1,766
SP-R_LB_Close,57,4,,38,270,,1,602
SP-R_LB_Close,57,4,,39,124,,0,616
SP-R_LB_Close,57,4,,40,161,,0,276
SP-R_LB_Close,57,4,,41,299,,0,240
SP-R_LB_Close,57,4,,42,25,,0,667
SP-R_LB_Close,57,4,,43,214,,1,526
SP-R_LB_Close,57,4,,44,106,,0,859
SP-R_LB_Close,57,4,,45,267,,1,850
SP-R_LB_Close,57,4,,46,133,,0,883
SP-R_LB_Close,57,4,,47,129,,0,432
SP-R_LB_Close,57,4,,48,109,,0,420
SP-R_LB_Close,57,4,,49,189,,1,611
SP-R_LB_Close,57,4,,50,182,,1,680
SP-R_LB_Close,57,4,,51,21,,0,521
SP-R_LB_Close,57,4,,52,233,,1,569
SP-R_LB_Close,57,4,,53,145,,0,801
SP-R_LB_Close,57,4,,54,75,,0,453
SP-R_LB_Close,57,4,,55,128,,0,362
SP-R_LB_Close,57,4,,56,16,,0,1938
SP-R_LB_Close,57,4,,57,287,,1,683
SP-R_LB_Close,57,4,,58,96,,0,1127
SP-R_LB_Close,57,4,,59,295,,1,810
SP-R_LB_Close,57,4,,60,87,,0,619
SP-R_LB_Close,57,4,,61,205,,0,870
SP-R_LB_Close,57,4,,62,78,,0,2777
SP-R_LB_Close,57,4,,63,215,,1,916
SP-R_LB_Close,57,4,,64,285,,1,584
SP-R_LB_Close,57,4,,65,172,,0,740
SP-R_LB_Close,57,4,,66,64,,0,1803
SP-R_LB_Close,57,4,,67,144,,0,966
SP-R_LB_Close,57,4,,68,104,,0,1254
SP-R_LB_Close,57,4,,69,164,,0,901
SP-R_LB_Close,57,4,,70,11,,0,870
SP-R_LB_Close,57,4,,71,228,,1,851
SP-R_LB_Close,57,4,,72,28,,0,666
SP-R_LB_Close,57,4,,73,152,,0,959
SP-R_LB_Close,57,4,,74,246,,0,1183
SP-R_LB_Close,57,4,,75,154,,1,1680
SP-R_LB_Close,57,4,,76,80,,0,938
SP-R_LB_Close,57,4,,77,48,,0,490
SP-R_LB_Close,57,4,,78,259,,1,576
SP-R_LB_Close,57,4,,79,19,,0,548
SP-R_LB_Close,57,4,,80,261,,1,602
SP-R_LB_Close,57,4,,81,250,,1,627
SP-R_LB_Close,57,4,,82,47,,0,454
SP-R_LB_Close,57,4,,83,149,,0,515
SP-R_LB_Close,57,4,,84,196,,1,551
SP-R_LB_Close,57,4,,85,72,,1,604
SP-R_LB_Close,57,4,,86,188,,1,1599
SP-R_LB_Close,57,4,,87,31,,0,1271
SP-R_LB_Close,57,4,,88,155,,1,4826
SP-R_LB_Close,57,4,,89,8,,0,957
SP-R_LB_Close,57,4,,90,70,,0,400
SP-R_LB_Close,57,4,,91,195,,0,840
SP-R_LB_Close,57,4,,92,79,,0,466
SP-R_LB_Close,57,4,,93,298,,1,683
SP-R_LB_Close,57,4,,94,92,,0,607
SP-R_LB_Close,57,4,,95,20,,0,712
SP-R_LB_Close,57,4,,96,273,,1,550
SP-R_LB_Close,57,4,,97,216,,1,531
SP-R_LB_Close,57,4,,98,111,,1,582
SP-R_LB_Close,57,4,,99,236,,1,4491
SP-R_LB_Close,57,4,,100,179,,1,1210
SP-R_LB_Close,57,4,,101,184,,1,592
SP-R_LB_Close,57,4,,102,42,,0,844
SP-R_LB_Close,57,4,,103,119,,0,1171
SP-R_LB_Close,57,4,,104,105,,0,794
SP-R_LB_Close,57,4,,105,210,,1,547
SP-R_LB_Close,57,4,,106,176,,1,760
SP-R_LB_Close,57,4,,107,12,,0,614
SP-R_LB_Close,57,4,,108,24,,0,1199
SP-R_LB_Close,57,4,,109,50,,0,529
SP-R_LB_Close,57,4,,110,175,,0,710
SP-R_LB_Close,57,4,,111,296,,1,639
SP-R_LB_Close,57,4,,112,223,,1,610
SP-R_LB_Close,57,4,,113,174,,0,639
SP-R_LB_Close,57,4,,114,102,,0,762
SP-R_LB_Close,57,4,,115,178,,0,718
SP-R_LB_Close,57,4,,116,40,,0,869
SP-R_LB_Close,57,4,,117,206,,0,1423
SP-R_LB_Close,57,4,,118,63,,0,471
SP-R_LB_Close,57,4,,119,292,,1,486
SP-R_LB_Close,57,4,,120,116,,0,818
SP-R_LB_Close,57,4,,121,122,,0,682
SP-R_LB_Close,57,4,,122,218,,1,636
SP-R_LB_Close,57,4,,123,35,,0,483
SP-R_LB_Close,57,4,,124,277,,1,742
SP-R_LB_Close,57,4,,125,85,,0,510
SP-R_LB_Close,57,4,,126,230,,1,549
SP-R_LB_Close,57,4,,127,237,,1,572
SP-R_LB_Close,57,4,,128,167,,1,413
SP-R_LB_Close,57,4,,129,282,,1,806
SP-R_LB_Close,57,4,,130,107,,0,509
SP-R_LB_Close,57,4,,131,160,,0,503
SP-R_LB_Close,57,4,,132,181,,0,614
SP-R_LB_Close,57,4,,133,294,,1,577
SP-R_LB_Close,57,4,,134,272,,1,627
SP-R_LB_Close,57,4,,135,7,,0,392
SP-R_LB_Close,57,4,,136,142,,0,505
SP-R_LB_Close,57,4,,137,17,,0,472
SP-R_LB_Close,57,4,,138,5,,0,452
SP-R_LB_Close,57,4,,139,248,,1,507
SP-R_LB_Close,57,4,,140,83,,0,470
SP-R_LB_Close,57,4,,141,183,,1,549
SP-R_LB_Close,57,4,,142,56,,0,362
SP-R_LB_Close,57,4,,143,169,,0,450
SP-R_LB_Close,57,4,,144,254,,1,478
SP-R_LB_Close,57,4,,145,61,,0,469
SP-R_LB_Close,57,4,,146,240,,1,415
SP-R_LB_Close,57,4,,147,137,,0,531
SP-R_LB_Close,57,4,,148,224,,1,575
SP-R_LB_Close,57,4,,149,245,,1,463
SP-R_LB_Close,57,4,,150,68,,0,369
SP-R_LB_Close,57,4,,151,37,,0,470
SP-R_LB_Close,57,4,,152,153,,0,657
SP-R_LB_Close,57,4,,153,57,,0,424
SP-R_LB_Close,57,4,,154,271,,1,510
SP-R_LB_Close,57,4,,155,4,,0,483
SP-R_LB_Close,57,4,,156,165,,0,780
SP-R_LB_Close,57,4,,157,238,,1,596
SP-R_LB_Close,57,4,,158,97,,0,611
SP-R_LB_Close,57,4,,159,136,,0,566
SP-R_LB_Close,57,4,,160,89,,0,492
SP-R_LB_Close,57,4,,161,157,,0,579
SP-R_LB_Close,57,4,,162,293,,1,618
SP-R_LB_Close,57,4,,163,60,,0,472
SP-R_LB_Close,57,4,,164,260,,1,550
SP-R_LB_Close,57,4,,165,82,,0,524
SP-R_LB_Close,57,4,,166,232,,1,567
SP-R_LB_Close,57,4,,167,200,,1,878
SP-R_LB_Close,57,4,,168,201,,1,593
SP-R_LB_Close,57,4,,169,15,,0,550
SP-R_LB_Close,57,4,,170,139,,0,838
SP-R_LB_Close,57,4,,171,53,,0,537
SP-R_LB_Close,57,4,,172,45,,0,516
SP-R_LB_Close,57,4,,173,74,,0,489
SP-R_LB_Close,57,4,,174,158,,0,489
SP-R_LB_Close,57,4,,175,125,,0,585
SP-R_LB_Close,57,4,,176,274,,1,542
SP-R_LB_Close,57,4,,177,239,,1,500
SP-R_LB_Close,57,4,,178,266,,1,628
SP-R_LB_Close,57,4,,179,156,,0,550
SP-R_LB_Close,57,4,,180,130,,0,375
SP-R_LB_Close,57,4,,181,29,,0,368
SP-R_LB_Close,57,4,,182,22,,0,404
SP-R_LB_Close,57,4,,183,198,,0,318
SP-R_LB_Close,57,4,,184,26,,0,427
SP-R_LB_Close,57,4,,185,150,,0,417
SP-R_LB_Close,57,4,,186,77,,0,338
SP-R_LB_Close,57,4,,187,255,,1,440
SP-R_LB_Close,57,4,,188,281,,1,473
SP-R_LB_Close,57,4,,189,242,,1,450
SP-R_LB_Close,57,4,,190,226,,1,408
SP-R_LB_Close,57,4,,191,98,,0,653
SP-R_LB_Close,57,4,,192,39,,0,444
SP-R_LB_Close,57,4,,193,197,,1,512
SP-R_LB_Close,57,4,,194,192,,1,542
SP-R_LB_Close,57,4,,195,263,,1,515
SP-R_LB_Close,57,4,,196,118,,1,606
SP-R_LB_Close,57,4,,197,67,,0,755
SP-R_LB_Close,57,4,,198,288,,1,566
SP-R_LB_Close,57,4,,199,115,,0,681
SP-R_LB_Close,57,4,,200,113,,0,682
SP-R_LB_Close,57,4,,201,191,,0,890
SP-R_LB_Close,57,4,,202,76,,0,539
SP-R_LB_Close,57,4,,203,6,,0,507
SP-R_LB_Close,57,4,,204,132,,0,528
SP-R_LB_Close,57,4,,205,257,,1,575
SP-R_LB_Close,57,4,,206,123,,0,475
SP-R_LB_Close,57,4,,207,177,,0,678
SP-R_LB_Close,57,4,,208,171,,0,586
SP-R_LB_Close,57,4,,209,134,,0,393
SP-R_LB_Close,57,4,,210,126,,0,432
SP-R_LB_Close,57,4,,211,147,,0,438
SP-R_LB_Close,57,4,,212,108,,0,439
SP-R_LB_Close,57,4,,213,231,,1,562
SP-R_LB_Close,57,4,,214,279,,1,456
SP-R_LB_Close,57,4,,215,103,,0,452
SP-R_LB_Close,57,4,,216,203,,1,581
SP-R_LB_Close,57,4,,217,222,,1,490
SP-R_LB_Close,57,4,,218,54,,0,452
SP-R_LB_Close,57,4,,219,146,,0,598
SP-R_LB_Close,57,4,,220,268,,1,554
SP-R_LB_Close,57,4,,221,207,,1,2078
SP-R_LB_Close,57,4,,222,276,,1,677
SP-R_LB_Close,57,4,,223,46,,0,433
SP-R_LB_Close,57,4,,224,151,,0,804
SP-R_LB_Close,57,4,,225,204,,1,592
SP-R_LB_Close,57,4,,226,3,,0,410
SP-R_LB_Close,57,4,,227,213,,1,450
SP-R_LB_Close,57,4,,228,0,,0,467
SP-R_LB_Close,57,4,,229,120,,0,772
SP-R_LB_Close,57,4,,230,88,,0,557
SP-R_LB_Close,57,4,,231,159,,0,620
SP-R_LB_Close,57,4,,232,143,,0,614
SP-R_LB_Close,57,4,,233,23,,0,470
SP-R_LB_Close,57,4,,234,220,,1,662
SP-R_LB_Close,57,4,,235,90,,0,423
SP-R_LB_Close,57,4,,236,283,,1,537
SP-R_LB_Close,57,4,,237,297,,1,436
SP-R_LB_Close,57,4,,238,190,,0,484
SP-R_LB_Close,57,4,,239,55,,0,597
SP-R_LB_Close,57,4,,240,208,,1,558
SP-R_LB_Close,57,4,,241,185,,0,787
SP-R_LB_Close,57,4,,242,291,,1,528
SP-R_LB_Close,57,4,,243,131,,0,522
SP-R_LB_Close,57,4,,244,110,,0,420
SP-R_LB_Close,57,4,,245,186,,0,754
SP-R_LB_Close,57,4,,246,253,,1,561
SP-R_LB_Close,57,4,,247,225,,1,525
SP-R_LB_Close,57,4,,248,275,,1,540
SP-R_LB_Close,57,4,,249,69,,0,462
SP-R_LB_Close,57,4,,250,140,,0,628
SP-R_LB_Close,57,4,,251,65,,0,412
SP-R_LB_Close,57,4,,252,14,,0,445
SP-R_LB_Close,57,4,,253,217,,1,540
SP-R_LB_Close,57,4,,254,170,,0,618
SP-R_LB_Close,57,4,,255,135,,0,503
SP-R_LB_Close,57,4,,256,227,,1,553
SP-R_LB_Close,57,4,,257,10,,0,644
SP-R_LB_Close,57,4,,258,43,,0,513
SP-R_LB_Close,57,4,,259,221,,1,729
SP-R_LB_Close,57,4,,260,290,,1,556
SP-R_LB_Close,57,4,,261,163,,0,580
SP-R_LB_Close,57,4,,262,94,,0,428
SP-R_LB_Close,57,4,,263,289,,1,529
SP-R_LB_Close,57,4,,264,180,,0,582
