C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_LB_Close-9-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Close,9,1,,1,170,,1,5982
SP-R_LB_Close,9,1,,2,30,,1,2089
SP-R_LB_Close,9,1,,3,170,,1,2335
SP-R_LB_Close,9,1,,4,170,,1,1002
SP-R_LB_Close,9,1,,5,30,,1,746
SP-R_LB_Close,9,1,,6,170,,1,2310
SP-R_LB_Close,9,1,,7,30,,1,604
SP-R_LB_Close,9,1,,8,170,,1,574
SP-R_LB_Close,9,1,,9,170,,0,1353
SP-R_LB_Close,9,1,,10,170,,1,2510
SP-R_LB_Close,9,1,,11,30,,1,985
SP-R_LB_Close,9,1,,12,30,,1,666
SP-R_LB_Close,9,1,,13,30,,1,662
SP-R_LB_Close,9,1,,14,30,,1,564
SP-R_LB_Close,9,1,,15,170,,1,522
SP-R_LB_Close,9,1,,16,30,,1,507
SP-R_LB_Close,9,1,,17,30,,1,555
SP-R_LB_Close,9,1,,18,170,,1,508
SP-R_LB_Close,9,1,,19,30,,1,634
SP-R_LB_Close,9,1,,20,170,,1,655
SP-R_LB_Close,9,2,,1,90,,1,6233
SP-R_LB_Close,9,2,,2,100,,0,2183
SP-R_LB_Close,9,2,,3,80,,0,957
SP-R_LB_Close,9,2,,4,220,,1,1260
SP-R_LB_Close,9,2,,5,190,,1,1175
SP-R_LB_Close,9,2,,6,180,,1,1059
SP-R_LB_Close,9,2,,7,210,,1,628
SP-R_LB_Close,9,2,,8,110,,0,577
SP-R_LB_Close,9,2,,9,230,,1,741
SP-R_LB_Close,9,2,,10,160,,1,1257
SP-R_LB_Close,9,2,,11,150,,1,836
SP-R_LB_Close,9,2,,12,90,,0,808
SP-R_LB_Close,9,2,,13,110,,0,808
SP-R_LB_Close,9,2,,14,120,,0,1848
SP-R_LB_Close,9,2,,15,170,,1,905
SP-R_LB_Close,9,2,,16,120,,1,3276
SP-R_LB_Close,9,2,,17,220,,1,894
SP-R_LB_Close,9,2,,18,130,,1,1024
SP-R_LB_Close,9,2,,19,60,,0,669
SP-R_LB_Close,9,2,,20,100,,0,609
SP-R_LB_Close,9,2,,21,170,,1,938
SP-R_LB_Close,9,2,,22,240,,1,614
SP-R_LB_Close,9,2,,23,180,,1,559
SP-R_LB_Close,9,2,,24,230,,1,512
SP-R_LB_Close,9,2,,25,60,,0,581
SP-R_LB_Close,9,2,,26,210,,1,1129
SP-R_LB_Close,9,2,,27,140,,1,2312
SP-R_LB_Close,9,2,,28,190,,1,1015
SP-R_LB_Close,9,2,,29,130,,0,1072
SP-R_LB_Close,9,2,,30,140,,0,597
SP-R_LB_Close,9,2,,31,150,,0,637
SP-R_LB_Close,9,2,,32,160,,1,2061
SP-R_LB_Close,9,2,,33,200,,1,630
SP-R_LB_Close,9,2,,34,70,,0,1158
SP-R_LB_Close,9,2,,35,240,,1,1373
SP-R_LB_Close,9,2,,36,80,,0,639
SP-R_LB_Close,9,2,,37,200,,1,1551
SP-R_LB_Close,9,2,,38,70,,0,838
SP-R_LB_Close,9,3,0.bmp,,,,,
SP-R_LB_Close,9,4,,1,165,,1,3195
SP-R_LB_Close,9,4,,2,237,,1,2193
SP-R_LB_Close,9,4,,3,199,,1,1106
SP-R_LB_Close,9,4,,4,115,,0,1046
SP-R_LB_Close,9,4,,5,296,,1,1298
SP-R_LB_Close,9,4,,6,220,,1,804
SP-R_LB_Close,9,4,,7,279,,1,953
SP-R_LB_Close,9,4,,8,13,,0,969
SP-R_LB_Close,9,4,,9,147,,0,1353
SP-R_LB_Close,9,4,,10,248,,1,1858
SP-R_LB_Close,9,4,,11,140,,0,2095
SP-R_LB_Close,9,4,,12,174,,1,2676
SP-R_LB_Close,9,4,,13,51,,0,718
SP-R_LB_Close,9,4,,14,22,,0,2013
SP-R_LB_Close,9,4,,15,282,,1,708
SP-R_LB_Close,9,4,,16,26,,0,589
SP-R_LB_Close,9,4,,17,102,,0,1370
SP-R_LB_Close,9,4,,18,189,,1,805
SP-R_LB_Close,9,4,,19,47,,0,557
SP-R_LB_Close,9,4,,20,136,,0,3607
SP-R_LB_Close,9,4,,21,229,,1,1591
SP-R_LB_Close,9,4,,22,72,,0,838
SP-R_LB_Close,9,4,,23,235,,1,1986
SP-R_LB_Close,9,4,,24,137,,1,2166
SP-R_LB_Close,9,4,,25,42,,0,556
SP-R_LB_Close,9,4,,26,238,,1,716
SP-R_LB_Close,9,4,,27,60,,0,565
SP-R_LB_Close,9,4,,28,125,,1,2566
SP-R_LB_Close,9,4,,29,5,,0,2694
SP-R_LB_Close,9,4,,30,87,,0,3231
SP-R_LB_Close,9,4,,31,222,,1,1560
SP-R_LB_Close,9,4,,32,73,,0,665
SP-R_LB_Close,9,4,,33,298,,1,594
SP-R_LB_Close,9,4,,34,297,,1,543
SP-R_LB_Close,9,4,,35,156,,0,2439
SP-R_LB_Close,9,4,,36,170,,0,678
SP-R_LB_Close,9,4,,37,293,,1,712
