C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-R_LB_Control-90-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Control,90,1,,1,30,,1,6144
SP-R_LB_Control,90,1,,2,30,,1,2742
SP-R_LB_Control,90,1,,3,30,,1,1360
SP-R_LB_Control,90,1,,4,170,,1,2070
SP-R_LB_Control,90,1,,5,170,,1,820
SP-R_LB_Control,90,1,,6,170,,1,1066
SP-R_LB_Control,90,1,,7,30,,1,4452
SP-R_LB_Control,90,1,,8,170,,1,1186
SP-R_LB_Control,90,1,,9,30,,1,917
SP-R_LB_Control,90,1,,10,170,,1,1132
SP-R_LB_Control,90,1,,11,170,,1,799
SP-R_LB_Control,90,1,,12,30,,1,554
SP-R_LB_Control,90,1,,13,30,,1,574
SP-R_LB_Control,90,1,,14,170,,1,1041
SP-R_LB_Control,90,1,,15,170,,1,704
SP-R_LB_Control,90,1,,16,170,,1,760
SP-R_LB_Control,90,1,,17,30,,1,793
SP-R_LB_Control,90,1,,18,30,,1,475
SP-R_LB_Control,90,1,,19,170,,1,474
SP-R_LB_Control,90,1,,20,30,,1,961
SP-R_LB_Control,90,2,,1,180,,1,1896
SP-R_LB_Control,90,2,,2,230,,1,1673
SP-R_LB_Control,90,2,,3,60,,0,1185
SP-R_LB_Control,90,2,,4,100,,0,10586
SP-R_LB_Control,90,2,,5,170,,1,819
SP-R_LB_Control,90,2,,6,240,,1,857
SP-R_LB_Control,90,2,,7,240,,1,588
SP-R_LB_Control,90,2,,8,170,,1,2765
SP-R_LB_Control,90,2,,9,220,,1,639
SP-R_LB_Control,90,2,,10,180,,1,839
SP-R_LB_Control,90,2,,11,130,,0,11656
SP-R_LB_Control,90,2,,12,90,,0,1030
SP-R_LB_Control,90,2,,13,120,,0,4778
SP-R_LB_Control,90,2,,14,200,,1,624
SP-R_LB_Control,90,2,,15,160,,1,442
SP-R_LB_Control,90,2,,16,90,,0,1498
SP-R_LB_Control,90,2,,17,110,,0,562
SP-R_LB_Control,90,2,,18,150,,1,2233
SP-R_LB_Control,90,2,,19,220,,1,509
SP-R_LB_Control,90,2,,20,190,,1,520
SP-R_LB_Control,90,2,,21,210,,1,390
SP-R_LB_Control,90,2,,22,70,,0,1106
SP-R_LB_Control,90,2,,23,70,,0,445
SP-R_LB_Control,90,2,,24,140,,0,4306
SP-R_LB_Control,90,2,,25,80,,0,803
SP-R_LB_Control,90,2,,26,160,,1,4067
