C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_LB_Dead-26-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Dead,26,1,,1,30,,0,2893
SP-R_LB_Dead,26,1,,2,30,,1,785
SP-R_LB_Dead,26,1,,3,170,,1,813
SP-R_LB_Dead,26,1,,4,30,,1,540
SP-R_LB_Dead,26,1,,5,30,,1,698
SP-R_LB_Dead,26,1,,6,30,,1,827
SP-R_LB_Dead,26,1,,7,170,,1,503
SP-R_LB_Dead,26,1,,8,170,,1,626
SP-R_LB_Dead,26,1,,9,170,,1,369
SP-R_LB_Dead,26,1,,10,170,,1,339
SP-R_LB_Dead,26,1,,11,30,,0,327
SP-R_LB_Dead,26,1,,12,30,,1,517
SP-R_LB_Dead,26,1,,13,170,,1,349
SP-R_LB_Dead,26,1,,14,30,,1,397
SP-R_LB_Dead,26,1,,15,30,,1,319
SP-R_LB_Dead,26,1,,16,170,,1,415
SP-R_LB_Dead,26,1,,17,30,,1,419
SP-R_LB_Dead,26,1,,18,170,,1,408
SP-R_LB_Dead,26,1,,19,170,,1,971
SP-R_LB_Dead,26,1,,20,170,,1,415
SP-R_LB_Dead,26,2,,1,200,,1,2396
SP-R_LB_Dead,26,2,,2,230,,1,585
SP-R_LB_Dead,26,2,,3,70,,0,767
SP-R_LB_Dead,26,2,,4,60,,0,532
SP-R_LB_Dead,26,2,,5,130,,1,623
SP-R_LB_Dead,26,2,,6,100,,1,1511
SP-R_LB_Dead,26,2,,7,70,,1,588
SP-R_LB_Dead,26,2,,8,160,,1,587
SP-R_LB_Dead,26,2,,9,100,,1,675
SP-R_LB_Dead,26,2,,10,120,,1,437
SP-R_LB_Dead,26,2,,11,90,,0,797
SP-R_LB_Dead,26,2,,12,220,,1,738
SP-R_LB_Dead,26,2,,13,210,,1,383
SP-R_LB_Dead,26,2,,14,190,,1,335
SP-R_LB_Dead,26,2,,15,230,,1,387
SP-R_LB_Dead,26,2,,16,180,,1,332
SP-R_LB_Dead,26,2,,17,160,,1,645
SP-R_LB_Dead,26,2,,18,120,,0,694
SP-R_LB_Dead,26,2,,19,170,,1,779
SP-R_LB_Dead,26,2,,20,220,,1,644
SP-R_LB_Dead,26,2,,21,180,,1,373
SP-R_LB_Dead,26,2,,22,150,,0,942
SP-R_LB_Dead,26,2,,23,60,,0,575
SP-R_LB_Dead,26,2,,24,110,,0,667
SP-R_LB_Dead,26,2,,25,130,,0,522
SP-R_LB_Dead,26,2,,26,240,,1,434
SP-R_LB_Dead,26,2,,27,200,,1,299
SP-R_LB_Dead,26,2,,28,140,,0,624
SP-R_LB_Dead,26,2,,29,210,,1,514
SP-R_LB_Dead,26,2,,30,80,,0,534
SP-R_LB_Dead,26,2,,31,190,,1,418
SP-R_LB_Dead,26,2,,32,110,,0,425
SP-R_LB_Dead,26,2,,33,90,,0,528
SP-R_LB_Dead,26,2,,34,80,,0,354
SP-R_LB_Dead,26,2,,35,240,,1,424
SP-R_LB_Dead,26,2,,36,140,,0,514
SP-R_LB_Dead,26,2,,37,170,,1,587
SP-R_LB_Dead,26,2,,38,150,,1,677
SP-R_LB_Dead,26,3,110.bmp,,,,,
SP-R_LB_Dead,26,4,,1,32,,0,2460
SP-R_LB_Dead,26,4,,2,22,,0,1777
SP-R_LB_Dead,26,4,,3,121,,0,1351
SP-R_LB_Dead,26,4,,4,187,,1,913
SP-R_LB_Dead,26,4,,5,248,,1,904
