C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\Oringinal Edat Files\SP-R_LB_Far-104-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Far,104,1,,1,170,,0,6537
SP-R_LB_Far,104,1,,2,170,,1,1662
SP-R_LB_Far,104,1,,3,30,,0,1973
SP-R_LB_Far,104,1,,4,170,,0,1747
SP-R_LB_Far,104,1,,5,30,,1,2996
SP-R_LB_Far,104,1,,6,170,,0,3044
SP-R_LB_Far,104,1,,7,30,,0,3740
SP-R_LB_Far,104,1,,8,30,,1,1097
SP-R_LB_Far,104,1,,9,170,,0,1327
SP-R_LB_Far,104,1,,10,30,,1,13848
SP-R_LB_Far,104,1,,11,170,,1,2157
SP-R_LB_Far,104,1,,12,30,,1,1602
SP-R_LB_Far,104,1,,13,170,,1,1051
SP-R_LB_Far,104,1,,14,30,,1,808
SP-R_LB_Far,104,1,,15,170,,1,596
SP-R_LB_Far,104,1,,16,30,,1,899
SP-R_LB_Far,104,1,,17,170,,1,744
SP-R_LB_Far,104,1,,18,30,,1,572
SP-R_LB_Far,104,1,,19,170,,1,271
SP-R_LB_Far,104,1,,20,30,,1,477
SP-R_LB_Far,104,2,,1,70,,0,1261
SP-R_LB_Far,104,2,,2,90,,0,2549
SP-R_LB_Far,104,2,,3,200,,1,1098
SP-R_LB_Far,104,2,,4,120,,0,1447
SP-R_LB_Far,104,2,,5,60,,0,1890
SP-R_LB_Far,104,2,,6,220,,1,1465
SP-R_LB_Far,104,2,,7,240,,1,709
SP-R_LB_Far,104,2,,8,180,,1,1452
SP-R_LB_Far,104,2,,9,240,,1,768
SP-R_LB_Far,104,2,,10,190,,1,2351
SP-R_LB_Far,104,2,,11,160,,1,486
SP-R_LB_Far,104,2,,12,60,,0,1000
SP-R_LB_Far,104,2,,13,190,,1,520
SP-R_LB_Far,104,2,,14,110,,0,1569
SP-R_LB_Far,104,2,,15,80,,0,1321
SP-R_LB_Far,104,2,,16,210,,1,503
SP-R_LB_Far,104,2,,17,100,,0,605
SP-R_LB_Far,104,2,,18,230,,1,548
SP-R_LB_Far,104,2,,19,140,,1,4881
SP-R_LB_Far,104,2,,20,70,,0,1206
