C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\New folder\SP-R_LB_Far-12-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Far,12,1,,1,170,,1,12770
SP-R_LB_Far,12,1,,2,170,,1,2486
SP-R_LB_Far,12,1,,3,170,,1,1822
SP-R_LB_Far,12,1,,4,30,,0,4260
SP-R_LB_Far,12,1,,5,30,,1,1346
SP-R_LB_Far,12,1,,6,170,,1,2023
SP-R_LB_Far,12,1,,7,30,,1,596
SP-R_LB_Far,12,1,,8,170,,1,852
SP-R_LB_Far,12,1,,9,30,,1,839
SP-R_LB_Far,12,1,,10,30,,1,3383
SP-R_LB_Far,12,1,,11,170,,1,595
SP-R_LB_Far,12,1,,12,170,,1,532
SP-R_LB_Far,12,1,,13,30,,1,774
SP-R_LB_Far,12,1,,14,30,,1,714
SP-R_LB_Far,12,1,,15,170,,1,609
SP-R_LB_Far,12,1,,16,170,,1,580
SP-R_LB_Far,12,1,,17,170,,1,1185
SP-R_LB_Far,12,1,,18,30,,1,392
SP-R_LB_Far,12,1,,19,30,,1,956
SP-R_LB_Far,12,1,,20,30,,1,677
SP-R_LB_Far,12,2,,1,80,,0,3684
SP-R_LB_Far,12,2,,2,170,,1,757
SP-R_LB_Far,12,2,,3,150,,1,2236
SP-R_LB_Far,12,2,,4,110,,0,794
SP-R_LB_Far,12,2,,5,160,,1,3225
SP-R_LB_Far,12,2,,6,140,,1,702
SP-R_LB_Far,12,2,,7,60,,0,620
SP-R_LB_Far,12,2,,8,100,,0,999
SP-R_LB_Far,12,2,,9,180,,1,482
SP-R_LB_Far,12,2,,10,190,,1,705
SP-R_LB_Far,12,2,,11,240,,1,1169
SP-R_LB_Far,12,2,,12,90,,0,953
SP-R_LB_Far,12,2,,13,70,,0,583
SP-R_LB_Far,12,2,,14,150,,1,653
SP-R_LB_Far,12,2,,15,120,,0,2242
SP-R_LB_Far,12,2,,16,160,,1,1827
SP-R_LB_Far,12,2,,17,230,,1,610
SP-R_LB_Far,12,2,,18,240,,1,620
SP-R_LB_Far,12,2,,19,90,,0,602
SP-R_LB_Far,12,2,,20,220,,1,529
SP-R_LB_Far,12,2,,21,210,,1,476
SP-R_LB_Far,12,2,,22,60,,0,650
SP-R_LB_Far,12,2,,23,70,,0,495
SP-R_LB_Far,12,2,,24,140,,0,6593
SP-R_LB_Far,12,2,,25,230,,1,538
SP-R_LB_Far,12,2,,26,130,,0,660
SP-R_LB_Far,12,2,,27,170,,1,710
SP-R_LB_Far,12,2,,28,200,,1,677
SP-R_LB_Far,12,2,,29,80,,0,511
SP-R_LB_Far,12,2,,30,220,,1,516
SP-R_LB_Far,12,2,,31,100,,0,586
