C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_LB_Far-60-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Far,60,1,,1,30,,1,11301
SP-R_LB_Far,60,1,,2,170,,0,1573
SP-R_LB_Far,60,1,,3,170,,1,1718
SP-R_LB_Far,60,1,,4,30,,1,1079
SP-R_LB_Far,60,1,,5,170,,1,662
SP-R_LB_Far,60,1,,6,30,,1,675
SP-R_LB_Far,60,1,,7,170,,1,436
SP-R_LB_Far,60,1,,8,30,,1,885
SP-R_LB_Far,60,1,,9,30,,1,620
SP-R_LB_Far,60,1,,10,170,,1,431
SP-R_LB_Far,60,1,,11,30,,1,1547
SP-R_LB_Far,60,1,,12,170,,1,489
SP-R_LB_Far,60,1,,13,30,,1,683
SP-R_LB_Far,60,1,,14,170,,1,500
SP-R_LB_Far,60,1,,15,30,,1,367
SP-R_LB_Far,60,1,,16,30,,1,462
SP-R_LB_Far,60,1,,17,170,,1,420
SP-R_LB_Far,60,1,,18,170,,1,527
SP-R_LB_Far,60,1,,19,30,,1,449
SP-R_LB_Far,60,1,,20,170,,1,417
SP-R_LB_Far,60,2,,1,100,,0,1860
SP-R_LB_Far,60,2,,2,160,,1,487
SP-R_LB_Far,60,2,,3,120,,0,1077
SP-R_LB_Far,60,2,,4,210,,1,494
SP-R_LB_Far,60,2,,5,100,,0,480
SP-R_LB_Far,60,2,,6,170,,1,529
SP-R_LB_Far,60,2,,7,130,,0,1369
SP-R_LB_Far,60,2,,8,140,,0,809
SP-R_LB_Far,60,2,,9,130,,0,539
SP-R_LB_Far,60,2,,10,200,,1,535
SP-R_LB_Far,60,2,,11,230,,1,560
SP-R_LB_Far,60,2,,12,200,,1,400
SP-R_LB_Far,60,2,,13,90,,0,480
SP-R_LB_Far,60,2,,14,230,,1,448
SP-R_LB_Far,60,2,,15,80,,0,440
SP-R_LB_Far,60,2,,16,70,,0,610
SP-R_LB_Far,60,2,,17,190,,1,474
SP-R_LB_Far,60,2,,18,190,,1,565
SP-R_LB_Far,60,2,,19,70,,0,517
SP-R_LB_Far,60,2,,20,180,,1,527
SP-R_LB_Far,60,2,,21,210,,1,1047
SP-R_LB_Far,60,2,,22,140,,0,517
SP-R_LB_Far,60,2,,23,80,,0,847
SP-R_LB_Far,60,2,,24,220,,1,389
SP-R_LB_Far,60,2,,25,110,,0,517
SP-R_LB_Far,60,2,,26,240,,1,524
SP-R_LB_Far,60,2,,27,60,,0,599
SP-R_LB_Far,60,2,,28,150,,0,796
SP-R_LB_Far,60,2,,29,110,,0,603
SP-R_LB_Far,60,2,,30,90,,0,596
SP-R_LB_Far,60,2,,31,220,,1,509
SP-R_LB_Far,60,2,,32,180,,1,1248
SP-R_LB_Far,60,2,,33,150,,1,521
SP-R_LB_Far,60,2,,34,120,,0,602
SP-R_LB_Far,60,2,,35,240,,1,793
SP-R_LB_Far,60,2,,36,170,,1,1223
SP-R_LB_Far,60,2,,37,60,,0,473
SP-R_LB_Far,60,2,,38,160,,1,919
SP-R_LB_Far,60,3,70.bmp,,,,,
SP-R_LB_Far,60,4,,1,257,,1,3225
