C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_LB_Mid-75-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_LB_Mid,75,1,,1,30,,1,7937
SP-R_LB_Mid,75,1,,2,170,,0,1645
SP-R_LB_Mid,75,1,,3,170,,1,1851
SP-R_LB_Mid,75,1,,4,30,,1,1226
SP-R_LB_Mid,75,1,,5,170,,1,2459
SP-R_LB_Mid,75,1,,6,30,,1,899
SP-R_LB_Mid,75,1,,7,30,,1,820
SP-R_LB_Mid,75,1,,8,170,,1,1670
SP-R_LB_Mid,75,1,,9,170,,1,1599
SP-R_LB_Mid,75,1,,10,170,,1,978
SP-R_LB_Mid,75,1,,11,30,,1,484
SP-R_LB_Mid,75,1,,12,30,,0,927
SP-R_LB_Mid,75,1,,13,30,,1,780
SP-R_LB_Mid,75,1,,14,30,,1,576
SP-R_LB_Mid,75,1,,15,170,,1,646
SP-R_LB_Mid,75,1,,16,30,,1,334
SP-R_LB_Mid,75,1,,17,170,,1,328
SP-R_LB_Mid,75,1,,18,170,,1,530
SP-R_LB_Mid,75,1,,19,30,,1,636
SP-R_LB_Mid,75,1,,20,170,,1,321
SP-R_LB_Mid,75,2,,1,60,,0,1274
SP-R_LB_Mid,75,2,,2,110,,1,4379
SP-R_LB_Mid,75,2,,3,150,,1,1403
SP-R_LB_Mid,75,2,,4,120,,0,841
SP-R_LB_Mid,75,2,,5,150,,0,2417
SP-R_LB_Mid,75,2,,6,190,,1,780
SP-R_LB_Mid,75,2,,7,110,,0,530
SP-R_LB_Mid,75,2,,8,80,,0,1347
SP-R_LB_Mid,75,2,,9,160,,1,1006
SP-R_LB_Mid,75,2,,10,180,,1,566
SP-R_LB_Mid,75,2,,11,140,,1,551
SP-R_LB_Mid,75,2,,12,220,,1,967
SP-R_LB_Mid,75,2,,13,170,,1,648
SP-R_LB_Mid,75,2,,14,230,,1,812
SP-R_LB_Mid,75,2,,15,100,,0,725
SP-R_LB_Mid,75,2,,16,180,,1,622
SP-R_LB_Mid,75,2,,17,220,,1,981
SP-R_LB_Mid,75,2,,18,210,,1,441
SP-R_LB_Mid,75,2,,19,200,,1,382
SP-R_LB_Mid,75,2,,20,90,,0,501
SP-R_LB_Mid,75,2,,21,70,,0,294
SP-R_LB_Mid,75,2,,22,160,,1,558
SP-R_LB_Mid,75,2,,23,80,,0,1369
SP-R_LB_Mid,75,2,,24,170,,1,457
SP-R_LB_Mid,75,2,,25,230,,1,580
SP-R_LB_Mid,75,2,,26,130,,0,770
SP-R_LB_Mid,75,2,,27,240,,1,541
SP-R_LB_Mid,75,2,,28,200,,1,449
SP-R_LB_Mid,75,2,,29,140,,0,961
SP-R_LB_Mid,75,2,,30,60,,0,489
SP-R_LB_Mid,75,2,,31,130,,0,416
SP-R_LB_Mid,75,2,,32,100,,0,259
SP-R_LB_Mid,75,2,,33,120,,0,328
SP-R_LB_Mid,75,2,,34,210,,1,443
SP-R_LB_Mid,75,2,,35,90,,0,2522
SP-R_LB_Mid,75,2,,36,240,,1,393
SP-R_LB_Mid,75,2,,37,70,,0,429
SP-R_LB_Mid,75,2,,38,190,,1,673
SP-R_LB_Mid,75,3,107.bmp,,,,,
SP-R_LB_Mid,75,4,,1,185,,1,794
SP-R_LB_Mid,75,4,,2,24,,0,807
SP-R_LB_Mid,75,4,,3,257,,1,697
SP-R_LB_Mid,75,4,,4,145,,0,769
SP-R_LB_Mid,75,4,,5,5,,0,762
SP-R_LB_Mid,75,4,,6,235,,1,589
SP-R_LB_Mid,75,4,,7,167,,0,887
SP-R_LB_Mid,75,4,,8,30,,0,589
SP-R_LB_Mid,75,4,,9,2,,0,719
SP-R_LB_Mid,75,4,,10,143,,1,1059
SP-R_LB_Mid,75,4,,11,102,,0,568
SP-R_LB_Mid,75,4,,12,9,,0,669
SP-R_LB_Mid,75,4,,13,140,,1,1285
SP-R_LB_Mid,75,4,,14,202,,1,508
SP-R_LB_Mid,75,4,,15,190,,1,1106
SP-R_LB_Mid,75,4,,16,96,,0,450
SP-R_LB_Mid,75,4,,17,239,,1,1368
SP-R_LB_Mid,75,4,,18,227,,1,494
SP-R_LB_Mid,75,4,,19,164,,1,1211
SP-R_LB_Mid,75,4,,20,220,,1,564
SP-R_LB_Mid,75,4,,21,273,,1,881
SP-R_LB_Mid,75,4,,22,263,,1,816
SP-R_LB_Mid,75,4,,23,59,,0,466
SP-R_LB_Mid,75,4,,24,112,,0,658
SP-R_LB_Mid,75,4,,25,82,,0,445
SP-R_LB_Mid,75,4,,26,34,,0,407
SP-R_LB_Mid,75,4,,27,279,,1,462
SP-R_LB_Mid,75,4,,28,212,,1,1187
SP-R_LB_Mid,75,4,,29,135,,0,644
SP-R_LB_Mid,75,4,,30,120,,0,2180
SP-R_LB_Mid,75,4,,31,148,,0,1772
SP-R_LB_Mid,75,4,,32,150,,0,487
SP-R_LB_Mid,75,4,,33,13,,0,526
SP-R_LB_Mid,75,4,,34,194,,1,2484
SP-R_LB_Mid,75,4,,35,178,,1,1403
SP-R_LB_Mid,75,4,,36,66,,0,793
SP-R_LB_Mid,75,4,,37,144,,0,712
SP-R_LB_Mid,75,4,,38,151,,1,1366
SP-R_LB_Mid,75,4,,39,183,,1,5192
SP-R_LB_Mid,75,4,,40,203,,1,674
SP-R_LB_Mid,75,4,,41,180,,0,1161
SP-R_LB_Mid,75,4,,42,160,,0,1797
SP-R_LB_Mid,75,4,,43,106,,0,981
SP-R_LB_Mid,75,4,,44,282,,1,685
SP-R_LB_Mid,75,4,,45,32,,0,858
SP-R_LB_Mid,75,4,,46,210,,1,719
SP-R_LB_Mid,75,4,,47,275,,0,720
SP-R_LB_Mid,75,4,,48,64,,0,483
SP-R_LB_Mid,75,4,,49,214,,1,667
SP-R_LB_Mid,75,4,,50,10,,0,485
SP-R_LB_Mid,75,4,,51,287,,1,620
SP-R_LB_Mid,75,4,,52,215,,1,2792
SP-R_LB_Mid,75,4,,53,292,,1,787
SP-R_LB_Mid,75,4,,54,146,,0,835
SP-R_LB_Mid,75,4,,55,195,,1,634
SP-R_LB_Mid,75,4,,56,295,,1,610
SP-R_LB_Mid,75,4,,57,222,,1,589
SP-R_LB_Mid,75,4,,58,12,,0,455
SP-R_LB_Mid,75,4,,59,6,,0,478
SP-R_LB_Mid,75,4,,60,268,,1,1528
SP-R_LB_Mid,75,4,,61,132,,0,1343
SP-R_LB_Mid,75,4,,62,4,,0,426
SP-R_LB_Mid,75,4,,63,73,,0,575
SP-R_LB_Mid,75,4,,64,231,,1,442
SP-R_LB_Mid,75,4,,65,45,,0,3757
SP-R_LB_Mid,75,4,,66,206,,1,1647
SP-R_LB_Mid,75,4,,67,136,,1,1781
SP-R_LB_Mid,75,4,,68,130,,0,302
SP-R_LB_Mid,75,4,,69,201,,1,588
SP-R_LB_Mid,75,4,,70,77,,0,337
SP-R_LB_Mid,75,4,,71,23,,0,380
SP-R_LB_Mid,75,4,,72,42,,0,285
SP-R_LB_Mid,75,4,,73,152,,1,628
SP-R_LB_Mid,75,4,,74,211,,1,476
SP-R_LB_Mid,75,4,,75,115,,0,308
SP-R_LB_Mid,75,4,,76,1,,0,406
SP-R_LB_Mid,75,4,,77,262,,1,433
SP-R_LB_Mid,75,4,,78,15,,0,392
SP-R_LB_Mid,75,4,,79,36,,0,392
SP-R_LB_Mid,75,4,,80,300,,1,403
SP-R_LB_Mid,75,4,,81,293,,1,949
SP-R_LB_Mid,75,4,,82,126,,0,702
SP-R_LB_Mid,75,4,,83,166,,0,490
SP-R_LB_Mid,75,4,,84,197,,1,512
SP-R_LB_Mid,75,4,,85,165,,1,806
SP-R_LB_Mid,75,4,,86,99,,0,518
SP-R_LB_Mid,75,4,,87,50,,0,307
SP-R_LB_Mid,75,4,,88,114,,0,219
SP-R_LB_Mid,75,4,,89,40,,0,264
SP-R_LB_Mid,75,4,,90,228,,1,401
SP-R_LB_Mid,75,4,,91,265,,1,382
SP-R_LB_Mid,75,4,,92,137,,0,462
SP-R_LB_Mid,75,4,,93,26,,0,305
SP-R_LB_Mid,75,4,,94,124,,0,352
SP-R_LB_Mid,75,4,,95,154,,0,230
SP-R_LB_Mid,75,4,,96,92,,0,580
SP-R_LB_Mid,75,4,,97,198,,1,412
SP-R_LB_Mid,75,4,,98,272,,0,641
SP-R_LB_Mid,75,4,,99,83,,0,564
SP-R_LB_Mid,75,4,,100,134,,0,994
SP-R_LB_Mid,75,4,,101,20,,0,584
SP-R_LB_Mid,75,4,,102,255,,1,452
SP-R_LB_Mid,75,4,,103,280,,1,438
SP-R_LB_Mid,75,4,,104,138,,0,681
SP-R_LB_Mid,75,4,,105,65,,0,467
SP-R_LB_Mid,75,4,,106,207,,1,416
SP-R_LB_Mid,75,4,,107,223,,1,489
SP-R_LB_Mid,75,4,,108,271,,1,3640
SP-R_LB_Mid,75,4,,109,236,,1,401
SP-R_LB_Mid,75,4,,110,93,,0,374
SP-R_LB_Mid,75,4,,111,297,,1,704
SP-R_LB_Mid,75,4,,112,88,,0,437
SP-R_LB_Mid,75,4,,113,111,,0,217
SP-R_LB_Mid,75,4,,114,18,,0,423
SP-R_LB_Mid,75,4,,115,171,,1,441
SP-R_LB_Mid,75,4,,116,94,,1,473
SP-R_LB_Mid,75,4,,117,162,,0,790
SP-R_LB_Mid,75,4,,118,209,,1,478
SP-R_LB_Mid,75,4,,119,219,,1,581
SP-R_LB_Mid,75,4,,120,104,,0,469
SP-R_LB_Mid,75,4,,121,288,,1,469
SP-R_LB_Mid,75,4,,122,125,,0,541
SP-R_LB_Mid,75,4,,123,229,,1,1072
SP-R_LB_Mid,75,4,,124,101,,0,478
SP-R_LB_Mid,75,4,,125,286,,1,644
SP-R_LB_Mid,75,4,,126,131,,0,459
SP-R_LB_Mid,75,4,,127,170,,1,1526
SP-R_LB_Mid,75,4,,128,129,,1,434
SP-R_LB_Mid,75,4,,129,264,,1,2066
SP-R_LB_Mid,75,4,,130,290,,1,548
SP-R_LB_Mid,75,4,,131,127,,0,472
SP-R_LB_Mid,75,4,,132,44,,0,390
SP-R_LB_Mid,75,4,,133,57,,0,359
SP-R_LB_Mid,75,4,,134,22,,0,814
SP-R_LB_Mid,75,4,,135,3,,0,378
SP-R_LB_Mid,75,4,,136,37,,0,396
SP-R_LB_Mid,75,4,,137,139,,1,1339
SP-R_LB_Mid,75,4,,138,250,,1,708
SP-R_LB_Mid,75,4,,139,173,,1,1411
SP-R_LB_Mid,75,4,,140,189,,1,1021
SP-R_LB_Mid,75,4,,141,182,,1,422
SP-R_LB_Mid,75,4,,142,242,,0,774
SP-R_LB_Mid,75,4,,143,153,,1,940
SP-R_LB_Mid,75,4,,144,17,,0,644
SP-R_LB_Mid,75,4,,145,188,,1,540
SP-R_LB_Mid,75,4,,146,199,,1,693
SP-R_LB_Mid,75,4,,147,277,,1,667
SP-R_LB_Mid,75,4,,148,260,,1,450
SP-R_LB_Mid,75,4,,149,172,,1,498
SP-R_LB_Mid,75,4,,150,248,,1,404
SP-R_LB_Mid,75,4,,151,74,,0,726
SP-R_LB_Mid,75,4,,152,86,,0,1161
SP-R_LB_Mid,75,4,,153,60,,0,399
SP-R_LB_Mid,75,4,,154,256,,1,501
SP-R_LB_Mid,75,4,,155,238,,1,806
SP-R_LB_Mid,75,4,,156,58,,0,480
SP-R_LB_Mid,75,4,,157,19,,0,465
SP-R_LB_Mid,75,4,,158,38,,0,518
SP-R_LB_Mid,75,4,,159,52,,0,328
SP-R_LB_Mid,75,4,,160,110,,1,1184
SP-R_LB_Mid,75,4,,161,100,,0,630
SP-R_LB_Mid,75,4,,162,226,,1,515
SP-R_LB_Mid,75,4,,163,232,,1,707
SP-R_LB_Mid,75,4,,164,253,,1,601
SP-R_LB_Mid,75,4,,165,289,,1,502
SP-R_LB_Mid,75,4,,166,155,,1,703
SP-R_LB_Mid,75,4,,167,161,,1,489
SP-R_LB_Mid,75,4,,168,133,,1,504
SP-R_LB_Mid,75,4,,169,91,,0,855
SP-R_LB_Mid,75,4,,170,41,,0,852
SP-R_LB_Mid,75,4,,171,49,,0,584
SP-R_LB_Mid,75,4,,172,281,,1,584
SP-R_LB_Mid,75,4,,173,177,,1,726
SP-R_LB_Mid,75,4,,174,25,,0,3940
SP-R_LB_Mid,75,4,,175,84,,0,375
SP-R_LB_Mid,75,4,,176,116,,1,658
SP-R_LB_Mid,75,4,,177,249,,1,592
SP-R_LB_Mid,75,4,,178,233,,1,1187
SP-R_LB_Mid,75,4,,179,147,,1,1660
SP-R_LB_Mid,75,4,,180,31,,0,548
SP-R_LB_Mid,75,4,,181,168,,1,596
SP-R_LB_Mid,75,4,,182,267,,1,508
SP-R_LB_Mid,75,4,,183,193,,1,344
SP-R_LB_Mid,75,4,,184,128,,0,635
SP-R_LB_Mid,75,4,,185,187,,1,530
SP-R_LB_Mid,75,4,,186,261,,1,563
SP-R_LB_Mid,75,4,,187,234,,1,353
SP-R_LB_Mid,75,4,,188,157,,1,771
SP-R_LB_Mid,75,4,,189,254,,1,540
SP-R_LB_Mid,75,4,,190,72,,0,516
SP-R_LB_Mid,75,4,,191,142,,0,349
SP-R_LB_Mid,75,4,,192,122,,1,523
SP-R_LB_Mid,75,4,,193,79,,0,549
SP-R_LB_Mid,75,4,,194,46,,0,432
SP-R_LB_Mid,75,4,,195,28,,0,411
SP-R_LB_Mid,75,4,,196,89,,0,342
SP-R_LB_Mid,75,4,,197,163,,1,522
SP-R_LB_Mid,75,4,,198,294,,1,590
SP-R_LB_Mid,75,4,,199,29,,0,437
SP-R_LB_Mid,75,4,,200,85,,0,321
SP-R_LB_Mid,75,4,,201,270,,1,414
SP-R_LB_Mid,75,4,,202,285,,1,396
SP-R_LB_Mid,75,4,,203,109,,0,425
SP-R_LB_Mid,75,4,,204,204,,1,675
SP-R_LB_Mid,75,4,,205,181,,1,370
SP-R_LB_Mid,75,4,,206,39,,0,449
SP-R_LB_Mid,75,4,,207,244,,1,403
SP-R_LB_Mid,75,4,,208,269,,1,236
SP-R_LB_Mid,75,4,,209,107,,0,469
SP-R_LB_Mid,75,4,,210,80,,1,231
SP-R_LB_Mid,75,4,,211,179,,1,473
SP-R_LB_Mid,75,4,,212,118,,0,665
SP-R_LB_Mid,75,4,,213,61,,0,1525
SP-R_LB_Mid,75,4,,214,213,,1,354
SP-R_LB_Mid,75,4,,215,75,,0,659
SP-R_LB_Mid,75,4,,216,97,,0,441
SP-R_LB_Mid,75,4,,217,0,,0,507
SP-R_LB_Mid,75,4,,218,266,,1,505
SP-R_LB_Mid,75,4,,219,149,,0,445
SP-R_LB_Mid,75,4,,220,169,,1,453
SP-R_LB_Mid,75,4,,221,16,,0,587
SP-R_LB_Mid,75,4,,222,205,,1,461
SP-R_LB_Mid,75,4,,223,11,,0,464
SP-R_LB_Mid,75,4,,224,14,,0,492
SP-R_LB_Mid,75,4,,225,158,,1,399
SP-R_LB_Mid,75,4,,226,71,,1,528
SP-R_LB_Mid,75,4,,227,218,,1,494
SP-R_LB_Mid,75,4,,228,90,,0,402
SP-R_LB_Mid,75,4,,229,159,,1,897
SP-R_LB_Mid,75,4,,230,54,,0,1209
SP-R_LB_Mid,75,4,,231,47,,0,364
SP-R_LB_Mid,75,4,,232,68,,0,443
SP-R_LB_Mid,75,4,,233,123,,1,798
SP-R_LB_Mid,75,4,,234,259,,1,510
SP-R_LB_Mid,75,4,,235,251,,1,417
SP-R_LB_Mid,75,4,,236,191,,1,389
SP-R_LB_Mid,75,4,,237,105,,0,912
SP-R_LB_Mid,75,4,,238,174,,1,584
SP-R_LB_Mid,75,4,,239,298,,1,642
SP-R_LB_Mid,75,4,,240,217,,1,1090
SP-R_LB_Mid,75,4,,241,108,,0,437
SP-R_LB_Mid,75,4,,242,258,,1,488
SP-R_LB_Mid,75,4,,243,87,,1,573
SP-R_LB_Mid,75,4,,244,245,,1,404
SP-R_LB_Mid,75,4,,245,55,,0,1141
SP-R_LB_Mid,75,4,,246,69,,0,331
SP-R_LB_Mid,75,4,,247,175,,1,720
SP-R_LB_Mid,75,4,,248,186,,1,985
SP-R_LB_Mid,75,4,,249,274,,1,430
SP-R_LB_Mid,75,4,,250,184,,1,375
SP-R_LB_Mid,75,4,,251,53,,0,510
SP-R_LB_Mid,75,4,,252,221,,1,479
SP-R_LB_Mid,75,4,,253,119,,0,681
SP-R_LB_Mid,75,4,,254,113,,0,700
SP-R_LB_Mid,75,4,,255,192,,1,377
SP-R_LB_Mid,75,4,,256,78,,0,470
SP-R_LB_Mid,75,4,,257,33,,0,469
SP-R_LB_Mid,75,4,,258,246,,1,475
SP-R_LB_Mid,75,4,,259,70,,0,615
SP-R_LB_Mid,75,4,,260,216,,1,553
SP-R_LB_Mid,75,4,,261,67,,0,635
SP-R_LB_Mid,75,4,,262,21,,0,508
SP-R_LB_Mid,75,4,,263,98,,0,551
SP-R_LB_Mid,75,4,,264,27,,0,482
SP-R_LB_Mid,75,4,,265,196,,1,2152
SP-R_LB_Mid,75,4,,266,43,,0,387
SP-R_LB_Mid,75,4,,267,284,,1,518
SP-R_LB_Mid,75,4,,268,117,,0,360
SP-R_LB_Mid,75,4,,269,291,,1,471
SP-R_LB_Mid,75,4,,270,247,,1,1141
SP-R_LB_Mid,75,4,,271,63,,0,620
SP-R_LB_Mid,75,4,,272,35,,0,404
SP-R_LB_Mid,75,4,,273,51,,0,421
SP-R_LB_Mid,75,4,,274,276,,0,259
SP-R_LB_Mid,75,4,,275,103,,0,424
SP-R_LB_Mid,75,4,,276,8,,0,510
SP-R_LB_Mid,75,4,,277,200,,1,350
SP-R_LB_Mid,75,4,,278,95,,0,425
SP-R_LB_Mid,75,4,,279,7,,0,504
SP-R_LB_Mid,75,4,,280,296,,1,485
SP-R_LB_Mid,75,4,,281,62,,0,358
SP-R_LB_Mid,75,4,,282,240,,1,1101
SP-R_LB_Mid,75,4,,283,225,,1,501
SP-R_LB_Mid,75,4,,284,299,,1,419
SP-R_LB_Mid,75,4,,285,56,,0,470
SP-R_LB_Mid,75,4,,286,224,,1,586
SP-R_LB_Mid,75,4,,287,156,,1,1646
SP-R_LB_Mid,75,4,,288,237,,1,544
SP-R_LB_Mid,75,4,,289,252,,1,472
SP-R_LB_Mid,75,4,,290,141,,1,1442
SP-R_LB_Mid,75,4,,291,81,,0,570
SP-R_LB_Mid,75,4,,292,176,,1,573
SP-R_LB_Mid,75,4,,293,243,,1,480
SP-R_LB_Mid,75,4,,294,208,,1,369
SP-R_LB_Mid,75,4,,295,230,,1,516
SP-R_LB_Mid,75,4,,296,48,,0,397
SP-R_LB_Mid,75,4,,297,241,,0,385
SP-R_LB_Mid,75,4,,298,121,,0,491
SP-R_LB_Mid,75,4,,299,278,,1,438
