C:\Users\RogersLab\Desktop\CB-Files\ACB Data [Back-Up & Modified]\NEW\SP-R_RB_Close-45-1.edat,,,,,,,,
ExperimentName,Subject,Block,PicLoc,Trial,Pic,Rating,Stim.ACC,Stim.RT
SP-R_RB_Close,45,1,,1,270,,1,4188
SP-R_RB_Close,45,1,,2,270,,0,1486
SP-R_RB_Close,45,1,,3,130,,0,945
SP-R_RB_Close,45,1,,4,130,,1,2101
SP-R_RB_Close,45,1,,5,270,,1,1106
SP-R_RB_Close,45,1,,6,270,,0,455
SP-R_RB_Close,45,1,,7,130,,0,300
SP-R_RB_Close,45,1,,8,270,,0,300
SP-R_RB_Close,45,1,,9,270,,1,4396
SP-R_RB_Close,45,1,,10,270,,0,1222
SP-R_RB_Close,45,1,,11,130,,0,258
SP-R_RB_Close,45,1,,12,270,,0,942
SP-R_RB_Close,45,1,,13,130,,0,372
SP-R_RB_Close,45,1,,14,130,,1,261
SP-R_RB_Close,45,1,,15,130,,1,383
SP-R_RB_Close,45,1,,16,130,,0,486
SP-R_RB_Close,45,1,,17,270,,1,398
SP-R_RB_Close,45,1,,18,270,,1,534
SP-R_RB_Close,45,1,,19,130,,1,424
SP-R_RB_Close,45,1,,20,130,,1,423
SP-R_RB_Close,45,2,,1,80,,0,1264
SP-R_RB_Close,45,2,,2,230,,1,918
SP-R_RB_Close,45,2,,3,120,,0,1030
SP-R_RB_Close,45,2,,4,200,,0,6507
SP-R_RB_Close,45,2,,5,130,,1,352
SP-R_RB_Close,45,2,,6,90,,0,235
SP-R_RB_Close,45,2,,7,210,,1,704
SP-R_RB_Close,45,2,,8,130,,1,430
SP-R_RB_Close,45,2,,9,100,,1,332
SP-R_RB_Close,45,2,,10,170,,0,251
SP-R_RB_Close,45,2,,11,220,,1,228
SP-R_RB_Close,45,2,,12,110,,0,236
SP-R_RB_Close,45,2,,13,60,,0,240
SP-R_RB_Close,45,2,,14,240,,1,439
SP-R_RB_Close,45,2,,15,100,,0,430
SP-R_RB_Close,45,2,,16,140,,1,265
SP-R_RB_Close,45,2,,17,70,,0,401
SP-R_RB_Close,45,2,,18,240,,0,512
SP-R_RB_Close,45,2,,19,210,,1,215
SP-R_RB_Close,45,2,,20,230,,0,209
SP-R_RB_Close,45,2,,21,160,,1,210
SP-R_RB_Close,45,2,,22,190,,1,194
SP-R_RB_Close,45,2,,23,110,,0,261
SP-R_RB_Close,45,2,,24,140,,1,89
SP-R_RB_Close,45,2,,25,220,,0,137
SP-R_RB_Close,45,2,,26,180,,1,230
SP-R_RB_Close,45,2,,27,160,,0,70
SP-R_RB_Close,45,2,,28,120,,1,164
SP-R_RB_Close,45,2,,29,150,,0,59
SP-R_RB_Close,45,2,,30,180,,1,182
SP-R_RB_Close,45,2,,31,90,,0,137
SP-R_RB_Close,45,2,,32,150,,0,243
SP-R_RB_Close,45,2,,33,170,,0,130
SP-R_RB_Close,45,2,,34,200,,0,126
SP-R_RB_Close,45,2,,35,60,,1,54
SP-R_RB_Close,45,2,,36,80,,0,129
SP-R_RB_Close,45,2,,37,190,,1,88
SP-R_RB_Close,45,2,,38,70,,0,42
SP-R_RB_Close,45,3,150.bmp,,,,,
SP-R_RB_Close,45,4,,1,63,,1,2142
SP-R_RB_Close,45,4,,2,205,,1,1211
SP-R_RB_Close,45,4,,3,31,,0,313
SP-R_RB_Close,45,4,,4,285,,1,124
SP-R_RB_Close,45,4,,5,178,,0,266
SP-R_RB_Close,45,4,,6,119,,1,159
SP-R_RB_Close,45,4,,7,33,,0,222
SP-R_RB_Close,45,4,,8,300,,1,206
SP-R_RB_Close,45,4,,9,194,,0,151
SP-R_RB_Close,45,4,,10,198,,1,175
SP-R_RB_Close,45,4,,11,82,,0,251
SP-R_RB_Close,45,4,,12,193,,1,252
SP-R_RB_Close,45,4,,13,226,,1,126
SP-R_RB_Close,45,4,,14,234,,1,152
SP-R_RB_Close,45,4,,15,149,,0,182
SP-R_RB_Close,45,4,,16,249,,1,237
SP-R_RB_Close,45,4,,17,132,,0,656
SP-R_RB_Close,45,4,,18,21,,1,311
SP-R_RB_Close,45,4,,19,71,,0,330
SP-R_RB_Close,45,4,,20,270,,1,6
SP-R_RB_Close,45,4,,21,262,,1,101
SP-R_RB_Close,45,4,,22,163,,0,455
SP-R_RB_Close,45,4,,23,53,,0,291
SP-R_RB_Close,45,4,,24,281,,1,1086
SP-R_RB_Close,45,4,,25,120,,1,242
SP-R_RB_Close,45,4,,26,137,,1,174
SP-R_RB_Close,45,4,,27,254,,0,243
SP-R_RB_Close,45,4,,28,134,,0,154
SP-R_RB_Close,45,4,,29,15,,0,78
SP-R_RB_Close,45,4,,30,298,,0,451
SP-R_RB_Close,45,4,,31,180,,0,183
SP-R_RB_Close,45,4,,32,103,,1,162
SP-R_RB_Close,45,4,,33,48,,0,127
SP-R_RB_Close,45,4,,34,238,,0,44
SP-R_RB_Close,45,4,,35,138,,1,6
SP-R_RB_Close,45,4,,36,294,,0,55
SP-R_RB_Close,45,4,,37,16,,1,232
SP-R_RB_Close,45,4,,38,66,,0,639
SP-R_RB_Close,45,4,,39,240,,1,36
SP-R_RB_Close,45,4,,40,225,,0,28
SP-R_RB_Close,45,4,,41,124,,0,432
SP-R_RB_Close,45,4,,42,62,,0,203
SP-R_RB_Close,45,4,,43,155,,1,5
SP-R_RB_Close,45,4,,44,179,,0,421
SP-R_RB_Close,45,4,,45,126,,0,250
SP-R_RB_Close,45,4,,46,79,,1,579
SP-R_RB_Close,45,4,,47,6,,0,550
SP-R_RB_Close,45,4,,48,39,,0,412
SP-R_RB_Close,45,4,,49,267,,1,89
SP-R_RB_Close,45,4,,50,165,,0,959
SP-R_RB_Close,45,4,,51,157,,1,210
SP-R_RB_Close,45,4,,52,26,,0,147
SP-R_RB_Close,45,4,,53,169,,0,263
SP-R_RB_Close,45,4,,54,222,,1,197
SP-R_RB_Close,45,4,,55,242,,0,305
SP-R_RB_Close,45,4,,56,299,,0,544
SP-R_RB_Close,45,4,,57,142,,1,196
SP-R_RB_Close,45,4,,58,91,,0,39
SP-R_RB_Close,45,4,,59,13,,0,33
SP-R_RB_Close,45,4,,60,282,,0,188
SP-R_RB_Close,45,4,,61,248,,0,156
SP-R_RB_Close,45,4,,62,219,,0,408
SP-R_RB_Close,45,4,,63,2,,1,2371
SP-R_RB_Close,45,4,,64,228,,0,422
SP-R_RB_Close,45,4,,65,90,,1,394
SP-R_RB_Close,45,4,,66,108,,0,1902
SP-R_RB_Close,45,4,,67,104,,0,13
SP-R_RB_Close,45,4,,68,233,,1,327
SP-R_RB_Close,45,4,,69,201,,0,124
SP-R_RB_Close,45,4,,70,256,,1,133
SP-R_RB_Close,45,4,,71,30,,0,282
SP-R_RB_Close,45,4,,72,153,,0,356
SP-R_RB_Close,45,4,,73,195,,0,331
SP-R_RB_Close,45,4,,74,121,,0,377
SP-R_RB_Close,45,4,,75,45,,0,345
SP-R_RB_Close,45,4,,76,56,,0,372
